rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-11,822930,2026-09-11T23:10:00Z,Scheduled,TB,HOU,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,4.01,4.6733,6.01,1.0,0.4857,699044,Miguel Ullola,R,1.15,0.42,0.3315,1.5,LESS,0.9701,-3242,75,88,0.2295,0.3315,0.0,0.6984,0.2717,0.0299,0.0,0.0,0.3016,0.0299,0.0,0.3016,0.6984,0.0299,0.9701,0.0,1.0,0.0,1.0,364,37,0.1016,1337,534,63,0.118,0.2558,0.2759,0.882,0.9733,0.1347,5,1,18,0.2,0.0556,0.2,0.0,10,4,34,0.4,0.1176,0.3,0.1,15,6,51,0.4,0.1176,0.3333,0.0667,284,23,0.081,0.1116,0.2427,0.2626,0.8884,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,27,10,0.3704,0.2308,0.2925,0.3158,92.6972,0.0902,0.2412,0.0903,0.1031,1.0,4-Seam,0.7358,0.0373,95.1526,1.5,279,122,4,0.0328,0.0481,VELO_BAND_1.5,0.0,0.1425,0.1224,0.0932,0.2559,0.1426,0.1425,0.2201,0.1549,0.2295,0.2052,0.1512,4-Seam,0.7358,95.1526,0.2105,0.2949,Slider,0.2264,86.0833,0.25,0.2917,Curve,0.0283,83.2,0.5,0.3333,Changeup,0.0094,88.4,0.115,0.0,,,,,,,,,,,97.0,69.8,27.2,3.0,0.0,0.0,30.2,3.0,0.0,30.2,69.8,3.0,97.0,0.0,100.0,0.0,100.0,10.2,11.8,25.6,27.6,88.2,97.3,13.5,5.6,11.8,11.8,20.0,30.0,33.3,0.0,10.0,6.7,8.1,11.2,24.3,26.3,88.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,37.0,23.1,29.2,31.6,9.0,24.1,9.0,10.3,100.0,73.6,3.7,14.3,12.2,9.3,25.6,14.3,14.3,22.0,15.5,22.9,20.5,15.1,22.9,42.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-11,822684,2026-09-11T22:45:00Z,Scheduled,WSH,LAA,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.0,7.0,7.0,2.0,0.3314,579328,Yusei Kikuchi,L,1.15,0.78,0.3342,1.5,LESS,0.9678,-3009,66,85,0.2347,0.3342,0.0,0.6979,0.2699,0.0322,0.0,0.0,0.3021,0.0322,0.0,0.3021,0.6979,0.0322,0.9678,0.0,1.0,0.0,1.0,241,22,0.0913,746,401,46,0.1147,0.1997,0.3714,0.8853,0.954,0.1552,5,2,16,0.4,0.125,0.4,0.0,10,3,35,0.3,0.0857,0.3,0.0,15,4,53,0.2667,0.0755,0.2667,0.0,58,10,0.1724,0.1429,0.2564,0.3462,0.8571,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,74,16,0.2162,0.2319,0.2667,0.2041,90.6252,0.1065,0.2192,0.1208,0.135,1.0,4-Seam,0.5185,0.0787,95.855,1.5,139,74,8,0.1081,0.11,VELO_BAND_1.5,0.0,0.1426,0.1249,0.1561,0.2213,0.1646,0.1426,0.27,0.1933,0.2347,0.2425,0.1637,4-Seam,0.5185,95.855,0.169,0.2643,Slider,0.2407,87.5292,0.2286,0.2308,Curve,0.137,79.1514,0.3889,0.3514,Splitter,0.1037,86.825,0.3571,0.25,,,,,,,,,,,96.8,69.8,27.0,3.2,0.0,0.0,30.2,3.2,0.0,30.2,69.8,3.2,96.8,0.0,100.0,0.0,100.0,9.1,11.5,20.0,37.1,88.5,95.4,15.5,12.5,8.6,7.5,40.0,30.0,26.7,0.0,0.0,0.0,17.2,14.3,25.6,34.6,85.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.6,23.2,26.7,20.4,10.7,21.9,12.1,13.5,100.0,51.9,7.9,14.3,12.5,15.6,22.1,16.5,14.3,27.0,19.3,23.5,24.3,16.4,23.5,28.6,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-11,823817,2026-09-11T23:10:00Z,Scheduled,LAD,MIA,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,5.01,5.01,1.01,1.0,0.3314,687473,Ryan Gusto,R,1.15,0.537,0.3599,1.5,LESS,0.9666,-2898,69,86,0.2159,0.3599,0.0,0.6735,0.2931,0.0333,0.0,0.0,0.3265,0.0334,0.0,0.3265,0.6735,0.0334,0.9666,0.0,1.0,0.0,1.0,152,16,0.1053,536,260,37,0.1423,0.2239,0.3145,0.8577,0.9474,0.12,5,2,10,0.4,0.2,0.4,0.0,10,3,20,0.3,0.15,0.3,0.0,15,5,32,0.3333,0.1562,0.2667,0.0667,44,4,0.0909,0.1429,0.1892,0.3133,0.8571,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,321,61,0.19,0.177,0.2725,0.1489,88.7303,0.1252,0.2462,0.0946,0.1485,1.0,4-Seam,0.2802,0.0541,93.0152,1.5,118,60,3,0.05,0.0707,VELO_BAND_1.5,0.0,0.165,0.1662,0.1364,0.1983,0.1866,0.165,0.21,0.16,0.2159,0.2232,0.1734,4-Seam,0.2802,94.6544,0.1962,0.2905,Changeup,0.144,87.247,0.1842,0.2321,Cutter,0.1285,89.3213,0.2099,0.2733,Sinker,0.1277,93.1362,0.194,0.3624,Sweeper,0.1268,81.7682,0.1299,0.2365,Slider,0.1088,85.352,0.1622,0.2362,96.7,67.4,29.3,3.3,0.0,0.0,32.6,3.3,0.0,32.6,67.4,3.3,96.7,0.0,100.0,0.0,100.0,10.5,14.2,22.4,31.4,85.8,94.7,12.0,20.0,15.0,15.6,40.0,30.0,26.7,0.0,0.0,6.7,9.1,14.3,18.9,31.3,85.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.0,17.7,27.2,14.9,12.5,24.6,9.5,14.9,100.0,28.0,5.4,16.5,16.6,13.6,19.8,18.7,16.5,21.0,16.0,21.6,22.3,17.3,21.6,28.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-11,824227,2026-09-11T22:40:00Z,Scheduled,COL,DET,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.515,7.515,7.0,2.0,0.2743,664285,Framber Valdez,L,1.15,0.78,0.3567,1.5,LESS,0.9661,-2852,69,86,0.216,0.3567,0.0,0.6772,0.2889,0.0338,0.0,0.0,0.3228,0.0339,0.0,0.3228,0.6772,0.0339,0.9661,0.0,1.0,0.0,1.0,142,20,0.1408,490,251,28,0.1116,0.2082,0.3047,0.8884,0.9389,0.1235,5,3,15,0.6,0.2,0.4,0.2,10,6,34,0.6,0.1765,0.4,0.2,15,8,51,0.5333,0.1569,0.4,0.1333,31,1,0.0323,0.0545,0.2,0.2041,0.9455,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,465,77,0.1656,0.1686,0.2465,0.1875,88.287,0.1043,0.2358,0.1034,0.1467,1.0,Sinker,0.4384,0.0385,93.9547,1.5,87,43,4,0.093,0.1017,VELO_BAND_1.5,0.0,0.1803,0.1824,0.1349,0.1761,0.1718,0.1803,0.2219,0.1913,0.216,0.2159,0.1767,Sinker,0.4384,93.8609,0.0787,0.2691,Curve,0.2835,78.3712,0.275,0.2588,Changeup,0.1802,89.1651,0.1795,0.2052,4-Seam,0.0481,94.8183,0.1818,0.1463,Slider,0.0475,86.0099,0.35,0.2346,Cutter,0.0006,93.2,0.115,0.0,96.6,67.7,28.9,3.4,0.0,0.0,32.3,3.4,0.0,32.3,67.7,3.4,96.6,0.0,100.0,0.0,100.0,14.1,11.2,20.8,30.5,88.8,93.9,12.3,20.0,17.6,15.7,40.0,40.0,40.0,20.0,20.0,13.3,3.2,5.5,20.0,20.4,94.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,16.6,16.9,24.6,18.8,10.4,23.6,10.3,14.7,100.0,43.8,3.8,18.0,18.2,13.5,17.6,17.2,18.0,22.2,19.1,21.6,21.6,17.7,21.6,28.6,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-11,822930,2026-09-11T23:10:00Z,Scheduled,TB,HOU,663611,Nick Madrigal,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,699044,Miguel Ullola,R,1.15,0.42,0.3629,1.5,LESS,0.9644,-2706,59,84,0.2295,0.3629,0.0,0.6728,0.2916,0.0356,0.0,0.0,0.3272,0.0356,0.0,0.3272,0.6728,0.0356,0.9644,0.0,1.0,0.0,1.0,52,3,0.0577,208,104,8,0.0769,0.2212,0.3163,0.9231,0.9589,0.0426,5,1,21,0.2,0.0476,0.2,0.0,10,2,41,0.2,0.0488,0.2,0.0,15,3,52,0.2,0.0577,0.2,0.0,37,2,0.0541,0.1096,0.2378,0.3382,0.8904,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,27,10,0.3704,0.2308,0.2925,0.3158,92.6972,0.0989,0.2493,0.0678,0.129,1.0,4-Seam,0.7358,0.069,95.1526,1.5,40,22,1,0.0455,0.0844,VELO_BAND_1.5,0.0,0.1649,0.1112,0.1266,0.2559,0.1619,0.1649,0.1463,0.165,0.2295,0.2169,0.1626,4-Seam,0.7358,95.1526,0.2105,0.2949,Slider,0.2264,86.0833,0.25,0.2917,Curve,0.0283,83.2,0.5,0.3333,Changeup,0.0094,88.4,0.115,0.0,,,,,,,,,,,96.4,67.3,29.2,3.6,0.0,0.0,32.7,3.6,0.0,32.7,67.3,3.6,96.4,0.0,100.0,0.0,100.0,5.8,7.7,22.1,31.6,92.3,95.9,4.3,4.8,4.9,5.8,20.0,20.0,20.0,0.0,0.0,0.0,5.4,11.0,23.8,33.8,89.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,37.0,23.1,29.2,31.6,9.9,24.9,6.8,12.9,100.0,73.6,6.9,16.5,11.1,12.7,25.6,16.2,16.5,14.6,16.5,22.9,21.7,16.3,22.9,0.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-11,824227,2026-09-11T22:40:00Z,Scheduled,DET,COL,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,9.0,8.6667,9.0,3.0,0.4171,690279,Mason Adams,R,1.15,0.7284,0.3807,1.5,LESS,0.9632,-2620,74,88,0.1741,0.3807,0.0,0.6561,0.3072,0.0367,0.0,0.0,0.3439,0.0368,0.0,0.3439,0.6561,0.0368,0.9632,0.0,1.0,0.0,1.0,328,49,0.1494,1219,592,87,0.147,0.2379,0.2898,0.853,0.9308,0.1704,5,3,18,0.6,0.1667,0.4,0.2,10,7,34,0.7,0.2059,0.5,0.2,15,12,50,0.8,0.24,0.6,0.2,255,37,0.1451,0.1552,0.2405,0.3072,0.8448,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,59,17,0.2881,0.2202,0.2907,0.275,89.5811,0.1205,0.2503,0.13,0.1594,1.0,4-Seam,0.3304,0.078,92.3886,1.5,201,105,12,0.1143,0.1144,VELO_BAND_1.5,0.0,0.1802,0.1847,0.1527,0.2484,0.1899,0.1802,0.2939,0.2139,0.1741,0.214,0.1929,4-Seam,0.3304,93.252,0.2222,0.2267,Sinker,0.2687,92.1951,0.0571,0.2295,Curve,0.163,81.9514,0.5833,0.5135,Sweeper,0.1233,85.4,0.1538,0.2143,Changeup,0.0573,88.1231,0.2857,0.3077,Cutter,0.0573,88.3154,0.5,0.4615,96.3,65.6,30.7,3.7,0.0,0.0,34.4,3.7,0.0,34.4,65.6,3.7,96.3,0.0,100.0,0.0,100.0,14.9,14.7,23.8,29.0,85.3,93.1,17.0,16.7,20.6,24.0,40.0,50.0,60.0,20.0,20.0,20.0,14.5,15.5,24.0,30.7,84.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,28.8,22.0,29.1,27.5,12.0,25.0,13.0,15.9,100.0,33.0,7.8,18.0,18.5,15.3,24.8,19.0,18.0,29.4,21.4,17.4,21.4,19.3,17.4,42.9,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-11,822684,2026-09-11T22:45:00Z,Scheduled,WSH,LAA,678391,Jorbit Vivas,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.505,7.505,6.0,5.0,0.2514,579328,Yusei Kikuchi,L,1.15,0.78,0.3692,1.5,LESS,0.9626,-2577,65,85,0.2347,0.3692,0.0,0.6682,0.2944,0.0373,0.0,0.0,0.3318,0.0374,0.0,0.3318,0.6682,0.0374,0.9626,0.0,1.0,0.0,1.0,236,31,0.1314,832,399,67,0.1679,0.2079,0.2765,0.8321,0.9234,0.1721,5,2,15,0.4,0.1333,0.4,0.0,10,3,33,0.3,0.0909,0.3,0.0,15,5,52,0.3333,0.0962,0.3333,0.0,29,3,0.1034,0.1556,0.2069,0.2889,0.8444,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,74,16,0.2162,0.2319,0.2667,0.2041,90.6252,0.1349,0.2264,0.125,0.1523,1.0,4-Seam,0.5185,0.0887,95.855,1.5,152,71,5,0.0704,0.083,VELO_BAND_1.5,0.0,0.1759,0.1478,0.1546,0.2213,0.1911,0.1759,0.2906,0.1662,0.2347,0.2112,0.1831,4-Seam,0.5185,95.855,0.169,0.2643,Slider,0.2407,87.5292,0.2286,0.2308,Curve,0.137,79.1514,0.3889,0.3514,Splitter,0.1037,86.825,0.3571,0.25,,,,,,,,,,,96.3,66.8,29.4,3.7,0.0,0.0,33.2,3.7,0.0,33.2,66.8,3.7,96.3,0.0,100.0,0.0,100.0,13.1,16.8,20.8,27.7,83.2,92.3,17.2,13.3,9.1,9.6,40.0,30.0,33.3,0.0,0.0,0.0,10.3,15.6,20.7,28.9,84.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.6,23.2,26.7,20.4,13.5,22.6,12.5,15.2,100.0,51.9,8.9,17.6,14.8,15.5,22.1,19.1,17.6,29.1,16.6,23.5,21.1,18.3,23.5,28.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-11,824711,2026-09-11T23:10:00Z,Scheduled,BOS,KC,681508,Mickey Gasper,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.0,2.0,2.0,0.4629,607625,Seth Lugo,R,1.15,0.78,0.3784,1.5,LESS,0.9614,-2491,75,88,0.1908,0.3784,0.0,0.6602,0.3012,0.0386,0.0,0.0,0.3398,0.0386,0.0,0.3398,0.6602,0.0386,0.9614,0.0,1.0,0.0,1.0,183,28,0.153,692,267,47,0.176,0.2601,0.2022,0.824,0.9482,0.1852,5,2,22,0.4,0.0909,0.4,0.0,10,7,41,0.7,0.1707,0.6,0.1,15,7,57,0.4667,0.1228,0.4,0.0667,161,22,0.1366,0.1674,0.2454,0.2,0.8326,3,1,0.3333,0.2318,15,0.0,0.1104,0.2,0.2756,0.125,1.0,1.0,0.0,115.0,1.0,0.0,464,73,0.1573,0.1654,0.255,0.1522,85.8647,0.1425,0.2744,0.1675,0.2001,0.9711,Sinker,0.1955,0.119,91.0448,1.5,90,37,3,0.0811,0.0957,VELO_BAND_1.5,0.0833,0.1921,0.1683,0.1535,0.1693,0.227,0.1949,0.3382,0.1892,0.1908,0.1829,0.1911,Sinker,0.1955,91.4638,0.0811,0.2812,Cutter,0.166,89.7867,0.2109,0.2594,4-Seam,0.1558,91.8596,0.1239,0.2582,Curve,0.1496,77.4674,0.2091,0.303,Sweeper,0.1224,79.6745,0.1474,0.2407,Changeup,0.0907,85.1062,0.1529,0.1438,96.1,66.0,30.1,3.9,0.0,0.0,34.0,3.9,0.0,34.0,66.0,3.9,96.1,0.0,100.0,0.0,100.0,15.3,17.6,26.0,20.2,82.4,94.8,18.5,9.1,17.1,12.3,40.0,60.0,40.0,0.0,10.0,6.7,13.7,16.7,24.5,20.0,83.3,33.3,23.2,0.0,11.0,20.0,27.6,12.5,100.0,100.0,0.0,15.7,16.5,25.5,15.2,14.3,27.4,16.7,20.0,97.1,19.5,11.9,19.2,16.8,15.3,16.9,22.7,19.5,33.8,18.9,19.1,18.3,19.1,19.1,42.9,8.1,,,,,5.0,0.0,0.0,0.225,,,,,100.0,0.0,2.0,0.115,0.0,0.225,5.0,0.0,0.2,0.0,1.0,0.115,0.0,0.225,1.0,0.115,1.0,1.0,1.0,0.115,1.0,0.225,,,,,,,,,,,,,,,,,
9,2026-09-11,824227,2026-09-11T22:40:00Z,Scheduled,COL,DET,691720,Kyle Karros,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,6.0,6.0,6.0,1.0,0.4971,664285,Framber Valdez,L,1.15,0.78,0.3969,1.5,LESS,0.9595,-2368,75,88,0.216,0.3969,0.0,0.6437,0.3158,0.0404,0.0001,0.0,0.3563,0.0405,0.0001,0.3563,0.6437,0.0405,0.9595,0.0001,0.9999,0.0,1.0,269,48,0.1784,1046,492,104,0.2114,0.2476,0.2468,0.7886,0.8964,0.179,5,3,17,0.6,0.1765,0.6,0.0,10,5,36,0.5,0.1389,0.4,0.1,15,12,58,0.8,0.2069,0.6,0.2,99,14,0.1414,0.2128,0.2456,0.2512,0.7872,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,465,77,0.1656,0.1686,0.2465,0.1875,88.287,0.1714,0.2548,0.1302,0.1932,1.0,Sinker,0.4384,0.0862,93.9547,1.5,197,118,6,0.0508,0.0632,VELO_BAND_1.5,0.0,0.2038,0.1821,0.1672,0.1761,0.2374,0.2038,0.3018,0.1683,0.216,0.2051,0.2007,Sinker,0.4384,93.8609,0.0787,0.2691,Curve,0.2835,78.3712,0.275,0.2588,Changeup,0.1802,89.1651,0.1795,0.2052,4-Seam,0.0481,94.8183,0.1818,0.1463,Slider,0.0475,86.0099,0.35,0.2346,Cutter,0.0006,93.2,0.115,0.0,95.9,64.4,31.6,4.0,0.0,0.0,35.6,4.1,0.0,35.6,64.4,4.1,95.9,0.0,100.0,0.0,100.0,17.8,21.1,24.8,24.7,78.9,89.6,17.9,17.6,13.9,20.7,60.0,40.0,60.0,0.0,10.0,20.0,14.1,21.3,24.6,25.1,78.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,16.6,16.9,24.6,18.8,17.1,25.5,13.0,19.3,100.0,43.8,8.6,20.4,18.2,16.7,17.6,23.7,20.4,30.2,16.8,21.6,20.5,20.1,21.6,42.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-11,824954,2026-09-12T01:40:00Z,Scheduled,SEA,ATH,645302,Victor Robles,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.01,7.01,7.01,2.0,0.1657,605488,Jeffrey Springs,L,1.15,0.78,0.3915,1.5,LESS,0.9594,-2361,70,87,0.2142,0.3915,0.0,0.6491,0.3102,0.0406,0.0,0.0,0.3509,0.0406,0.0,0.3509,0.6491,0.0406,0.9594,0.0,1.0,0.0,1.0,134,19,0.1418,461,252,50,0.1984,0.2299,0.3629,0.8016,0.9198,0.15,5,0,11,0.0,0.0,0.0,0.0,10,3,30,0.3,0.1,0.3,0.0,15,5,48,0.3333,0.1042,0.3333,0.0,38,7,0.1842,0.2361,0.2624,0.3506,0.7639,2,2,1.0,0.258,11,0.4286,0.1323,0.4545,0.2992,0.6,0.5714,0.75,0.25,106.0,1.0,1.0,366,60,0.1639,0.1967,0.2432,0.1714,86.0495,0.1874,0.2571,0.1433,0.1893,1.0,4-Seam,0.4376,0.1356,91.1399,1.5,49,23,1,0.0435,0.0827,VELO_BAND_1.5,0.0598,0.1905,0.1411,0.1883,0.177,0.2452,0.1943,0.2869,0.1776,0.2142,0.2492,0.1938,4-Seam,0.4376,91.3793,0.1111,0.2261,Changeup,0.2711,79.7147,0.3273,0.2519,Slider,0.2216,84.5415,0.1752,0.2799,Sweeper,0.0425,78.6492,0.0952,0.1311,Cutter,0.0272,87.2846,0.2143,0.3077,,,,,,95.9,64.9,31.0,4.1,0.0,0.0,35.1,4.1,0.0,35.1,64.9,4.1,95.9,0.0,100.0,0.0,100.0,14.2,19.8,23.0,36.3,80.2,92.0,15.0,0.0,10.0,10.4,0.0,30.0,33.3,0.0,0.0,0.0,18.4,23.6,26.2,35.1,76.4,100.0,25.8,42.9,13.2,45.5,29.9,60.0,57.1,75.0,25.0,16.4,19.7,24.3,17.1,18.7,25.7,14.3,18.9,100.0,43.8,13.6,19.0,14.1,18.8,17.7,24.5,19.4,28.7,17.8,21.4,24.9,19.4,21.4,14.3,4.3,,,,,3.0,0.0,0.3333,0.225,,,,,100.0,100.0,3.0,0.0,0.3333,1.0,,,,,,,,,5.0,0.75,0.6,1.0,,,,,,,,,,,,,,,,,,,,,
