rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-13,822928,2026-09-13T17:40:00Z,Scheduled,TB,HOU,663611,Nick Madrigal,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.01,7.01,7.01,1.0,0.1771,669713,Hayden Wesneski,R,1.15,0.78,0.3314,1.5,LESS,0.9703,-3269,63,85,0.2285,0.3314,0.0,0.6984,0.2719,0.0296,0.0001,0.0,0.3016,0.0297,0.0001,0.3016,0.6984,0.0297,0.9703,0.0001,0.9999,0.0,1.0,55,3,0.0545,216,107,8,0.0748,0.2222,0.3137,0.9252,0.96,0.0426,5,1,20,0.2,0.05,0.2,0.0,10,2,39,0.2,0.0513,0.2,0.0,15,2,51,0.1333,0.0392,0.1333,0.0,37,2,0.0541,0.1096,0.2378,0.3382,0.8904,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,180,36,0.2,0.2266,0.2707,0.2479,88.0332,0.0932,0.266,0.0777,0.1591,1.0,Sweeper,0.2973,0.125,92.1021,1.5,47,24,1,0.0417,0.0812,VELO_BAND_1.5,0.0,0.1617,0.112,0.1245,0.2089,0.1763,0.1617,0.1491,0.1604,0.2285,0.2156,0.159,Sweeper,0.2973,81.0607,0.3924,0.3532,4-Seam,0.2396,93.5549,0.1163,0.2037,Sinker,0.1731,92.5333,0.1094,0.188,Cutter,0.1568,89.4057,0.2143,0.2925,Changeup,0.1287,86.4897,0.3409,0.2989,Curve,0.003,72.65,0.0,0.0,97.0,69.8,27.2,3.0,0.0,0.0,30.2,3.0,0.0,30.2,69.8,3.0,97.0,0.0,100.0,0.0,100.0,5.5,7.5,22.2,31.4,92.5,96.0,4.3,5.0,5.1,3.9,20.0,20.0,13.3,0.0,0.0,0.0,5.4,11.0,23.8,33.8,89.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.0,22.7,27.1,24.8,9.3,26.6,7.8,15.9,100.0,29.7,12.5,16.2,11.2,12.4,20.9,17.6,16.2,14.9,16.0,22.9,21.6,15.9,22.9,14.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-13,823815,2026-09-13T17:40:00Z,Scheduled,LAD,MIA,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.01,6.01,8.01,2.0,0.4514,691587,Eury Pérez,R,1.15,0.78,0.3574,1.5,LESS,0.9674,-2967,69,86,0.215,0.3574,0.0,0.6752,0.2922,0.0326,0.0,0.0,0.3248,0.0326,0.0,0.3248,0.6752,0.0326,0.9674,0.0,1.0,0.0,1.0,150,16,0.1067,523,254,36,0.1417,0.2237,0.3164,0.8583,0.9461,0.1286,5,1,8,0.2,0.125,0.2,0.0,10,3,20,0.3,0.15,0.3,0.0,15,5,32,0.3333,0.1562,0.2667,0.0667,42,4,0.0952,0.1343,0.1844,0.3205,0.8657,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,376,97,0.258,0.2742,0.2598,0.2433,93.1273,0.1145,0.2366,0.097,0.1434,1.0,4-Seam,0.3097,0.0548,98.0433,1.5,35,20,2,0.1,0.1088,VELO_BAND_1.5,0.0,0.166,0.1585,0.1394,0.2511,0.1762,0.166,0.2206,0.1832,0.215,0.2238,0.1781,4-Seam,0.3097,98.313,0.213,0.2541,Sinker,0.2617,97.7242,0.1382,0.1809,Slider,0.1702,88.6992,0.4412,0.3421,Sweeper,0.126,83.7934,0.4607,0.3299,Changeup,0.0768,90.3492,0.4068,0.2583,Curve,0.0531,80.5976,0.25,0.2651,96.7,67.5,29.2,3.3,0.0,0.0,32.5,3.3,0.0,32.5,67.5,3.3,96.7,0.0,100.0,0.0,100.0,10.7,14.2,22.4,31.6,85.8,94.6,12.9,12.5,15.0,15.6,20.0,30.0,26.7,0.0,0.0,6.7,9.5,13.4,18.4,32.1,86.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,25.8,27.4,26.0,24.3,11.4,23.7,9.7,14.3,100.0,31.0,5.5,16.6,15.8,13.9,25.1,17.6,16.6,22.1,18.3,21.5,22.4,17.8,21.5,42.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-13,822682,2026-09-13T17:35:00Z,Scheduled,LAA,WSH,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,9.0,9.0,9.0,4.0,0.4057,663623,Jake Irvin,R,1.15,0.78,0.3644,1.5,LESS,0.965,-2754,67,86,0.2021,0.3644,0.0,0.6708,0.2942,0.035,0.0001,0.0,0.3292,0.035,0.0001,0.3292,0.6708,0.035,0.965,0.0001,0.9999,0.0,1.0,118,13,0.1102,412,225,36,0.16,0.233,0.3962,0.84,0.9362,0.1316,5,2,18,0.4,0.1111,0.2,0.2,10,3,33,0.3,0.0909,0.2,0.1,15,4,46,0.2667,0.087,0.2,0.0667,91,10,0.1099,0.1638,0.2264,0.3926,0.8362,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,212,45,0.2123,0.2015,0.2517,0.1747,87.8876,0.1273,0.2571,0.1102,0.1651,1.0,4-Seam,0.3276,0.1045,92.851,1.5,59,27,5,0.1852,0.1495,VELO_BAND_1.5,0.0,0.176,0.1445,0.1386,0.2163,0.1979,0.176,0.2365,0.2337,0.2021,0.253,0.1809,4-Seam,0.3276,93.5804,0.1727,0.2456,Curve,0.2299,78.309,0.2804,0.275,Sinker,0.1391,92.6752,0.1148,0.3058,Changeup,0.1126,86.5388,0.3056,0.2245,Cutter,0.1011,90.7307,0.0909,0.2045,Sweeper,0.0897,82.7077,0.2222,0.2179,96.5,67.1,29.4,3.5,0.0,0.0,32.9,3.5,0.0,32.9,67.1,3.5,96.5,0.0,100.0,0.0,100.0,11.0,16.0,23.3,39.6,84.0,93.6,13.2,11.1,9.1,8.7,20.0,20.0,20.0,20.0,10.0,6.7,11.0,16.4,22.6,39.3,83.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.2,20.1,25.2,17.5,12.7,25.7,11.0,16.5,100.0,32.8,10.4,17.6,14.4,13.9,21.6,19.8,17.6,23.6,23.4,20.2,25.3,18.1,20.2,42.9,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-13,823008,2026-09-13T18:15:00Z,Scheduled,CWS,STL,700337,Edgar Quero,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,6.51,6.51,4.01,3.0,0.2971,700241,Michael McGreevy,R,1.15,0.78,0.3772,1.5,LESS,0.9624,-2560,69,86,0.2067,0.3772,0.0,0.6605,0.3019,0.0375,0.0001,0.0,0.3395,0.0376,0.0001,0.3395,0.6605,0.0376,0.9624,0.0001,0.9999,0.0,1.0,114,17,0.1491,430,217,28,0.129,0.1837,0.2361,0.871,0.9277,0.1558,5,1,12,0.2,0.0833,0.2,0.0,10,2,31,0.2,0.0645,0.2,0.0,15,3,49,0.2,0.0612,0.2,0.0,60,11,0.1833,0.1652,0.2033,0.2258,0.8348,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,444,70,0.1577,0.1772,0.2446,0.1716,87.3444,0.1243,0.2369,0.1396,0.1958,1.0,4-Seam,0.2481,0.1383,90.8448,1.5,35,16,0,0.0,0.0732,VELO_BAND_1.5,0.0,0.1907,0.144,0.1873,0.17,0.2083,0.1907,0.289,0.1784,0.2067,0.1907,0.1867,4-Seam,0.2481,92.0557,0.1345,0.274,Changeup,0.1952,87.097,0.2378,0.1875,Sinker,0.1644,91.0194,0.1007,0.2792,Curve,0.1313,78.8681,0.2111,0.292,Cutter,0.1168,88.0264,0.1613,0.2338,Sweeper,0.0988,82.0594,0.2394,0.2059,96.2,66.0,30.2,3.7,0.0,0.0,34.0,3.8,0.0,34.0,66.0,3.8,96.2,0.0,100.0,0.0,100.0,14.9,12.9,18.4,23.6,87.1,92.8,15.6,8.3,6.5,6.1,20.0,20.0,20.0,0.0,0.0,0.0,18.3,16.5,20.3,22.6,83.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,15.8,17.7,24.5,17.2,12.4,23.7,14.0,19.6,100.0,24.8,13.8,19.1,14.4,18.7,17.0,20.8,19.1,28.9,17.8,20.7,19.1,18.7,20.7,28.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-13,824628,2026-09-13T18:20:00Z,Scheduled,PIT,CHC,693304,Nick Gonzales,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,4.5,4.75,6.0,2.0,0.5371,571510,Matthew Boyd,L,1.15,0.78,0.3716,1.5,LESS,0.9619,-2523,80,89,0.2066,0.3716,0.0,0.6665,0.2954,0.0381,0.0,0.0,0.3335,0.0381,0.0,0.3335,0.6665,0.0381,0.9619,0.0,1.0,0.0,1.0,410,64,0.1561,1487,769,159,0.2068,0.2327,0.3109,0.7932,0.8874,0.1967,5,1,20,0.2,0.05,0.2,0.0,10,3,44,0.3,0.0682,0.3,0.0,15,6,66,0.4,0.0909,0.3333,0.0667,132,17,0.1288,0.1907,0.2106,0.3172,0.8093,4,0,0.0,0.2066,6,0.0,0.1113,0.1667,0.2794,0.0,1.0,1.0,0.115,50.0,0.0,0.0,350,55,0.1571,0.1814,0.259,0.181,84.5056,0.1905,0.225,0.186,0.1836,1.0,4-Seam,0.4124,0.1359,92.8355,1.5,287,142,23,0.162,0.1542,VELO_BAND_1.5,0.0623,0.1859,0.1263,0.1486,0.1722,0.2391,0.1876,0.3488,0.2817,0.2066,0.2298,0.187,4-Seam,0.4124,92.8647,0.0919,0.2391,Changeup,0.2621,78.3507,0.2205,0.2358,Slider,0.1643,82.8548,0.3448,0.2714,Curve,0.1463,73.0642,0.234,0.3422,Sinker,0.0149,92.0263,0.1818,0.2632,,,,,,96.2,66.7,29.5,3.8,0.0,0.0,33.3,3.8,0.0,33.3,66.7,3.8,96.2,0.0,100.0,0.0,100.0,15.6,20.7,23.3,31.1,79.3,88.7,19.7,5.0,6.8,9.1,20.0,30.0,33.3,0.0,0.0,6.7,12.9,19.1,21.1,31.7,80.9,0.0,20.7,0.0,11.1,16.7,27.9,0.0,100.0,100.0,11.5,15.7,18.1,25.9,18.1,19.0,22.5,18.6,18.4,100.0,41.2,13.6,18.6,12.6,14.9,17.2,23.9,18.8,34.9,28.2,20.7,23.0,18.7,20.7,57.1,16.2,3.0,0.0,0.3333,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-13,822928,2026-09-13T17:40:00Z,Scheduled,TB,HOU,663743,Nick Fortes,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,7.01,4.03,1.0,0.4514,669713,Hayden Wesneski,R,1.15,0.78,0.3743,1.5,LESS,0.9616,-2507,68,86,0.2285,0.3743,0.0,0.664,0.2976,0.0384,0.0,0.0,0.336,0.0384,0.0,0.336,0.664,0.0384,0.9616,0.0,1.0,0.0,1.0,189,22,0.1164,641,331,53,0.1601,0.2418,0.3765,0.8399,0.8861,0.1579,5,4,16,0.8,0.25,0.8,0.0,10,6,34,0.6,0.1765,0.6,0.0,15,7,49,0.4667,0.1429,0.4667,0.0,94,12,0.1277,0.1824,0.2763,0.4217,0.8176,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,180,36,0.2,0.2266,0.2707,0.2479,88.0332,0.1099,0.2629,0.1147,0.1431,1.0,Sweeper,0.2973,0.0833,92.1021,1.5,90,39,4,0.1026,0.1078,VELO_BAND_1.5,0.0,0.1696,0.184,0.1456,0.2089,0.1776,0.1696,0.2666,0.1943,0.2285,0.2497,0.1822,Sweeper,0.2973,81.0607,0.3924,0.3532,4-Seam,0.2396,93.5549,0.1163,0.2037,Sinker,0.1731,92.5333,0.1094,0.188,Cutter,0.1568,89.4057,0.2143,0.2925,Changeup,0.1287,86.4897,0.3409,0.2989,Curve,0.003,72.65,0.0,0.0,96.2,66.4,29.8,3.8,0.0,0.0,33.6,3.8,0.0,33.6,66.4,3.8,96.2,0.0,100.0,0.0,100.0,11.6,16.0,24.2,37.6,84.0,88.6,15.8,25.0,17.6,14.3,80.0,60.0,46.7,0.0,0.0,0.0,12.8,18.2,27.6,42.2,81.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.0,22.7,27.1,24.8,11.0,26.3,11.5,14.3,100.0,29.7,8.3,17.0,18.4,14.6,20.9,17.8,17.0,26.7,19.4,22.9,25.0,18.2,22.9,42.9,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-13,824869,2026-09-13T17:35:00Z,Scheduled,PHI,ATL,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,3.01,3.01,3.01,1.0,0.1771,656550,Grant Holmes,R,1.15,0.78,0.3782,1.5,LESS,0.9615,-2499,66,85,0.2255,0.3782,0.0,0.6603,0.3012,0.0384,0.0001,0.0,0.3397,0.0385,0.0001,0.3397,0.6603,0.0385,0.9615,0.0001,0.9999,0.0,1.0,36,3,0.0833,150,79,11,0.1392,0.2333,0.3418,0.8608,0.9038,0.0556,5,1,13,0.2,0.0769,0.2,0.0,10,2,27,0.2,0.0741,0.2,0.0,13,3,36,0.2308,0.0833,0.2308,0.0,24,1,0.0417,0.1379,0.2056,0.3273,0.8621,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,406,76,0.1872,0.253,0.2676,0.2683,89.3499,0.1282,0.272,0.0846,0.1762,1.0,Slider,0.3362,0.375,93.2564,1.5,32,16,1,0.0625,0.0959,VELO_BAND_1.5,0.0,0.1928,0.1504,0.1542,0.1947,0.2063,0.1928,0.1559,0.191,0.2255,0.2336,0.1841,Slider,0.3362,85.3861,0.3516,0.3118,4-Seam,0.2657,93.906,0.1458,0.2382,Sinker,0.1404,92.8915,0.1474,0.2488,Curve,0.0897,82.8316,0.3889,0.2647,Cutter,0.0897,91.9029,0.1639,0.3235,Changeup,0.0778,89.0992,0.24,0.1525,96.2,66.0,30.1,3.8,0.0,0.0,34.0,3.8,0.0,34.0,66.0,3.8,96.2,0.0,100.0,0.0,100.0,8.3,13.9,23.3,34.2,86.1,90.4,5.6,7.7,7.4,8.3,20.0,20.0,23.1,0.0,0.0,0.0,4.2,13.8,20.6,32.7,86.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.7,25.3,26.8,26.8,12.8,27.2,8.5,17.6,100.0,33.6,37.5,19.3,15.0,15.4,19.5,20.6,19.3,15.6,19.1,22.5,23.4,18.4,22.5,14.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-13,822928,2026-09-13T17:40:00Z,Scheduled,TB,HOU,680700,Richie Palacios,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,8.0,6.5025,8.0,2.0,0.56,669713,Hayden Wesneski,R,1.15,0.78,0.3911,1.5,LESS,0.9605,-2430,75,88,0.2285,0.3911,0.0,0.6485,0.312,0.0394,0.0001,0.0,0.3515,0.0395,0.0001,0.3515,0.6485,0.0395,0.9605,0.0001,0.9999,0.0,1.0,284,45,0.1585,1102,516,95,0.1841,0.2423,0.3301,0.8159,0.8714,0.1633,5,2,18,0.4,0.1111,0.2,0.2,10,3,37,0.3,0.0811,0.2,0.1,15,6,56,0.4,0.1071,0.2667,0.1333,238,36,0.1513,0.1787,0.2378,0.3141,0.8213,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,180,36,0.2,0.2266,0.2707,0.2479,88.0332,0.1572,0.2631,0.1301,0.1803,1.0,Sweeper,0.2973,0.28,92.1021,1.5,179,84,9,0.1071,0.1091,VELO_BAND_1.5,0.0,0.1906,0.1479,0.1602,0.2089,0.224,0.1906,0.287,0.2077,0.2285,0.2344,0.1938,Sweeper,0.2973,81.0607,0.3924,0.3532,4-Seam,0.2396,93.5549,0.1163,0.2037,Sinker,0.1731,92.5333,0.1094,0.188,Cutter,0.1568,89.4057,0.2143,0.2925,Changeup,0.1287,86.4897,0.3409,0.2989,Curve,0.003,72.65,0.0,0.0,96.0,64.9,31.2,3.9,0.0,0.0,35.1,4.0,0.0,35.1,64.9,4.0,96.0,0.0,100.0,0.0,100.0,15.8,18.4,24.2,33.0,81.6,87.1,16.3,11.1,8.1,10.7,20.0,20.0,26.7,20.0,10.0,13.3,15.1,17.9,23.8,31.4,82.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.0,22.7,27.1,24.8,15.7,26.3,13.0,18.0,100.0,29.7,28.0,19.1,14.8,16.0,20.9,22.4,19.1,28.7,20.8,22.9,23.4,19.4,22.9,57.1,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-13,824225,2026-09-13T16:10:00Z,Scheduled,COL,DET,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,4.0,0.1429,695549,Jackson Jobe,R,1.15,0.7716,0.3856,1.5,LESS,0.9603,-2418,66,85,0.2154,0.3856,0.0,0.6542,0.3061,0.0396,0.0001,0.0,0.3458,0.0397,0.0001,0.3458,0.6542,0.0397,0.9603,0.0001,0.9999,0.0,1.0,142,20,0.1408,490,251,28,0.1116,0.2082,0.3047,0.8884,0.9389,0.1235,5,3,15,0.6,0.2,0.4,0.2,10,6,34,0.6,0.1765,0.4,0.2,15,8,51,0.5333,0.1569,0.4,0.1333,111,19,0.1712,0.1276,0.2107,0.3315,0.8724,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,125,26,0.208,0.159,0.2112,0.1685,92.7448,0.1109,0.2485,0.1131,0.1782,1.0,4-Seam,0.3625,0.0814,97.0913,1.5,80,37,2,0.0541,0.0803,VELO_BAND_1.5,0.0,0.1803,0.1824,0.1747,0.2156,0.1934,0.1803,0.2314,0.1673,0.2154,0.2159,0.1898,4-Seam,0.3625,97.7033,0.117,0.2033,Slider,0.2271,90.0096,0.1786,0.2018,Sinker,0.1753,95.9739,0.125,0.25,Curve,0.1155,83.8552,0.2273,0.2414,Changeup,0.1096,86.0564,0.25,0.1636,Cutter,0.01,94.48,0.3333,0.2,96.0,65.4,30.6,4.0,0.0,0.0,34.6,4.0,0.0,34.6,65.4,4.0,96.0,0.0,100.0,0.0,100.0,14.1,11.2,20.8,30.5,88.8,93.9,12.3,20.0,17.6,15.7,40.0,40.0,40.0,20.0,20.0,13.3,17.1,12.8,21.1,33.2,87.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.8,15.9,21.1,16.9,11.1,24.9,11.3,17.8,100.0,36.3,8.1,18.0,18.2,17.5,21.6,19.3,18.0,23.1,16.7,21.5,21.6,19.0,21.5,14.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-13,825033,2026-09-13T20:10:00Z,Scheduled,TEX,AZ,670032,Nicky Lopez,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,6.34,8.0,1.0,0.4286,593958,Eduardo Rodriguez,L,1.15,0.78,0.3902,1.5,LESS,0.9587,-2320,72,87,0.1837,0.3902,0.0,0.6512,0.3074,0.0412,0.0001,0.0,0.3488,0.0413,0.0001,0.3488,0.6512,0.0413,0.9587,0.0001,0.9999,0.0,1.0,238,38,0.1597,872,451,72,0.1596,0.2408,0.3263,0.8404,0.8875,0.1667,5,2,13,0.4,0.1538,0.4,0.0,10,2,19,0.2,0.1053,0.2,0.0,15,4,30,0.2667,0.1333,0.2667,0.0,55,7,0.1273,0.1028,0.2174,0.3367,0.8972,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,511,95,0.1859,0.2043,0.2433,0.1769,88.3754,0.1528,0.2597,0.1365,0.1676,0.9995,4-Seam,0.4068,0.1488,91.3614,1.5,126,68,7,0.1029,0.1065,VELO_BAND_1.5,0.0,0.192,0.1726,0.1635,0.1923,0.2145,0.192,0.2966,0.203,0.1837,0.2299,0.1941,4-Seam,0.4068,92.0674,0.1803,0.2546,Changeup,0.2547,85.301,0.3037,0.216,Curve,0.1254,79.8719,0.2165,0.3004,Cutter,0.1209,88.8143,0.168,0.2541,Sinker,0.0917,91.5876,0.0638,0.1784,PO,0.0005,87.5,0.115,0.0,95.9,65.1,30.7,4.1,0.0,0.0,34.9,4.1,0.0,34.9,65.1,4.1,95.9,0.0,100.0,0.0,100.0,16.0,16.0,24.1,32.6,84.0,88.7,16.7,15.4,10.5,13.3,40.0,20.0,26.7,0.0,0.0,0.0,12.7,10.3,21.7,33.7,89.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.6,20.4,24.3,17.7,15.3,26.0,13.7,16.8,100.0,40.7,14.9,19.2,17.3,16.4,19.2,21.5,19.2,29.7,20.3,18.4,23.0,19.4,18.4,42.9,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
