rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_sv_pitches,bvp_sv_whiff,bvp_sv_csw,bvp_sv_k_pa,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-14,824465,2026-09-14T22:40:00Z,Scheduled,LAD,CIN,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.01,6.01,8.01,3.0,0.4171,666157,Nick Lodolo,L,1.15,0.78,0.3516,1.5,LESS,0.966,-2841,72,87,0.2065,0.3516,0.0,0.6824,0.2836,0.034,0.0,0.0,0.3176,0.034,0.0,0.3176,0.6824,0.034,0.966,0.0,1.0,0.0,1.0,150,16,0.1067,523,254,36,0.1417,0.2237,0.3164,0.8583,0.9461,0.1286,5,1,8,0.2,0.125,0.2,0.0,10,3,20,0.3,0.15,0.3,0.0,15,5,32,0.3333,0.1562,0.2667,0.0667,108,12,0.1111,0.1444,0.2382,0.3147,0.8556,2,0,0.0,0.2154,7,0.25,0.1194,0.2857,0.285,0.6667,0.75,0.825,0.0,5.0,0.0,0.0,365,67,0.1836,0.2086,0.2541,0.2043,89.7005,0.1246,0.2456,0.0901,0.1566,1.0,4-Seam,0.2776,0.0548,93.7265,1.5,118,65,2,0.0308,0.0561,VELO_BAND_1.5,0.0484,0.166,0.1585,0.1327,0.1925,0.1902,0.1687,0.2139,0.1603,0.2065,0.2238,0.1719,1.0,0.115,0.0,0.225,3.0,0.0,0.3333,0.0,,,,,3.0,0.5,0.3333,0.225,4-Seam,0.2776,93.8391,0.1437,0.2065,Sinker,0.2569,93.6048,0.0719,0.2957,Curve,0.2445,82.4331,0.4228,0.2938,Changeup,0.221,88.0022,0.2222,0.2219,96.6,68.2,28.4,3.4,0.0,0.0,31.8,3.4,0.0,31.8,68.2,3.4,96.6,0.0,100.0,0.0,100.0,10.7,14.2,22.4,31.6,85.8,94.6,12.9,12.5,15.0,15.6,20.0,30.0,26.7,0.0,0.0,6.7,11.1,14.4,23.8,31.5,85.6,0.0,21.5,25.0,11.9,28.6,28.5,66.7,75.0,82.5,0.0,0.0,0.0,18.4,20.9,25.4,20.4,12.5,24.6,9.0,15.7,100.0,27.8,5.5,16.6,15.8,13.3,19.2,19.0,16.9,21.4,16.0,20.6,22.4,17.2,20.6,42.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-14,825034,2026-09-15T01:40:00Z,Scheduled,MIA,AZ,669364,Xavier Edwards,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,5.0,5.0,5.0,1.0,0.1771,669203,Corbin Burnes,R,1.15,0.4815,0.3658,1.5,LESS,0.9641,-2687,75,88,0.1842,0.3658,0.0,0.67,0.2941,0.0359,0.0,0.0,0.33,0.0359,0.0,0.33,0.67,0.0359,0.9641,0.0,1.0,0.0,1.0,380,56,0.1474,1480,680,111,0.1632,0.2351,0.2592,0.8368,0.8944,0.1502,5,2,20,0.4,0.1,0.2,0.2,10,5,41,0.5,0.122,0.3,0.2,15,9,64,0.6,0.1406,0.4,0.2,283,41,0.1449,0.1624,0.236,0.2667,0.8376,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,13,2,0.1538,0.1852,0.2281,0.1,88.8281,0.1332,0.2614,0.1315,0.1524,1.0,Cutter,0.5614,0.0638,92.8389,1.5,234,121,14,0.1157,0.1156,VELO_BAND_1.5,0.0,0.1801,0.1494,0.1519,0.2168,0.1957,0.1801,0.2755,0.2167,0.1842,0.2038,0.1841,,,,,,,,,,,,,,,,,Cutter,0.5614,92.6875,0.1765,0.25,Curve,0.2105,78.95,0.3333,0.1667,Changeup,0.1053,86.45,0.3333,0.1667,Sinker,0.0702,94.05,0.0,0.5,96.4,67.0,29.4,3.6,0.0,0.0,33.0,3.6,0.0,33.0,67.0,3.6,96.4,0.0,100.0,0.0,100.0,14.7,16.3,23.5,25.9,83.7,89.4,15.0,10.0,12.2,14.1,20.0,30.0,40.0,20.0,20.0,20.0,14.5,16.2,23.6,26.7,83.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,15.4,18.5,22.8,10.0,13.3,26.1,13.1,15.2,100.0,56.1,6.4,18.0,14.9,15.2,21.7,19.6,18.0,27.6,21.7,18.4,20.4,18.4,18.4,14.3,11.6,,,,,Slider,0.0526,84.9667,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-14,823981,2026-09-15T01:38:00Z,Scheduled,LAA,SEA,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,9.0,9.0,9.0,5.0,0.3714,807739,Kade Anderson,L,1.15,0.78,0.3791,1.5,LESS,0.9621,-2540,62,84,0.2283,0.3791,0.0,0.6588,0.3033,0.0378,0.0001,0.0,0.3412,0.0379,0.0001,0.3412,0.6588,0.0379,0.9621,0.0001,0.9999,0.0,1.0,118,13,0.1102,410,225,36,0.16,0.2366,0.4019,0.84,0.9362,0.1299,5,2,16,0.4,0.125,0.2,0.2,10,3,30,0.3,0.1,0.2,0.1,15,4,47,0.2667,0.0851,0.2,0.0667,29,3,0.1034,0.1373,0.2626,0.4082,0.8627,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,87,16,0.1839,0.2164,0.2454,0.1905,88.684,0.1416,0.2572,0.1206,0.1709,1.0,4-Seam,0.408,0.1077,93.5602,1.5,73,36,9,0.25,0.1909,VELO_BAND_1.5,0.0,0.176,0.1504,0.1548,0.2059,0.2091,0.176,0.245,0.2461,0.2283,0.253,0.1857,,,,,,,,,,,,,,,,,4-Seam,0.408,93.5602,0.1892,0.2331,Slider,0.2485,87.8407,0.2174,0.2469,Changeup,0.181,84.8119,0.2222,0.1525,Curve,0.1626,82.0472,0.3333,0.3774,96.2,65.9,30.3,3.8,0.0,0.0,34.1,3.8,0.0,34.1,65.9,3.8,96.2,0.0,100.0,0.0,100.0,11.0,16.0,23.7,40.2,84.0,93.6,13.0,12.5,10.0,8.5,20.0,20.0,20.0,20.0,10.0,6.7,10.3,13.7,26.3,40.8,86.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,18.4,21.6,24.5,19.0,14.2,25.7,12.1,17.1,100.0,40.8,10.8,17.6,15.0,15.5,20.6,20.9,17.6,24.5,24.6,22.8,25.3,18.6,22.8,42.9,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-14,824308,2026-09-15T00:40:00Z,Scheduled,COL,SD,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.5,7.5,8.0,1.0,0.3086,663554,Casey Mize,R,1.15,0.78,0.3875,1.5,LESS,0.9619,-2526,70,87,0.2188,0.3875,0.0,0.6506,0.3113,0.038,0.0001,0.0,0.3494,0.0381,0.0001,0.3494,0.6506,0.0381,0.9619,0.0001,0.9999,0.0,1.0,142,20,0.1408,490,251,28,0.1116,0.2082,0.3047,0.8884,0.9389,0.1235,5,3,15,0.6,0.2,0.4,0.2,10,6,34,0.6,0.1765,0.4,0.2,15,8,51,0.5333,0.1569,0.4,0.1333,111,19,0.1712,0.1276,0.2107,0.3315,0.8724,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,341,68,0.1994,0.2104,0.2638,0.2009,90.0127,0.1148,0.2552,0.0993,0.181,0.953,4-Seam,0.3548,0.0814,93.4733,1.5,92,42,5,0.119,0.1174,VELO_BAND_1.5,0.0,0.1803,0.1824,0.1747,0.2052,0.1982,0.1803,0.2179,0.2102,0.2188,0.2159,0.1901,,,,,,,,,,,,,,,,,4-Seam,0.3548,93.3979,0.1704,0.2585,Slider,0.2911,87.4721,0.2092,0.3151,Splitter,0.213,88.1374,0.2909,0.2064,Sinker,0.094,93.7581,0.1538,0.2742,96.2,65.1,31.1,3.8,0.0,0.0,34.9,3.8,0.0,34.9,65.1,3.8,96.2,0.0,100.0,0.0,100.0,14.1,11.2,20.8,30.5,88.8,93.9,12.3,20.0,17.6,15.7,40.0,40.0,40.0,20.0,20.0,13.3,17.1,12.8,21.1,33.2,87.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,19.9,21.0,26.4,20.1,11.5,25.5,9.9,18.1,95.3,35.5,8.1,18.0,18.2,17.5,20.5,19.8,18.0,21.8,21.0,21.9,21.6,19.0,21.9,28.6,11.9,,,,,SV,0.047,81.2032,0.1923,0.2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-14,824465,2026-09-14T22:40:00Z,Scheduled,LAD,CIN,672613,Eliezer Alfonzo,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,2.01,2.01,2.01,4.0,0.1429,666157,Nick Lodolo,L,1.15,0.78,0.3885,1.5,LESS,0.9607,-2443,63,85,0.2065,0.3885,0.0,0.6509,0.3098,0.0392,0.0001,0.0,0.3491,0.0393,0.0001,0.3491,0.6509,0.0393,0.9607,0.0001,0.9999,0.0,1.0,28,3,0.1071,94,51,6,0.1176,0.2234,0.3404,0.8824,0.9429,0.1333,5,1,14,0.2,0.0714,0.2,0.0,10,3,22,0.3,0.1364,0.3,0.0,13,3,28,0.2308,0.1071,0.2308,0.0,14,1,0.0714,0.125,0.1905,0.2778,0.875,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,365,67,0.1836,0.2086,0.2541,0.2043,89.7005,0.113,0.2696,0.0929,0.1821,0.7555,4-Seam,0.2776,0.0952,93.7265,1.5,39,20,1,0.05,0.0879,VELO_BAND_1.5,0.0,0.2004,0.1725,0.1789,0.1925,0.2,0.2004,0.2213,0.1892,0.2065,0.2306,0.1941,,,,,,,,,,,,,,,,,4-Seam,0.2776,93.8391,0.1437,0.2065,Sinker,0.2569,93.6048,0.0719,0.2957,Curve,0.2445,82.4331,0.4228,0.2938,Changeup,0.221,88.0022,0.2222,0.2219,96.1,65.1,31.0,3.9,0.0,0.0,34.9,3.9,0.0,34.9,65.1,3.9,96.1,0.0,100.0,0.0,100.0,10.7,11.8,22.3,34.0,88.2,94.3,13.3,7.1,13.6,10.7,20.0,30.0,23.1,0.0,0.0,0.0,7.1,12.5,19.0,27.8,87.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,18.4,20.9,25.4,20.4,11.3,27.0,9.3,18.2,75.6,27.8,9.5,20.0,17.2,17.9,19.2,20.0,20.0,22.1,18.9,20.6,23.1,19.4,20.6,14.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-14,824308,2026-09-15T00:40:00Z,Scheduled,SD,COL,687957,Dustin Harris,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,608372,Tomoyuki Sugano,R,1.15,0.78,0.3981,1.5,LESS,0.958,-2279,66,85,0.1739,0.3981,0.0,0.6439,0.314,0.042,0.0,0.0,0.3561,0.042,0.0,0.3561,0.6439,0.042,0.958,0.0,1.0,0.0,1.0,39,5,0.1282,132,70,18,0.2571,0.2652,0.3043,0.7429,0.8163,0.1667,5,2,18,0.4,0.1111,0.4,0.0,10,4,32,0.4,0.125,0.4,0.0,12,5,39,0.4167,0.1282,0.4167,0.0,35,5,0.1429,0.2698,0.2689,0.3125,0.7302,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,396,59,0.149,0.1773,0.2263,0.1753,88.3573,0.1353,0.2761,0.1191,0.2064,1.0,Splitter,0.2204,0.3333,91.9155,2.5,21,14,1,0.0714,0.1005,VELO_BAND_2.5,0.0,0.2072,0.1722,0.1857,0.1643,0.2262,0.2072,0.2795,0.2044,0.1739,0.2345,0.1989,,,,,,,,,,,,,,,,,Splitter,0.2204,86.7792,0.2976,0.1899,Sinker,0.1988,92.6595,0.0414,0.2434,4-Seam,0.1956,92.7308,0.1429,0.2375,Sweeper,0.1092,83.7467,0.2273,0.3054,95.8,64.4,31.4,4.2,0.0,0.0,35.6,4.2,0.0,35.6,64.4,4.2,95.8,0.0,100.0,0.0,100.0,12.8,25.7,26.5,30.4,74.3,81.6,16.7,11.1,12.5,12.8,40.0,40.0,41.7,0.0,0.0,0.0,14.3,27.0,26.9,31.2,73.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,14.9,17.7,22.6,17.5,13.5,27.6,11.9,20.6,100.0,22.0,33.3,20.7,17.2,18.6,16.4,22.6,20.7,28.0,20.4,17.4,23.4,19.9,17.4,0.0,7.1,,,,,Cutter,0.1086,89.0843,0.15,0.2108,,,,,,,,,,,,,Curve,0.0876,79.9754,0.2295,0.2313,,,,,,,,,,,,,,,,,,,,,
7,2026-09-14,824629,2026-09-14T23:40:00Z,Scheduled,ATL,CHC,642086,Dominic Smith,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,5.52,5.52,3.01,2.0,0.32,656849,David Peterson,L,1.15,0.7685,0.3957,1.5,LESS,0.9573,-2243,71,87,0.2064,0.3957,0.0,0.647,0.3103,0.0426,0.0,0.0,0.353,0.0427,0.0,0.353,0.647,0.0427,0.9573,0.0,1.0,0.0,1.0,199,33,0.1658,802,365,71,0.1945,0.2431,0.2837,0.8055,0.8807,0.1484,5,1,11,0.2,0.0909,0.2,0.0,10,5,20,0.5,0.25,0.4,0.1,15,10,30,0.6667,0.3333,0.4,0.1333,29,3,0.1034,0.1064,0.2315,0.2542,0.8936,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,397,71,0.1788,0.193,0.2532,0.195,88.9982,0.155,0.2533,0.1348,0.177,1.0,Sinker,0.2938,0.0615,92.4198,1.5,130,55,3,0.0545,0.0749,VELO_BAND_1.5,0.0,0.1986,0.1959,0.1707,0.1881,0.2194,0.1986,0.2771,0.1705,0.2064,0.2174,0.1997,,,,,,,,,,,,,,,,,Sinker,0.2938,92.2787,0.1658,0.2971,4-Seam,0.2478,92.5871,0.1579,0.1828,Slider,0.2185,86.4595,0.2426,0.253,Changeup,0.1459,85.6991,0.2136,0.2374,95.7,64.7,31.0,4.3,0.0,0.0,35.3,4.3,0.0,35.3,64.7,4.3,95.7,0.0,100.0,0.0,100.0,16.6,19.5,24.3,28.4,80.5,88.1,14.8,9.1,25.0,33.3,20.0,40.0,40.0,0.0,10.0,13.3,10.3,10.6,23.1,25.4,89.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,17.9,19.3,25.3,19.5,15.5,25.3,13.5,17.7,100.0,29.4,6.2,19.9,19.6,17.1,18.8,21.9,19.9,27.7,17.0,20.6,21.7,20.0,20.6,28.6,5.5,,,,,Curve,0.0926,80.1741,0.2143,0.3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-14,825034,2026-09-15T01:40:00Z,Scheduled,AZ,MIA,663457,Lars Nootbaar,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,7.01,7.6733,7.01,2.0,0.4171,645261,Sandy Alcantara,R,1.15,0.78,0.4081,1.5,LESS,0.9564,-2194,79,89,0.2147,0.4081,0.0,0.6356,0.3208,0.0435,0.0001,0.0,0.3644,0.0436,0.0001,0.3644,0.6356,0.0436,0.9564,0.0001,0.9999,0.0,1.0,282,54,0.1915,1171,434,72,0.1659,0.2895,0.1954,0.8341,0.9009,0.162,5,1,12,0.2,0.0833,0.2,0.0,10,4,28,0.4,0.1429,0.4,0.0,15,7,45,0.4667,0.1556,0.4,0.0667,235,43,0.183,0.1534,0.2854,0.2,0.8466,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,568,98,0.1725,0.1715,0.2412,0.1599,92.3623,0.1366,0.281,0.1211,0.1791,1.0,Sinker,0.2789,0.0741,95.4337,1.5,230,87,13,0.1494,0.141,VELO_BAND_1.5,0.0,0.2117,0.178,0.1896,0.1804,0.2141,0.2117,0.277,0.2627,0.2147,0.1806,0.2035,,,,,,,,,,,,,,,,,Sinker,0.2789,97.3139,0.0885,0.2637,Changeup,0.1958,90.8222,0.2261,0.1878,4-Seam,0.1734,97.5096,0.1878,0.2424,Cutter,0.1609,89.9395,0.2114,0.2789,95.6,63.6,32.1,4.4,0.0,0.0,36.4,4.4,0.0,36.4,63.6,4.4,95.6,0.0,100.0,0.0,100.0,19.1,16.6,28.9,19.5,83.4,90.1,16.2,8.3,14.3,15.6,20.0,40.0,40.0,0.0,0.0,6.7,18.3,15.3,28.5,20.0,84.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,17.3,17.2,24.1,16.0,13.7,28.1,12.1,17.9,100.0,27.9,7.4,21.2,17.8,19.0,18.0,21.4,21.2,27.7,26.3,21.5,18.1,20.4,21.5,42.9,14.9,,,,,Sweeper,0.0969,84.201,0.1889,0.2315,,,,,,,,,,,,,Curve,0.0492,82.9146,0.125,0.1845,,,,,,,,,,,,,,,,,,,,,
9,2026-09-14,824386,2026-09-14T22:40:00Z,Scheduled,CLE,CWS,800050,Chase DeLauter,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.3333,3.0,2.0,0.4629,656794,Sean Newcomb,L,1.15,0.42,0.4201,1.5,LESS,0.9556,-2152,75,88,0.2172,0.4201,0.0,0.6244,0.3312,0.0443,0.0001,0.0,0.3756,0.0444,0.0001,0.3756,0.6244,0.0444,0.9556,0.0001,0.9999,0.0,1.0,338,60,0.1775,1320,572,83,0.1451,0.2311,0.2301,0.8549,0.9177,0.1952,5,3,20,0.6,0.15,0.6,0.0,10,7,41,0.7,0.1707,0.5,0.2,15,12,56,0.8,0.2143,0.5333,0.2667,109,27,0.2477,0.1891,0.2617,0.27,0.8109,4,2,0.5,0.2474,13,0.1429,0.1165,0.3846,0.2947,0.5,0.8571,1.0,0.5,35.0,0.5,0.0,238,54,0.2269,0.2145,0.2877,0.2081,90.3343,0.1292,0.2598,0.1798,0.2109,1.0,4-Seam,0.4406,0.1134,94.5822,1.5,249,126,17,0.1349,0.1313,VELO_BAND_1.5,0.0893,0.1983,0.182,0.2284,0.2263,0.2223,0.202,0.3488,0.2455,0.2172,0.1902,0.2135,,,,,4.0,0.0,0.0,0.225,3.0,0.0,0.3333,0.0,,,,,4-Seam,0.4406,94.8904,0.2412,0.2988,SV,0.3004,83.1993,0.3077,0.3569,Sinker,0.1709,94.0143,0.0633,0.2112,Curve,0.0467,80.8545,0.1667,0.1818,95.6,62.4,33.1,4.4,0.0,0.0,37.6,4.4,0.0,37.6,62.4,4.4,95.6,0.0,100.0,0.0,100.0,17.8,14.5,23.1,23.0,85.5,91.8,19.5,15.0,17.1,21.4,60.0,50.0,53.3,0.0,20.0,26.7,24.8,18.9,26.2,27.0,81.1,50.0,24.7,14.3,11.7,38.5,29.5,50.0,85.7,100.0,50.0,50.0,0.0,22.7,21.4,28.8,20.8,12.9,26.0,18.0,21.1,100.0,44.1,11.3,19.8,18.2,22.8,22.6,22.2,20.2,34.9,24.6,21.7,19.0,21.3,21.7,42.9,13.5,,,,,Changeup,0.0223,87.0048,0.1111,0.0952,,,,,,,,,6.0,0.5,0.6667,1.0,Cutter,0.0149,91.9786,0.0,0.1429,,,,,,,,,,,,,,,,,,,,,
10,2026-09-14,823981,2026-09-15T01:38:00Z,Scheduled,SEA,LAA,645302,Victor Robles,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,5.01,5.01,3.01,1.0,0.2971,672282,Reid Detmers,L,1.15,0.78,0.4128,1.5,LESS,0.9545,-2097,69,86,0.2342,0.4128,0.0,0.6327,0.3218,0.0455,0.0,0.0,0.3673,0.0455,0.0,0.3673,0.6327,0.0455,0.9545,0.0,1.0,0.0,1.0,136,19,0.1397,466,256,52,0.2031,0.2318,0.364,0.7969,0.9091,0.1481,5,0,9,0.0,0.0,0.0,0.0,10,3,31,0.3,0.0968,0.3,0.0,15,5,47,0.3333,0.1064,0.3333,0.0,39,7,0.1795,0.2329,0.2606,0.3506,0.7671,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,459,138,0.3007,0.2667,0.3014,0.2703,88.1194,0.1712,0.2532,0.1204,0.1764,1.0,4-Seam,0.4759,0.15,94.1254,1.5,111,57,6,0.1053,0.1085,VELO_BAND_1.5,0.0,0.1892,0.1385,0.1857,0.2871,0.2287,0.1892,0.2627,0.2041,0.2342,0.2503,0.2036,,,,,,,,,,,,,,,,,4-Seam,0.4759,94.1254,0.177,0.2471,Slider,0.3293,85.913,0.3484,0.3306,Curve,0.1143,72.1388,0.3881,0.4833,Changeup,0.0799,84.3041,0.4,0.2466,95.4,63.3,32.2,4.5,0.0,0.0,36.7,4.6,0.0,36.7,63.3,4.6,95.4,0.0,100.0,0.0,100.0,14.0,20.3,23.2,36.4,79.7,90.9,14.8,0.0,9.7,10.6,0.0,30.0,33.3,0.0,0.0,0.0,17.9,23.3,26.1,35.1,76.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,30.1,26.7,30.1,27.0,17.1,25.3,12.0,17.6,100.0,47.6,15.0,18.9,13.8,18.6,28.7,22.9,18.9,26.3,20.4,23.4,25.0,20.4,23.4,28.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
