rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-15,822925,2026-09-15T22:40:00Z,Scheduled,TB,ATH,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,4.005,4.505,4.0,4.0,0.5371,678022,Jack Perkins,R,1.15,0.6343,0.3175,1.5,LESS,0.9738,-3717,84,91,0.2115,0.3175,0.0,0.7087,0.2651,0.0262,0.0,0.0,0.2913,0.0262,0.0,0.2913,0.7087,0.0262,0.9738,0.0,1.0,0.0,1.0,353,35,0.0992,1314,528,60,0.1136,0.2527,0.2721,0.8864,0.9733,0.1224,5,2,16,0.4,0.125,0.4,0.0,10,4,33,0.4,0.1212,0.3,0.1,15,6,49,0.4,0.1224,0.3333,0.0667,275,23,0.0836,0.1106,0.2416,0.2588,0.8894,6,1,0.1667,0.2181,22,0.1,0.1138,0.2273,0.2761,0.3333,0.9,1.0,0.3333,33.0,0.5,0.0,395,97,0.2456,0.2458,0.2846,0.2395,90.9453,0.1021,0.2491,0.0931,0.106,1.0,4-Seam,0.2801,0.0375,94.5474,1.5,263,114,4,0.0351,0.0508,VELO_BAND_1.5,0.135,0.1407,0.1333,0.0952,0.2414,0.1523,0.1513,0.2109,0.1544,0.2115,0.2032,0.1523,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.5,0.4,0.5,,,,,1.0,0.115,0.0,0.225,4-Seam,0.2801,95.6233,0.1518,0.2471,Sweeper,0.273,86.2294,0.348,0.3886,Changeup,0.1792,89.2657,0.3615,0.2852,Cutter,0.1527,92.4936,0.1327,0.2203,Sinker,0.053,94.7768,0.1591,0.2195,Slider,0.0336,86.1404,0.25,0.2308,97.4,70.9,26.5,2.6,0.0,0.0,29.1,2.6,0.0,29.1,70.9,2.6,97.4,0.0,100.0,0.0,100.0,9.9,11.4,25.3,27.2,88.6,97.3,12.2,12.5,12.1,12.2,40.0,30.0,33.3,0.0,10.0,6.7,8.4,11.1,24.2,25.9,88.9,16.7,21.8,10.0,11.4,22.7,27.6,33.3,90.0,100.0,33.3,50.0,0.0,24.6,24.6,28.5,24.0,10.2,24.9,9.3,10.6,100.0,28.0,3.8,14.1,13.3,9.5,24.1,15.2,15.1,21.1,15.4,21.2,20.3,15.2,21.2,57.1,3.5,,,,,2.0,0.0,0.0,0.225,8.0,0.115,0.375,0.0,,,,,,,,,,,,,,,,,
2,2026-09-15,822925,2026-09-15T22:40:00Z,Scheduled,TB,ATH,663611,Nick Madrigal,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.505,7.505,8.0,2.0,0.3429,678022,Jack Perkins,R,1.15,0.6343,0.3205,1.5,LESS,0.9737,-3699,67,86,0.2115,0.3205,0.0,0.7058,0.2678,0.0263,0.0,0.0,0.2942,0.0263,0.0,0.2942,0.7058,0.0263,0.9737,0.0,1.0,0.0,1.0,60,3,0.05,231,115,8,0.0696,0.2121,0.3063,0.9304,0.963,0.0408,5,1,17,0.2,0.0588,0.2,0.0,10,1,38,0.1,0.0263,0.1,0.0,15,2,53,0.1333,0.0377,0.1333,0.0,41,2,0.0488,0.1013,0.2258,0.3289,0.8987,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,395,97,0.2456,0.2458,0.2846,0.2395,90.9453,0.0949,0.2602,0.0782,0.1586,1.0,4-Seam,0.2801,0.0625,94.5474,1.5,47,27,1,0.037,0.0767,VELO_BAND_1.5,0.0,0.1571,0.1048,0.1171,0.2414,0.1761,0.1571,0.1496,0.1573,0.2115,0.2122,0.1577,,,,,,,,,,,,,,,,,,,,,4-Seam,0.2801,95.6233,0.1518,0.2471,Sweeper,0.273,86.2294,0.348,0.3886,Changeup,0.1792,89.2657,0.3615,0.2852,Cutter,0.1527,92.4936,0.1327,0.2203,Sinker,0.053,94.7768,0.1591,0.2195,Slider,0.0336,86.1404,0.25,0.2308,97.4,70.6,26.8,2.6,0.0,0.0,29.4,2.6,0.0,29.4,70.6,2.6,97.4,0.0,100.0,0.0,100.0,5.0,7.0,21.2,30.6,93.0,96.3,4.1,5.9,2.6,3.8,20.0,10.0,13.3,0.0,0.0,0.0,4.9,10.1,22.6,32.9,89.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,24.6,24.6,28.5,24.0,9.5,26.0,7.8,15.9,100.0,28.0,6.2,15.7,10.5,11.7,24.1,17.6,15.7,15.0,15.7,21.2,21.2,15.8,21.2,28.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-15,823007,2026-09-15T23:45:00Z,Scheduled,STL,SF,665877,José Fermín,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,1.515,3.2575,1.0,3.0,0.5371,694918,Blade Tidwell,R,1.15,0.78,0.3354,1.5,LESS,0.9685,-3077,73,87,0.1959,0.3354,0.0,0.6962,0.2723,0.0314,0.0001,0.0,0.3038,0.0315,0.0001,0.3038,0.6962,0.0315,0.9685,0.0001,0.9999,0.0,1.0,286,34,0.1189,1163,474,49,0.1034,0.2614,0.2265,0.8966,0.9306,0.0755,5,4,18,0.8,0.2222,0.6,0.2,10,5,36,0.5,0.1389,0.4,0.1,15,11,57,0.7333,0.193,0.6,0.1333,165,23,0.1394,0.1073,0.2674,0.2215,0.8927,2,1,0.5,0.2367,6,0.0,0.1122,0.1667,0.2794,0.0,1.0,1.0,0.115,5.0,1.0,0.0,150,28,0.1867,0.1673,0.2476,0.1633,88.9267,0.1044,0.268,0.0722,0.1589,1.0,Sweeper,0.3131,0.129,94.2128,1.5,271,130,11,0.0846,0.09,VELO_BAND_1.5,0.045,0.1552,0.1618,0.1441,0.202,0.183,0.1585,0.147,0.1723,0.1959,0.1842,0.1666,2.0,0.0,0.0,0.225,3.0,0.0,0.3333,0.5,,,,,,,,,,,,,Sweeper,0.3131,82.3291,0.2935,0.3112,4-Seam,0.3035,94.9442,0.0972,0.2526,Sinker,0.1949,93.0738,0.0727,0.2459,Slider,0.0911,88.4404,0.1481,0.1404,Changeup,0.0495,83.2839,0.0,0.0645,Curve,0.0463,83.6345,0.2143,0.2069,96.9,69.6,27.2,3.1,0.0,0.0,30.4,3.1,0.0,30.4,69.6,3.1,96.9,0.0,100.0,0.0,100.0,11.9,10.3,26.1,22.7,89.7,93.1,7.5,22.2,13.9,19.3,60.0,40.0,60.0,20.0,10.0,13.3,13.9,10.7,26.7,22.2,89.3,50.0,23.7,0.0,11.2,16.7,27.9,0.0,100.0,100.0,11.5,100.0,0.0,18.7,16.7,24.8,16.3,10.4,26.8,7.2,15.9,100.0,31.3,12.9,15.5,16.2,14.4,20.2,18.3,15.8,14.7,17.2,19.6,18.4,16.7,19.6,57.1,8.5,,,,,,,,,1.0,0.115,0.0,0.225,,,,,,,,,,,,,,,,,
4,2026-09-15,825030,2026-09-16T01:40:00Z,Scheduled,MIA,AZ,669364,Xavier Edwards,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,5.0,5.0,5.0,2.0,0.1771,647336,Michael Soroka,R,1.15,0.7546,0.3637,1.5,LESS,0.9656,-2810,77,89,0.1843,0.3637,0.0,0.6707,0.2949,0.0343,0.0,0.0,0.3293,0.0344,0.0,0.3293,0.6707,0.0344,0.9656,0.0,1.0,0.0,1.0,379,55,0.1451,1479,679,113,0.1664,0.2339,0.2569,0.8336,0.8903,0.1514,5,2,19,0.4,0.1053,0.2,0.2,10,5,41,0.5,0.122,0.3,0.2,15,8,64,0.5333,0.125,0.3333,0.2,280,40,0.1429,0.1647,0.2345,0.2636,0.8353,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,201,40,0.199,0.164,0.228,0.2197,87.5307,0.136,0.2625,0.1168,0.1642,0.6824,4-Seam,0.3172,0.1632,92.2813,1.5,210,106,14,0.1321,0.1285,VELO_BAND_1.5,0.0,0.1791,0.1498,0.1501,0.2076,0.2034,0.1791,0.2624,0.2353,0.1843,0.2033,0.1837,,,,,,,,,,,,,,,,,,,,,4-Seam,0.3172,93.3174,0.1278,0.1818,SV,0.3159,80.5618,0.3143,0.3237,Changeup,0.1402,85.8776,0.0755,0.1308,Cutter,0.1048,88.5287,0.1333,0.2375,Sinker,0.1035,92.9076,0.06,0.2278,Sweeper,0.0157,83.2583,0.1429,0.0833,96.6,67.1,29.5,3.4,0.0,0.0,32.9,3.4,0.0,32.9,67.1,3.4,96.6,0.0,100.0,0.0,100.0,14.5,16.6,23.4,25.7,83.4,89.0,15.1,10.5,12.2,12.5,20.0,30.0,33.3,20.0,20.0,20.0,14.3,16.5,23.5,26.4,83.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,19.9,16.4,22.8,22.0,13.6,26.2,11.7,16.4,68.2,31.7,16.3,17.9,15.0,15.0,20.8,20.3,17.9,26.2,23.5,18.4,20.3,18.4,18.4,14.3,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-15,824466,2026-09-15T22:40:00Z,Scheduled,LAD,CIN,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.01,6.01,8.01,4.0,0.3829,695076,Rhett Lowder,R,1.15,0.713,0.3583,1.5,LESS,0.9651,-2764,69,86,0.2063,0.3583,0.0,0.6766,0.2884,0.0349,0.0,0.0,0.3234,0.0349,0.0,0.3234,0.6766,0.0349,0.9651,0.0,1.0,0.0,1.0,149,17,0.1141,525,257,37,0.144,0.2229,0.3188,0.856,0.9467,0.137,5,1,9,0.2,0.1111,0.2,0.0,10,4,22,0.4,0.1818,0.4,0.0,15,6,34,0.4,0.1765,0.3333,0.0667,42,5,0.119,0.137,0.1824,0.3415,0.863,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,375,67,0.1787,0.1667,0.2486,0.1573,89.3798,0.1396,0.2363,0.0801,0.1425,1.0,Sinker,0.2838,0.0909,93.6071,1.5,118,65,2,0.0308,0.0561,VELO_BAND_1.5,0.0,0.1704,0.1656,0.1512,0.1884,0.1905,0.1704,0.2123,0.1619,0.2063,0.2251,0.1764,,,,,,,,,,,,,,,,,,,,,Sinker,0.2838,93.3323,0.0538,0.2779,Slider,0.2725,85.155,0.3073,0.2972,Changeup,0.2014,86.6427,0.1849,0.1678,4-Seam,0.1993,93.9986,0.1159,0.2332,Curve,0.038,80.6815,0.0556,0.2037,Sweeper,0.0014,83.15,1.0,0.5,96.5,67.7,28.8,3.5,0.0,0.0,32.3,3.5,0.0,32.3,67.7,3.5,96.5,0.0,100.0,0.0,100.0,11.4,14.4,22.3,31.9,85.6,94.7,13.7,11.1,18.2,17.6,20.0,40.0,33.3,0.0,0.0,6.7,11.9,13.7,18.2,34.1,86.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,17.9,16.7,24.9,15.7,14.0,23.6,8.0,14.3,100.0,28.4,9.1,17.0,16.6,15.1,18.8,19.1,17.0,21.2,16.2,20.6,22.5,17.6,20.6,42.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-15,824307,2026-09-16T00:40:00Z,Scheduled,COL,SD,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.5,7.5,8.0,2.0,0.3086,621111,Walker Buehler,R,1.15,0.78,0.3763,1.5,LESS,0.9631,-2611,71,87,0.2174,0.3763,0.0,0.6607,0.3024,0.0368,0.0001,0.0,0.3393,0.0369,0.0001,0.3393,0.6607,0.0369,0.9631,0.0001,0.9999,0.0,1.0,142,19,0.1338,491,249,28,0.1124,0.2098,0.2974,0.8876,0.9333,0.1111,5,2,15,0.4,0.1333,0.2,0.2,10,6,34,0.6,0.1765,0.4,0.2,15,7,51,0.4667,0.1373,0.3333,0.1333,110,18,0.1636,0.1295,0.2097,0.3242,0.8705,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,409,84,0.2054,0.1919,0.2565,0.1866,90.517,0.1091,0.2509,0.0981,0.1698,0.9437,Cutter,0.254,0.125,92.9004,1.5,99,47,3,0.0638,0.0829,VELO_BAND_1.5,0.0,0.1768,0.1698,0.1687,0.2092,0.1886,0.1768,0.2046,0.1677,0.2174,0.2131,0.1835,,,,,,,,,,,,,,,,,,,,,Cutter,0.254,90.6504,0.1827,0.2494,Sinker,0.2177,94.3551,0.1181,0.3023,4-Seam,0.1986,94.183,0.1484,0.3096,Slider,0.1015,87.2642,0.2396,0.2182,Changeup,0.0978,89.5195,0.3425,0.2075,Sweeper,0.0689,82.5973,0.2333,0.2054,96.3,66.1,30.2,3.7,0.0,0.0,33.9,3.7,0.0,33.9,66.1,3.7,96.3,0.0,100.0,0.0,100.0,13.4,11.2,21.0,29.7,88.8,93.3,11.1,13.3,17.6,13.7,20.0,40.0,33.3,20.0,20.0,13.3,16.4,13.0,21.0,32.4,87.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,20.5,19.2,25.6,18.7,10.9,25.1,9.8,17.0,94.4,25.4,12.5,17.7,17.0,16.9,20.9,18.9,17.7,20.5,16.8,21.7,21.3,18.3,21.7,28.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-15,823980,2026-09-16T01:38:00Z,Scheduled,SEA,LAA,645302,Victor Robles,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,5.01,5.01,3.01,2.0,0.2971,696270,Ryan Johnson,R,1.15,0.7454,0.3741,1.5,LESS,0.963,-2600,71,87,0.2344,0.3741,0.0,0.663,0.3,0.037,0.0001,0.0,0.337,0.037,0.0001,0.337,0.663,0.037,0.963,0.0001,0.9999,0.0,1.0,136,19,0.1397,466,256,52,0.2031,0.2318,0.364,0.7969,0.9091,0.1481,5,0,9,0.0,0.0,0.0,0.0,10,3,31,0.3,0.0968,0.3,0.0,15,5,47,0.3333,0.1064,0.3333,0.0,97,12,0.1237,0.1913,0.2191,0.3699,0.8087,2,0,0.0,0.2154,10,0.1667,0.1175,0.2,0.2785,0.4,0.8333,1.0,0.0,77.0,0.0,0.0,328,58,0.1768,0.2109,0.2691,0.1574,87.2908,0.1293,0.2528,0.11,0.1714,1.0,Cutter,0.3813,0.1333,90.5793,1.5,46,23,2,0.087,0.1024,VELO_BAND_1.5,0.0572,0.1892,0.1385,0.1511,0.1881,0.2015,0.1909,0.2525,0.194,0.2344,0.2503,0.1834,,,,,4.0,0.0,0.0,0.0,,,,,,,,,,,,,Cutter,0.3813,89.6459,0.2045,0.3201,Sweeper,0.2206,80.9326,0.3113,0.3196,Splitter,0.2039,84.9829,0.2679,0.2119,Sinker,0.1911,92.4425,0.0192,0.1746,Slider,0.003,84.35,0.0,0.0,,,,,,96.3,66.3,30.0,3.7,0.0,0.0,33.7,3.7,0.0,33.7,66.3,3.7,96.3,0.0,100.0,0.0,100.0,14.0,20.3,23.2,36.4,79.7,90.9,14.8,0.0,9.7,10.6,0.0,30.0,33.3,0.0,0.0,0.0,12.4,19.1,21.9,37.0,80.9,0.0,21.5,16.7,11.7,20.0,27.8,40.0,83.3,100.0,0.0,0.0,0.0,17.7,21.1,26.9,15.7,12.9,25.3,11.0,17.1,100.0,38.1,13.3,18.9,13.8,15.1,18.8,20.2,19.1,25.2,19.4,23.4,25.0,18.3,23.4,28.6,8.7,,,,,3.0,0.0,0.0,0.0,3.0,1.0,0.6667,0.225,,,,,,,,,,,,,,,,,
8,2026-09-15,823980,2026-09-16T01:38:00Z,Scheduled,LAA,SEA,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,9.0,9.0,9.0,6.0,0.3714,669302,Logan Gilbert,R,1.15,0.78,0.3831,1.5,LESS,0.9614,-2493,70,87,0.2283,0.3831,0.0,0.6556,0.3058,0.0384,0.0001,0.0,0.3444,0.0386,0.0001,0.3444,0.6556,0.0386,0.9614,0.0001,0.9999,0.0,1.0,118,13,0.1102,410,225,36,0.16,0.2366,0.4019,0.84,0.9362,0.1299,5,2,16,0.4,0.125,0.2,0.2,10,3,30,0.3,0.1,0.2,0.1,15,4,47,0.2667,0.0851,0.2,0.0667,89,10,0.1124,0.1667,0.2283,0.4,0.8333,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,457,130,0.2845,0.2857,0.2821,0.2737,90.4995,0.1424,0.2601,0.1378,0.1909,1.0,4-Seam,0.4435,0.1077,96.3649,1.5,87,50,3,0.06,0.0797,VELO_BAND_1.5,0.0,0.176,0.1504,0.1404,0.2738,0.2201,0.176,0.2619,0.1651,0.2283,0.253,0.1914,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4435,96.6893,0.2036,0.2903,Slider,0.263,87.0836,0.3516,0.3195,Splitter,0.1435,82.476,0.4062,0.2167,Changeup,0.0698,86.0992,0.3095,0.2578,Sweeper,0.0475,82.2529,0.4286,0.2529,Cutter,0.0245,91.0933,0.1,0.2889,96.1,65.6,30.6,3.8,0.0,0.0,34.4,3.9,0.0,34.4,65.6,3.9,96.1,0.0,100.0,0.0,100.0,11.0,16.0,23.7,40.2,84.0,93.6,13.0,12.5,10.0,8.5,20.0,20.0,20.0,20.0,10.0,6.7,11.2,16.7,22.8,40.0,83.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,28.4,28.6,28.2,27.4,14.2,26.0,13.8,19.1,100.0,44.4,10.8,17.6,15.0,14.0,27.4,22.0,17.6,26.2,16.5,22.8,25.3,19.1,22.8,42.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-15,824384,2026-09-15T22:40:00Z,Scheduled,CLE,CWS,800050,Chase DeLauter,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,2.5,2.5,3.0,1.0,0.6057,663436,Davis Martin,R,1.15,0.7685,0.3837,1.5,LESS,0.96,-2398,81,90,0.217,0.3837,0.0,0.6564,0.3036,0.04,0.0,0.0,0.3436,0.04,0.0,0.3436,0.6564,0.04,0.96,0.0,1.0,0.0,1.0,338,59,0.1746,1321,572,82,0.1434,0.2294,0.2302,0.8566,0.9199,0.1905,5,2,23,0.4,0.087,0.4,0.0,10,5,42,0.5,0.119,0.4,0.1,15,10,57,0.6667,0.1754,0.4667,0.2,229,33,0.1441,0.121,0.2137,0.2096,0.879,3,0,0.0,0.2109,9,0.0,0.1122,0.2222,0.2806,0.0,1.0,1.0,0.115,36.0,0.0,0.0,357,56,0.1569,0.1907,0.2362,0.1645,89.8445,0.1387,0.2509,0.18,0.1948,1.0,4-Seam,0.2664,0.1082,92.5241,1.5,244,105,12,0.1143,0.1144,VELO_BAND_1.5,0.066,0.196,0.1544,0.1563,0.1718,0.2185,0.1973,0.3488,0.2184,0.217,0.19,0.1915,4.0,0.0,0.5,0.0,1.0,0.115,0.0,0.0,3.0,0.115,0.0,0.225,1.0,0.0,0.0,0.0,,,,,4-Seam,0.2664,93.7011,0.1796,0.221,Sinker,0.2075,92.7078,0.0567,0.1879,Curve,0.1553,81.5412,0.3974,0.2986,Cutter,0.1236,89.6798,0.2706,0.3393,Changeup,0.1148,89.875,0.0921,0.1731,Slider,0.1096,86.9678,0.2169,0.2013,96.0,65.6,30.4,4.0,0.0,0.0,34.4,4.0,0.0,34.4,65.6,4.0,96.0,0.0,100.0,0.0,100.0,17.5,14.3,22.9,23.0,85.7,92.0,19.0,8.7,11.9,17.5,40.0,40.0,46.7,0.0,10.0,20.0,14.4,12.1,21.4,21.0,87.9,0.0,21.1,0.0,11.2,22.2,28.1,0.0,100.0,100.0,11.5,0.0,0.0,15.7,19.1,23.6,16.5,13.9,25.1,18.0,19.5,100.0,26.6,10.8,19.6,15.4,15.6,17.2,21.8,19.7,34.9,21.8,21.7,19.0,19.2,21.7,57.1,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-15,822683,2026-09-15T22:45:00Z,Scheduled,PHI,WSH,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,3.01,3.01,3.01,3.0,0.1657,800600,Jackson Kent,L,1.15,0.78,0.3822,1.5,LESS,0.9594,-2365,60,84,0.203,0.3822,0.0,0.6585,0.3009,0.0404,0.0001,0.0,0.3415,0.0406,0.0001,0.3415,0.6585,0.0406,0.9594,0.0001,0.9999,0.0,1.0,37,3,0.0811,151,80,11,0.1375,0.2318,0.3418,0.8625,0.9057,0.0556,5,1,11,0.2,0.0909,0.2,0.0,10,2,24,0.2,0.0833,0.2,0.0,14,3,37,0.2143,0.0811,0.2143,0.0,13,2,0.1538,0.1364,0.2955,0.375,0.8636,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,129,23,0.1783,0.2255,0.2418,0.2045,88.1346,0.1218,0.2643,0.0869,0.1829,1.0,4-Seam,0.3133,0.1081,93.0309,1.5,30,16,2,0.125,0.1186,VELO_BAND_1.5,0.0,0.1912,0.1562,0.1854,0.1987,0.2047,0.1912,0.1582,0.2049,0.203,0.2334,0.1883,,,,,,,,,,,,,,,,,,,,,4-Seam,0.3133,93.1062,0.0822,0.1975,Changeup,0.2147,85.4604,0.3704,0.2252,Slider,0.1779,86.9685,0.2642,0.2609,Curve,0.1567,79.0395,0.36,0.3086,Sinker,0.1373,92.8592,0.1333,0.2676,,,,,,95.9,65.9,30.1,4.0,0.0,0.0,34.1,4.1,0.0,34.1,65.9,4.1,95.9,0.0,100.0,0.0,100.0,8.1,13.8,23.2,34.2,86.2,90.6,5.6,9.1,8.3,8.1,20.0,20.0,21.4,0.0,0.0,0.0,15.4,13.6,29.5,37.5,86.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,17.8,22.6,24.2,20.5,12.2,26.4,8.7,18.3,100.0,31.3,10.8,19.1,15.6,18.5,19.9,20.5,19.1,15.8,20.5,20.3,23.3,18.8,20.3,14.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
