rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-16,822926,2026-09-16T22:40:00Z,Scheduled,TB,ATH,663611,Nick Madrigal,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.505,7.505,8.0,3.0,0.32,669620,Brady Basso,L,1.15,0.42,0.334,1.5,LESS,0.9715,-3411,62,84,0.2121,0.334,0.0,0.6945,0.277,0.0285,0.0,0.0,0.3055,0.0285,0.0,0.3055,0.6945,0.0285,0.9715,0.0,1.0,0.0,1.0,60,3,0.05,231,115,8,0.0696,0.2121,0.3063,0.9304,0.963,0.0408,5,1,17,0.2,0.0588,0.2,0.0,10,1,38,0.1,0.0263,0.1,0.0,15,2,53,0.1333,0.0377,0.1333,0.0,19,1,0.0526,0.0,0.1842,0.2571,1.0,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,148,27,0.1824,0.1845,0.2519,0.1978,87.6044,0.0906,0.2537,0.0728,0.1374,1.0,4-Seam,0.4417,0.0625,92.0182,1.5,48,24,1,0.0417,0.0812,VELO_BAND_1.5,0.0,0.1571,0.1048,0.1348,0.1996,0.1619,0.1571,0.1463,0.1579,0.2121,0.2122,0.1536,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4417,92.54,0.1328,0.2638,Curve,0.1898,77.4257,0.3947,0.3168,Slider,0.1748,83.7796,0.2182,0.2366,Cutter,0.0827,88.8591,0.087,0.2273,Sinker,0.0752,92.4275,0.0909,0.125,Changeup,0.0226,87.025,0.25,0.0833,97.2,69.4,27.7,2.8,0.0,0.0,30.6,2.8,0.0,30.6,69.4,2.8,97.2,0.0,100.0,0.0,100.0,5.0,7.0,21.2,30.6,93.0,96.3,4.1,5.9,2.6,3.8,20.0,10.0,13.3,0.0,0.0,0.0,5.3,0.0,18.4,25.7,100.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,18.2,18.5,25.2,19.8,9.1,25.4,7.3,13.7,100.0,44.2,6.2,15.7,10.5,13.5,20.0,16.2,15.7,14.6,15.8,21.2,21.2,15.4,21.2,28.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-16,822926,2026-09-16T22:40:00Z,Scheduled,TB,ATH,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,4.0,4.67,4.0,5.0,0.3943,669620,Brady Basso,L,1.15,0.42,0.3309,1.5,LESS,0.9704,-3278,72,87,0.2121,0.3309,0.0,0.6988,0.2716,0.0295,0.0001,0.0,0.3012,0.0296,0.0001,0.3012,0.6988,0.0296,0.9704,0.0001,0.9999,0.0,1.0,348,35,0.1006,1301,521,59,0.1132,0.2537,0.2719,0.8868,0.9729,0.1224,5,2,16,0.4,0.125,0.4,0.0,10,4,33,0.4,0.1212,0.3,0.1,15,6,49,0.4,0.1224,0.3333,0.0667,77,12,0.1558,0.1273,0.2967,0.3233,0.8727,1,0,0.0,0.2201,2,0.0,0.114,0.0,0.2803,0.0,1.0,1.0,0.115,35.0,0.0,0.0,148,27,0.1824,0.1845,0.2519,0.1978,87.6044,0.0962,0.2678,0.0969,0.1428,1.0,4-Seam,0.4417,0.0377,92.0182,1.5,201,81,2,0.0247,0.0479,VELO_BAND_1.5,0.0189,0.1418,0.134,0.1491,0.1996,0.1702,0.1433,0.2145,0.1539,0.2121,0.2031,0.1588,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4-Seam,0.4417,92.54,0.1328,0.2638,Curve,0.1898,77.4257,0.3947,0.3168,Slider,0.1748,83.7796,0.2182,0.2366,Cutter,0.0827,88.8591,0.087,0.2273,Sinker,0.0752,92.4275,0.0909,0.125,Changeup,0.0226,87.025,0.25,0.0833,97.0,69.9,27.2,3.0,0.0,0.0,30.1,3.0,0.0,30.1,69.9,3.0,97.0,0.0,100.0,0.0,100.0,10.1,11.3,25.4,27.2,88.7,97.3,12.2,12.5,12.1,12.2,40.0,30.0,33.3,0.0,10.0,6.7,15.6,12.7,29.7,32.3,87.3,0.0,22.0,0.0,11.4,0.0,28.0,0.0,100.0,100.0,11.5,0.0,0.0,18.2,18.5,25.2,19.8,9.6,26.8,9.7,14.3,100.0,44.2,3.8,14.2,13.4,14.9,20.0,17.0,14.3,21.5,15.4,21.2,20.3,15.9,21.2,42.9,2.5,,,,,1.0,0.115,0.0,0.225,,,,,,,,,,,,,,,,,
3,2026-09-16,823332,2026-09-16T22:40:00Z,Scheduled,MIL,PIT,686217,Sal Frelick,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,5.505,4.755,1.01,3.0,0.5714,683003,Jared Jones,R,1.15,0.713,0.3414,1.5,LESS,0.9692,-3147,74,88,0.2385,0.3414,0.0,0.6896,0.2796,0.0307,0.0001,0.0,0.3104,0.0308,0.0001,0.3104,0.6896,0.0308,0.9692,0.0001,0.9999,0.0,1.0,193,18,0.0933,724,317,25,0.0789,0.2486,0.2635,0.9211,0.964,0.0692,5,2,17,0.4,0.1176,0.4,0.0,10,5,34,0.5,0.1471,0.4,0.1,15,8,53,0.5333,0.1509,0.4,0.1333,150,16,0.1067,0.0784,0.2496,0.2768,0.9216,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,358,100,0.2793,0.2947,0.2953,0.2925,93.7458,0.1052,0.2653,0.1012,0.1365,1.0,4-Seam,0.4622,0.0762,98.2827,1.5,70,33,0,0.0,0.0528,VELO_BAND_1.5,0.0,0.1429,0.14,0.1182,0.2675,0.1719,0.1429,0.1721,0.1508,0.2385,0.1962,0.1619,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4622,98.2827,0.193,0.2469,Slider,0.3502,89.7198,0.3849,0.3666,Changeup,0.1141,92.8975,0.3944,0.2438,Curve,0.0735,85.7126,0.3488,0.3398,,,,,,,,,,,96.9,69.0,28.0,3.1,0.0,0.0,31.0,3.1,0.0,31.0,69.0,3.1,96.9,0.0,100.0,0.0,100.0,9.3,7.9,24.9,26.3,92.1,96.4,6.9,11.8,14.7,15.1,40.0,40.0,40.0,0.0,10.0,13.3,10.7,7.8,25.0,27.7,92.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,27.9,29.5,29.5,29.2,10.5,26.5,10.1,13.6,100.0,46.2,7.6,14.3,14.0,11.8,26.7,17.2,14.3,17.2,15.1,23.9,19.6,16.2,23.9,57.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-16,823004,2026-09-16T17:15:00Z,Scheduled,STL,SF,665877,José Fermín,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,5.0,5.0,9.0,1.0,0.5714,683627,Anthony Molina,R,1.15,0.5432,0.3427,1.5,LESS,0.9687,-3093,71,87,0.1956,0.3427,0.0,0.6887,0.28,0.0312,0.0001,0.0,0.3113,0.0313,0.0001,0.3113,0.6887,0.0313,0.9687,0.0001,0.9999,0.0,1.0,286,34,0.1189,1163,474,49,0.1034,0.2614,0.2265,0.8966,0.9306,0.0755,5,4,18,0.8,0.2222,0.6,0.2,10,5,36,0.5,0.1389,0.4,0.1,15,11,57,0.7333,0.193,0.6,0.1333,165,23,0.1394,0.1073,0.2674,0.2215,0.8927,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,88,19,0.2159,0.2186,0.2443,0.2029,91.1103,0.1198,0.262,0.0952,0.1451,1.0,4-Seam,0.4799,0.093,96.1548,1.5,198,102,7,0.0686,0.0786,VELO_BAND_1.5,0.0,0.1552,0.1618,0.1441,0.2207,0.1842,0.1552,0.167,0.157,0.1956,0.1842,0.1693,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4799,96.1605,0.1789,0.2216,Changeup,0.2241,87.1282,0.1842,0.1538,Curve,0.1408,84.3388,0.2593,0.2653,Slider,0.1264,87.8386,0.3125,0.4091,SV,0.0259,84.3222,0.5714,0.4444,Sinker,0.0029,95.2,0.115,1.0,96.9,68.9,28.0,3.1,0.0,0.0,31.1,3.1,0.0,31.1,68.9,3.1,96.9,0.0,100.0,0.0,100.0,11.9,10.3,26.1,22.7,89.7,93.1,7.5,22.2,13.9,19.3,60.0,40.0,60.0,20.0,10.0,13.3,13.9,10.7,26.7,22.2,89.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,21.6,21.9,24.4,20.3,12.0,26.2,9.5,14.5,100.0,48.0,9.3,15.5,16.2,14.4,22.1,18.4,15.5,16.7,15.7,19.6,18.4,16.9,19.6,57.1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-16,824467,2026-09-16T22:40:00Z,Scheduled,LAD,CIN,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,4.51,4.51,8.01,5.0,0.2514,671096,Andrew Abbott,L,1.15,0.78,0.354,1.5,LESS,0.9661,-2852,71,87,0.2061,0.354,0.0,0.68,0.2862,0.0338,0.0,0.0,0.32,0.0339,0.0,0.32,0.68,0.0339,0.9661,0.0,1.0,0.0,1.0,152,17,0.1118,531,261,37,0.1418,0.2203,0.3165,0.8582,0.948,0.137,5,1,10,0.2,0.1,0.2,0.0,10,4,22,0.4,0.1818,0.4,0.0,15,4,32,0.2667,0.125,0.2667,0.0,110,12,0.1091,0.1436,0.235,0.3061,0.8564,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,454,85,0.1872,0.2026,0.2588,0.1718,87.4636,0.1206,0.2404,0.1238,0.1614,1.0,4-Seam,0.4378,0.0519,92.0724,1.5,83,42,3,0.0714,0.0889,VELO_BAND_1.5,0.0,0.1684,0.1629,0.1322,0.194,0.1895,0.1684,0.2551,0.1716,0.2061,0.2239,0.1751,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4378,92.3803,0.1209,0.2624,Sweeper,0.198,82.2741,0.2626,0.2507,Changeup,0.1935,86.2484,0.3012,0.2421,Curve,0.1227,79.7382,0.1944,0.2727,Cutter,0.0418,88.8507,0.2222,0.28,,,,,,96.6,68.0,28.6,3.4,0.0,0.0,32.0,3.4,0.0,32.0,68.0,3.4,96.6,0.0,100.0,0.0,100.0,11.2,14.2,22.0,31.7,85.8,94.8,13.7,10.0,18.2,12.5,20.0,40.0,26.7,0.0,0.0,0.0,10.9,14.4,23.5,30.6,85.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,18.7,20.3,25.9,17.2,12.1,24.0,12.4,16.1,100.0,43.8,5.2,16.8,16.3,13.2,19.4,18.9,16.8,25.5,17.2,20.6,22.4,17.5,20.6,28.6,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-16,823979,2026-09-17T01:38:00Z,Scheduled,LAA,SEA,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,9.0,9.0,9.0,0.0,0.2971,669923,George Kirby,R,1.15,0.78,0.3696,1.5,LESS,0.9636,-2650,69,86,0.2286,0.3696,0.0,0.667,0.2967,0.0362,0.0002,0.0,0.333,0.0364,0.0002,0.333,0.667,0.0364,0.9636,0.0002,0.9998,0.0,1.0,118,13,0.1102,410,225,36,0.16,0.2366,0.4019,0.84,0.9362,0.1299,5,2,16,0.4,0.125,0.2,0.2,10,3,30,0.3,0.1,0.2,0.1,15,4,47,0.2667,0.0851,0.2,0.0667,89,10,0.1124,0.1667,0.2283,0.4,0.8333,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,446,86,0.1928,0.2138,0.2641,0.21,91.9155,0.1292,0.268,0.1408,0.1979,0.891,Sweeper,0.2884,0.2353,96.397,1.5,87,50,3,0.06,0.0797,VELO_BAND_1.5,0.0,0.176,0.1504,0.1404,0.1987,0.2171,0.176,0.2648,0.1651,0.2286,0.253,0.1828,,,,,,,,,,,,,,,,,,,,,Sweeper,0.2884,87.7,0.2383,0.2695,4-Seam,0.2659,96.661,0.2235,0.2443,Sinker,0.2101,96.8263,0.1086,0.2775,Knuckle Curve,0.1087,84.319,0.2469,0.3296,Cutter,0.0461,92.9211,0.3333,0.2763,Changeup,0.0401,88.8788,0.2647,0.197,96.4,66.7,29.7,3.6,0.0,0.0,33.3,3.6,0.0,33.3,66.7,3.6,96.4,0.0,100.0,0.0,100.0,11.0,16.0,23.7,40.2,84.0,93.6,13.0,12.5,10.0,8.5,20.0,20.0,20.0,20.0,10.0,6.7,11.2,16.7,22.8,40.0,83.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,19.3,21.4,26.4,21.0,12.9,26.8,14.1,19.8,89.1,28.8,23.5,17.6,15.0,14.0,19.9,21.7,17.6,26.5,16.5,22.9,25.3,18.3,22.9,28.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-16,825031,2026-09-17T01:40:00Z,Scheduled,MIA,AZ,669364,Xavier Edwards,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,4.0,4.0,3.0,1.0,0.32,518876,Merrill Kelly,R,1.15,0.78,0.376,1.5,LESS,0.9614,-2488,84,91,0.1857,0.376,0.0,0.6628,0.2986,0.0386,0.0001,0.0,0.3372,0.0386,0.0001,0.3372,0.6628,0.0386,0.9614,0.0001,0.9999,0.0,1.0,380,57,0.15,1483,682,117,0.1716,0.236,0.2579,0.8284,0.8866,0.1575,5,4,20,0.8,0.2,0.4,0.4,10,7,42,0.7,0.1667,0.4,0.3,15,10,64,0.6667,0.1562,0.4,0.2667,282,42,0.1489,0.1713,0.2369,0.2644,0.8287,3,0,0.0,0.2109,7,0.2,0.1184,0.2857,0.285,0.8333,0.8,0.825,0.0,96.0,0.0,0.0,507,79,0.1558,0.1826,0.23,0.1792,89.3994,0.1798,0.2581,0.1464,0.1663,0.9989,4-Seam,0.2834,0.1632,91.956,1.5,195,98,16,0.1633,0.1525,VELO_BAND_1.5,0.0587,0.1824,0.181,0.1556,0.1672,0.2294,0.1845,0.2973,0.2711,0.1857,0.2043,0.191,2.0,1.0,0.5,0.225,1.0,0.0,0.0,0.225,2.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,,,,,4-Seam,0.2834,92.2239,0.1046,0.2486,Changeup,0.2775,88.5956,0.2871,0.2173,Cutter,0.1238,91.0116,0.093,0.2112,Curve,0.1201,82.7276,0.1842,0.2933,Sinker,0.103,92.3539,0.051,0.1762,Slider,0.0907,86.3,0.314,0.2176,96.1,66.3,29.9,3.9,0.0,0.0,33.7,3.9,0.0,33.7,66.3,3.9,96.1,0.0,100.0,0.0,100.0,15.0,17.2,23.6,25.8,82.8,88.7,15.7,20.0,16.7,15.6,40.0,40.0,40.0,40.0,30.0,26.7,14.9,17.1,23.7,26.4,82.9,0.0,21.1,20.0,11.8,28.6,28.5,83.3,80.0,82.5,0.0,0.0,0.0,15.6,18.3,23.0,17.9,18.0,25.8,14.6,16.6,99.9,28.3,16.3,18.2,18.1,15.6,16.7,22.9,18.5,29.7,27.1,18.6,20.4,19.1,18.6,28.6,16.3,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
8,2026-09-16,822680,2026-09-16T22:45:00Z,Scheduled,PHI,WSH,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,3.01,3.01,3.01,4.0,0.1543,688692,Jared Simpson,L,1.15,0.42,0.3852,1.5,LESS,0.9598,-2390,58,83,0.2027,0.3852,0.0,0.655,0.3048,0.0401,0.0,0.0,0.345,0.0402,0.0,0.345,0.655,0.0402,0.9598,0.0,1.0,0.0,1.0,37,3,0.0811,151,80,11,0.1375,0.2318,0.3418,0.8625,0.9057,0.0556,5,1,11,0.2,0.0909,0.2,0.0,10,2,24,0.2,0.0833,0.2,0.0,14,3,37,0.2143,0.0811,0.2143,0.0,13,2,0.1538,0.1364,0.2955,0.375,0.8636,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,14,4,0.2857,0.1923,0.2537,0.2,91.7507,0.1147,0.268,0.0792,0.1694,1.0,4-Seam,0.4925,0.1081,94.368,1.5,36,18,1,0.0556,0.0917,VELO_BAND_1.5,0.0,0.1912,0.1562,0.1854,0.2325,0.1944,0.1912,0.1506,0.1868,0.2027,0.2334,0.1899,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4925,94.4758,0.2143,0.303,Sinker,0.2537,94.1588,0.25,0.2941,Splitter,0.1642,84.4545,0.0,0.0,Slider,0.0896,83.3167,0.3333,0.3333,,,,,,,,,,,96.0,65.5,30.5,4.0,0.0,0.0,34.5,4.0,0.0,34.5,65.5,4.0,96.0,0.0,100.0,0.0,100.0,8.1,13.8,23.2,34.2,86.2,90.6,5.6,9.1,8.3,8.1,20.0,20.0,21.4,0.0,0.0,0.0,15.4,13.6,29.5,37.5,86.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,28.6,19.2,25.4,20.0,11.5,26.8,7.9,16.9,100.0,49.3,10.8,19.1,15.6,18.5,23.2,19.4,19.1,15.1,18.7,20.3,23.3,19.0,20.3,14.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-16,824382,2026-09-16T17:10:00Z,Scheduled,CWS,CLE,700337,Edgar Quero,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,6.51,6.51,4.01,6.0,0.2286,800048,Parker Messick,L,1.15,0.78,0.3909,1.5,LESS,0.9597,-2380,69,86,0.252,0.3909,0.0,0.6495,0.3102,0.0402,0.0001,0.0,0.3505,0.0403,0.0001,0.3505,0.6495,0.0403,0.9597,0.0001,0.9999,0.0,1.0,108,15,0.1389,407,204,26,0.1275,0.1818,0.233,0.8725,0.9295,0.1408,5,1,12,0.2,0.0833,0.2,0.0,10,2,31,0.2,0.0645,0.2,0.0,15,3,49,0.2,0.0612,0.2,0.0,52,6,0.1154,0.0918,0.1585,0.236,0.9082,3,0,0.0,0.2109,7,0.2,0.1184,0.2857,0.285,0.5,0.8,0.75,0.0,39.0,0.0,0.0,480,120,0.25,0.2272,0.2666,0.2545,90.6714,0.1242,0.2238,0.1381,0.1842,1.0,4-Seam,0.4595,0.1444,93.9104,1.5,112,58,6,0.1034,0.1072,VELO_BAND_1.5,0.0587,0.1864,0.1414,0.1561,0.2457,0.2004,0.1883,0.2728,0.2016,0.252,0.1893,0.1903,4.0,0.3333,0.25,0.0,3.0,0.0,0.3333,0.0,,,,,,,,,,,,,4-Seam,0.4595,94.4821,0.2466,0.3091,Changeup,0.2252,86.1344,0.2877,0.2,Sinker,0.1569,92.8696,0.0733,0.2331,Curve,0.0774,79.4055,0.0833,0.3151,Slider,0.0514,86.9691,0.3143,0.2474,Cutter,0.027,90.2314,0.4375,0.2157,96.0,65.0,31.0,4.0,0.0,0.0,35.0,4.0,0.0,35.0,65.0,4.0,96.0,0.0,100.0,0.0,100.0,13.9,12.7,18.2,23.3,87.3,92.9,14.1,8.3,6.5,6.1,20.0,20.0,20.0,0.0,0.0,0.0,11.5,9.2,15.8,23.6,90.8,0.0,21.1,20.0,11.8,28.6,28.5,50.0,80.0,75.0,0.0,0.0,0.0,25.0,22.7,26.7,25.4,12.4,22.4,13.8,18.4,100.0,45.9,14.4,18.6,14.1,15.6,24.6,20.0,18.8,27.3,20.2,25.2,18.9,19.0,25.2,28.6,10.3,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-16,822846,2026-09-17T00:05:00Z,Scheduled,TEX,BOS,670032,Nicky Lopez,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,6.34,3.01,3.0,0.4286,687562,Jake Bennett,L,1.15,0.78,0.4007,1.5,LESS,0.9591,-2346,73,87,0.2326,0.4007,0.0,0.6404,0.3187,0.0407,0.0002,0.0,0.3596,0.0409,0.0002,0.3596,0.6404,0.0409,0.9591,0.0002,0.9998,0.0,1.0,242,38,0.157,881,456,73,0.1601,0.2418,0.3295,0.8399,0.8882,0.1657,5,2,12,0.4,0.1667,0.4,0.0,10,2,20,0.2,0.1,0.2,0.0,15,3,27,0.2,0.1111,0.2,0.0,56,7,0.125,0.1019,0.2163,0.3434,0.8981,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,376,79,0.2101,0.2141,0.2608,0.1991,88.699,0.1418,0.2504,0.1345,0.1604,1.0,4-Seam,0.3615,0.1488,92.2808,1.5,179,97,12,0.1237,0.1218,VELO_BAND_1.5,0.0,0.1903,0.1712,0.1613,0.2132,0.203,0.1903,0.2936,0.2262,0.2326,0.2312,0.1957,,,,,,,,,,,,,,,,,,,,,4-Seam,0.3615,92.8974,0.1737,0.2447,Changeup,0.2623,83.5724,0.305,0.2639,Sinker,0.2308,92.5517,0.0993,0.3,Sweeper,0.0769,79.547,0.3333,0.22,Cutter,0.04,85.1442,0.3667,0.3462,Curve,0.0215,78.6679,0.1818,0.1429,95.9,64.0,31.9,4.1,0.0,0.0,36.0,4.1,0.0,36.0,64.0,4.1,95.9,0.0,100.0,0.0,100.0,15.7,16.0,24.2,32.9,84.0,88.8,16.6,16.7,10.0,11.1,40.0,20.0,20.0,0.0,0.0,0.0,12.5,10.2,21.6,34.3,89.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,21.0,21.4,26.1,19.9,14.2,25.0,13.4,16.0,100.0,36.2,14.9,19.0,17.1,16.1,21.3,20.3,19.0,29.4,22.6,23.3,23.1,19.6,23.3,42.9,12.4,,,,,,,,,,,,,,,,,,,,,,,,,
