rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-18,823005,2026-09-19T00:15:00Z,Scheduled,WSH,STL,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,7.0,7.0067,7.0,5.0,0.4057,681517,Kyle Leahy,R,1.15,0.713,0.3163,1.5,LESS,0.9743,-3788,76,88,0.2073,0.3163,0.0,0.7095,0.2648,0.0256,0.0001,0.0,0.2905,0.0257,0.0001,0.2905,0.7095,0.0257,0.9743,0.0001,0.9999,0.0,1.0,239,21,0.0879,738,403,49,0.1216,0.1992,0.3921,0.8784,0.9488,0.1453,5,0,17,0.0,0.0,0.0,0.0,10,3,35,0.3,0.0857,0.3,0.0,15,3,52,0.2,0.0577,0.2,0.0,184,11,0.0598,0.1125,0.1777,0.4064,0.8875,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,366,94,0.2568,0.2046,0.2669,0.2143,89.5547,0.1295,0.2374,0.1403,0.145,0.9993,4-Seam,0.2297,0.08,94.6138,1.5,166,89,10,0.1124,0.113,VELO_BAND_1.5,0.0,0.1418,0.1044,0.0824,0.25,0.186,0.1418,0.2794,0.2,0.2073,0.2486,0.155,,,,,,,,,4-Seam,0.2297,94.6381,0.1348,0.2312,Curve,0.1697,83.4012,0.265,0.252,Slider,0.1669,89.5417,0.2344,0.314,Changeup,0.1628,88.9263,0.24,0.2076,97.4,71.0,26.5,2.6,0.0,0.0,29.0,2.6,0.0,29.0,71.0,2.6,97.4,0.0,100.0,0.0,100.0,8.8,12.2,19.9,39.2,87.8,94.9,14.5,0.0,8.6,5.8,0.0,30.0,20.0,0.0,0.0,0.0,6.0,11.2,17.8,40.6,88.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,25.7,20.5,26.7,21.4,13.0,23.7,14.0,14.5,99.9,23.0,8.0,14.2,10.4,8.2,25.0,18.6,14.2,27.9,20.0,20.7,24.9,15.5,20.7,42.9,11.2,,,,,,,,,Sweeper,0.1441,85.0187,0.2143,0.2632,Sinker,0.1262,94.5694,0.125,0.3716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-18,823898,2026-09-19T02:15:00Z,Scheduled,LAD,SF,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,8.505,8.505,9.0,1.0,0.2857,702885,Cesar Perdomo,L,1.15,0.7654,0.3512,1.5,LESS,0.9675,-2975,65,85,0.1958,0.3512,0.0,0.6814,0.2861,0.0325,0.0,0.0,0.3186,0.0325,0.0,0.3186,0.6814,0.0325,0.9675,0.0,1.0,0.0,1.0,154,17,0.1104,542,263,38,0.1445,0.2232,0.3147,0.8555,0.948,0.1351,5,1,10,0.2,0.1,0.2,0.0,10,3,21,0.3,0.1429,0.3,0.0,15,4,33,0.2667,0.1212,0.2667,0.0,112,12,0.1071,0.1474,0.2386,0.3039,0.8526,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,62,11,0.1774,0.2364,0.2419,0.2903,89.5693,0.143,0.2287,0.0917,0.1445,1.0,4-Seam,0.4651,0.0513,93.008,1.5,116,59,3,0.0508,0.0715,VELO_BAND_1.5,0.0,0.1678,0.1553,0.1305,0.2068,0.1923,0.1678,0.2219,0.161,0.1958,0.2235,0.1738,,,,,,,,,4-Seam,0.4651,93.008,0.2174,0.27,Changeup,0.2977,86.9078,0.2564,0.2188,Slider,0.2372,86.1667,0.24,0.2157,,,,,,96.7,68.1,28.6,3.2,0.0,0.0,31.9,3.3,0.0,31.9,68.1,3.3,96.7,0.0,100.0,0.0,100.0,11.0,14.4,22.3,31.5,85.6,94.8,13.5,10.0,14.3,12.1,20.0,30.0,26.7,0.0,0.0,0.0,10.7,14.7,23.9,30.4,85.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,17.7,23.6,24.2,29.0,14.3,22.9,9.2,14.4,100.0,46.5,5.1,16.8,15.5,13.0,20.7,19.2,16.8,22.2,16.1,19.6,22.4,17.4,19.6,28.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-18,824383,2026-09-18T23:10:00Z,Scheduled,ATH,CLE,643446,Jeff McNeil,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.0,2.0,3.0,0.4171,682982,Daniel Espino,R,1.15,0.42,0.35,1.5,LESS,0.9671,-2941,73,87,0.252,0.35,0.0,0.6829,0.2842,0.0328,0.0,0.0,0.3171,0.0329,0.0,0.3171,0.6829,0.0329,0.9671,0.0,1.0,0.0,1.0,318,31,0.0975,1058,655,87,0.1328,0.1456,0.3944,0.8672,0.9412,0.1368,5,2,20,0.4,0.1,0.4,0.0,10,6,42,0.6,0.1429,0.5,0.1,15,9,66,0.6,0.1364,0.4667,0.1333,249,27,0.1084,0.1418,0.1487,0.4116,0.8582,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,52,21,0.4038,0.3519,0.3287,0.3488,94.8481,0.1217,0.1717,0.1207,0.117,1.0,4-Seam,0.625,0.0962,98.8207,1.5,59,38,7,0.1842,0.1548,VELO_BAND_1.5,0.0,0.1443,0.136,0.1163,0.2862,0.157,0.1443,0.2519,0.223,0.252,0.2498,0.1667,,,,,,,,,4-Seam,0.625,98.8207,0.4143,0.3481,Slider,0.287,92.0661,0.2353,0.2581,Curve,0.088,75.7,0.25,0.4211,,,,,,96.7,68.3,28.4,3.3,0.0,0.0,31.7,3.3,0.0,31.7,68.3,3.3,96.7,0.0,100.0,0.0,100.0,9.7,13.3,14.6,39.4,86.7,94.1,13.7,10.0,14.3,13.6,40.0,50.0,46.7,0.0,10.0,13.3,10.8,14.2,14.9,41.2,85.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,40.4,35.2,32.9,34.9,12.2,17.2,12.1,11.7,100.0,62.5,9.6,14.4,13.6,11.6,28.6,15.7,14.4,25.2,22.3,25.2,25.0,16.7,25.2,42.9,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-18,824303,2026-09-19T00:10:00Z,Scheduled,COL,SEA,681198,TJ Rumfield,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,4.0,4.0,4.0,2.0,0.5486,693433,Bryan Woo,R,1.15,0.78,0.3556,1.5,LESS,0.9655,-2800,83,90,0.2288,0.3556,0.0,0.679,0.2865,0.0344,0.0001,0.0,0.321,0.0345,0.0001,0.321,0.679,0.0345,0.9655,0.0001,0.9999,0.0,1.0,398,50,0.1256,1510,709,113,0.1594,0.2046,0.2923,0.8406,0.9351,0.1516,5,2,25,0.4,0.08,0.4,0.0,10,4,46,0.4,0.087,0.4,0.0,15,7,67,0.4667,0.1045,0.4667,0.0,259,32,0.1236,0.1598,0.193,0.3007,0.8402,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,425,108,0.2541,0.2174,0.2621,0.2546,92.9988,0.1388,0.2189,0.1297,0.1382,1.0,4-Seam,0.4499,0.1159,96.3415,1.5,228,112,13,0.1161,0.1159,VELO_BAND_1.5,0.0,0.1642,0.1251,0.1322,0.2486,0.1851,0.1642,0.2752,0.2137,0.2288,0.2164,0.1748,,,,,,,,,4-Seam,0.4499,96.4216,0.2145,0.2596,Sinker,0.199,96.1606,0.1056,0.2919,Slider,0.1588,87.4603,0.3284,0.2763,Sweeper,0.0921,84.743,0.3247,0.2752,96.6,67.9,28.7,3.4,0.0,0.0,32.1,3.4,0.0,32.1,67.9,3.4,96.6,0.0,100.0,0.0,100.0,12.6,15.9,20.5,29.2,84.1,93.5,15.2,8.0,8.7,10.4,40.0,40.0,46.7,0.0,0.0,0.0,12.4,16.0,19.3,30.1,84.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,25.4,21.7,26.2,25.5,13.9,21.9,13.0,13.8,100.0,45.0,11.6,16.4,12.5,13.2,24.9,18.5,16.4,27.5,21.4,22.9,21.6,17.5,22.9,57.1,11.6,,,,,,,,,Changeup,0.0686,89.7117,0.1311,0.1622,Curve,0.0303,82.9694,0.2941,0.2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-18,822923,2026-09-18T23:10:00Z,Scheduled,TB,BOS,663743,Nick Fortes,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,8.5,7.51,9.01,3.0,0.5371,624133,Ranger Suarez,L,1.15,0.78,0.3692,1.5,LESS,0.9634,-2635,72,87,0.2324,0.3692,0.0,0.6674,0.296,0.0366,0.0,0.0,0.3326,0.0366,0.0,0.3326,0.6674,0.0366,0.9634,0.0,1.0,0.0,1.0,184,21,0.1141,619,313,51,0.1629,0.2488,0.365,0.8371,0.8912,0.1635,5,1,14,0.2,0.0714,0.2,0.0,10,5,31,0.5,0.1613,0.5,0.0,15,7,46,0.4667,0.1522,0.4667,0.0,91,9,0.0989,0.1375,0.212,0.3272,0.8625,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,382,87,0.2277,0.2059,0.2776,0.214,85.7419,0.1325,0.2644,0.1378,0.1537,1.0,4-Seam,0.2469,0.1264,89.974,1.5,49,26,1,0.0385,0.0781,VELO_BAND_1.5,0.0,0.1692,0.1527,0.1295,0.2272,0.1963,0.1692,0.2947,0.164,0.2324,0.2456,0.1804,,,,,,,,,4-Seam,0.2469,91.4292,0.1338,0.3333,Sinker,0.2143,90.1241,0.0805,0.2476,Cutter,0.1871,87.8811,0.1364,0.2255,Curve,0.1755,75.7353,0.3798,0.3643,96.3,66.7,29.6,3.7,0.0,0.0,33.3,3.7,0.0,33.3,66.7,3.7,96.3,0.0,100.0,0.0,100.0,11.4,16.3,24.9,36.5,83.7,89.1,16.3,7.1,16.1,15.2,20.0,50.0,46.7,0.0,0.0,0.0,9.9,13.8,21.2,32.7,86.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,22.8,20.6,27.8,21.4,13.2,26.4,13.8,15.4,100.0,24.7,12.6,16.9,15.3,12.9,22.7,19.6,16.9,29.5,16.4,23.2,24.6,18.0,23.2,57.1,3.8,,,,,,,,,Changeup,0.1054,80.8819,0.2466,0.1355,Slider,0.0701,78.9641,0.46,0.3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-18,823977,2026-09-19T01:38:00Z,Scheduled,LAA,MIN,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,9.0,9.0,9.0,2.0,0.2743,687570,Connor Prielipp,L,1.15,0.78,0.3792,1.5,LESS,0.9604,-2425,68,86,0.219,0.3792,0.0,0.6605,0.2999,0.0395,0.0001,0.0,0.3395,0.0396,0.0001,0.3395,0.6605,0.0396,0.9604,0.0001,0.9999,0.0,1.0,118,13,0.1102,408,225,37,0.1644,0.2377,0.4095,0.8356,0.9353,0.1282,5,2,16,0.4,0.125,0.2,0.2,10,3,32,0.3,0.0938,0.2,0.1,15,4,47,0.2667,0.0851,0.2,0.0667,29,3,0.1034,0.1373,0.2626,0.4082,0.8627,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,387,88,0.2274,0.2105,0.2674,0.2222,90.2777,0.1455,0.2755,0.1221,0.1716,1.0,Slider,0.2798,0.2727,95.4975,1.5,98,55,9,0.1636,0.1472,VELO_BAND_1.5,0.0,0.1767,0.1483,0.1553,0.2269,0.2147,0.1767,0.2449,0.2458,0.219,0.2535,0.1887,,,,,,,,,Slider,0.2798,88.1452,0.2632,0.2983,4-Seam,0.2599,95.7405,0.1492,0.25,Curve,0.1902,83.2234,0.3913,0.3201,Sinker,0.1758,95.1381,0.0709,0.2374,96.0,66.0,30.0,3.9,0.0,0.0,34.0,4.0,0.0,34.0,66.0,4.0,96.0,0.0,100.0,0.0,100.0,11.0,16.4,23.8,41.0,83.6,93.5,12.8,12.5,9.4,8.5,20.0,20.0,20.0,20.0,10.0,6.7,10.3,13.7,26.3,40.8,86.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,22.7,21.1,26.7,22.2,14.6,27.6,12.2,17.2,100.0,28.0,27.3,17.7,14.8,15.5,22.7,21.5,17.7,24.5,24.6,21.9,25.4,18.9,21.9,28.6,16.4,,,,,,,,,Changeup,0.0944,86.7145,0.169,0.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-18,823252,2026-09-19T01:40:00Z,Scheduled,SD,MIA,687957,Dustin Harris,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,4.0033,2.0,1.0,0.4971,663969,Tyler Phillips,R,1.15,0.7269,0.3892,1.5,LESS,0.9591,-2344,67,86,0.2157,0.3892,0.0,0.6518,0.3073,0.0409,0.0,0.0,0.3482,0.0409,0.0,0.3482,0.6518,0.0409,0.9591,0.0,1.0,0.0,1.0,55,6,0.1091,192,95,22,0.2316,0.2604,0.2673,0.7684,0.8382,0.1538,5,1,21,0.2,0.0476,0.2,0.0,10,4,36,0.4,0.1111,0.4,0.0,15,5,50,0.3333,0.1,0.3333,0.0,49,5,0.102,0.2326,0.2588,0.2809,0.7674,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,380,69,0.1816,0.2339,0.2879,0.1975,88.4649,0.1373,0.2791,0.1171,0.2343,1.0,Sinker,0.2541,0.1176,95.4599,1.5,38,18,1,0.0556,0.0917,VELO_BAND_1.5,0.0,0.1945,0.1484,0.1564,0.1906,0.2418,0.1945,0.265,0.1887,0.2157,0.2161,0.193,,,,,,,,,Sinker,0.2541,95.2972,0.0559,0.2139,Sweeper,0.2399,84.0256,0.2868,0.3882,Splitter,0.2265,86.6654,0.3114,0.2555,Curve,0.1715,83.2872,0.3729,0.3333,95.9,65.2,30.7,4.1,0.0,0.0,34.8,4.1,0.0,34.8,65.2,4.1,95.9,0.0,100.0,0.0,100.0,10.9,23.2,26.0,26.7,76.8,83.8,15.4,4.8,11.1,10.0,20.0,40.0,33.3,0.0,0.0,0.0,10.2,23.3,25.9,28.1,76.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,18.2,23.4,28.8,19.7,13.7,27.9,11.7,23.4,100.0,25.4,11.8,19.4,14.8,15.6,19.1,24.2,19.4,26.5,18.9,21.6,21.6,19.3,21.6,42.9,5.6,,,,,,,,,4-Seam,0.0875,95.9323,0.1429,0.2258,Slider,0.0205,87.069,0.0,0.2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-18,823572,2026-09-18T23:15:00Z,Scheduled,PHI,NYM,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,3.01,3.01,3.01,6.0,0.1314,804267,Zac Thornton,L,1.15,0.78,0.3894,1.5,LESS,0.9591,-2344,63,85,0.2351,0.3894,0.0,0.6517,0.3074,0.0408,0.0001,0.0,0.3483,0.0409,0.0001,0.3483,0.6517,0.0409,0.9591,0.0001,0.9999,0.0,1.0,34,3,0.0882,137,75,10,0.1333,0.2263,0.3662,0.8667,0.9184,0.0606,5,1,11,0.2,0.0909,0.2,0.0,10,2,24,0.2,0.0833,0.2,0.0,13,3,34,0.2308,0.0882,0.2308,0.0,12,2,0.1667,0.1429,0.2821,0.4286,0.8571,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,274,52,0.1898,0.1808,0.2418,0.1799,87.4988,0.1101,0.2752,0.0887,0.1857,1.0,Cutter,0.3231,0.0,90.4389,,80,40,3,0.075,0.0915,HITTER_FASTBALL_FALLBACK,0.0,0.1945,0.1584,0.1904,0.1992,0.201,0.1945,0.1599,0.1856,0.2351,0.2426,0.1903,,,,,,,,,Cutter,0.3231,88.4844,0.1554,0.2331,4-Seam,0.2547,92.2774,0.1838,0.2763,Sweeper,0.1685,79.9682,0.2468,0.2471,Sinker,0.0872,92.3102,0.175,0.2841,95.9,65.2,30.7,4.1,0.0,0.0,34.8,4.1,0.0,34.8,65.2,4.1,95.9,0.0,100.0,0.0,100.0,8.8,13.3,22.6,36.6,86.7,91.8,6.1,9.1,8.3,8.8,20.0,20.0,23.1,0.0,0.0,0.0,16.7,14.3,28.2,42.9,85.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,19.0,18.1,24.2,18.0,11.0,27.5,8.9,18.6,100.0,32.3,0.0,19.4,15.8,19.0,19.9,20.1,19.4,16.0,18.6,23.5,24.3,19.0,23.5,14.3,7.5,,,,,,,,,Slider,0.0694,84.6357,0.2105,0.1857,Curve,0.0496,80.43,0.1481,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-18,823331,2026-09-18T22:40:00Z,Scheduled,PIT,KC,682927,Ronny Simon,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,8.02,8.02,8.02,3.0,0.1543,677976,Randy Dobnak,R,1.15,0.78,0.3933,1.5,LESS,0.9586,-2318,64,85,0.1911,0.3933,0.0,0.6482,0.3105,0.0412,0.0001,0.0,0.3518,0.0414,0.0001,0.3518,0.6482,0.0414,0.9586,0.0001,0.9999,0.0,1.0,40,5,0.125,153,88,11,0.125,0.183,0.3855,0.875,0.9107,0.0571,5,4,14,0.8,0.2857,0.6,0.2,10,5,34,0.5,0.1471,0.4,0.1,12,5,40,0.4167,0.125,0.3333,0.0833,27,3,0.1111,0.1887,0.2083,0.3519,0.8113,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,292,47,0.161,0.1855,0.2517,0.1919,87.4807,0.1299,0.2553,0.1056,0.2106,1.0,Sinker,0.3911,0.1053,91.6407,1.5,24,13,2,0.1538,0.1273,VELO_BAND_1.5,0.0,0.1993,0.1995,0.1747,0.1773,0.2218,0.1993,0.1764,0.2135,0.1911,0.2489,0.1971,,,,,,,,,Sinker,0.3911,91.4935,0.067,0.2272,Sweeper,0.2483,82.387,0.32,0.3509,Changeup,0.2117,84.7897,0.2761,0.2222,4-Seam,0.0967,92.236,0.0889,0.1802,95.9,64.8,31.0,4.1,0.0,0.0,35.2,4.1,0.0,35.2,64.8,4.1,95.9,0.0,100.0,0.0,100.0,12.5,12.5,18.3,38.6,87.5,91.1,5.7,28.6,14.7,12.5,60.0,40.0,33.3,20.0,10.0,8.3,11.1,18.9,20.8,35.2,81.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,16.1,18.5,25.2,19.2,13.0,25.5,10.6,21.1,100.0,39.1,10.5,19.9,19.9,17.5,17.7,22.2,19.9,17.6,21.3,19.1,24.9,19.7,19.1,14.3,15.4,,,,,,,,,Slider,0.0523,83.7467,0.2857,0.2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-18,824303,2026-09-19T00:10:00Z,Scheduled,COL,SEA,664983,Jake McCarthy,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,1.0,1.0,1.0,2.0,0.5257,693433,Bryan Woo,R,1.15,0.78,0.396,1.5,LESS,0.9582,-2295,85,91,0.2288,0.396,0.0,0.6458,0.3124,0.0417,0.0,0.0,0.3542,0.0418,0.0,0.3542,0.6458,0.0418,0.9582,0.0,1.0,0.0,1.0,440,68,0.1545,1414,831,158,0.1901,0.2079,0.3963,0.8099,0.9009,0.188,5,2,22,0.4,0.0909,0.4,0.0,10,5,45,0.5,0.1111,0.5,0.0,15,7,70,0.4667,0.1,0.4667,0.0,292,46,0.1575,0.1911,0.2064,0.3977,0.8089,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,425,108,0.2541,0.2174,0.2621,0.2546,92.9988,0.1482,0.2126,0.1506,0.1629,1.0,4-Seam,0.4499,0.0886,96.3415,1.5,187,109,9,0.0826,0.0892,VELO_BAND_1.5,0.0,0.1843,0.1452,0.1627,0.2486,0.202,0.1843,0.3217,0.1769,0.2288,0.2568,0.1933,,,,,,,,,4-Seam,0.4499,96.4216,0.2145,0.2596,Sinker,0.199,96.1606,0.1056,0.2919,Slider,0.1588,87.4603,0.3284,0.2763,Sweeper,0.0921,84.743,0.3247,0.2752,95.8,64.6,31.2,4.2,0.0,0.0,35.4,4.2,0.0,35.4,64.6,4.2,95.8,0.0,100.0,0.0,100.0,15.5,19.0,20.8,39.6,81.0,90.1,18.8,9.1,11.1,10.0,40.0,50.0,46.7,0.0,0.0,0.0,15.8,19.1,20.6,39.8,80.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,25.4,21.7,26.2,25.5,14.8,21.3,15.1,16.3,100.0,45.0,8.9,18.4,14.5,16.3,24.9,20.2,18.4,32.2,17.7,22.9,25.7,19.3,22.9,57.1,8.3,,,,,,,,,Changeup,0.0686,89.7117,0.1311,0.1622,Curve,0.0303,82.9694,0.2941,0.2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
