rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-20,823001,2026-09-20T18:15:00Z,Scheduled,WSH,STL,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.01,7.01,7.0,7.0,0.24,687273,Quinn Mathews,L,1.15,0.78,0.3236,1.5,LESS,0.9723,-3508,68,86,0.2065,0.3236,0.0,0.7042,0.2681,0.0277,0.0,0.0,0.2958,0.0277,0.0,0.2958,0.7042,0.0277,0.9723,0.0,1.0,0.0,1.0,235,21,0.0894,728,399,49,0.1228,0.1992,0.393,0.8772,0.9484,0.1466,5,0,17,0.0,0.0,0.0,0.0,10,3,35,0.3,0.0857,0.3,0.0,15,3,52,0.2,0.0577,0.2,0.0,52,10,0.1923,0.1625,0.2674,0.3587,0.8375,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,162,36,0.2222,0.246,0.2739,0.2403,87.4804,0.1224,0.2216,0.1197,0.1269,1.0,4-Seam,0.3957,0.08,93.3921,1.5,160,83,9,0.1084,0.1101,VELO_BAND_1.5,0.0,0.1433,0.1053,0.1642,0.2233,0.1703,0.1433,0.2605,0.1957,0.2065,0.2487,0.1615,4-Seam,0.3957,93.5084,0.1951,0.2784,Slider,0.2304,84.9094,0.2532,0.2579,Changeup,0.1623,83.1232,0.4182,0.2768,Curve,0.1304,75.8344,0.1875,0.2556,97.2,70.4,26.8,2.8,0.0,0.0,29.6,2.8,0.0,29.6,70.4,2.8,97.2,0.0,100.0,0.0,100.0,8.9,12.3,19.9,39.3,87.7,94.8,14.7,0.0,8.6,5.8,0.0,30.0,20.0,0.0,0.0,0.0,19.2,16.2,26.7,35.9,83.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.2,24.6,27.4,24.0,12.2,22.2,12.0,12.7,100.0,39.6,8.0,14.3,10.5,16.4,22.3,17.0,14.3,26.0,19.6,20.7,24.9,16.1,20.7,28.6,10.8,,,,,,,,,,,,,,,Sinker,0.0812,92.825,0.15,0.3214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-20,822922,2026-09-20T17:40:00Z,Scheduled,TB,BOS,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,7.01,6.6733,7.01,2.0,0.4629,663776,Patrick Sandoval,L,1.15,0.78,0.3343,1.5,LESS,0.9693,-3159,74,88,0.233,0.3343,0.0,0.6964,0.273,0.0307,0.0,0.0,0.3036,0.0307,0.0,0.3036,0.6964,0.0307,0.9693,0.0,1.0,0.0,1.0,347,34,0.098,1304,518,57,0.11,0.2477,0.265,0.89,0.9759,0.1192,5,2,14,0.4,0.1429,0.4,0.0,10,4,28,0.4,0.1429,0.4,0.0,15,7,46,0.4667,0.1522,0.4,0.0667,75,10,0.1333,0.1132,0.2786,0.3101,0.8868,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,267,62,0.2322,0.2213,0.264,0.2628,87.9671,0.1123,0.2554,0.1259,0.144,1.0,Changeup,0.2621,0.1515,93.7124,1.5,247,97,3,0.0309,0.0498,VELO_BAND_1.5,0.0,0.1396,0.1408,0.1363,0.2302,0.1782,0.1396,0.2397,0.154,0.233,0.2,0.1632,Changeup,0.2621,83.4771,0.3984,0.3045,4-Seam,0.2236,93.5348,0.1157,0.2467,Slider,0.2236,86.8383,0.2292,0.2555,Sinker,0.1911,93.9201,0.1071,0.2577,96.9,69.6,27.3,3.1,0.0,0.0,30.4,3.1,0.0,30.4,69.6,3.1,96.9,0.0,100.0,0.0,100.0,9.8,11.0,24.8,26.5,89.0,97.6,11.9,14.3,14.3,15.2,40.0,40.0,40.0,0.0,0.0,6.7,13.3,11.3,27.9,31.0,88.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,23.2,22.1,26.4,26.3,11.2,25.5,12.6,14.4,100.0,26.2,15.2,14.0,14.1,13.6,23.0,17.8,14.0,24.0,15.4,23.3,20.0,16.3,23.3,42.9,3.1,,,,,,,,,,,,,,,Sweeper,0.0542,80.6255,0.1818,0.2,Curve,0.0453,75.6978,0.25,0.2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-20,823329,2026-09-20T17:35:00Z,Scheduled,KC,PIT,686469,Vinnie Pasquantino,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,3.005,3.2525,3.0,2.0,0.5371,669199,Lake Bachar,R,1.15,0.42,0.3698,1.5,LESS,0.9649,-2751,73,87,0.2395,0.3698,0.0,0.6654,0.2995,0.035,0.0001,0.0,0.3346,0.0351,0.0001,0.3346,0.6654,0.0351,0.9649,0.0001,0.9999,0.0,1.0,246,30,0.122,982,445,57,0.1281,0.2098,0.2825,0.8719,0.9386,0.1166,5,3,17,0.6,0.1765,0.4,0.2,10,7,41,0.7,0.1707,0.5,0.2,15,9,62,0.6,0.1452,0.4667,0.1333,180,23,0.1278,0.1329,0.2047,0.2871,0.8671,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,235,57,0.2426,0.2663,0.2848,0.2517,89.7541,0.1148,0.2289,0.1266,0.1568,1.0,4-Seam,0.2848,0.0791,94.0169,1.5,197,98,7,0.0714,0.0811,VELO_BAND_1.5,0.0,0.1633,0.1677,0.1377,0.2373,0.1819,0.1633,0.2379,0.1598,0.2395,0.2089,0.178,4-Seam,0.2848,94.2,0.1269,0.2148,Curve,0.2352,86.478,0.3793,0.3767,Slider,0.2226,89.5085,0.3256,0.3223,Sweeper,0.134,86.7748,0.3889,0.3228,96.5,66.5,30.0,3.5,0.0,0.0,33.5,3.5,0.0,33.5,66.5,3.5,96.5,0.0,100.0,0.0,100.0,12.2,12.8,21.0,28.3,87.2,93.9,11.7,17.6,17.1,14.5,40.0,50.0,46.7,20.0,20.0,13.3,12.8,13.3,20.5,28.7,86.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.3,26.6,28.5,25.2,11.5,22.9,12.7,15.7,100.0,28.5,7.9,16.3,16.8,13.8,23.7,18.2,16.3,23.8,16.0,23.9,20.9,17.8,23.9,57.1,7.1,,,,,,,,,,,,,,,Sinker,0.0654,93.2194,0.1212,0.129,Splitter,0.0559,84.9528,0.3684,0.2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-20,824300,2026-09-20T19:10:00Z,Scheduled,COL,SEA,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,8.0,6.7525,8.0,3.0,0.5143,807739,Kade Anderson,L,1.15,0.78,0.365,1.5,LESS,0.9645,-2718,64,85,0.2285,0.365,0.0,0.6706,0.294,0.0354,0.0,0.0,0.3294,0.0355,0.0,0.3294,0.6706,0.0355,0.9645,0.0,1.0,0.0,1.0,148,19,0.1284,507,257,28,0.1089,0.2071,0.2941,0.8911,0.9358,0.1084,5,2,17,0.4,0.1176,0.2,0.2,10,3,31,0.3,0.0968,0.2,0.1,15,6,48,0.4,0.125,0.2667,0.1333,35,1,0.0286,0.0492,0.2047,0.2075,0.9508,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,107,21,0.1963,0.2196,0.2437,0.2051,88.7894,0.1243,0.2475,0.1315,0.1903,1.0,4-Seam,0.4146,0.092,93.5782,1.5,92,42,5,0.119,0.1174,VELO_BAND_1.5,0.0,0.1726,0.146,0.1246,0.2101,0.2072,0.1726,0.2348,0.2072,0.2285,0.2114,0.1779,4-Seam,0.4146,93.5782,0.1828,0.2182,Slider,0.2563,87.8206,0.2131,0.2353,Changeup,0.1784,84.8028,0.2727,0.1972,Curve,0.1508,81.985,0.3125,0.3833,96.5,67.1,29.4,3.5,0.0,0.0,32.9,3.5,0.0,32.9,67.1,3.5,96.5,0.0,100.0,0.0,100.0,12.8,10.9,20.7,29.4,89.1,93.6,10.8,11.8,9.7,12.5,20.0,20.0,26.7,20.0,10.0,13.3,2.9,4.9,20.5,20.8,95.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.6,22.0,24.4,20.5,12.4,24.7,13.2,19.0,100.0,41.5,9.2,17.3,14.6,12.5,21.0,20.7,17.3,23.5,20.7,22.9,21.1,17.8,22.9,57.1,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-20,824300,2026-09-20T19:10:00Z,Scheduled,SEA,COL,645302,Victor Robles,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,3.01,3.01,3.01,7.0,0.1086,608372,Tomoyuki Sugano,R,1.15,0.78,0.3605,1.5,LESS,0.964,-2675,71,87,0.1747,0.3605,0.0,0.6756,0.2884,0.036,0.0,0.0,0.3244,0.036,0.0,0.3244,0.6756,0.036,0.964,0.0,1.0,0.0,1.0,134,18,0.1343,459,253,51,0.2016,0.2288,0.3644,0.7984,0.9141,0.1375,5,0,9,0.0,0.0,0.0,0.0,10,3,31,0.3,0.0968,0.3,0.0,15,5,47,0.3333,0.1064,0.3333,0.0,97,12,0.1237,0.1913,0.2191,0.3699,0.8087,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,392,58,0.148,0.1788,0.2243,0.1693,88.3557,0.1337,0.2482,0.1107,0.174,1.0,Splitter,0.2171,0.0,91.9408,1.5,62,29,2,0.069,0.0916,VELO_BAND_1.5,0.0,0.1866,0.1369,0.1501,0.1636,0.2047,0.1866,0.2428,0.1828,0.1747,0.2502,0.1773,Splitter,0.2171,86.7624,0.2866,0.1848,4-Seam,0.2053,92.7606,0.1558,0.2436,Sinker,0.1934,92.6554,0.0483,0.2313,Cutter,0.1072,89.0828,0.1538,0.2086,96.4,67.6,28.8,3.6,0.0,0.0,32.4,3.6,0.0,32.4,67.6,3.6,96.4,0.0,100.0,0.0,100.0,13.4,20.2,22.9,36.4,79.8,91.4,13.8,0.0,9.7,10.6,0.0,30.0,33.3,0.0,0.0,0.0,12.4,19.1,21.9,37.0,80.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,14.8,17.9,22.4,16.9,13.4,24.8,11.1,17.4,100.0,21.7,0.0,18.7,13.7,15.0,16.4,20.5,18.7,24.3,18.3,17.5,25.0,17.7,17.5,14.3,6.9,,,,,,,,,,,,,,,Sweeper,0.1072,83.6699,0.2308,0.2945,Curve,0.0895,79.8353,0.2258,0.2426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-20,824546,2026-09-20T18:10:00Z,Scheduled,CWS,DET,803011,Sam Antonacci,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,4.005,4.255,2.01,2.0,0.5486,675512,Troy Melton,R,1.15,0.78,0.376,1.5,LESS,0.9622,-2548,86,91,0.2166,0.376,0.0,0.6618,0.3004,0.0377,0.0,0.0,0.3382,0.0378,0.0,0.3382,0.6618,0.0378,0.9622,0.0,1.0,0.0,1.0,402,65,0.1617,1576,679,82,0.1208,0.2373,0.2209,0.8792,0.9231,0.1466,5,1,14,0.2,0.0714,0.2,0.0,10,4,33,0.4,0.1212,0.4,0.0,15,6,53,0.4,0.1132,0.4,0.0,314,47,0.1497,0.1203,0.2293,0.2095,0.8797,10,1,0.1,0.2023,36,0.1538,0.1188,0.2222,0.2705,0.0588,0.8462,0.9167,0.3333,35.0,0.3333,0.0,451,90,0.1996,0.221,0.2544,0.2326,91.6067,0.1239,0.2472,0.1541,0.18,1.0,4-Seam,0.3207,0.1009,94.8373,1.5,371,174,19,0.1092,0.11,VELO_BAND_1.5,0.2048,0.1826,0.1499,0.1557,0.2042,0.2017,0.1887,0.2942,0.2107,0.2166,0.1838,0.186,4-Seam,0.3207,96.3777,0.1573,0.2232,Cutter,0.2201,92.2102,0.1809,0.2823,Slider,0.1698,86.8836,0.3288,0.3031,Changeup,0.1154,89.2877,0.2778,0.159,96.2,66.2,30.0,3.8,0.0,0.0,33.8,3.8,0.0,33.8,66.2,3.8,96.2,0.0,100.0,0.0,100.0,16.2,12.1,23.7,22.1,87.9,92.3,14.7,7.1,12.1,11.3,20.0,40.0,40.0,0.0,0.0,0.0,15.0,12.0,22.9,20.9,88.0,10.0,20.2,15.4,11.9,22.2,27.1,5.9,84.6,91.7,33.3,20.0,22.1,25.4,23.3,12.4,24.7,15.4,18.0,100.0,32.1,10.1,18.3,15.0,15.6,20.4,20.2,18.9,29.4,21.1,21.7,18.4,18.6,21.7,57.1,10.9,1.0,0.0,0.0,0.0,1.0,0.115,0.0,0.225,7.0,0.0,0.0,0.0,33.3,0.0,Sinker,0.0935,95.7386,0.1975,0.2532,Curve,0.0805,79.4346,0.3175,0.3382,4.0,1.0,0.75,1.0,7.0,0.0,0.2857,0.0,16.0,0.2,0.1875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-20,823329,2026-09-20T17:35:00Z,Scheduled,PIT,KC,687462,Spencer Horwitz,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,7.34,8.0,2.0,0.4171,608379,Michael Wacha,R,1.15,0.78,0.3868,1.5,LESS,0.9604,-2423,77,89,0.1909,0.3868,0.0,0.653,0.3074,0.0396,0.0001,0.0,0.347,0.0396,0.0001,0.347,0.653,0.0396,0.9604,0.0001,0.9999,0.0,1.0,262,43,0.1641,1051,438,71,0.1621,0.2712,0.2414,0.8379,0.8971,0.1618,5,2,14,0.4,0.1429,0.4,0.0,10,5,32,0.5,0.1562,0.4,0.1,15,11,57,0.7333,0.193,0.5333,0.1333,199,31,0.1558,0.1441,0.2672,0.2415,0.8559,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,511,94,0.184,0.1859,0.2513,0.177,86.8822,0.134,0.269,0.1234,0.1627,1.0,4-Seam,0.2634,0.1375,92.3436,1.5,189,83,9,0.1084,0.1101,VELO_BAND_1.5,0.0,0.1942,0.177,0.1658,0.1907,0.2025,0.1942,0.2791,0.2103,0.1909,0.1967,0.1929,4-Seam,0.2634,93.2522,0.1589,0.247,Changeup,0.2566,80.8127,0.2399,0.2638,Cutter,0.1417,89.7604,0.1231,0.2556,Sinker,0.1364,93.2719,0.0873,0.2077,96.0,65.3,30.7,4.0,0.0,0.0,34.7,4.0,0.0,34.7,65.3,4.0,96.0,0.0,100.0,0.0,100.0,16.4,16.2,27.1,24.1,83.8,89.7,16.2,14.3,15.6,19.3,40.0,40.0,53.3,0.0,10.0,13.3,15.6,14.4,26.7,24.1,85.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.4,18.6,25.1,17.7,13.4,26.9,12.3,16.3,100.0,26.3,13.8,19.4,17.7,16.6,19.1,20.2,19.4,27.9,21.0,19.1,19.7,19.3,19.1,42.9,10.8,,,,,,,,,,,,,,,Curve,0.1102,75.8843,0.2414,0.3,Slider,0.0908,84.8092,0.3088,0.2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-20,823329,2026-09-20T17:35:00Z,Scheduled,PIT,KC,682927,Ronny Simon,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,8.02,8.02,8.02,5.0,0.1314,608379,Michael Wacha,R,1.15,0.78,0.3859,1.5,LESS,0.9599,-2393,66,85,0.1909,0.3859,0.0,0.6543,0.3056,0.0401,0.0,0.0,0.3457,0.0401,0.0,0.3457,0.6543,0.0401,0.9599,0.0,1.0,0.0,1.0,48,6,0.125,180,99,12,0.1212,0.1889,0.3673,0.8788,0.9206,0.075,5,2,14,0.4,0.1429,0.4,0.0,10,6,33,0.6,0.1818,0.5,0.1,14,6,48,0.4286,0.125,0.3571,0.0714,32,3,0.0938,0.1724,0.2056,0.339,0.8276,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,511,94,0.184,0.1859,0.2513,0.177,86.8822,0.1211,0.2595,0.1204,0.216,1.0,4-Seam,0.2634,0.0909,92.3436,1.5,39,22,2,0.0909,0.1044,VELO_BAND_1.5,0.0,0.1952,0.1837,0.1634,0.1907,0.22,0.1952,0.1911,0.1988,0.1909,0.2417,0.1939,4-Seam,0.2634,93.2522,0.1589,0.247,Changeup,0.2566,80.8127,0.2399,0.2638,Cutter,0.1417,89.7604,0.1231,0.2556,Sinker,0.1364,93.2719,0.0873,0.2077,96.0,65.4,30.6,4.0,0.0,0.0,34.6,4.0,0.0,34.6,65.4,4.0,96.0,0.0,100.0,0.0,100.0,12.5,12.1,18.9,36.7,87.9,92.1,7.5,14.3,18.2,12.5,40.0,50.0,35.7,0.0,10.0,7.1,9.4,17.2,20.6,33.9,82.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.4,18.6,25.1,17.7,12.1,25.9,12.0,21.6,100.0,26.3,9.1,19.5,18.4,16.3,19.1,22.0,19.5,19.1,19.9,19.1,24.2,19.4,19.1,14.3,9.1,,,,,,,,,,,,,,,Curve,0.1102,75.8843,0.2414,0.3,Slider,0.0908,84.8092,0.3088,0.2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-20,824300,2026-09-20T19:10:00Z,Scheduled,SEA,COL,640902,Jhonny Pereda,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,9.0,9.0,9.0,7.0,0.12,608372,Tomoyuki Sugano,R,1.15,0.78,0.3955,1.5,LESS,0.9592,-2353,66,85,0.1747,0.3955,0.0,0.6452,0.314,0.0408,0.0,0.0,0.3548,0.0408,0.0,0.3548,0.6452,0.0408,0.9592,0.0,1.0,0.0,1.0,75,12,0.16,310,152,29,0.1908,0.2548,0.2581,0.8092,0.8468,0.1194,5,4,17,0.8,0.2353,0.6,0.2,10,7,28,0.7,0.25,0.6,0.1,15,10,48,0.6667,0.2083,0.6,0.0667,53,7,0.1321,0.1858,0.2533,0.2679,0.8142,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,392,58,0.148,0.1788,0.2243,0.1693,88.3557,0.1379,0.279,0.1096,0.1996,0.7828,Splitter,0.2171,0.0,91.9408,1.5,58,27,3,0.1111,0.1131,VELO_BAND_1.5,0.0,0.2074,0.221,0.1749,0.1636,0.2248,0.2074,0.224,0.2142,0.1747,0.2068,0.202,Splitter,0.2171,86.7624,0.2866,0.1848,4-Seam,0.2053,92.7606,0.1558,0.2436,Sinker,0.1934,92.6554,0.0483,0.2313,Cutter,0.1072,89.0828,0.1538,0.2086,95.9,64.5,31.4,4.1,0.0,0.0,35.5,4.1,0.0,35.5,64.5,4.1,95.9,0.0,100.0,0.0,100.0,16.0,19.1,25.5,25.8,80.9,84.7,11.9,23.5,25.0,20.8,60.0,60.0,60.0,20.0,10.0,6.7,13.2,18.6,25.3,26.8,81.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,14.8,17.9,22.4,16.9,13.8,27.9,11.0,20.0,78.3,21.7,0.0,20.7,22.1,17.5,16.4,22.5,20.7,22.4,21.4,17.5,20.7,20.2,17.5,14.3,11.1,,,,,,,,,,,,,,,Sweeper,0.1072,83.6699,0.2308,0.2945,Curve,0.0895,79.8353,0.2258,0.2426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-20,823570,2026-09-20T17:10:00Z,Scheduled,PHI,NYM,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,3.01,3.01,3.01,8.0,0.1086,804636,Jonah Tong,R,1.15,0.7593,0.3887,1.5,LESS,0.9592,-2351,59,84,0.2352,0.3887,0.0,0.6522,0.307,0.0407,0.0001,0.0,0.3478,0.0408,0.0001,0.3478,0.6522,0.0408,0.9592,0.0001,0.9999,0.0,1.0,34,3,0.0882,137,75,10,0.1333,0.2263,0.3662,0.8667,0.9184,0.0606,5,1,11,0.2,0.0909,0.2,0.0,10,2,24,0.2,0.0833,0.2,0.0,13,3,34,0.2308,0.0882,0.2308,0.0,22,1,0.0455,0.1296,0.2041,0.34,0.8704,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,82,18,0.2195,0.2604,0.2584,0.2206,90.9954,0.1108,0.2647,0.0877,0.1925,1.0,4-Seam,0.4286,0.0938,93.8746,1.5,39,18,1,0.0556,0.0917,VELO_BAND_1.5,0.0,0.1945,0.1584,0.1588,0.2225,0.2031,0.1945,0.1589,0.1886,0.2352,0.2426,0.1898,4-Seam,0.4286,95.2433,0.2344,0.2837,Changeup,0.2857,87.2074,0.2807,0.2234,Cutter,0.2188,91.1944,0.2683,0.25,Curve,0.0669,79.3045,0.2857,0.2727,95.9,65.2,30.7,4.1,0.0,0.0,34.8,4.1,0.0,34.8,65.2,4.1,95.9,0.0,100.0,0.0,100.0,8.8,13.3,22.6,36.6,86.7,91.8,6.1,9.1,8.3,8.8,20.0,20.0,23.1,0.0,0.0,0.0,4.5,13.0,20.4,34.0,87.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.0,26.0,25.8,22.1,11.1,26.5,8.8,19.2,100.0,42.9,9.4,19.4,15.8,15.9,22.3,20.3,19.4,15.9,18.9,23.5,24.3,19.0,23.5,14.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
