rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,WSH,DET,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.005,7.005,7.01,1.0,0.2971,689981,River Ryan,R,1.15,0.6,0.3151,1.5,LESS,0.9732,-3631,60,84,0.2162,0.3151,0.0,0.7118,0.2614,0.0267,0.0001,0.0,0.2882,0.0268,0.0001,0.2882,0.7118,0.0268,0.9732,0.0001,0.9999,0.0,1.0,237,20,0.0844,730,401,49,0.1222,0.2,0.3925,0.8778,0.949,0.1466,5,0,19,0.0,0.0,0.0,0.0,10,3,35,0.3,0.0857,0.3,0.0,15,3,54,0.2,0.0556,0.2,0.0,186,11,0.0591,0.1118,0.1809,0.3993,0.8882,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,0,0,0.225,0.115,0.285,0.115,,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.1399,0.1033,0.0812,0.225,0.225,0.1399,0.2559,0.1399,0.2162,0.2486,0.1546,,,,,,,,,,,,,,,,,,,,,,,,,,97.3,71.2,26.1,2.7,0.0,0.0,28.8,2.7,0.0,28.8,71.2,2.7,97.3,0.0,100.0,0.0,100.0,8.4,12.2,20.0,39.2,87.8,94.9,14.7,0.0,8.6,5.6,0.0,30.0,20.0,0.0,0.0,0.0,5.9,11.2,18.1,39.9,88.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,11.5,28.5,11.5,11.5,28.5,11.5,22.5,0.0,,,14.0,10.3,8.1,22.5,22.5,14.0,25.6,14.0,21.6,24.9,15.5,21.6,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,DET,WSH,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,8.0067,8.02,2.0,0.3943,687792,DJ Herz,L,1.15,0.6,0.3966,1.5,LESS,0.9576,-2256,59,84,0.2034,0.3966,0.0,0.646,0.3116,0.0423,0.0002,0.0,0.354,0.0424,0.0002,0.354,0.646,0.0424,0.9576,0.0002,0.9998,0.0,1.0,316,50,0.1582,1197,571,84,0.1471,0.2398,0.2769,0.8529,0.9315,0.1765,5,4,17,0.8,0.2353,0.6,0.2,10,7,34,0.7,0.2059,0.5,0.2,15,10,50,0.6667,0.2,0.4667,0.2,76,12,0.1579,0.1111,0.2308,0.2344,0.8889,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,0,0,0.225,0.115,0.285,0.115,,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.1864,0.1991,0.1716,0.225,0.225,0.1864,0.2851,0.1864,0.2034,0.2089,0.2021,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,64.6,31.2,4.2,0.0,0.0,35.4,4.2,0.0,35.4,64.6,4.2,95.8,0.0,100.0,0.0,100.0,15.8,14.7,24.0,27.7,85.3,93.2,17.6,23.5,20.6,20.0,60.0,50.0,46.7,20.0,20.0,20.0,15.8,11.1,23.1,23.4,88.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,11.5,28.5,11.5,11.5,28.5,11.5,22.5,0.0,,,18.6,19.9,17.2,22.5,22.5,18.6,28.5,18.6,20.3,20.9,20.2,20.3,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-21,823169,2026-09-22T01:45:00Z,Scheduled,MIN,SF,702176,Alan Roden,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,5.0,5.0,5.0,1.0,0.1771,694918,Blade Tidwell,R,1.15,0.78,0.3975,1.5,LESS,0.9572,-2236,64,85,0.1949,0.3975,0.0,0.6454,0.3118,0.0428,0.0,0.0,0.3546,0.0428,0.0,0.3546,0.6454,0.0428,0.9572,0.0,1.0,0.0,1.0,79,11,0.1392,275,126,20,0.1587,0.2364,0.2571,0.8413,0.9222,0.2143,5,2,18,0.4,0.1111,0.4,0.0,10,4,31,0.4,0.129,0.4,0.0,15,6,43,0.4,0.1395,0.4,0.0,66,9,0.1364,0.1553,0.2447,0.2581,0.8447,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,175,32,0.1829,0.1859,0.2594,0.1652,88.9338,0.1369,0.2723,0.1645,0.1934,1.0,4-Seam,0.3093,0.14,94.0549,1.5,56,29,3,0.1034,0.1091,VELO_BAND_1.5,0.0,0.197,0.1677,0.1676,0.1982,0.22,0.197,0.3353,0.205,0.1949,0.2025,0.1982,4-Seam,0.3093,94.7682,0.1047,0.2556,Sweeper,0.2996,82.2949,0.3069,0.3194,Sinker,0.1983,92.9427,0.0656,0.2378,Slider,0.0957,88.1377,0.2059,0.2174,Curve,0.0499,83.3944,0.3,0.25,95.7,64.5,31.2,4.3,0.0,0.0,35.5,4.3,0.0,35.5,64.5,4.3,95.7,0.0,100.0,0.0,100.0,13.9,15.9,23.6,25.7,84.1,92.2,21.4,11.1,12.9,14.0,40.0,40.0,40.0,0.0,0.0,0.0,13.6,15.5,24.5,25.8,84.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.3,18.6,25.9,16.5,13.7,27.2,16.4,19.3,100.0,30.9,14.0,19.7,16.8,16.8,19.8,22.0,19.7,33.5,20.5,19.5,20.2,19.8,19.5,14.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Changeup,0.0458,83.297,0.1,0.0909,,,,,,,,,,,,,
4,2026-09-21,823169,2026-09-22T01:45:00Z,Scheduled,MIN,SF,680777,Ryan Jeffers,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,3.5,3.5,3.0,1.0,0.56,694918,Blade Tidwell,R,1.15,0.78,0.4136,1.5,LESS,0.9555,-2148,69,86,0.1949,0.4136,0.0,0.6308,0.3247,0.0445,0.0,0.0,0.3692,0.0445,0.0,0.3692,0.6308,0.0445,0.9555,0.0,1.0,0.0,1.0,205,37,0.1805,828,344,54,0.157,0.2717,0.2834,0.843,0.8969,0.1127,5,4,19,0.8,0.2105,0.4,0.2,10,8,39,0.8,0.2051,0.5,0.2,15,12,61,0.8,0.1967,0.6,0.1333,129,23,0.1783,0.1732,0.2739,0.3175,0.8268,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,175,32,0.1829,0.1859,0.2594,0.1652,88.9338,0.1486,0.2944,0.1118,0.2247,1.0,4-Seam,0.3093,0.0732,94.0549,1.5,169,73,7,0.0959,0.1012,VELO_BAND_1.5,0.0,0.2054,0.2062,0.1878,0.1982,0.246,0.2054,0.2196,0.1999,0.1949,0.2126,0.2091,4-Seam,0.3093,94.7682,0.1047,0.2556,Sweeper,0.2996,82.2949,0.3069,0.3194,Sinker,0.1983,92.9427,0.0656,0.2378,Slider,0.0957,88.1377,0.2059,0.2174,Curve,0.0499,83.3944,0.3,0.25,95.6,63.1,32.5,4.4,0.0,0.0,36.9,4.4,0.0,36.9,63.1,4.4,95.6,0.0,100.0,0.0,100.0,18.0,15.7,27.2,28.3,84.3,89.7,11.3,21.1,20.5,19.7,40.0,50.0,60.0,20.0,20.0,13.3,17.8,17.3,27.4,31.8,82.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.3,18.6,25.9,16.5,14.9,29.4,11.2,22.5,100.0,30.9,7.3,20.5,20.6,18.8,19.8,24.6,20.5,22.0,20.0,19.5,21.3,20.9,19.5,57.1,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Changeup,0.0458,83.297,0.1,0.0909,,,,,,,,,,,,,
5,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,DET,WSH,690993,Colt Keith,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,9.01,9.01,9.01,4.0,0.1429,687792,DJ Herz,L,1.15,0.6,0.4263,1.5,LESS,0.9523,-1997,56,83,0.2034,0.4263,0.0,0.6214,0.3309,0.0476,0.0,0.0,0.3786,0.0477,0.0,0.3786,0.6214,0.0477,0.9523,0.0,1.0,0.0,1.0,271,50,0.1845,1046,463,84,0.1814,0.2562,0.2524,0.8186,0.903,0.1908,5,2,13,0.4,0.1538,0.4,0.0,10,6,26,0.6,0.2308,0.5,0.1,15,11,38,0.7333,0.2895,0.5333,0.2,15,3,0.2,0.25,0.3091,0.2,0.75,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,0,0,0.225,0.115,0.285,0.115,,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.2076,0.2054,0.2062,0.225,0.225,0.2076,0.2869,0.2076,0.2034,0.2034,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,62.1,33.1,4.8,0.0,0.0,37.9,4.8,0.0,37.9,62.1,4.8,95.2,0.0,100.0,0.0,100.0,18.5,18.1,25.6,25.2,81.9,90.3,19.1,15.4,23.1,28.9,40.0,50.0,53.3,0.0,10.0,20.0,20.0,25.0,30.9,20.0,75.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,11.5,28.5,11.5,11.5,28.5,11.5,22.5,0.0,,,20.8,20.5,20.6,22.5,22.5,20.8,28.7,20.8,20.3,20.3,21.5,20.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-21,824787,2026-09-21T22:35:00Z,Scheduled,BAL,TOR,650968,Yohel Pozo,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.02,7.02,9.02,1.0,0.2857,702056,Trey Yesavage,R,1.15,0.7407,0.4413,1.5,LESS,0.9482,-1829,61,84,0.2299,0.4413,0.0,0.6106,0.3375,0.0517,0.0001,0.0,0.3894,0.0518,0.0001,0.3894,0.6106,0.0518,0.9482,0.0001,0.9999,0.0,1.0,26,4,0.1538,96,57,12,0.2105,0.2396,0.5172,0.7895,0.8519,0.1905,5,0,10,0.0,0.0,0.0,0.0,10,2,19,0.2,0.1053,0.2,0.0,13,4,26,0.3077,0.1538,0.3077,0.0,19,4,0.2105,0.2609,0.2703,0.5745,0.7391,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,285,62,0.2175,0.284,0.2787,0.25,89.5085,0.1371,0.2871,0.1335,0.2209,0.732,4-Seam,0.4622,0.2105,94.352,2.5,29,16,3,0.1875,0.1414,VELO_BAND_2.5,0.0,0.2189,0.1753,0.2171,0.2195,0.2363,0.2189,0.305,0.2377,0.2299,0.2595,0.2198,4-Seam,0.4622,94.352,0.1632,0.2601,Slider,0.2698,87.4515,0.3901,0.33,Splitter,0.268,83.2279,0.3881,0.2591,,,,,,,,,,,94.8,61.1,33.8,5.2,0.0,0.0,38.9,5.2,0.0,38.9,61.1,5.2,94.8,0.0,100.0,0.0,100.0,15.4,21.1,24.0,51.7,78.9,85.2,19.0,0.0,10.5,15.4,0.0,20.0,30.8,0.0,0.0,0.0,21.1,26.1,27.0,57.4,73.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.8,28.4,27.9,25.0,13.7,28.7,13.4,22.1,73.2,46.2,21.1,21.9,17.5,21.7,21.9,23.6,21.9,30.5,23.8,23.0,25.9,22.0,23.0,28.6,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,WSH,DET,691781,Brady House,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,5.0,5.2525,5.0,2.0,0.5371,689981,River Ryan,R,1.15,0.6,0.4562,1.5,LESS,0.9464,-1767,55,82,0.2162,0.4562,0.0,0.5974,0.349,0.0535,0.0001,0.0,0.4026,0.0536,0.0001,0.4026,0.5974,0.0536,0.9464,0.0001,0.9999,0.0,1.0,156,36,0.2308,548,273,63,0.2308,0.2536,0.3421,0.7692,0.8698,0.2892,5,3,11,0.6,0.2727,0.6,0.0,10,5,29,0.5,0.1724,0.4,0.1,15,8,50,0.5333,0.16,0.4667,0.0667,105,24,0.2286,0.2151,0.2627,0.3172,0.7849,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,0,0,0.225,0.115,0.285,0.115,,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.2363,0.2266,0.2317,0.225,0.225,0.2363,0.2869,0.2363,0.2162,0.2455,0.2328,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,59.7,34.9,5.3,0.0,0.0,40.3,5.4,0.0,40.3,59.7,5.4,94.6,0.0,100.0,0.0,100.0,23.1,23.1,25.4,34.2,76.9,87.0,28.9,27.3,17.2,16.0,60.0,40.0,46.7,0.0,10.0,6.7,22.9,21.5,26.3,31.7,78.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,11.5,28.5,11.5,11.5,28.5,11.5,22.5,0.0,,,23.6,22.7,23.2,22.5,22.5,23.6,28.7,23.6,21.6,24.5,23.3,21.6,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,DET,WSH,595879,Javier Báez,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,6.03,6.03,6.03,3.0,0.1543,687792,DJ Herz,L,1.15,0.6,0.4534,1.5,LESS,0.9464,-1766,52,82,0.2034,0.4534,0.0,0.6002,0.3462,0.0536,0.0,0.0,0.3998,0.0536,0.0,0.3998,0.6002,0.0536,0.9464,0.0,1.0,0.0,1.0,103,22,0.2136,370,189,55,0.291,0.3351,0.4493,0.709,0.8021,0.197,5,6,15,1.2,0.4,0.6,0.4,10,9,29,0.9,0.3103,0.6,0.2,15,12,44,0.8,0.2727,0.5333,0.2,34,5,0.1471,0.2667,0.2844,0.45,0.7333,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,0,0,0.225,0.115,0.285,0.115,,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.2279,0.2718,0.2015,0.225,0.225,0.2279,0.2869,0.2279,0.2034,0.2717,0.2325,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,60.0,34.6,5.4,0.0,0.0,40.0,5.4,0.0,40.0,60.0,5.4,94.6,0.0,100.0,0.0,100.0,21.4,29.1,33.5,44.9,70.9,80.2,19.7,40.0,31.0,27.3,60.0,60.0,53.3,40.0,20.0,20.0,14.7,26.7,28.4,45.0,73.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,11.5,28.5,11.5,11.5,28.5,11.5,22.5,0.0,,,22.8,27.2,20.1,22.5,22.5,22.8,28.7,22.8,20.3,27.2,23.2,20.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,WSH,DET,665953,Andrés Chaparro,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,2.505,2.505,3.0,8.0,0.2286,689981,River Ryan,R,1.15,0.6,0.4592,1.5,LESS,0.9463,-1763,56,83,0.2162,0.4592,0.0,0.5945,0.3518,0.0537,0.0,0.0,0.4055,0.0537,0.0,0.4055,0.5945,0.0537,0.9463,0.0,1.0,0.0,1.0,194,46,0.2371,740,368,112,0.3043,0.2838,0.3102,0.6957,0.8148,0.254,5,1,15,0.2,0.0667,0.2,0.0,10,8,29,0.8,0.2759,0.5,0.3,15,13,47,0.8667,0.2766,0.5333,0.2667,73,15,0.2055,0.2949,0.2721,0.3356,0.7051,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,0,0,0.225,0.115,0.285,0.115,,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.2402,0.2237,0.2225,0.225,0.225,0.2402,0.2869,0.2402,0.2162,0.2445,0.2327,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,59.5,35.2,5.4,0.0,0.0,40.5,5.4,0.0,40.5,59.5,5.4,94.6,0.0,100.0,0.0,100.0,23.7,30.4,28.4,31.0,69.6,81.5,25.4,6.7,27.6,27.7,20.0,50.0,53.3,0.0,30.0,26.7,20.5,29.5,27.2,33.6,70.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,11.5,28.5,11.5,11.5,28.5,11.5,22.5,0.0,,,24.0,22.4,22.2,22.5,22.5,24.0,28.7,24.0,21.6,24.5,23.3,21.6,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-21,824787,2026-09-21T22:35:00Z,Scheduled,BAL,TOR,676480,José Barrero,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,702056,Trey Yesavage,R,1.15,0.7407,0.4541,1.5,LESS,0.946,-1750,54,82,0.2299,0.4541,0.0,0.6002,0.3457,0.0538,0.0003,0.0,0.3998,0.054,0.0003,0.3998,0.6002,0.054,0.946,0.0003,0.9997,0.0,1.0,0,0,0.225,0,0,0,0.115,0.285,0.285,0.755,0.825,0.115,0,0,0,,0.225,,,0,0,0,,0.225,,,0,0,0,,0.225,,,0,0,0.225,0.115,0.285,0.285,0.755,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,285,62,0.2175,0.284,0.2787,0.25,89.5085,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.225,0.225,0.225,0.2195,0.225,0.225,0.225,0.225,0.2299,0.225,0.2244,4-Seam,0.4622,94.352,0.1632,0.2601,Slider,0.2698,87.4515,0.3901,0.33,Splitter,0.268,83.2279,0.3881,0.2591,,,,,,,,,,,94.6,60.0,34.6,5.4,0.0,0.0,40.0,5.4,0.0,40.0,60.0,5.4,94.6,0.0,100.0,0.0,100.0,22.5,11.5,28.5,28.5,75.5,82.5,11.5,22.5,22.5,22.5,,,,,,,22.5,11.5,28.5,28.5,75.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.8,28.4,27.9,25.0,11.5,28.5,11.5,22.5,0.0,,,22.5,22.5,22.5,21.9,22.5,22.5,22.5,22.5,23.0,22.5,22.4,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
