rank,date,game_pk,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_starts,last7_start_rate_pct,last7_most_recent_order,starter_id,starter,starter_hand,expected_pa,starter_pa_share,bullpen_k_pa_pct,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds,proj_k,line,play,true_probability_pct,fair_odds,confidence,ai_score,l5_k_per_game,l10_k_per_game,l15_k_per_game,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,bvp_pa,bvp_k,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_pitches,bvp_whiff_pct,bvp_csw_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_reliability,split_pa,split_k_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,top_pitch,top_pitch_usage_pct,top_pitch_batter_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw_pct,velo_band_source,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct
1,2026-09-23,824223,WSH,DET,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,8.0,664285,Framber Valdez,L,1.15,0.78,21.7,,,,,,,,,,,,,,0.3106,1.5,LESS,97.5,-3862,72,87,0.0,0.1,0.2,0.0,10.0,20.0,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,49,18.4,16.9,18.0,25.0,Sinker,42.5,8.3,12.7,24.2,93.8537,1.5,168,85,9,10.6,VELO_BAND_1.5,28.5,71.5,2.5,97.5,0.0,100.0,0.0,100.0,71.5,26.0,2.5,0.0,0.0
2,2026-09-23,823410,MIL,PHI,686217,Sal Frelick,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,4,57.1,9.0,605400,Aaron Nola,R,1.15,0.78,25.7,,,,,,,,,,,,,,0.3218,1.5,LESS,97.2,-3451,74,88,0.0,0.2,0.3333,0.0,20.0,26.7,0.0,0.0,6.7,2,0,0.0,21.5,9,0.0,22.2,14.3,100.0,100.0,0.0,0.0545,146,11.0,24.1,26.4,29.2,Knuckle Curve,33.6,0.0,9.1,25.4,91.2827,1.5,120,42,0,0.0,VELO_BAND_1.5,29.4,70.6,2.8,97.2,0.0,100.0,0.0,100.0,70.6,26.6,2.8,0.0,0.0
3,2026-09-23,823327,STL,PIT,665877,José Fermín,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,1.0,669199,Lake Bachar,R,1.15,0.42,24.1,,,,,,,,,,,,,,0.3511,1.5,LESS,96.8,-3033,75,88,0.4,0.4,0.4,20.0,30.0,33.3,20.0,10.0,6.7,2,1,50.0,23.7,7,0.0,28.6,0.0,100.0,100.0,0.0,0.0484,169,13.6,23.8,25.8,28.1,4-Seam,28.8,8.8,11.4,28.0,94.0179,1.5,281,134,10,7.5,VELO_BAND_1.5,31.9,68.1,3.2,96.8,0.0,100.0,0.0,100.0,68.1,28.7,3.2,0.0,0.0
4,2026-09-23,823894,LAD,SD,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,2,28.6,9.01,592662,Robbie Ray,L,1.15,0.78,21.7,,,,,,,,,,,,,,0.3563,1.5,LESS,96.6,-2841,72,87,0.2,0.2,0.3333,20.0,20.0,33.3,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,114,11.4,19.5,22.7,23.8,4-Seam,24.0,3.7,14.8,24.7,92.7986,1.5,109,56,2,3.6,VELO_BAND_1.5,32.2,67.8,3.4,96.6,0.0,100.0,0.0,100.0,67.8,28.8,3.4,0.0,0.0
5,2026-09-23,824060,CWS,KC,803011,Sam Antonacci,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,2.01,607625,Seth Lugo,R,1.15,0.78,19.2,,,,,,,,,,,,,,0.3597,1.5,LESS,96.6,-2817,83,90,0.2,0.2,0.3333,20.0,20.0,33.3,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,313,14.7,16.8,17.5,26.1,Sinker,18.9,10.5,12.9,25.6,91.0083,1.5,200,90,11,12.2,VELO_BAND_1.5,32.5,67.5,3.4,96.6,0.0,100.0,0.0,100.0,67.5,29.1,3.4,0.0,0.0
6,2026-09-23,824301,COL,AZ,681198,TJ Rumfield,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,4,57.1,3.0,518876,Merrill Kelly,R,1.15,0.78,18.7,,,,,,,,,,,,,,0.3586,1.5,LESS,96.5,-2767,84,91,0.8,0.6,0.6,60.0,50.0,53.3,20.0,10.0,6.7,3,0,0.0,21.1,10,0.0,0.0,14.3,100.0,100.0,11.5,0.0693,256,13.3,16.7,18.4,22.9,Changeup,28.6,16.7,14.9,21.6,91.9668,1.5,270,115,13,11.3,VELO_BAND_1.5,32.4,67.6,3.5,96.5,0.0,100.0,0.0,100.0,67.6,28.9,3.5,0.0,0.0
7,2026-09-23,824301,COL,AZ,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,7.0,518876,Merrill Kelly,R,1.15,0.78,18.7,,,,,,,,,,,,,,0.3587,1.5,LESS,96.5,-2757,72,87,0.2,0.4,0.4667,20.0,30.0,33.3,0.0,10.0,13.3,2,1,50.0,23.7,8,50.0,37.5,40.0,50.0,100.0,100.0,0.0516,112,17.0,16.7,18.4,22.9,Changeup,28.6,23.3,12.3,24.6,91.9668,1.5,94,46,1,2.2,VELO_BAND_1.5,32.4,67.6,3.5,96.5,0.0,100.0,0.0,100.0,67.6,28.9,3.5,0.0,0.0
8,2026-09-23,824060,KC,CWS,686469,Vinnie Pasquantino,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,5.0,663542,Bryan Hudson,L,1.15,0.42,21.6,,,,,,,,,,,,,,0.3668,1.5,LESS,96.4,-2693,68,86,0.6,0.7,0.6,40.0,50.0,46.7,20.0,20.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,67,10.4,21.5,20.1,29.7,4-Seam,68.3,8.3,10.3,25.2,91.9853,1.5,144,68,3,4.4,VELO_BAND_1.5,33.1,66.9,3.6,96.4,0.0,100.0,0.0,100.0,66.9,29.5,3.6,0.0,0.0
9,2026-09-23,824951,LAA,ATH,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,1,14.3,9.0,605488,Jeffrey Springs,L,1.15,0.78,21.1,,,,,,,,,,,,,,0.3668,1.5,LESS,96.3,-2582,68,86,0.4,0.4,0.4,20.0,20.0,26.7,20.0,20.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,29,10.3,16.5,19.3,23.9,4-Seam,43.0,13.8,14.6,25.3,90.9597,1.5,31,15,0,0.0,VELO_BAND_1.5,32.9,67.1,3.7,96.3,0.0,100.0,0.0,100.0,67.1,29.2,3.7,0.0,0.0
10,2026-09-23,824223,DET,WSH,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,2.01,663992,Richard Lovelady,L,1.15,0.42,20.4,,,,,,,,,,,,,,0.3874,1.5,LESS,96.1,-2454,68,86,0.6,0.6,0.6667,40.0,40.0,46.7,20.0,20.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,76,15.8,16.1,13.7,24.6,Sweeper,43.5,27.8,13.1,25.4,91.077,1.5,133,59,7,11.9,VELO_BAND_1.5,34.8,65.2,3.9,96.1,0.0,100.0,0.0,100.0,65.2,30.9,3.9,0.0,0.0
