rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-25,823735,2026-09-25T23:40:00Z,Scheduled,STL,MIL,665877,José Fermín,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,1.01,2.6733,6.01,1.0,0.4171,688107,Robert Gasser,L,1.15,0.78,0.3351,1.5,LESS,0.9701,-3247,77,89,0.2562,0.3351,0.0,0.6948,0.2753,0.0298,0.0001,0.0,0.3052,0.0299,0.0001,0.3052,0.6948,0.0299,0.9701,0.0001,0.9999,0.0,1.0,293,35,0.1195,1198,486,50,0.1029,0.2654,0.2272,0.8971,0.9266,0.0756,5,1,18,0.2,0.0556,0.2,0.0,10,5,36,0.5,0.1389,0.4,0.1,15,6,54,0.4,0.1111,0.3333,0.0667,121,11,0.0909,0.0935,0.2584,0.2346,0.9065,3,0,0.0,0.2109,12,0.0,0.1104,0.1667,0.2742,0.1667,1.0,1.0,0.0,79.0,0.0,0.0,401,87,0.217,0.1947,0.2593,0.1851,88.4368,0.1046,0.2681,0.0794,0.1555,1.0,Sweeper,0.2542,0.125,91.6622,1.5,208,78,6,0.0769,0.087,VELO_BAND_1.5,0.0754,0.1551,0.1346,0.1144,0.2186,0.1815,0.1595,0.1516,0.1668,0.2562,0.1844,0.1614,Sweeper,0.2542,80.5776,0.2487,0.2771,4-Seam,0.235,92.9439,0.2315,0.2316,Sinker,0.2138,92.8596,0.0902,0.3144,Cutter,0.1831,88.6192,0.1481,0.2413,Changeup,0.1076,88.331,0.2436,0.2083,Slider,0.0064,83.88,0.0,0.1,97.0,69.5,27.5,3.0,0.0,0.0,30.5,3.0,0.0,30.5,69.5,3.0,97.0,0.0,100.0,0.0,100.0,11.9,10.3,26.5,22.7,89.7,92.7,7.6,5.6,13.9,11.1,20.0,40.0,33.3,0.0,10.0,6.7,9.1,9.3,25.8,23.5,90.7,0.0,21.1,0.0,11.0,16.7,27.4,16.7,100.0,100.0,0.0,21.7,19.5,25.9,18.5,10.5,26.8,7.9,15.6,100.0,25.4,12.5,15.5,13.5,11.4,21.9,18.1,15.9,15.2,16.7,25.6,18.4,16.1,25.6,42.9,7.7,3.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.3333,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-25,823409,2026-09-25T22:40:00Z,Scheduled,TB,PHI,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,4.0,5.0033,4.0,2.0,0.4171,650911,Cristopher Sánchez,L,1.15,0.78,0.3402,1.5,LESS,0.9701,-3247,76,88,0.2578,0.3402,0.0,0.6897,0.2804,0.0299,0.0,0.0,0.3103,0.0299,0.0,0.3103,0.6897,0.0299,0.9701,0.0,1.0,0.0,1.0,335,34,0.1015,1250,506,56,0.1107,0.2464,0.2684,0.8893,0.9755,0.1211,5,2,17,0.4,0.1176,0.4,0.0,10,4,28,0.4,0.1429,0.4,0.0,15,5,46,0.3333,0.1087,0.3333,0.0,77,11,0.1429,0.1193,0.2814,0.3203,0.8807,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,507,126,0.2485,0.2827,0.2966,0.2659,90.6947,0.1106,0.2526,0.1279,0.1434,1.0,Sinker,0.4509,0.025,95.0834,1.5,268,120,4,0.0333,0.0488,VELO_BAND_1.5,0.0,0.1426,0.1391,0.1427,0.2446,0.1765,0.1426,0.2436,0.1548,0.2578,0.2014,0.1667,Sinker,0.4509,95.0834,0.1005,0.2829,Changeup,0.3627,87.322,0.4185,0.2793,Slider,0.1864,86.6403,0.414,0.3634,,,,,,,,,,,,,,,,97.0,69.0,28.0,3.0,0.0,0.0,31.0,3.0,0.0,31.0,69.0,3.0,97.0,0.0,100.0,0.0,100.0,10.1,11.1,24.6,26.8,88.9,97.6,12.1,11.8,14.3,10.9,40.0,40.0,33.3,0.0,0.0,0.0,14.3,11.9,28.1,32.0,88.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.9,28.3,29.7,26.6,11.1,25.3,12.8,14.3,100.0,45.1,2.5,14.3,13.9,14.3,24.5,17.6,14.3,24.4,15.5,25.8,20.1,16.7,25.8,42.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-25,824544,2026-09-25T23:40:00Z,Scheduled,CWS,COL,803011,Sam Antonacci,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,1.0,1.3367,1.0,1.0,0.4629,608372,Tomoyuki Sugano,R,1.15,0.78,0.3418,1.5,LESS,0.9693,-3159,83,90,0.1745,0.3418,0.0,0.689,0.2804,0.0306,0.0,0.0,0.311,0.0307,0.0,0.311,0.689,0.0307,0.9693,0.0,1.0,0.0,1.0,394,60,0.1523,1531,662,80,0.1208,0.2345,0.2205,0.8792,0.9232,0.1445,5,0,16,0.0,0.0,0.0,0.0,10,1,34,0.1,0.0294,0.1,0.0,15,4,54,0.2667,0.0741,0.2667,0.0,310,44,0.1419,0.12,0.227,0.2103,0.88,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,389,60,0.1542,0.1853,0.222,0.1719,88.3396,0.1286,0.2482,0.1398,0.1758,1.0,Splitter,0.2174,0.2,91.9975,1.5,266,116,13,0.1121,0.1126,VELO_BAND_1.5,0.0,0.1764,0.1108,0.1483,0.1687,0.2026,0.1764,0.2781,0.2123,0.1745,0.1836,0.1698,Splitter,0.2174,86.7747,0.3012,0.1921,4-Seam,0.2081,92.7815,0.1529,0.2325,Sinker,0.1875,92.7081,0.0556,0.2226,Sweeper,0.1093,83.7109,0.2537,0.303,Cutter,0.1027,89.1116,0.1447,0.2,Curve,0.0908,79.8949,0.2344,0.2409,96.9,68.9,28.0,3.1,0.0,0.0,31.1,3.1,0.0,31.1,68.9,3.1,96.9,0.0,100.0,0.0,100.0,15.2,12.1,23.4,22.0,87.9,92.3,14.5,0.0,2.9,7.4,0.0,10.0,26.7,0.0,0.0,0.0,14.2,12.0,22.7,21.0,88.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,15.4,18.5,22.2,17.2,12.9,24.8,14.0,17.6,100.0,21.7,20.0,17.6,11.1,14.8,16.9,20.3,17.6,27.8,21.2,17.4,18.4,17.0,17.4,42.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-25,824706,2026-09-25T22:05:00Z,Scheduled,CHC,BOS,608324,Alex Bregman,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,4.0,3.3333,2.0,6.0,0.36,678394,Brayan Bello,R,1.15,0.6389,0.3509,1.5,LESS,0.9674,-2971,82,90,0.233,0.3509,0.0,0.6817,0.2857,0.0325,0.0,0.0,0.3183,0.0326,0.0,0.3183,0.6817,0.0326,0.9674,0.0,1.0,0.0,1.0,442,58,0.1312,1750,751,94,0.1252,0.2497,0.2458,0.8748,0.9319,0.1076,5,2,20,0.4,0.1,0.4,0.0,10,3,40,0.3,0.075,0.3,0.0,15,4,62,0.2667,0.0645,0.2667,0.0,334,49,0.1467,0.1326,0.2595,0.2526,0.8674,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,256,55,0.2148,0.2177,0.2518,0.2077,91.947,0.1097,0.2453,0.0775,0.1259,1.0,Sinker,0.3415,0.034,94.4355,1.5,379,182,11,0.0604,0.0677,VELO_BAND_1.5,0.0,0.1615,0.1265,0.1493,0.2177,0.1661,0.1615,0.1811,0.158,0.233,0.1941,0.165,Sinker,0.3415,96.1313,0.0949,0.2657,Changeup,0.2487,89.4459,0.2113,0.1598,Sweeper,0.1529,86.4267,0.4,0.3133,Cutter,0.1284,88.1032,0.4286,0.3968,4-Seam,0.1193,96.3991,0.1571,0.188,,,,,,96.7,68.2,28.6,3.3,0.0,0.0,31.8,3.3,0.0,31.8,68.2,3.3,96.7,0.0,100.0,0.0,100.0,13.1,12.5,25.0,24.6,87.5,93.2,10.8,10.0,7.5,6.5,40.0,30.0,26.7,0.0,0.0,0.0,14.7,13.3,26.0,25.3,86.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.5,21.8,25.2,20.8,11.0,24.5,7.8,12.6,100.0,34.1,3.4,16.1,12.6,14.9,21.8,16.6,16.1,18.1,15.8,23.3,19.4,16.5,23.3,42.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-25,823409,2026-09-25T22:40:00Z,Scheduled,PHI,TB,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,642547,Freddy Peralta,R,1.15,0.78,0.3713,1.5,LESS,0.9648,-2744,65,85,0.2236,0.3713,0.0,0.6639,0.301,0.0351,0.0,0.0,0.3361,0.0352,0.0,0.3361,0.6639,0.0352,0.9648,0.0,1.0,0.0,1.0,31,2,0.0645,128,68,8,0.1176,0.2266,0.3582,0.8824,0.9091,0.0312,5,1,11,0.2,0.0909,0.2,0.0,10,2,24,0.2,0.0833,0.2,0.0,12,2,31,0.1667,0.0645,0.1667,0.0,20,1,0.05,0.12,0.2043,0.3333,0.88,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,445,89,0.2,0.2295,0.2361,0.1958,89.4648,0.1149,0.2636,0.0832,0.1894,0.9951,4-Seam,0.5189,0.1034,94.5501,1.5,35,17,1,0.0588,0.0938,VELO_BAND_1.5,0.0,0.1887,0.1545,0.1579,0.2046,0.2038,0.1887,0.1546,0.1868,0.2236,0.2377,0.1845,4-Seam,0.5189,94.5501,0.1826,0.237,Changeup,0.24,87.3941,0.271,0.1991,Curve,0.129,79.2217,0.3028,0.3149,Sweeper,0.0884,82.3391,0.25,0.2298,Slider,0.0181,83.1727,0.3636,0.1515,CS,0.0049,74.0556,0.5,0.3333,96.5,66.4,30.1,3.5,0.0,0.0,33.6,3.5,0.0,33.6,66.4,3.5,96.5,0.0,100.0,0.0,100.0,6.5,11.8,22.7,35.8,88.2,90.9,3.1,9.1,8.3,6.5,20.0,20.0,16.7,0.0,0.0,0.0,5.0,12.0,20.4,33.3,88.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.0,23.0,23.6,19.6,11.5,26.4,8.3,18.9,99.5,51.9,10.3,18.9,15.5,15.8,20.5,20.4,18.9,15.5,18.7,22.4,23.8,18.5,22.4,0.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-25,822760,2026-09-25T23:07:00Z,Scheduled,TOR,CIN,665489,Vladimir Guerrero Jr.,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,2.0,2.25,2.0,2.0,0.5486,666157,Nick Lodolo,L,1.15,0.78,0.3686,1.5,LESS,0.9637,-2656,78,89,0.2039,0.3686,0.0,0.6678,0.296,0.0362,0.0001,0.0,0.3322,0.0363,0.0001,0.3322,0.6678,0.0363,0.9637,0.0001,0.9999,0.0,1.0,374,54,0.1444,1332,618,108,0.1748,0.2387,0.2982,0.8252,0.9132,0.1832,5,1,18,0.2,0.0556,0.2,0.0,10,7,42,0.7,0.1667,0.5,0.2,15,11,63,0.7333,0.1746,0.6,0.1333,103,16,0.1553,0.1374,0.2165,0.2566,0.8626,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,371,62,0.1671,0.192,0.2509,0.1905,89.6461,0.1493,0.246,0.1207,0.1414,1.0,Sinker,0.2709,0.0797,93.6017,1.5,316,128,14,0.1094,0.1104,VELO_BAND_1.5,0.0,0.1787,0.1534,0.1648,0.1794,0.1972,0.1787,0.2925,0.21,0.2039,0.2206,0.1828,Sinker,0.2709,93.4898,0.0674,0.2934,4-Seam,0.2702,93.7138,0.125,0.202,Curve,0.2419,82.4231,0.413,0.28,Changeup,0.217,87.8334,0.2138,0.2261,,,,,,,,,,,96.4,66.8,29.6,3.6,0.0,0.0,33.2,3.6,0.0,33.2,66.8,3.6,96.4,0.0,100.0,0.0,100.0,14.4,17.5,23.9,29.8,82.5,91.3,18.3,5.6,16.7,17.5,20.0,50.0,60.0,0.0,20.0,13.3,15.5,13.7,21.7,25.7,86.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,16.7,19.2,25.1,19.0,14.9,24.6,12.1,14.1,100.0,27.1,8.0,17.9,15.3,16.5,17.9,19.7,17.9,29.2,21.0,20.4,22.1,18.3,20.4,57.1,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-25,823085,2026-09-26T02:10:00Z,Scheduled,LAA,SEA,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,682243,Bryce Miller,R,1.15,0.78,0.3831,1.5,LESS,0.9608,-2448,70,87,0.2298,0.3831,0.0,0.6562,0.3045,0.0392,0.0001,0.0,0.3438,0.0392,0.0001,0.3438,0.6562,0.0392,0.9608,0.0001,0.9999,0.0,1.0,120,12,0.1,408,226,40,0.177,0.2475,0.4225,0.823,0.9191,0.1299,5,2,13,0.4,0.1538,0.2,0.2,10,4,31,0.4,0.129,0.2,0.2,15,5,46,0.3333,0.1087,0.2,0.1333,90,10,0.1111,0.1908,0.2451,0.4224,0.8092,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,397,98,0.2469,0.2162,0.2458,0.2037,90.412,0.1443,0.2706,0.1305,0.187,0.9583,4-Seam,0.3902,0.1356,95.2088,1.5,95,51,10,0.1961,0.1673,VELO_BAND_1.5,0.0,0.1717,0.1587,0.1376,0.2425,0.221,0.1717,0.2548,0.2526,0.2298,0.2551,0.1897,4-Seam,0.3902,95.7911,0.1777,0.2434,Splitter,0.2426,84.4601,0.2877,0.2487,Slider,0.1053,87.1445,0.241,0.25,Sinker,0.0899,95.1686,0.0,0.2857,Sweeper,0.0719,83.5795,0.2449,0.2143,Cutter,0.0578,91.3378,0.2885,0.2667,96.1,65.6,30.5,3.9,0.0,0.0,34.4,3.9,0.0,34.4,65.6,3.9,96.1,0.0,100.0,0.0,100.0,10.0,17.7,24.8,42.3,82.3,91.9,13.0,15.4,12.9,10.9,20.0,20.0,20.0,20.0,20.0,13.3,11.1,19.1,24.5,42.2,80.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.7,21.6,24.6,20.4,14.4,27.1,13.1,18.7,95.8,39.0,13.6,17.2,15.9,13.8,24.2,22.1,17.2,25.5,25.3,23.0,25.5,19.0,23.0,0.0,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-25,824544,2026-09-25T23:40:00Z,Scheduled,COL,CWS,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.5,7.5,7.0,5.0,0.2514,680732,Sean Burke,R,1.15,0.78,0.3806,1.5,LESS,0.9605,-2433,71,87,0.216,0.3806,0.0,0.6589,0.3016,0.0395,0.0,0.0,0.3411,0.0395,0.0,0.3411,0.6589,0.0395,0.9605,0.0,1.0,0.0,1.0,147,20,0.1361,509,261,29,0.1111,0.2063,0.2954,0.8889,0.9319,0.1163,5,1,17,0.2,0.0588,0.2,0.0,10,4,32,0.4,0.125,0.3,0.1,15,7,51,0.4667,0.1373,0.3333,0.1333,110,19,0.1727,0.1333,0.2091,0.3222,0.8667,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,451,124,0.2749,0.2534,0.2882,0.2273,89.7378,0.1067,0.2487,0.0975,0.1887,1.0,4-Seam,0.3691,0.0899,93.969,1.5,94,48,4,0.0833,0.095,VELO_BAND_1.5,0.0,0.1772,0.1462,0.1744,0.2659,0.1963,0.1772,0.2092,0.1825,0.216,0.2121,0.1884,4-Seam,0.3691,95.1335,0.2331,0.2578,Knuckle Curve,0.1898,78.9017,0.2993,0.3043,Slider,0.1711,86.3367,0.3145,0.3473,Cutter,0.132,89.8042,0.2936,0.3583,Sinker,0.1287,94.9013,0.1239,0.2051,Changeup,0.0083,86.5067,0.6,0.2667,96.1,65.9,30.2,3.9,0.0,0.0,34.1,3.9,0.0,34.1,65.9,3.9,96.1,0.0,100.0,0.0,100.0,13.6,11.1,20.6,29.5,88.9,93.2,11.6,5.9,12.5,13.7,20.0,30.0,33.3,0.0,10.0,13.3,17.3,13.3,20.9,32.2,86.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,27.5,25.3,28.8,22.7,10.7,24.9,9.8,18.9,100.0,36.9,9.0,17.7,14.6,17.4,26.6,19.6,17.7,20.9,18.2,21.6,21.2,18.8,21.6,28.6,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-25,823248,2026-09-26T01:40:00Z,Scheduled,SD,AZ,687957,Dustin Harris,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.0,2.0,6.0,0.36,694297,Brandon Pfaadt,R,1.15,0.78,0.3811,1.5,LESS,0.9598,-2385,68,86,0.1866,0.3811,0.0,0.6592,0.3006,0.0402,0.0,0.0,0.3408,0.0402,0.0,0.3408,0.6592,0.0402,0.9598,0.0,1.0,0.0,1.0,82,11,0.1341,281,148,31,0.2095,0.2527,0.3333,0.7905,0.86,0.1163,5,4,22,0.8,0.1818,0.6,0.2,10,6,43,0.6,0.1395,0.5,0.1,15,8,61,0.5333,0.1311,0.4667,0.0667,73,8,0.1096,0.2074,0.249,0.3465,0.7926,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,377,60,0.1592,0.1912,0.2551,0.1918,89.2219,0.1394,0.2633,0.1022,0.1934,1.0,4-Seam,0.3047,0.0909,92.5218,1.5,45,21,2,0.0952,0.1065,VELO_BAND_1.5,0.0,0.1955,0.1766,0.1516,0.173,0.2201,0.1955,0.2138,0.201,0.1866,0.239,0.1898,4-Seam,0.3047,93.0931,0.101,0.2632,Changeup,0.1815,87.0406,0.2137,0.1888,Sinker,0.1472,92.9441,0.1062,0.2327,Curve,0.1276,82.7583,0.3286,0.3543,Sweeper,0.1276,84.2886,0.3263,0.2343,Cutter,0.1086,90.347,0.2179,0.2886,96.0,65.9,30.1,4.0,0.0,0.0,34.1,4.0,0.0,34.1,65.9,4.0,96.0,0.0,100.0,0.0,100.0,13.4,20.9,25.3,33.3,79.1,86.0,11.6,18.2,14.0,13.1,60.0,50.0,46.7,20.0,10.0,6.7,11.0,20.7,24.9,34.6,79.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,15.9,19.1,25.5,19.2,13.9,26.3,10.2,19.3,100.0,30.5,9.1,19.5,17.7,15.2,17.3,22.0,19.5,21.4,20.1,18.7,23.9,19.0,18.7,42.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-25,824220,2026-09-25T22:40:00Z,Scheduled,DET,PIT,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.01,6.0133,2.01,3.0,0.4514,696149,Bubba Chandler,R,1.15,0.78,0.3958,1.5,LESS,0.959,-2341,79,89,0.2414,0.3958,0.0,0.6451,0.3139,0.041,0.0,0.0,0.3549,0.041,0.0,0.3549,0.6451,0.041,0.959,0.0,1.0,0.0,1.0,306,48,0.1569,1165,552,81,0.1467,0.2386,0.2748,0.8533,0.9289,0.1721,5,3,12,0.6,0.25,0.4,0.2,10,4,29,0.4,0.1379,0.3,0.1,15,10,48,0.6667,0.2083,0.4667,0.2,232,37,0.1595,0.1588,0.2421,0.2867,0.8412,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,421,86,0.2043,0.1922,0.2558,0.2039,94.8371,0.1274,0.2349,0.1344,0.1738,1.0,4-Seam,0.4655,0.0725,98.1297,1.5,95,48,6,0.125,0.1213,VELO_BAND_1.5,0.0,0.1857,0.1838,0.1656,0.2083,0.1988,0.1857,0.2999,0.2174,0.2414,0.208,0.195,4-Seam,0.4655,98.2322,0.1957,0.2458,Slider,0.2397,91.6762,0.2085,0.27,Changeup,0.1186,91.0242,0.2152,0.2172,Sinker,0.0941,97.6223,0.0923,0.3248,Curve,0.0629,86.879,0.1714,0.2762,Sweeper,0.0192,87.95,0.2857,0.1562,95.9,64.5,31.4,4.1,0.0,0.0,35.5,4.1,0.0,35.5,64.5,4.1,95.9,0.0,100.0,0.0,100.0,15.7,14.7,23.9,27.5,85.3,92.9,17.2,25.0,13.8,20.8,40.0,30.0,46.7,20.0,10.0,20.0,15.9,15.9,24.2,28.7,84.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.4,19.2,25.6,20.4,12.7,23.5,13.4,17.4,100.0,46.6,7.2,18.6,18.4,16.6,20.8,19.9,18.6,30.0,21.7,24.1,20.8,19.5,24.1,42.9,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
