rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-26,823733,2026-09-26T23:10:00Z,Scheduled,MIL,STL,686217,Sal Frelick,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,8.005,8.2525,8.0,2.0,0.56,687273,Quinn Mathews,L,1.15,0.78,0.2996,1.5,LESS,0.9757,-4012,67,86,0.2056,0.2996,0.0,0.7248,0.2509,0.0243,0.0,0.0,0.2752,0.0243,0.0,0.2752,0.7248,0.0243,0.9757,0.0,1.0,0.0,1.0,187,17,0.0909,713,310,24,0.0774,0.237,0.2703,0.9226,0.9667,0.072,5,0,16,0.0,0.0,0.0,0.0,10,1,30,0.1,0.0333,0.1,0.0,15,4,49,0.2667,0.0816,0.2,0.0667,41,2,0.0488,0.0806,0.2381,0.2353,0.9194,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,191,39,0.2042,0.2388,0.2672,0.2345,87.3154,0.1023,0.2542,0.0983,0.1375,1.0,4-Seam,0.3868,0.0707,93.3137,1.5,163,63,3,0.0476,0.0684,VELO_BAND_1.5,0.0,0.142,0.0954,0.1076,0.2113,0.169,0.142,0.1693,0.1533,0.2056,0.1988,0.1458,4-Seam,0.3868,93.4339,0.1972,0.273,Slider,0.2277,84.7877,0.2308,0.2514,Changeup,0.1654,83.0038,0.4167,0.2615,Curve,0.1336,75.7114,0.1944,0.2762,Sinker,0.0865,92.7765,0.1481,0.2794,,,,,,97.6,72.5,25.1,2.4,0.0,0.0,27.5,2.4,0.0,27.5,72.5,2.4,97.6,0.0,100.0,0.0,100.0,9.1,7.7,23.7,27.0,92.3,96.7,7.2,0.0,3.3,8.2,0.0,10.0,20.0,0.0,0.0,6.7,4.9,8.1,23.8,23.5,91.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.4,23.9,26.7,23.4,10.2,25.4,9.8,13.8,100.0,38.7,7.1,14.2,9.5,10.8,21.1,16.9,14.2,16.9,15.3,20.6,19.9,14.6,20.6,57.1,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-26,822759,2026-09-26T19:07:00Z,Scheduled,TOR,CIN,664702,Myles Straw,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,5.005,5.005,8.0,3.0,0.5257,695076,Rhett Lowder,R,1.15,0.713,0.345,1.5,LESS,0.9689,-3113,74,88,0.2036,0.345,0.0,0.6861,0.2828,0.0311,0.0,0.0,0.3139,0.0311,0.0,0.3139,0.6861,0.0311,0.9689,0.0,1.0,0.0,1.0,230,28,0.1217,892,374,42,0.1123,0.259,0.2442,0.8877,0.9179,0.129,5,3,15,0.6,0.2,0.4,0.2,10,3,29,0.3,0.1034,0.2,0.1,15,5,40,0.3333,0.125,0.2667,0.0667,116,14,0.1207,0.113,0.2679,0.2476,0.887,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,415,74,0.1783,0.1702,0.2521,0.1623,89.4589,0.1039,0.2697,0.1035,0.1662,1.0,Sinker,0.2954,0.033,93.6783,1.5,228,104,7,0.0673,0.0774,VELO_BAND_1.5,0.0,0.1617,0.1536,0.1361,0.1874,0.1867,0.1617,0.2275,0.1584,0.2036,0.1921,0.1687,Sinker,0.2954,93.4575,0.0622,0.2931,Slider,0.2718,85.2478,0.3143,0.2927,Changeup,0.198,86.7096,0.1769,0.164,4-Seam,0.1897,94.0221,0.1135,0.2315,Curve,0.0407,80.8734,0.1,0.2188,Sweeper,0.0013,83.15,1.0,0.5,96.9,68.6,28.3,3.1,0.0,0.0,31.4,3.1,0.0,31.4,68.6,3.1,96.9,0.0,100.0,0.0,100.0,12.2,11.2,25.9,24.4,88.8,91.8,12.9,20.0,10.3,12.5,40.0,20.0,26.7,20.0,10.0,6.7,12.1,11.3,26.8,24.8,88.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,17.8,17.0,25.2,16.2,10.4,27.0,10.4,16.6,100.0,29.5,3.3,16.2,15.4,13.6,18.7,18.7,16.2,22.7,15.8,20.4,19.2,16.9,20.4,57.1,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-26,823165,2026-09-26T20:05:00Z,Scheduled,LAD,SF,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.01,7.6767,6.01,1.0,0.44,683363,Matt Wilkinson,L,1.15,0.5238,0.3424,1.5,LESS,0.9683,-3057,67,86,0.1951,0.3424,0.0,0.6894,0.279,0.0316,0.0001,0.0,0.3106,0.0317,0.0001,0.3106,0.6894,0.0317,0.9683,0.0001,0.9999,0.0,1.0,151,16,0.106,522,256,37,0.1445,0.2203,0.3152,0.8555,0.9408,0.1304,5,1,9,0.2,0.1111,0.2,0.0,10,2,23,0.2,0.087,0.2,0.0,15,4,33,0.2667,0.1212,0.2667,0.0,114,12,0.1053,0.151,0.2323,0.2961,0.849,2,1,0.5,0.2367,12,0.5,0.1274,0.3333,0.2894,0.1429,0.5,0.6667,0.5,5.0,1.0,0.0,99,18,0.1818,0.1706,0.2618,0.2063,86.989,0.1224,0.2246,0.0956,0.1378,1.0,4-Seam,0.5812,0.0366,89.7988,1.5,45,21,2,0.0952,0.1065,VELO_BAND_1.5,0.0622,0.1659,0.1433,0.1283,0.2035,0.1762,0.1704,0.2211,0.1841,0.1951,0.2237,0.1687,4-Seam,0.5812,90.3802,0.1589,0.3108,Changeup,0.2251,83.8442,0.2667,0.2093,Slider,0.1387,79.2094,0.1304,0.1887,Cutter,0.055,83.6524,0.1,0.1429,,,,,,,,,,,96.8,68.9,27.9,3.2,0.0,0.0,31.1,3.2,0.0,31.1,68.9,3.2,96.8,0.0,100.0,0.0,100.0,10.6,14.5,22.0,31.5,85.5,94.1,13.0,11.1,8.7,12.1,20.0,20.0,26.7,0.0,0.0,0.0,10.5,15.1,23.2,29.6,84.9,50.0,23.7,50.0,12.7,33.3,28.9,14.3,50.0,66.7,50.0,18.2,17.1,26.2,20.6,12.2,22.5,9.6,13.8,100.0,58.1,3.7,16.6,14.3,12.8,20.4,17.6,17.0,22.1,18.4,19.5,22.4,16.9,19.5,42.9,9.5,6.0,0.0,0.3333,0.0,100.0,0.0,,,,,2.0,0.115,0.0,0.225,4.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-26,824543,2026-09-26T23:10:00Z,Scheduled,CWS,COL,803011,Sam Antonacci,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,1.0,1.2525,1.0,1.0,0.6057,500779,Jose Quintana,L,1.15,0.6667,0.3466,1.5,LESS,0.9677,-2998,69,86,0.1745,0.3466,0.0,0.6858,0.282,0.0322,0.0001,0.0,0.3142,0.0323,0.0001,0.3142,0.6858,0.0323,0.9677,0.0001,0.9999,0.0,1.0,396,59,0.149,1535,665,81,0.1218,0.2332,0.2206,0.8782,0.9215,0.1445,5,0,21,0.0,0.0,0.0,0.0,10,1,38,0.1,0.0263,0.1,0.0,15,4,56,0.2667,0.0714,0.2667,0.0,84,16,0.1905,0.1295,0.2567,0.25,0.8705,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,18,2,0.1111,0.1667,0.2143,0.1667,84.4914,0.1267,0.2679,0.1556,0.1865,0.8143,4-Seam,0.2571,0.1022,88.9167,1.5,86,38,3,0.0789,0.0942,VELO_BAND_1.5,0.0,0.1742,0.1045,0.1831,0.2076,0.2099,0.1742,0.2936,0.1802,0.1745,0.1838,0.1772,4-Seam,0.2571,89.0556,0.125,0.3333,Sinker,0.2571,88.7778,0.0833,0.1667,Curve,0.1857,78.3846,0.1429,0.1538,SV,0.1857,78.9,0.5,0.3077,Changeup,0.1143,83.5875,0.0,0.0,,,,,,96.8,68.6,28.2,3.2,0.0,0.0,31.4,3.2,0.0,31.4,68.6,3.2,96.8,0.0,100.0,0.0,100.0,14.9,12.2,23.3,22.1,87.8,92.2,14.5,0.0,2.6,7.1,0.0,10.0,26.7,0.0,0.0,0.0,19.0,12.9,25.7,25.0,87.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,11.1,16.7,21.4,16.7,12.7,26.8,15.6,18.6,81.4,25.7,10.2,17.4,10.4,18.3,20.8,21.0,17.4,29.4,18.0,17.5,18.4,17.7,17.5,57.1,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-26,824543,2026-09-26T23:10:00Z,Scheduled,COL,CWS,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,6.0,0.1314,663436,Davis Martin,R,1.15,0.7176,0.355,1.5,LESS,0.9663,-2866,71,87,0.2167,0.355,0.0,0.6787,0.2876,0.0337,0.0,0.0,0.3213,0.0337,0.0,0.3213,0.6787,0.0337,0.9663,0.0,1.0,0.0,1.0,150,20,0.1333,515,264,29,0.1098,0.2058,0.2958,0.8902,0.9326,0.1163,5,1,16,0.2,0.0625,0.2,0.0,10,3,31,0.3,0.0968,0.2,0.1,15,7,50,0.4667,0.14,0.3333,0.1333,110,19,0.1727,0.1333,0.2091,0.3222,0.8667,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,347,50,0.1441,0.1712,0.2269,0.1532,89.751,0.1082,0.2419,0.1047,0.1666,1.0,4-Seam,0.2678,0.0889,92.5402,1.5,103,47,2,0.0426,0.0696,VELO_BAND_1.5,0.0,0.1752,0.1393,0.1737,0.1622,0.185,0.1752,0.2162,0.164,0.2167,0.2122,0.1724,4-Seam,0.2678,93.6133,0.1646,0.221,Sinker,0.2026,92.7045,0.0376,0.1573,Curve,0.1586,81.4995,0.3766,0.2967,Changeup,0.1199,89.7342,0.0921,0.1646,Cutter,0.1161,89.7778,0.2078,0.3268,Slider,0.1115,86.8333,0.2048,0.2041,96.6,67.9,28.8,3.4,0.0,0.0,32.1,3.4,0.0,32.1,67.9,3.4,96.6,0.0,100.0,0.0,100.0,13.3,11.0,20.6,29.6,89.0,93.3,11.6,6.2,9.7,14.0,20.0,20.0,33.3,0.0,10.0,13.3,17.3,13.3,20.9,32.2,86.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,14.4,17.1,22.7,15.3,10.8,24.2,10.5,16.7,100.0,26.8,8.9,17.5,13.9,17.4,16.2,18.5,17.5,21.6,16.4,21.7,21.2,17.2,21.7,14.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-26,823733,2026-09-26T23:10:00Z,Scheduled,STL,MIL,665877,José Fermín,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,3.505,3.505,6.01,2.0,0.2857,669160,Dustin May,R,1.15,0.6435,0.3568,1.5,LESS,0.9652,-2777,77,89,0.2568,0.3568,0.0,0.6779,0.2873,0.0348,0.0,0.0,0.3221,0.0348,0.0,0.3221,0.6779,0.0348,0.9652,0.0,1.0,0.0,1.0,294,36,0.1224,1205,488,51,0.1045,0.2664,0.227,0.8955,0.9268,0.0793,5,2,16,0.4,0.125,0.4,0.0,10,6,35,0.6,0.1714,0.5,0.1,15,7,50,0.4667,0.14,0.4,0.0667,172,24,0.1395,0.1103,0.2706,0.2219,0.8897,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,353,88,0.2493,0.2232,0.2769,0.2305,92.7737,0.1042,0.2721,0.0875,0.1564,1.0,Cutter,0.2393,0.1667,95.5387,1.5,241,115,10,0.087,0.0924,VELO_BAND_1.5,0.0,0.1572,0.1558,0.1447,0.2439,0.1823,0.1572,0.1631,0.1762,0.2568,0.1844,0.173,Cutter,0.2393,93.2773,0.2278,0.2779,4-Seam,0.2386,96.8539,0.2207,0.303,Sinker,0.2213,96.5663,0.1689,0.2745,Sweeper,0.1706,86.1081,0.2212,0.25,Curve,0.073,83.7792,0.3171,0.297,Changeup,0.0564,90.309,0.3333,0.2308,96.5,67.8,28.7,3.5,0.0,0.0,32.2,3.5,0.0,32.2,67.8,3.5,96.5,0.0,100.0,0.0,100.0,12.2,10.5,26.6,22.7,89.5,92.7,7.9,12.5,17.1,14.0,40.0,50.0,40.0,0.0,10.0,6.7,14.0,11.0,27.1,22.2,89.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.9,22.3,27.7,23.0,10.4,27.2,8.7,15.6,100.0,23.9,16.7,15.7,15.6,14.5,24.4,18.2,15.7,16.3,17.6,25.7,18.4,17.3,25.7,28.6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-26,823083,2026-09-27T01:40:00Z,Scheduled,SEA,LAA,645302,Victor Robles,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,696270,Ryan Johnson,R,1.15,0.7778,0.3778,1.5,LESS,0.9627,-2580,71,87,0.2331,0.3778,0.0,0.6596,0.3031,0.0372,0.0001,0.0,0.3404,0.0373,0.0001,0.3404,0.6596,0.0373,0.9627,0.0001,0.9999,0.0,1.0,125,16,0.128,417,232,47,0.2026,0.2278,0.3649,0.7974,0.9139,0.1389,5,0,9,0.0,0.0,0.0,0.0,10,3,31,0.3,0.0968,0.3,0.0,15,5,47,0.3333,0.1064,0.3333,0.0,94,12,0.1277,0.1989,0.2233,0.3758,0.8011,2,0,0.0,0.2154,10,0.1667,0.1175,0.2,0.2785,0.4,0.8333,1.0,0.0,88.0,0.0,0.0,364,71,0.1951,0.2242,0.2783,0.1782,87.1021,0.1335,0.2552,0.113,0.1755,1.0,Cutter,0.3847,0.1429,90.5462,1.5,37,17,2,0.1176,0.116,VELO_BAND_1.5,0.0572,0.1847,0.1358,0.152,0.2015,0.2064,0.1867,0.2464,0.2008,0.2331,0.2505,0.1839,Cutter,0.3847,89.6973,0.2244,0.3333,Sweeper,0.2381,81.055,0.306,0.3238,Splitter,0.204,84.8211,0.2756,0.2107,Sinker,0.1705,92.4612,0.0192,0.176,Slider,0.0027,84.35,0.0,0.0,,,,,,96.3,66.0,30.3,3.7,0.0,0.0,34.0,3.7,0.0,34.0,66.0,3.7,96.3,0.0,100.0,0.0,100.0,12.8,20.3,22.8,36.5,79.7,91.4,13.9,0.0,9.7,10.6,0.0,30.0,33.3,0.0,0.0,0.0,12.8,19.9,22.3,37.6,80.1,0.0,21.5,16.7,11.7,20.0,27.8,40.0,83.3,100.0,0.0,19.5,22.4,27.8,17.8,13.3,25.5,11.3,17.6,100.0,38.5,14.3,18.5,13.6,15.2,20.2,20.6,18.7,24.6,20.1,23.3,25.1,18.4,23.3,0.0,11.8,,,,,0.0,0.0,,,,,,,,,,,,,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,3.0,1.0,0.6667,0.225,,,,,,,,,,,,,,,,,
8,2026-09-26,823083,2026-09-27T01:40:00Z,Scheduled,LAA,SEA,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,807739,Kade Anderson,L,1.15,0.78,0.3776,1.5,LESS,0.9606,-2438,63,85,0.2298,0.3776,0.0,0.6618,0.2988,0.0394,0.0,0.0,0.3382,0.0394,0.0,0.3382,0.6618,0.0394,0.9606,0.0,1.0,0.0,1.0,120,12,0.1,408,226,40,0.177,0.2475,0.4225,0.823,0.9191,0.1299,5,2,13,0.4,0.1538,0.2,0.2,10,4,31,0.4,0.129,0.2,0.2,15,5,46,0.3333,0.1087,0.2,0.1333,30,2,0.0667,0.1321,0.2549,0.4231,0.8679,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,131,28,0.2137,0.2311,0.2531,0.2258,88.6355,0.1474,0.2636,0.1098,0.1617,1.0,4-Seam,0.4046,0.1356,93.4183,1.5,68,31,9,0.2903,0.2071,VELO_BAND_1.5,0.0,0.1717,0.1587,0.1402,0.2186,0.209,0.1717,0.2345,0.2419,0.2298,0.2551,0.1847,4-Seam,0.4046,93.4344,0.1826,0.2103,Slider,0.2427,87.8154,0.2239,0.2393,Changeup,0.1805,84.5379,0.2963,0.2184,Curve,0.1577,81.8763,0.3478,0.4211,Sinker,0.0145,92.9714,0.2,0.2857,,,,,,96.1,66.2,29.9,3.9,0.0,0.0,33.8,3.9,0.0,33.8,66.2,3.9,96.1,0.0,100.0,0.0,100.0,10.0,17.7,24.8,42.3,82.3,91.9,13.0,15.4,12.9,10.9,20.0,20.0,20.0,20.0,20.0,13.3,6.7,13.2,25.5,42.3,86.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.4,23.1,25.3,22.6,14.7,26.4,11.0,16.2,100.0,40.5,13.6,17.2,15.9,14.0,21.9,20.9,17.2,23.4,24.2,23.0,25.5,18.5,23.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-26,823407,2026-09-26T23:15:00Z,Scheduled,PHI,TB,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,643377,Griffin Jax,R,1.15,0.7593,0.3907,1.5,LESS,0.9595,-2370,65,85,0.2233,0.3907,0.0,0.6498,0.3097,0.0404,0.0,0.0,0.3502,0.0405,0.0,0.3502,0.6498,0.0405,0.9595,0.0,1.0,0.0,1.0,31,2,0.0645,128,68,8,0.1176,0.2266,0.3582,0.8824,0.9091,0.0312,5,1,11,0.2,0.0909,0.2,0.0,10,2,24,0.2,0.0833,0.2,0.0,12,2,31,0.1667,0.0645,0.1667,0.0,20,1,0.05,0.12,0.2043,0.3333,0.88,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,323,88,0.2724,0.281,0.3072,0.3281,91.0891,0.1133,0.2692,0.0979,0.2001,1.0,Sweeper,0.2475,0.1667,95.2436,1.5,31,16,1,0.0625,0.0959,VELO_BAND_1.5,0.0,0.1887,0.1545,0.1579,0.2612,0.2091,0.1887,0.1689,0.1883,0.2233,0.2377,0.1924,Sweeper,0.2475,87.1381,0.307,0.3571,Changeup,0.2416,90.5436,0.4107,0.3031,Sinker,0.2365,95.1335,0.0884,0.2954,4-Seam,0.1625,95.658,0.2843,0.2383,Curve,0.096,84.6851,0.3947,0.3421,Cutter,0.016,92.6632,0.1818,0.2632,96.0,65.0,31.0,4.0,0.0,0.0,35.0,4.0,0.0,35.0,65.0,4.0,96.0,0.0,100.0,0.0,100.0,6.5,11.8,22.7,35.8,88.2,90.9,3.1,9.1,8.3,6.5,20.0,20.0,16.7,0.0,0.0,0.0,5.0,12.0,20.4,33.3,88.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,27.2,28.1,30.7,32.8,11.3,26.9,9.8,20.0,100.0,24.7,16.7,18.9,15.5,15.8,26.1,20.9,18.9,16.9,18.8,22.3,23.8,19.2,22.3,0.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-26,823653,2026-09-26T20:10:00Z,Scheduled,MIN,TEX,702176,Alan Roden,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,5.0,5.3333,5.0,3.0,0.44,543135,Nathan Eovaldi,R,1.15,0.78,0.3928,1.5,LESS,0.958,-2281,68,86,0.2202,0.3928,0.0,0.6492,0.3088,0.0419,0.0001,0.0,0.3508,0.042,0.0001,0.3508,0.6492,0.042,0.958,0.0001,0.9999,0.0,1.0,91,12,0.1319,327,150,24,0.16,0.2385,0.259,0.84,0.9252,0.1731,5,2,19,0.4,0.1053,0.4,0.0,10,5,36,0.5,0.1389,0.5,0.0,15,5,49,0.3333,0.102,0.3333,0.0,72,9,0.125,0.1478,0.2405,0.2593,0.8522,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,312,74,0.2372,0.2659,0.295,0.297,86.9284,0.1361,0.2688,0.1488,0.1891,1.0,Splitter,0.3635,0.3333,92.2442,1.5,64,32,5,0.1562,0.137,VELO_BAND_1.5,0.0,0.1915,0.1635,0.1578,0.2342,0.2169,0.1915,0.3149,0.231,0.2202,0.2034,0.199,Splitter,0.3635,88.4188,0.284,0.244,Curve,0.2406,76.1336,0.3893,0.3467,Cutter,0.1686,89.9078,0.1687,0.3021,4-Seam,0.1607,94.2754,0.2113,0.3716,Sinker,0.0579,93.4091,0.0714,0.1818,Slider,0.0088,86.58,0.1667,0.2,95.8,64.9,30.9,4.2,0.0,0.0,35.1,4.2,0.0,35.1,64.9,4.2,95.8,0.0,100.0,0.0,100.0,13.2,16.0,23.9,25.9,84.0,92.5,17.3,10.5,13.9,10.2,40.0,50.0,33.3,0.0,0.0,0.0,12.5,14.8,24.0,25.9,85.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,23.7,26.6,29.5,29.7,13.6,26.9,14.9,18.9,100.0,36.3,33.3,19.1,16.3,15.8,23.4,21.7,19.1,31.5,23.1,22.0,20.3,19.9,22.0,42.9,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
