date,rank,gamePk,player,mlb player id,team,opponent,lineup spot,lineup samples,probable pitcher,probable pitcher id,pitcher hand,batter side,park,projected pa,total bases line,best more line,best more threshold,projected tb,median tb,floor tb,ceiling tb,iqr upper tb,edge,fair line,more probability,push probability,less probability,recommendation,model confidence,ai score,tier,p 0 tb,p 1 tb,p 2 tb,p 3 tb,p 4 plus tb,p 1+ tb,p 2+ tb,p 3+ tb,p 4+ tb,p 5+ tb,p 6+ tb,single probability,double probability,triple probability,hr probability,season pa,season hits,season doubles,season triples,season hr,season slg,recent games used,last 14 total bases,last 14 avg tb,starter contribution,bullpen contribution,park contribution,weather contribution,pitcher era,pitcher whip,pitcher h9,pitcher hr9,simulation count,model version,more 0.5 %,push 0.5 %,less 0.5 %,side 0.5,confidence 0.5 %,ai score 0.5,tier 0.5,more 1.0 %,push 1.0 %,less 1.0 %,side 1.0,confidence 1.0 %,ai score 1.0,tier 1.0,more 1.5 %,push 1.5 %,less 1.5 %,side 1.5,confidence 1.5 %,ai score 1.5,tier 1.5,more 2.0 %,push 2.0 %,less 2.0 %,side 2.0,confidence 2.0 %,ai score 2.0,tier 2.0,more 2.5 %,push 2.5 %,less 2.5 %,side 2.5,confidence 2.5 %,ai score 2.5,tier 2.5,more 3.0 %,push 3.0 %,less 3.0 %,side 3.0,confidence 3.0 %,ai score 3.0,tier 3.0,more 3.5 %,push 3.5 %,less 3.5 %,side 3.5,confidence 3.5 %,ai score 3.5,tier 3.5,more 4.0 %,push 4.0 %,less 4.0 %,side 4.0,confidence 4.0 %,ai score 4.0,tier 4.0,more 4.5 %,push 4.5 %,less 4.5 %,side 4.5,confidence 4.5 %,ai score 4.5,tier 4.5
2026-08-10,1,824969,Chandler Simpson,802415,TB,ATH,,0,Jacob Lopez,682052,L,L,Sutter Health Park,4.15,0.5,0.5,1+ TB,1.525,1.0,1.0,3.0,2.0,1.025,1.0,75.24,0.0,24.76,MORE,75.24,93,Diamond,24.76,33.26,22.09,10.67,9.22,75.24,41.98,19.89,9.22,3.91,1.48,23.34,3.63,0.89,0.88,440,124,12,6,0,0.363,14,"5,2,0,1,2,2,3,1,1,0,0,2,2,3",1.714,65.7,50.0,50.0,50.0,5.64,1.63,9.48,1.56,10000,TB_V2_MORE_LADDER,75.24,0.0,24.76,MORE,75.24,93,Diamond,41.98,33.26,24.76,PASS,41.98,65,Pass,41.98,0.0,58.02,PASS,41.98,60,Pass,19.89,22.09,58.02,PASS,19.89,60,Pass,19.89,0.0,80.11,PASS,19.89,60,Pass,9.22,10.67,80.11,PASS,9.22,60,Pass,9.22,0.0,90.78,PASS,9.22,60,Pass,3.91,5.31,90.78,PASS,3.91,60,Pass,3.91,0.0,96.09,PASS,3.91,60,Pass
2026-08-10,2,823018,Luis Arraez,650333,PHI,STL,,0,Hunter Dobbins,690928,R,L,Busch Stadium,4.15,0.5,0.5,1+ TB,1.653,1.0,0.0,4.0,2.0,1.153,1.0,73.84,0.0,26.16,MORE,73.84,92,Diamond,26.16,29.84,20.3,10.53,13.17,73.84,44.0,23.7,13.17,6.15,2.66,20.12,5.04,0.94,1.68,493,143,25,7,5,0.441,14,"0,2,0,3,4,3,0,1,0,4,1,1,3,2",1.714,50.1,50.0,50.0,50.0,3.6,1.3,8.55,1.35,10000,TB_V2_MORE_LADDER,73.84,0.0,26.16,MORE,73.84,92,Diamond,44.0,29.84,26.16,PASS,44.0,66,Pass,44.0,0.0,56.0,PASS,44.0,61,Pass,23.7,20.3,56.0,PASS,23.7,60,Pass,23.7,0.0,76.3,PASS,23.7,60,Pass,13.17,10.53,76.3,PASS,13.17,60,Pass,13.17,0.0,86.83,PASS,13.17,60,Pass,6.15,7.02,86.83,PASS,6.15,60,Pass,6.15,0.0,93.85,PASS,6.15,60,Pass
2026-08-10,3,822780,Ceddanne Rafaela,678882,BOS,TOR,,0,Jameson Taillon,592791,R,R,Rogers Centre,4.15,0.5,0.5,1+ TB,1.969,1.0,0.0,5.0,3.0,1.469,1.0,73.54,0.0,26.46,MORE,73.54,93,Diamond,26.46,24.57,18.6,8.73,21.64,73.54,48.97,30.37,21.64,11.21,5.82,16.35,6.28,0.46,4.43,471,126,28,3,15,0.463,14,"0,1,2,2,0,2,5,8,6,3,3,1,4,1",2.714,59.6,50.0,50.0,50.0,5.96,1.39,9.23,2.93,10000,TB_V2_MORE_LADDER,73.54,0.0,26.46,MORE,73.54,93,Diamond,48.97,24.57,26.46,PASS,48.97,69,Pass,48.97,0.0,51.03,PASS,48.97,64,Pass,30.37,18.6,51.03,PASS,30.37,60,Pass,30.37,0.0,69.63,PASS,30.37,60,Pass,21.64,8.73,69.63,PASS,21.64,60,Pass,21.64,0.0,78.36,PASS,21.64,60,Pass,11.21,10.43,78.36,PASS,11.21,60,Pass,11.21,0.0,88.79,PASS,11.21,60,Pass
2026-08-10,4,825048,Jake McCarthy,664983,COL,AZ,,0,Michael Soroka,647336,R,L,Chase Field,4.15,0.5,0.5,1+ TB,1.877,1.0,0.0,5.0,3.0,1.377,1.0,72.48,0.0,27.52,MORE,72.48,92,Diamond,27.52,25.56,17.81,9.68,19.43,72.48,46.92,29.11,19.43,10.17,4.91,16.64,5.48,1.34,3.33,399,113,25,7,13,0.518,14,"3,10,4,1,3,2,4,3,0,0,1,0,1,3",2.5,41.5,50.0,50.0,50.0,3.07,1.09,7.9,0.66,10000,TB_V2_MORE_LADDER,72.48,0.0,27.52,MORE,72.48,92,Diamond,46.92,25.56,27.52,PASS,46.92,68,Pass,46.92,0.0,53.08,PASS,46.92,63,Pass,29.11,17.81,53.08,PASS,29.11,60,Pass,29.11,0.0,70.89,PASS,29.11,60,Pass,19.43,9.68,70.89,PASS,19.43,60,Pass,19.43,0.0,80.57,PASS,19.43,60,Pass,10.17,9.26,80.57,PASS,10.17,60,Pass,10.17,0.0,89.83,PASS,10.17,60,Pass
2026-08-10,5,823918,Freddie Freeman,518692,LAD,KC,,0,Noah Cameron,702070,L,L,UNIQLO Field at Dodger Stadium,4.15,0.5,0.5,1+ TB,1.622,1.0,0.0,4.0,2.0,1.122,1.0,72.25,0.0,27.75,MORE,72.25,91,Diamond,27.75,30.28,19.75,8.49,13.73,72.25,41.97,22.22,13.73,6.99,3.03,19.37,4.6,0.22,2.52,493,132,27,1,15,0.474,14,"1,0,0,1,1,1,1,3,3,1,2,1,3,3",1.5,51.8,50.0,50.0,50.0,4.37,1.29,8.66,1.02,10000,TB_V2_MORE_LADDER,72.25,0.0,27.75,MORE,72.25,91,Diamond,41.97,30.28,27.75,PASS,41.97,65,Pass,41.97,0.0,58.03,PASS,41.97,61,Pass,22.22,19.75,58.03,PASS,22.22,60,Pass,22.22,0.0,77.78,PASS,22.22,60,Pass,13.73,8.49,77.78,PASS,13.73,60,Pass,13.73,0.0,86.27,PASS,13.73,60,Pass,6.99,6.74,86.27,PASS,6.99,60,Pass,6.99,0.0,93.01,PASS,6.99,60,Pass
2026-08-10,6,824969,Yandy Díaz,650490,TB,ATH,,0,Jacob Lopez,682052,L,R,Sutter Health Park,4.15,0.5,0.5,1+ TB,1.684,1.0,0.0,4.0,2.0,1.184,1.0,71.73,0.0,28.27,MORE,71.73,91,Diamond,28.27,29.1,18.57,8.49,15.57,71.73,42.63,24.06,15.57,8.01,3.76,18.3,4.81,0.23,2.99,495,131,20,1,15,0.451,14,"4,0,0,3,0,0,2,2,2,4,0,0,3,0",1.429,65.7,50.0,50.0,50.0,5.64,1.63,9.48,1.56,10000,TB_V2_MORE_LADDER,71.73,0.0,28.27,MORE,71.73,91,Diamond,42.63,29.1,28.27,PASS,42.63,66,Pass,42.63,0.0,57.37,PASS,42.63,62,Pass,24.06,18.57,57.37,PASS,24.06,60,Pass,24.06,0.0,75.94,PASS,24.06,60,Pass,15.57,8.49,75.94,PASS,15.57,60,Pass,15.57,0.0,84.43,PASS,15.57,60,Pass,8.01,7.56,84.43,PASS,8.01,60,Pass,8.01,0.0,91.99,PASS,8.01,60,Pass
2026-08-10,7,823918,Andy Pages,681624,LAD,KC,,0,Noah Cameron,702070,L,R,UNIQLO Field at Dodger Stadium,4.15,0.5,0.5,1+ TB,1.75,1.0,0.0,4.0,3.0,1.25,1.0,71.14,0.0,28.86,MORE,71.14,91,Diamond,28.86,27.75,17.91,7.8,17.68,71.14,43.39,25.48,17.68,9.25,4.27,16.82,4.58,0.34,3.55,504,123,24,2,19,0.46,14,"3,2,4,1,0,1,3,1,1,2,6,1,0,1",1.857,51.8,50.0,50.0,50.0,4.37,1.29,8.66,1.02,10000,TB_V2_MORE_LADDER,71.14,0.0,28.86,MORE,71.14,91,Diamond,43.39,27.75,28.86,PASS,43.39,67,Pass,43.39,0.0,56.61,PASS,43.39,62,Pass,25.48,17.91,56.61,PASS,25.48,60,Pass,25.48,0.0,74.52,PASS,25.48,60,Pass,17.68,7.8,74.52,PASS,17.68,60,Pass,17.68,0.0,82.32,PASS,17.68,60,Pass,9.25,8.43,82.32,PASS,9.25,60,Pass,9.25,0.0,90.75,PASS,9.25,60,Pass
2026-08-10,8,823189,Jung Hoo Lee,808982,SF,HOU,,0,Hayden Wesneski,669713,R,L,Oracle Park,4.15,0.5,0.5,1+ TB,1.642,1.0,0.0,4.0,2.0,1.142,1.0,70.88,0.0,29.12,MORE,70.88,90,Diamond,29.12,27.7,19.55,9.2,14.43,70.88,43.18,23.63,14.43,6.94,3.18,17.15,5.5,0.64,2.47,437,122,26,4,8,0.44,14,"0,0,1,1,2,9,3,1,0,2,3,1,6,0",2.071,50.2,50.0,50.0,50.0,3.86,1.29,8.49,0.0,10000,TB_V2_MORE_LADDER,70.88,0.0,29.12,MORE,70.88,90,Diamond,43.18,27.7,29.12,PASS,43.18,66,Pass,43.18,0.0,56.82,PASS,43.18,61,Pass,23.63,19.55,56.82,PASS,23.63,60,Pass,23.63,0.0,76.37,PASS,23.63,60,Pass,14.43,9.2,76.37,PASS,14.43,60,Pass,14.43,0.0,85.57,PASS,14.43,60,Pass,6.94,7.49,85.57,PASS,6.94,60,Pass,6.94,0.0,93.06,PASS,6.94,60,Pass
2026-08-10,9,823018,Jordan Walker,691023,STL,PHI,,0,Andrew Painter,691725,R,R,Busch Stadium,4.15,0.5,0.5,1+ TB,1.762,1.0,0.0,4.0,3.0,1.262,1.0,70.78,0.0,29.22,MORE,70.78,90,Diamond,29.22,27.47,17.54,7.58,18.19,70.78,43.31,25.77,18.19,9.73,4.47,17.07,4.68,0.11,3.99,488,127,23,0,23,0.492,14,"2,4,1,2,2,2,1,1,1,0,0,0,3,0",1.357,70.5,50.0,50.0,50.0,6.48,1.57,10.8,1.8,10000,TB_V2_MORE_LADDER,70.78,0.0,29.22,MORE,70.78,90,Diamond,43.31,27.47,29.22,PASS,43.31,67,Pass,43.31,0.0,56.69,PASS,43.31,62,Pass,25.77,17.54,56.69,PASS,25.77,60,Pass,25.77,0.0,74.23,PASS,25.77,60,Pass,18.19,7.58,74.23,PASS,18.19,60,Pass,18.19,0.0,81.81,PASS,18.19,60,Pass,9.73,8.46,81.81,PASS,9.73,60,Pass,9.73,0.0,90.27,PASS,9.73,60,Pass
2026-08-10,10,823018,Alec Burleson,676475,STL,PHI,,0,Andrew Painter,691725,R,L,Busch Stadium,4.15,0.5,0.5,1+ TB,1.887,1.0,0.0,5.0,3.0,1.387,1.0,70.69,0.0,29.31,MORE,70.69,90,Diamond,29.31,24.22,17.81,7.92,20.74,70.69,46.47,28.66,20.74,10.79,5.77,15.34,6.13,0.23,4.48,496,126,28,1,19,0.478,14,"4,0,0,2,0,12,1,2,2,1,1,0,0,3",2.0,70.5,50.0,50.0,50.0,6.48,1.57,10.8,1.8,10000,TB_V2_MORE_LADDER,70.69,0.0,29.31,MORE,70.69,90,Diamond,46.47,24.22,29.31,PASS,46.47,68,Pass,46.47,0.0,53.53,PASS,46.47,63,Pass,28.66,17.81,53.53,PASS,28.66,60,Pass,28.66,0.0,71.34,PASS,28.66,60,Pass,20.74,7.92,71.34,PASS,20.74,60,Pass,20.74,0.0,79.26,PASS,20.74,60,Pass,10.79,9.95,79.26,PASS,10.79,60,Pass,10.79,0.0,89.21,PASS,10.79,60,Pass
