Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,MC Over 1.5 %,MC Over 2.5 %,Bet Score,AI Score
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,A.J. Ewing,Aaron Nola,0.667,2,3,5.0,1.2,1.92,1.45,0.81,4.15,60.0,86.2,70.7,3.12,156.1
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Juan Soto,Aaron Nola,0.262,11,42,3.7,1.2,1.2,0.81,1.63,3.7,60.0,82.1,64.7,3.48,167.4
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Brett Baty,Aaron Nola,0.083,1,12,4.7,1.2,1.7,1.09,0.63,3.41,50.0,79.0,60.4,2.61,132.5
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Bo Bichette,Aaron Nola,0.308,4,13,4.8,1.2,1.7,0.69,0.86,3.28,50.0,78.1,58.5,2.27,120.4
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Carson Benge,Aaron Nola,0.333,1,3,4.6,1.2,1.62,1.04,0.45,3.12,40.0,75.5,56.0,2.46,122.8
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Francisco Lindor,Aaron Nola,0.333,3,9,4.0,1.2,1.02,0.65,0.39,2.05,40.0,56.8,33.1,1.9,97.5
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,Philadelphia Phillies,Justin Crawford,Christian Scott,0.0,0,2,3.7,0.88,1.13,0.44,0.44,2.0,60.0,55.4,32.1,2.7,132.1
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Francisco Alvarez,Aaron Nola,0.5,1,2,4.2,1.2,1.34,0.14,0.55,2.0,60.0,54.4,31.9,1.73,97.9
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Tyrone Taylor,Aaron Nola,0.417,5,12,3.7,1.2,0.81,0.69,0.41,1.91,30.0,54.3,30.3,1.7,86.3
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,Philadelphia Phillies,J.T. Realmuto,Christian Scott,0.0,0,0,3.7,0.88,0.61,0.53,0.79,1.93,50.0,54.3,30.2,2.83,132.8
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,Philadelphia Phillies,Bryson Stott,Christian Scott,0.0,0,2,4.6,0.88,1.19,0.44,0.22,1.84,50.0,50.7,28.5,1.92,99.9
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Jared Young,Aaron Nola,0.2,1,5,3.8,1.2,1.09,0.25,0.49,1.84,60.0,51.2,28.1,1.76,98.0
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,New York Mets,Luis Torrens,Aaron Nola,0.333,2,6,3.7,1.2,0.71,0.6,0.36,1.7,40.0,48.8,25.2,1.7,88.1
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,Philadelphia Phillies,Trea Turner,Christian Scott,0.0,0,1,3.7,0.88,0.78,0.44,0.44,1.68,40.0,47.9,24.7,2.3,108.9
2026-07-16,New York Mets @ Philadelphia Phillies,Citizens Bank Park,1.028,1.01,96.3,37.0,11.9,WNW,282.0,6.0,Partly cloudy,4.6,6.7,60.2,B,92.0,Philadelphia Phillies,Derek Hill,Christian Scott,0.0,0,0,4.4,0.88,0.72,0.52,0.31,1.52,30.0,42.9,20.8,1.8,86.4
