Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-09,Houston Astros @ San Diego Padres,Petco Park,0.965,1.004,77.5,72.0,7.3,SW,232.0,5.0,Mainly clear,1.7,2.4,53.7,C,75.0,San Diego Padres,Jackson Merrill,Cristian Javier,0.0,0,0,4.4,1.2,1.91,1.08,1.26,4.26,66.7,3.8,4|3|4|1|7,08/08|08/07|08/06|08/05|08/04,3.0,4|3|4|1|7|1|5|3|1|1,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30,3.13,4|3|4|1|7|1|5|3|1|1|2|5|4|5|1,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24,96.6,87.1,73.0,56.2,40.7,28.2,18.2,3.84,183.9
2026-08-09,Athletics @ Boston Red Sox,Fenway Park,1.03,1.008,89.5,51.0,13.3,WSW,253.0,2.0,Mainly clear,3.5,5.1,57.8,B,92.0,Boston Red Sox,Ceddanne Rafaela,J.T. Ginn,0.0,0,2,4.6,0.88,1.58,0.87,1.24,3.71,73.3,2.6,1|5|2|0|5,08/08|08/07|08/06|08/05|08/04,3.7,1|5|2|0|5|5|6|7|4|2,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,3.4,1|5|2|0|5|5|6|7|4|2|1|6|2|0|5,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,94.7,82.7,65.7,47.7,32.1,20.1,12.3,4.21,197.8
2026-08-09,New York Mets @ Pittsburgh Pirates,PNC Park,0.982,1.006,83.7,47.0,4.9,W,270.0,0.0,Clear,2.8,4.1,56.2,C,92.0,Pittsburgh Pirates,Brandon Lowe,Sean Manaea,0.0,0,8,5.0,1.08,1.88,1.03,0.84,3.72,73.3,2.2,4|2|3|0|2,08/08|08/07|08/06|08/05|08/04,2.3,4|2|3|0|2|2|0|2|5|3,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30,2.67,4|2|3|0|2|2|0|2|5|3|1|5|6|5|0,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/24,94.8,82.8,65.1,47.5,32.3,21.0,12.5,3.19,162.1
2026-08-09,Toronto Blue Jays @ Philadelphia Phillies,Citizens Bank Park,1.028,1.008,91.3,48.0,7.7,WSW,255.0,0.0,Mainly clear,3.8,5.5,58.3,B,92.0,Philadelphia Phillies,Bryce Harper,Shane Bieber,0.333,1,3,4.6,1.2,1.37,1.09,1.09,3.6,66.7,2.4,3|4|4|0|1,08/08|08/07|08/06|08/05|08/04,2.7,3|4|4|0|1|4|3|3|2|3,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29,2.4,3|4|4|0|1|4|3|3|2|3|1|5|2|1|0,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,95.0,81.9,64.7,46.1,30.5,18.9,10.8,2.99,152.6
2026-08-09,Cincinnati Reds @ Washington Nationals,Nationals Park,1.0,1.008,90.8,52.0,6.9,WNW,285.0,1.0,Overcast,3.7,5.4,58.2,B,92.0,Washington Nationals,CJ Abrams,Brady Singer,0.0,0,2,4.4,1.14,1.49,0.88,1.15,3.49,60.0,3.2,4|2|0|8|2,08/08|08/07|08/06|08/05|08/04,2.2,4|2|0|8|2|0|0|3|3|0,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30,2.67,4|2|0|8|2|0|0|3|3|0|1|2|0|8|7,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,94.0,80.7,62.3,44.0,28.8,17.6,10.2,3.3,160.7
2026-08-09,Minnesota Twins @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Milwaukee Brewers,Brice Turang,Connor Prielipp,0.333,1,3,4.7,1.08,1.86,0.44,1.15,3.47,66.7,2.8,6|5|2|0|1,08/08|08/07|08/06|08/05|08/04,2.5,6|5|2|0|1|0|1|2|4|4,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29,2.6,6|5|2|0|1|0|1|2|4|4|5|0|2|2|5,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,93.8,79.6,61.0,42.8,28.5,17.7,10.5,3.13,156.8
2026-08-09,Athletics @ Boston Red Sox,Fenway Park,1.03,1.008,89.5,51.0,13.3,WSW,253.0,2.0,Mainly clear,3.5,5.1,57.8,B,92.0,Boston Red Sox,Andruw Monasterio,J.T. Ginn,0.0,0,0,5.0,0.88,1.48,0.71,1.11,3.3,80.0,3.8,3|4|5|2|5,08/08|08/07|08/06|08/05|08/04,3.5,3|4|5|2|5|2|2|3|3|6,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,2.8,3|4|5|2|5|2|2|3|3|6|0|1|3|1|2,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,93.4,78.4,58.8,39.9,25.6,15.1,8.8,3.45,172.3
2026-08-09,Toronto Blue Jays @ Philadelphia Phillies,Citizens Bank Park,1.028,1.008,91.3,48.0,7.7,WSW,255.0,0.0,Mainly clear,3.8,5.5,58.3,B,92.0,Philadelphia Phillies,Bryson Stott,Shane Bieber,0.0,0,0,4.4,1.2,1.41,0.95,0.95,3.31,66.7,2.4,3|1|4|2|2,08/08|08/07|08/06|08/05|08/04,2.2,3|1|4|2|2|2|2|2|0|4,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29,2.33,3|1|4|2|2|2|2|2|0|4|0|4|9|0|0,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,93.2,78.0,58.8,41.0,26.3,15.4,9.0,2.87,147.2
2026-08-09,Detroit Tigers @ San Francisco Giants,Oracle Park,0.965,1.003,78.5,50.0,10.3,WSW,257.0,0.0,Clear,1.6,2.3,53.5,C,92.0,Detroit Tigers,Dillon Dingler,Logan Webb,0.0,0,3,4.7,0.9,1.38,0.79,1.08,3.25,60.0,4.4,3|1|8|5|5,08/08|08/07|08/06|08/05|08/04,3.5,3|1|8|5|5|4|1|7|1|0,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28,3.0,3|1|8|5|5|4|1|7|1|0|2|4|0|0|4,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23,93.1,77.5,58.1,39.9,25.2,14.6,8.0,3.72,174.5
2026-08-09,Toronto Blue Jays @ Philadelphia Phillies,Citizens Bank Park,1.028,1.008,91.3,48.0,7.7,WSW,255.0,0.0,Mainly clear,3.8,5.5,58.3,B,92.0,Philadelphia Phillies,Luis Arraez,Shane Bieber,0.125,1,8,3.7,1.2,1.65,0.56,0.96,3.16,66.7,3.0,4|0|3|3|5,08/08|08/07|08/06|08/05|08/04,2.5,4|0|3|3|5|0|1|0|7|2,08/08|08/07|08/06|08/05|08/04|08/02|07/31|07/30|07/29|07/28,2.67,4|0|3|3|5|0|1|0|7|2|2|4|5|3|1,08/08|08/07|08/06|08/05|08/04|08/02|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22,92.4,76.1,56.8,38.2,23.8,13.5,7.7,3.21,158.5
