Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-22,Cincinnati Reds @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Rhett Lowder,0.667,2,3,4.4,1.2,1.38,0.67,1.06,3.13,3.0,1.0,6.0,30.0,5.0,40,100,75.0,3.4,3|4|6|1|3,08/21|08/19|08/18|08/17|08/16,3.4,3|4|6|1|3|7|2|3|1|4,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10,3.13,3|4|6|1|3|7|2|3|1|4|3|2|1|4|3,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,95.0,80.9,59.4,37.8,21.4,10.6,4.8,3.44,78.1
2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,Citizens Bank Park,1.028,1.003,77.0,70.0,7.9,ESE,119.0,15.0,Partly cloudy,1.5,2.2,53.3,C,92.0,St. Louis Cardinals,Jordan Walker,Andrew Painter,0.0,0,2,4.4,1.2,1.37,0.86,0.99,3.04,3.0,0.0,6.0,6.06,12.2,40,126,70.0,5.0,7|7|4|2|5,08/21|08/20|08/19|08/18|08/17,3.8,7|7|4|2|5|2|8|0|0|3,08/21|08/20|08/19|08/18|08/17|08/17|08/16|08/15|08/14|08/12,3.2,7|7|4|2|5|2|8|0|0|3|1|2|3|3|1,08/21|08/20|08/19|08/18|08/17|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,87.8,72.5,54.0,36.8,23.2,13.5,7.5,3.51,73.5
2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,Citizens Bank Park,1.028,1.003,77.0,70.0,7.9,ESE,119.0,15.0,Partly cloudy,1.5,2.2,53.3,C,92.0,St. Louis Cardinals,Alec Burleson,Andrew Painter,0.5,1,2,4.2,1.2,1.29,0.97,0.91,3.01,2.0,0.0,7.0,1.81,20.1,40,129,55.0,2.2,3|3|2|1|2,08/21|08/20|08/19|08/18|08/17,3.6,3|3|2|1|2|4|9|6|0|6,08/21|08/20|08/19|08/18|08/17|08/17|08/16|08/15|08/14|08/12,3.2,3|3|2|1|2|4|9|6|0|6|1|6|4|1|0,08/21|08/20|08/19|08/18|08/17|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,79.9,62.0,46.5,34.1,24.3,17.1,11.9,3.45,64.7
2026-08-22,San Francisco Giants @ Boston Red Sox,Fenway Park,1.03,1.001,69.9,79.0,7.2,NE,54.0,8.0,Overcast,0.3,0.4,50.6,C,92.0,Boston Red Sox,Ceddanne Rafaela,Blade Tidwell,0.0,0,0,4.5,1.0,1.23,0.68,0.58,2.48,2.0,0.0,5.0,5.56,14.2,40,121,70.0,2.2,2|1|2|6|0,08/21|08/19|08/18|08/17|08/16,2.4,2|1|2|6|0|1|4|1|4|3,08/21|08/19|08/18|08/17|08/16|08/15|08/13|08/12|08/11|08/10,2.13,2|1|2|6|0|1|4|1|4|3|0|1|5|2|0,08/21|08/19|08/18|08/17|08/16|08/15|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,85.8,65.1,43.3,25.7,14.7,7.2,3.5,2.94,66.4
2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,Citizens Bank Park,1.028,1.003,77.0,70.0,7.9,ESE,119.0,15.0,Partly cloudy,1.5,2.2,53.3,C,92.0,Philadelphia Phillies,Luis Arraez,Unknown,0.0,0,0,4.5,1.0,1.42,0.58,0.59,2.42,2.0,0.0,5.0,5.01,18.5,40,121,62.5,3.6,4|6|4|2|2,08/21|08/19|08/18|08/17|08/16,2.7,4|6|4|2|2|4|3|2|0|0,08/21|08/19|08/18|08/17|08/16|08/15|08/13|08/12|08/11|08/10,2.53,4|6|4|2|2|4|3|2|0|0|1|4|0|3|3,08/21|08/19|08/18|08/17|08/16|08/15|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,81.5,61.8,42.4,25.9,15.1,8.1,4.1,3.01,63.5
2026-08-22,Cleveland Guardians @ Colorado Rockies,Coors Field,1.08,1.014,90.3,24.0,14.7,SSE,158.0,22.0,Partly cloudy,6.3,9.2,63.9,B,75.0,Cleveland Guardians,Steven Kwan,Gabriel Hughes,0.0,0,0,4.5,1.2,1.23,0.83,0.34,2.38,2.0,0.0,5.0,16.29,11.7,40,118,60.0,2.0,3|3|0|4|0,08/21|08/20|08/19|08/18|08/16,2.3,3|3|0|4|0|5|2|0|2|4,08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/13|08/12|08/11,2.4,3|3|0|4|0|5|2|0|2|4|3|1|6|2|1,08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/05|08/04,88.3,66.3,41.8,22.8,10.9,4.6,1.8,2.42,61.0
2026-08-22,Minnesota Twins @ San Diego Padres,Petco Park,0.965,1.005,81.8,64.0,7.1,WNW,298.0,1.0,Clear,2.3,3.3,55.1,C,75.0,San Diego Padres,Fernando Tatis Jr.,Dean Kremer,0.667,2,3,4.2,1.11,1.11,0.77,0.69,2.58,2.0,0.0,6.0,2.02,19.6,40,127,57.5,3.4,5|2|7|1|2,08/21|08/19|08/18|08/17|08/16,2.6,5|2|7|1|2|1|3|1|4|0,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10,2.93,5|2|7|1|2|1|3|1|4|0|6|2|4|3|3,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,80.4,59.4,41.8,28.3,17.9,11.4,7.3,3.01,61.2
2026-08-22,Tampa Bay Rays @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.003,74.6,78.0,8.8,ESE,117.0,11.0,Overcast,1.2,1.7,52.6,C,92.0,Baltimore Orioles,Pete Alonso,Shane McClanahan,0.333,1,3,4.4,0.85,1.24,0.59,0.71,2.54,2.0,0.0,5.0,2.78,14.1,40,129,57.5,3.2,6|2|3|1|4,08/21|08/20|08/19|08/18|08/17,3.6,6|2|3|1|4|4|5|2|3|6,08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11,3.33,6|2|3|1|4|4|5|2|3|6|2|10|1|0|1,08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06,85.9,60.9,41.3,26.7,16.4,9.7,5.8,3.33,64.0
2026-08-22,Detroit Tigers @ Kansas City Royals,Kauffman Stadium,0.995,1.008,88.1,39.0,9.7,NNE,26.0,3.0,Clear,3.6,5.2,58.0,B,92.0,Kansas City Royals,Bobby Witt Jr.,Drew Anderson,0.667,2,3,4.6,1.0,1.19,0.91,0.48,2.5,2.0,0.0,6.0,1.94,21.1,40,111,57.5,4.2,2|6|1|2|10,08/21|08/20|08/19|08/18|08/17,3.3,2|6|1|2|10|3|0|3|2|4,08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11,2.93,2|6|1|2|10|3|0|3|2|4|1|0|2|3|5,08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06,78.9,58.0,40.3,26.7,17.3,11.0,6.9,3.08,61.0
2026-08-22,Athletics @ Houston Astros,Daikin Park,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Houston Astros,Yordan Alvarez,Jacob Lopez,0.5,1,2,4.2,1.2,1.17,0.73,0.65,2.51,2.0,0.0,6.0,2.14,19.4,40,127,62.5,2.0,5|2|2|0|1,08/21|08/20|08/19|08/18|08/16,2.0,5|2|2|0|1|1|4|1|1|3,08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/12|08/11|08/10,1.8,5|2|2|0|1|1|4|1|1|3|0|0|3|2|2,08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04,80.6,59.4,40.2,26.4,16.9,10.7,6.6,2.78,60.9
2026-08-22,San Francisco Giants @ Boston Red Sox,Fenway Park,1.03,1.001,69.9,79.0,7.2,NE,54.0,8.0,Overcast,0.3,0.4,50.6,C,92.0,Boston Red Sox,Wilyer Abreu,Blade Tidwell,0.0,0,0,4.4,1.0,1.09,0.78,0.68,2.45,2.0,0.0,6.0,2.06,22.8,40,125,52.5,2.6,5|2|1|5|0,08/21|08/19|08/18|08/17|08/16,2.7,5|2|1|5|0|5|1|3|2|3,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11,2.93,5|2|1|5|0|5|1|3|2|3|0|1|6|4|6,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/07|08/06|08/05,77.2,57.2,39.1,25.8,16.9,10.8,6.9,3.07,59.3
2026-08-22,Pittsburgh Pirates @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Los Angeles Dodgers,Shohei Ohtani,Jared Jones,0.0,0,5,4.5,1.05,1.17,0.77,0.73,2.58,2.0,0.0,6.0,1.4,23.8,40,119,47.5,3.8,3|0|4|11|1,08/21|08/19|08/18|08/17|08/16,2.8,3|0|4|11|1|2|0|1|5|1,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11,2.87,3|0|4|11|1|2|0|1|5|1|5|0|2|0|8,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/05,76.2,54.5,38.9,27.4,19.1,13.2,9.2,3.19,57.7
2026-08-22,San Francisco Giants @ Boston Red Sox,Fenway Park,1.03,1.001,69.9,79.0,7.2,NE,54.0,8.0,Overcast,0.3,0.4,50.6,C,92.0,Boston Red Sox,Willson Contreras,Blade Tidwell,1.0,3,3,4.3,1.0,1.01,0.67,0.8,2.29,2.0,0.0,5.0,3.47,21.5,40,116,57.5,3.6,5|4|4|5|0,08/21|08/19|08/18|08/17|08/15,2.5,5|4|4|5|0|1|2|4|0|0,08/21|08/19|08/18|08/17|08/15|08/14|08/13|08/12|08/11|08/10,2.33,5|4|4|5|0|1|2|4|0|0|1|1|2|6|0,08/21|08/19|08/18|08/17|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/05|08/04|08/02,78.5,58.0,38.6,23.9,14.0,7.7,3.9,3.0,60.5
2026-08-22,Cleveland Guardians @ Colorado Rockies,Coors Field,1.08,1.014,90.3,24.0,14.7,SSE,158.0,22.0,Partly cloudy,6.3,9.2,63.9,B,75.0,Cleveland Guardians,Chase DeLauter,Gabriel Hughes,0.0,0,0,4.3,1.2,1.27,0.6,0.47,2.28,2.0,0.0,5.0,3.78,18.4,40,108,60.0,1.4,1|0|3|1|2,08/21|08/16|08/15|08/14|08/13,2.0,1|0|3|1|2|3|5|1|1|3,08/21|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07,2.47,1|0|3|1|2|3|5|1|1|3|5|0|2|6|4,08/21|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01,81.5,58.8,38.5,22.8,12.8,6.8,3.5,2.37,57.3
2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,Citizens Bank Park,1.028,1.003,77.0,70.0,7.9,ESE,119.0,15.0,Partly cloudy,1.5,2.2,53.3,C,92.0,Philadelphia Phillies,Alec Bohm,Unknown,0.0,0,0,4.3,1.0,1.26,0.54,0.86,2.43,2.0,0.0,6.0,1.77,27.8,40,123,57.5,4.6,7|0|5|3|8,08/21|08/19|08/18|08/17|08/16,4.0,7|0|5|3|8|8|2|2|1|4,08/21|08/19|08/18|08/17|08/16|08/15|08/13|08/12|08/11|08/09,3.07,7|0|5|3|8|8|2|2|1|4|0|0|2|2|2,08/21|08/19|08/18|08/17|08/16|08/15|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,72.2,53.6,37.9,26.0,18.0,11.9,7.7,3.2,59.8
2026-08-22,New York Mets @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,New York Mets,Carson Benge,Luis Castillo,0.0,0,0,4.1,1.15,1.2,0.56,0.55,2.23,2.0,0.0,5.0,4.7,18.1,40,122,55.0,1.6,2|5|0|1|0,08/21|08/19|08/18|08/17|08/16,1.8,2|5|0|1|0|3|2|2|2|1,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10,2.6,2|5|0|1|0|3|2|2|2|1|3|5|6|4|3,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/07|08/06|08/05|08/04,81.9,58.9,37.7,21.9,11.6,6.0,2.9,2.55,57.3
2026-08-22,Tampa Bay Rays @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.003,74.6,78.0,8.8,ESE,117.0,11.0,Overcast,1.2,1.7,52.6,C,92.0,Tampa Bay Rays,Yandy Díaz,Brandon Young,1.0,2,2,4.5,0.97,1.26,0.68,0.52,2.25,2.0,0.0,5.0,2.53,23.9,40,123,57.5,3.0,0|2|5|3|5,08/21|08/20|08/19|08/18|08/17,2.8,0|2|5|3|5|1|2|1|4|5,08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11,3.0,0|2|5|3|5|1|2|1|4|5|7|6|0|0|4,08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/04,76.0,55.1,36.6,23.4,14.3,8.4,5.0,2.93,58.7
