game_pk,game_date,game_time_utc,venue,home_away,player_id,player_name,team,team_id,opponent,opponent_id,handedness,probable_status,pitcher_role,season_games,season_starts,season_ip,season_k_pct,season_bb_pct,season_er9,recent_ip,recent_pitches,recent_bf,recent_k_pct,recent_bb_pct,recent_er9,recent_6ip_rate,last_pitches,days_rest,long_layoff,projected_ip,projected_outs,projected_bf,projected_pitches,bear_outs,base_outs,bull_outs,bear_pitches,base_pitches,bull_pitches,bear_prob,base_prob,bull_prob,manager_hook_factor,lineup_source,lineup_names,lineup_k_pct,lineup_bb_pct,lineup_hr_pct,lineup_ops,lineup_sample_pa,park_run_factor,weather_run_factor,weather_delay_risk,weather_source,defense_run_factor,team_win_probability,opposing_starter_er9,umpire_k_factor,catcher_k_factor,statcast_stuff_factor,arsenal_matchup_factor,umpire_source,catcher_source,statcast_source,arsenal_source,model_line,next_model_line,model_line_more_probability_pct,next_line_more_probability_pct,model_line_target_probability_pct,projection,median,floor_p10,floor_p25,ceiling_p75,ceiling_p90,sim_avg_ip,sim_avg_outs,sim_avg_bf,sim_avg_pitches,sim_avg_k,sim_avg_er,sim_avg_bb,sim_avg_hits,model_k_pct,model_bb_pct,model_hit_pct,model_er9,win_probability_pct,quality_start_probability_pct,five_inning_probability_pct,six_inning_probability_pct,seven_inning_probability_pct,fs_outs_component,fs_k_component,fs_er_component,fs_win_component,fs_qs_component,data_quality_score,data_quality_flags,model_confidence_pct,simulations,more_2_0_pct,more_2_5_pct,more_3_0_pct,more_3_5_pct,more_4_0_pct,more_4_5_pct,more_5_0_pct,more_5_5_pct,more_6_0_pct,more_6_5_pct,more_7_0_pct,more_7_5_pct,more_8_0_pct,more_8_5_pct,more_9_0_pct,more_9_5_pct,more_10_0_pct,more_10_5_pct,more_11_0_pct,more_11_5_pct,more_12_0_pct,more_12_5_pct,more_13_0_pct,more_13_5_pct,more_14_0_pct,more_14_5_pct,more_15_0_pct,more_15_5_pct,more_16_0_pct,more_16_5_pct,more_17_0_pct,more_17_5_pct,more_18_0_pct,more_18_5_pct,more_19_0_pct,more_19_5_pct,more_20_0_pct,more_20_5_pct,more_21_0_pct,more_21_5_pct,more_22_0_pct,more_22_5_pct,more_23_0_pct,more_23_5_pct,more_24_0_pct,more_24_5_pct,more_25_0_pct,more_25_5_pct,more_26_0_pct,more_26_5_pct,more_27_0_pct,more_27_5_pct,more_28_0_pct,more_28_5_pct,more_29_0_pct,more_29_5_pct,more_30_0_pct,more_30_5_pct,more_31_0_pct,more_31_5_pct,more_32_0_pct,more_32_5_pct,more_33_0_pct,more_33_5_pct,more_34_0_pct,more_34_5_pct,more_35_0_pct,more_35_5_pct,more_36_0_pct,more_36_5_pct,more_37_0_pct,more_37_5_pct,more_38_0_pct,more_38_5_pct,more_39_0_pct,more_39_5_pct,more_40_0_pct,more_40_5_pct,more_41_0_pct,more_41_5_pct,more_42_0_pct,more_42_5_pct,more_43_0_pct,more_43_5_pct,more_44_0_pct,more_44_5_pct,more_45_0_pct,more_45_5_pct,more_46_0_pct,more_46_5_pct,more_47_0_pct,more_47_5_pct,more_48_0_pct,more_48_5_pct,more_49_0_pct,more_neg0_5_pct,more_0_0_pct,more_0_5_pct,more_1_0_pct,more_1_5_pct
823589,2026-08-17,2026-08-17T23:10:00Z,Citi Field,AWAY,621111,Walker Buehler,San Diego Padres,135,New York Mets,121,R,MLB Probable,STARTER,24,24,114.33333333333333,0.2012072434607646,0.09456740442655935,4.8804664723032065,5.066666666666666,87.0,21.8,0.1743119266055046,0.11009174311926606,3.1973684210526314,0.2,98.0,5.0,0,4.885,14.655,21.145,84.88125,10.655,14.655,18.155,69.60262499999999,84.88125,93.369375,0.25,0.5,0.25,1.076,PROJECTED_ACTIVE_ROSTER,Bo Bichette | Carson Benge | Marcus Semien | Brett Baty | A.J. Ewing | Francisco Alvarez | Francisco Lindor | Jared Young | Luis Torrens,0.22321154436598095,0.0828983727356463,0.028860914952410194,0.7072121584280013,3257,0.96,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.991,0.4825859979909747,3.424390243902439,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,17.5,18.0,61.5,57.7,57.99999999999999,20.26,20.0,8.0,14.0,27.0,33.0,4.26,12.78,20.84,83.2,4.19,2.01,1.97,4.23,20.13,9.53,20.14,4.09,12.3,4.5,28.4,4.7,0.2,12.78,12.57,-6.02,0.74,0.18,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,59.1,20000,,,,,,,92.8,92.8,91.6,91.6,90.3,90.3,88.7,88.7,86.9,86.9,84.8,84.8,82.2,82.2,79.4,79.4,76.4,76.4,73.0,73.0,69.7,69.7,65.8,65.8,61.5,61.5,57.7,57.7,53.3,53.3,48.8,48.8,44.8,44.8,40.4,40.4,36.1,36.1,32.6,32.6,29.0,29.0,25.6,25.6,22.8,22.8,19.8,19.8,17.3,17.3,15.2,15.2,12.9,12.9,10.9,10.9,9.4,9.4,7.9,7.9,6.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823343,2026-08-17,2026-08-17T23:05:00Z,PNC Park,AWAY,664285,Framber Valdez,Detroit Tigers,116,Pittsburgh Pirates,134,L,MLB Probable,STARTER,24,24,133.0,0.18057921635434412,0.08517887563884156,4.263157894736842,5.066666666666666,86.4,23.6,0.16101694915254236,0.11864406779661017,4.973684210526316,0.4,102.0,4.0,0,5.351666666666667,16.055,24.115000000000002,87.40125,12.055,16.055,19.555,71.669025,87.40125,96.14137500000001,0.25,0.5,0.25,1.032,PROJECTED_ACTIVE_ROSTER,Bryan Reynolds | Brandon Lowe | Nick Gonzales | Jake Mangum | Spencer Horwitz | Jared Triolo | Henry Davis | Esmerlyn Valdez | Jacob Gonzalez,0.22135007849293564,0.09481946624803768,0.02857142857142857,0.7561701726844585,3185,0.96,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.991,0.48238769809438103,3.7926421404682276,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,18.5,19.0,61.0,57.4,57.99999999999999,21.4,21.0,7.0,14.0,29.0,36.0,4.66,13.99,23.78,85.7,4.44,2.49,2.25,5.13,18.69,9.38,21.53,4.47,18.6,11.2,43.9,12.4,1.5,13.99,13.32,-7.47,1.12,0.45,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,58.5,20000,,,,,,,,,90.2,90.2,88.7,88.7,87.3,87.3,85.4,85.4,83.4,83.4,81.3,81.3,78.9,78.9,76.5,76.5,73.6,73.6,70.9,70.9,67.7,67.7,64.1,64.1,61.0,61.0,57.4,57.4,53.4,53.4,49.9,49.9,46.3,46.3,42.3,42.3,39.1,39.1,35.6,35.6,32.3,32.3,29.5,29.5,26.5,26.5,23.7,23.7,21.5,21.5,18.7,18.7,16.5,16.5,15.0,15.0,12.9,12.9,11.1,11.1,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823427,2026-08-17,2026-08-17T22:40:00Z,Citizens Bank Park,HOME,650911,Cristopher Sánchez,Philadelphia Phillies,143,Miami Marlins,146,L,MLB Probable,STARTER,25,25,155.66666666666666,0.2801857585139319,0.05417956656346749,2.54389721627409,5.666666666666666,97.2,24.2,0.30578512396694213,0.08264462809917356,2.223529411764706,0.6,89.0,5.0,0,6.002666666666666,18.008,25.183999999999997,96.46200000000002,14.008,18.008,21.508,79.09884000000001,96.46200000000002,106.10820000000002,0.25,0.5,0.25,0.9880000000000001,PROJECTED_ACTIVE_ROSTER,Otto Lopez | Xavier Edwards | Jakob Marsee | Heriberto Hernández | Javier Sanoja | Owen Caissie | Joe Mack | Griffin Conine | Esteury Ruiz,0.20700843608046723,0.08955223880597014,0.028877352368591822,0.7511401687216094,3082,1.05,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.997,0.5245503246451823,4.414448669201521,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,30.5,31.0,60.5,57.3,57.99999999999999,34.0,34.0,19.0,26.0,42.0,50.0,5.34,16.03,24.78,94.5,6.58,1.67,1.65,5.31,26.7,6.69,21.39,2.67,34.0,30.0,67.6,31.9,7.4,16.03,19.74,-5.02,2.04,1.2,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,58.1,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4,88.8,88.8,86.9,86.9,85.2,85.2,82.9,82.9,80.3,80.3,78.2,78.2,75.2,75.2,72.3,72.3,69.8,69.8,66.3,66.3,62.9,62.9,60.5,60.5,57.3,57.3,53.9,53.9,51.4,51.4,47.7,47.7,44.0,44.0,41.9,41.9,38.3,38.3,34.9,34.9,33.1,33.1,29.6,29.6,26.4,26.4,24.8,24.8,21.9,21.9,19.3,19.3,17.9,17.9,15.5,15.5,13.4,13.4,12.3,12.3,10.5,,,,,
824641,2026-08-17,2026-08-18T00:05:00Z,Wrigley Field,AWAY,622491,Luis Castillo,Chicago White Sox,145,Chicago Cubs,112,R,MLB Probable,STARTER,22,19,110.66666666666667,0.20867768595041322,0.07231404958677685,4.960843373493976,5.6,91.4,23.8,0.20168067226890757,0.06722689075630252,5.4642857142857135,0.4,104.0,4.0,0,5.734736842105264,17.20421052631579,24.804210526315792,96.26473684210528,13.20421052631579,17.20421052631579,20.70421052631579,78.93708421052632,96.26473684210528,105.89121052631582,0.25,0.5,0.25,1.032,PROJECTED_ACTIVE_ROSTER,Alex Bregman | Pete Crow-Armstrong | Michael Busch | Nico Hoerner | Ian Happ | Seiya Suzuki | Dansby Swanson | Carson Kelly | Michael Conforto,0.21789045682850994,0.11097823487204019,0.033723989476201865,0.7626653910547716,4181,1.02,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,1.0,0.4687414800552067,3.7354368932038833,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,18.5,19.0,60.4,57.6,57.99999999999999,21.75,22.0,4.0,13.0,31.0,39.0,4.85,14.54,24.43,94.3,5.09,3.3,1.93,5.32,20.96,7.9,21.71,5.52,20.2,15.7,50.4,18.6,3.2,14.54,15.27,-9.9,1.21,0.63,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,58.0,20000,,,,,,,,,,86.8,85.5,85.5,83.8,83.8,82.2,82.2,80.2,80.2,78.2,78.2,76.1,76.1,73.9,73.9,71.2,71.2,68.8,68.8,66.1,66.1,63.1,63.1,60.4,60.4,57.6,57.6,54.4,54.4,51.5,51.5,48.3,48.3,45.3,45.3,42.8,42.8,39.9,39.9,36.7,36.7,34.4,34.4,31.2,31.2,28.2,28.2,26.4,26.4,23.7,23.7,21.3,21.3,19.8,19.8,17.3,17.3,15.1,15.1,14.0,14.0,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824478,2026-08-17,2026-08-17T22:40:00Z,Great American Ball Park,HOME,695076,Rhett Lowder,Cincinnati Reds,113,St. Louis Cardinals,138,R,MLB Probable,STARTER,21,18,94.33333333333333,0.18203309692671396,0.09456264775413711,5.151943462897528,4.933333333333334,80.6,21.2,0.16981132075471697,0.04716981132075472,5.837837837837837,0.4,94.0,4.0,0,5.117777777777778,15.353333333333335,22.58,84.405,11.353333333333335,15.353333333333335,18.853333333333335,69.21209999999999,84.405,92.84550000000002,0.25,0.5,0.25,1.032,PROJECTED_ACTIVE_ROSTER,Iván Herrera | JJ Wetherholt | Alec Burleson | Jordan Walker | Masyn Winn | Nathan Church | José Fermín | Pedro Pagés | Blaze Jordan,0.18465024072500708,0.08524497309544038,0.027754177286887567,0.726695836873407,3531,1.07,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,1.0,0.4962108499254212,4.2,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,14.5,15.0,60.4,57.3,57.99999999999999,17.12,18.0,1.0,10.0,25.0,32.0,4.37,13.11,22.21,82.6,3.98,3.02,1.83,4.61,18.02,8.32,20.69,5.79,14.4,6.6,33.5,7.4,0.6,13.11,11.94,-9.06,0.86,0.26,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,58.0,20000,88.7,88.7,87.3,87.3,85.8,85.8,83.9,83.9,82.3,82.3,80.3,80.3,78.0,78.0,75.8,75.8,73.2,73.2,70.2,70.2,67.1,67.1,64.0,64.0,60.4,60.4,57.3,57.3,53.7,53.7,50.1,50.1,46.6,46.6,43.0,43.0,39.2,39.2,36.1,36.1,32.8,32.8,29.4,29.4,26.7,26.7,23.7,23.7,20.9,20.9,18.9,18.9,16.4,16.4,14.3,14.3,12.8,12.8,11.0,11.0,9.4,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823343,2026-08-17,2026-08-17T23:05:00Z,PNC Park,HOME,669387,Carmen Mlodzinski,Pittsburgh Pirates,134,Detroit Tigers,116,R,MLB Probable,SPOT_STARTER,27,11,99.66666666666667,0.18013856812933027,0.08083140877598152,3.7926421404682276,2.6666666666666665,61.0,15.5,0.06451612903225806,0.12903225806451613,15.1875,0.0,59.0,4.0,0,5.25,15.75,29.81818181818182,88.0,12.75,15.75,17.0,72.16,88.0,96.80000000000001,0.3,0.5,0.2,1.12,PROJECTED_ACTIVE_ROSTER,Kevin McGonigle | Dillon Dingler | Spencer Torkelson | Colt Keith | Zach McKinstry | Gleyber Torres | Hao-Yu Lee | Javier Báez | Ben Malgeri,0.20369104579630895,0.09671907040328093,0.030758714969241284,0.7529952153110048,2926,0.96,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,1.006,0.5250984791909578,4.263157894736842,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,12.5,13.0,60.4,57.8,57.99999999999999,14.96,16.0,-3.0,6.0,24.0,31.0,4.36,13.09,26.3,85.1,4.29,3.97,2.45,5.65,16.29,9.36,21.44,7.28,11.8,5.5,33.1,5.5,0.0,13.09,12.86,-11.92,0.71,0.22,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,58.0,20000,81.8,81.8,80.0,80.0,78.4,78.4,76.5,76.5,74.5,74.5,72.5,72.5,70.3,70.3,68.1,68.1,65.6,65.6,62.9,62.9,60.4,60.4,57.8,57.8,54.9,54.9,51.9,51.9,48.5,48.5,45.2,45.2,42.3,42.3,38.8,38.8,35.6,35.6,32.9,32.9,29.8,29.8,26.9,26.9,24.6,24.6,21.6,21.6,19.3,19.3,17.3,17.3,14.6,14.6,12.9,12.9,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2,84.9,84.9,83.5,83.5
824725,2026-08-17,2026-08-17T23:10:00Z,Fenway Park,AWAY,683352,Mitch Bratt,Arizona Diamondbacks,109,Boston Red Sox,111,L,MLB Probable,STARTER,7,7,33.666666666666664,0.17482517482517482,0.13286713286713286,3.742574257425743,5.533333333333333,85.6,23.0,0.19130434782608696,0.12173913043478261,3.253012048192771,0.4,78.0,5.0,0,5.099047619047619,15.297142857142857,21.457142857142856,81.7942857142857,11.297142857142857,15.297142857142857,18.79714285714286,67.07131428571428,81.7942857142857,89.97371428571428,0.25,0.5,0.25,1.032,PROJECTED_ACTIVE_ROSTER,Wilyer Abreu | Ceddanne Rafaela | Jarren Duran | Willson Contreras | Caleb Durbin | Adley Rutschman | Andruw Monasterio | Connor Wong | Eli White,0.2130512514898689,0.08194278903456496,0.03367103694874851,0.7580807508939214,3356,1.04,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.985,0.502289587956851,4.2,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,17.5,18.0,59.8,55.8,57.99999999999999,19.94,20.0,8.0,14.0,26.0,32.0,4.25,12.75,21.12,80.1,3.96,1.88,2.55,4.55,18.77,12.05,21.58,3.88,12.9,4.2,27.4,4.4,0.3,12.75,11.89,-5.64,0.77,0.17,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,57.4,20000,,,,,,94.2,93.2,93.2,92.2,92.2,90.8,90.8,89.1,89.1,87.2,87.2,84.8,84.8,82.3,82.3,79.6,79.6,76.2,76.2,72.3,72.3,68.6,68.6,64.5,64.5,59.8,59.8,55.8,55.8,51.2,51.2,46.5,46.5,42.7,42.7,38.7,38.7,34.6,34.6,31.0,31.0,27.4,27.4,23.9,23.9,21.0,21.0,18.1,18.1,15.8,15.8,13.7,13.7,11.6,11.6,9.9,9.9,8.6,8.6,7.1,7.1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823668,2026-08-17,2026-08-17T23:40:00Z,Target Field,AWAY,527048,Martín Pérez,Atlanta Braves,144,Minnesota Twins,142,L,MLB Probable,STARTER,23,19,106.33333333333333,0.18604651162790697,0.1,2.9623824451410656,5.0,71.4,19.4,0.18556701030927836,0.1134020618556701,1.08,0.4,82.0,5.0,0,5.3578947368421055,16.073684210526316,21.338947368421053,78.08842105263159,12.073684210526316,16.073684210526316,19.573684210526316,64.0325052631579,78.08842105263159,85.89726315789476,0.25,0.5,0.25,1.032,PROJECTED_ACTIVE_ROSTER,Josh Bell | Brooks Lee | Luke Keaschall | Kody Clemens | Byron Buxton | Trevor Larnach | Royce Lewis | Austin Martin | Victor Caratini,0.20131831914309256,0.08816259269431474,0.032957978577313925,0.7409843449601757,3641,0.99,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.994,0.5239489016078392,4.636363636363637,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,20.5,21.0,59.7,55.3,57.99999999999999,23.23,23.0,12.0,17.0,29.0,36.0,4.52,13.56,21.03,76.5,3.98,1.23,2.12,4.44,18.98,10.03,21.1,2.43,18.7,7.5,37.3,7.6,0.6,13.56,11.94,-3.7,1.12,0.3,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,57.3,20000,,,,,,,,,,,,,95.3,95.3,94.1,94.1,92.6,92.6,90.6,90.6,88.6,88.6,86.1,86.1,83.1,83.1,80.2,80.2,76.6,76.6,72.5,72.5,68.7,68.7,64.6,64.6,59.7,59.7,55.3,55.3,51.0,51.0,46.1,46.1,42.1,42.1,38.0,38.0,33.9,33.9,30.6,30.6,27.1,27.1,23.7,23.7,21.1,21.1,18.3,18.3,16.0,16.0,14.0,14.0,11.9,11.9,10.3,10.3,9.0,9.0,7.3,7.3,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
824077,2026-08-17,2026-08-17T23:40:00Z,Kauffman Stadium,HOME,608379,Michael Wacha,Kansas City Royals,118,Athletics,133,R,MLB Probable,STARTER,24,24,150.66666666666666,0.19117647058823528,0.06699346405228758,3.464601769911505,6.266666666666667,96.2,25.0,0.168,0.056,2.297872340425532,0.8,96.0,5.0,0,6.273333333333333,18.82,25.299999999999997,95.26625000000001,14.82,18.82,22.0,78.11832500000001,95.26625000000001,104.79287500000002,0.25,0.5,0.25,0.9440000000000001,PROJECTED_ACTIVE_ROSTER,Lawrence Butler | Jeff McNeil | Jacob Wilson | Henry Bolte | Jonah Heim | Carlos Cortes | Zack Gelof | Max Muncy | Donovan Walton,0.20131629887727448,0.07471931862175765,0.026713124274099883,0.7058943089430895,2583,0.98,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.994,0.536368436336909,6.157894736842105,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,25.5,26.0,59.6,56.0,57.99999999999999,28.36,28.0,13.0,20.0,37.0,44.0,5.49,16.46,24.91,93.2,4.71,1.93,1.64,5.01,18.91,6.63,20.1,2.97,36.3,34.7,71.9,38.1,10.0,16.46,14.14,-5.8,2.18,1.39,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,57.2,20000,,,,,,,,,,,,,,,,,,,,,,,89.5,89.5,87.7,87.7,86.2,86.2,84.3,84.3,82.2,82.2,80.1,80.1,77.6,77.6,74.5,74.5,72.2,72.2,69.2,69.2,65.5,65.5,62.9,62.9,59.6,59.6,56.0,56.0,53.6,53.6,49.8,49.8,46.2,46.2,43.9,43.9,40.0,40.0,36.5,36.5,34.3,34.3,30.8,30.8,27.8,27.8,25.9,25.9,22.9,22.9,20.2,20.2,18.5,18.5,15.8,15.8,13.6,13.6,12.2,12.2,10.3,10.3,,,,,,,,,,,,,,,,
823668,2026-08-17,2026-08-17T23:40:00Z,Target Field,HOME,641927,Bailey Ober,Minnesota Twins,142,Atlanta Braves,144,R,MLB Probable,STARTER,18,18,99.0,0.1614457831325301,0.060240963855421686,4.636363636363637,5.466666666666667,86.0,23.0,0.1391304347826087,0.05217391304347826,5.26829268292683,0.6,100.0,5.0,0,5.486666666666666,16.46,23.033333333333335,85.7,12.46,16.46,19.96,70.274,85.7,94.27000000000001,0.25,0.5,0.25,0.9880000000000001,PROJECTED_ACTIVE_ROSTER,Matt Olson | Ozzie Albies | Austin Riley | Mauricio Dubón | Michael Harris II | Drake Baldwin | Lane Thomas | Ronald Acuña Jr. | Mike Yastrzemski,0.21374045801526717,0.08447837150127227,0.03918575063613232,0.7606366412213741,3930,0.99,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.997,0.48353870993523546,2.9623824451410656,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,16.5,17.0,59.6,55.8,57.99999999999999,18.85,19.0,3.0,11.0,27.0,34.0,4.68,14.05,22.73,84.0,3.88,2.83,1.46,4.9,17.01,6.35,21.66,5.03,19.2,11.8,45.3,13.1,1.7,14.05,11.65,-8.48,1.15,0.47,84.0,LINEUP_PROJECTED|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,57.2,20000,,,,89.5,88.0,88.0,86.6,86.6,84.9,84.9,83.2,83.2,81.2,81.2,79.0,79.0,76.8,76.8,74.3,74.3,71.8,71.8,69.0,69.0,65.9,65.9,62.9,62.9,59.6,59.6,55.8,55.8,52.6,52.6,48.9,48.9,45.3,45.3,42.1,42.1,38.3,38.3,34.8,34.8,32.0,32.0,28.9,28.9,25.9,25.9,23.6,23.6,20.8,20.8,18.3,18.3,16.7,16.7,14.5,14.5,12.2,12.2,11.1,11.1,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
