game_pk,game_date,game_time_utc,venue,home_away,player_id,player_name,team,team_id,opponent,opponent_id,handedness,probable_status,pitcher_role,season_games,season_starts,season_ip,season_k_pct,season_bb_pct,season_er9,recent_ip,recent_pitches,recent_bf,recent_k_pct,recent_bb_pct,recent_er9,recent_6ip_rate,last_pitches,days_rest,long_layoff,projected_ip,projected_outs,projected_bf,projected_pitches,bear_outs,base_outs,bull_outs,bear_pitches,base_pitches,bull_pitches,bear_prob,base_prob,bull_prob,manager_hook_factor,lineup_source,lineup_names,lineup_k_pct,lineup_bb_pct,lineup_hr_pct,lineup_ops,lineup_sample_pa,park_run_factor,weather_run_factor,weather_delay_risk,weather_source,defense_run_factor,team_win_probability,opposing_starter_er9,umpire_k_factor,catcher_k_factor,statcast_stuff_factor,arsenal_matchup_factor,umpire_source,catcher_source,statcast_source,arsenal_source,model_line,next_model_line,model_line_more_probability_pct,next_line_more_probability_pct,model_line_target_probability_pct,projection,median,floor_p10,floor_p25,ceiling_p75,ceiling_p90,sim_avg_ip,sim_avg_outs,sim_avg_bf,sim_avg_pitches,sim_avg_k,sim_avg_er,sim_avg_bb,sim_avg_hits,model_k_pct,model_bb_pct,model_hit_pct,model_er9,win_probability_pct,quality_start_probability_pct,five_inning_probability_pct,six_inning_probability_pct,seven_inning_probability_pct,fs_outs_component,fs_k_component,fs_er_component,fs_win_component,fs_qs_component,data_quality_score,data_quality_flags,model_confidence_pct,simulations,more_8_0_pct,more_8_5_pct,more_9_0_pct,more_9_5_pct,more_10_0_pct,more_10_5_pct,more_11_0_pct,more_11_5_pct,more_12_0_pct,more_12_5_pct,more_13_0_pct,more_13_5_pct,more_14_0_pct,more_14_5_pct,more_15_0_pct,more_15_5_pct,more_16_0_pct,more_16_5_pct,more_17_0_pct,more_17_5_pct,more_18_0_pct,more_18_5_pct,more_19_0_pct,more_19_5_pct,more_20_0_pct,more_20_5_pct,more_21_0_pct,more_21_5_pct,more_22_0_pct,more_22_5_pct,more_23_0_pct,more_23_5_pct,more_24_0_pct,more_24_5_pct,more_25_0_pct,more_25_5_pct,more_26_0_pct,more_26_5_pct,more_27_0_pct,more_27_5_pct,more_28_0_pct,more_28_5_pct,more_29_0_pct,more_29_5_pct,more_30_0_pct,more_30_5_pct,more_31_0_pct,more_31_5_pct,more_32_0_pct,more_32_5_pct,more_33_0_pct,more_33_5_pct,more_34_0_pct,more_34_5_pct,more_35_0_pct,more_35_5_pct,more_36_0_pct,more_36_5_pct,more_37_0_pct,more_37_5_pct,more_38_0_pct,more_38_5_pct,more_3_5_pct,more_4_0_pct,more_4_5_pct,more_5_0_pct,more_5_5_pct,more_6_0_pct,more_6_5_pct,more_7_0_pct,more_7_5_pct,more_neg2_0_pct,more_neg1_5_pct,more_neg1_0_pct,more_neg0_5_pct,more_0_0_pct,more_0_5_pct,more_1_0_pct,more_1_5_pct,more_2_0_pct,more_2_5_pct,more_3_0_pct,more_39_0_pct,more_39_5_pct,more_40_0_pct,more_40_5_pct,more_41_0_pct,more_41_5_pct,more_42_0_pct,more_42_5_pct,more_43_0_pct,more_43_5_pct,more_44_0_pct,more_44_5_pct,more_45_0_pct,more_45_5_pct,more_46_0_pct,more_46_5_pct,more_47_0_pct,more_47_5_pct,more_48_0_pct,more_48_5_pct,more_49_0_pct,more_49_5_pct,more_50_0_pct,more_50_5_pct,more_51_0_pct,more_51_5_pct,more_52_0_pct,more_52_5_pct,more_53_0_pct,more_53_5_pct
824477,2026-08-16,2026-08-16T17:40:00Z,Great American Ball Park,HOME,666157,Nick Lodolo,Cincinnati Reds,113,Miami Marlins,146,L,MLB Probable,STARTER,14,14,71.66666666666667,0.18037974683544303,0.09177215189873418,4.520930232558139,5.0,82.8,21.0,0.18095238095238095,0.10476190476190476,2.5200000000000005,0.2,73.0,-1.0,0,5.071428571428571,15.214285714285714,21.942857142857143,85.0757142857143,11.214285714285714,15.214285714285714,18.714285714285715,69.76208571428572,85.0757142857143,93.58328571428574,0.25,0.5,0.25,1.076,CONFIRMED_MLB,Otto Lopez | Heriberto Hernández | Agustín Ramírez | Xavier Edwards | Javier Sanoja | Leo Jiménez | Griffin Conine | Graham Pauley | Esteury Ruiz,0.1836248012718601,0.08426073131955485,0.0246422893481717,0.750550079491256,2516,1.07,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,1.0,0.47449794468584927,3.2282608695652173,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,16.5,17.0,61.8,57.6,57.99999999999999,19.23,19.0,6.0,13.0,26.0,32.0,4.36,13.09,21.62,83.4,3.91,2.22,2.02,4.6,18.13,9.29,21.37,4.37,13.7,5.9,32.5,6.3,0.4,13.09,11.74,-6.65,0.82,0.24,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,60.5,20000,85.8,85.8,83.9,83.9,81.6,81.6,79.0,79.0,76.2,76.2,73.0,73.0,69.3,69.3,65.8,65.8,61.8,61.8,57.6,57.6,53.8,53.8,49.8,49.8,45.3,45.3,41.5,41.5,37.6,37.6,33.3,33.3,30.0,30.0,26.2,26.2,23.2,23.2,20.6,20.6,17.9,17.9,15.6,15.6,13.7,13.7,11.5,11.5,9.8,9.8,8.6,8.6,7.0,7.0,,,,,,,,,,92.0,92.0,90.8,90.8,89.4,89.4,87.8,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824642,2026-08-16,2026-08-16T19:15:00Z,Wrigley Field,AWAY,690928,Hunter Dobbins,St. Louis Cardinals,138,Chicago Cubs,112,R,MLB Probable,STARTER,10,7,50.0,0.23113207547169812,0.09905660377358491,3.42,5.583333333333333,92.75,23.25,0.23655913978494625,0.10752688172043011,2.0149253731343286,0.5,96.0,-1.0,0,6.519047619047619,19.557142857142857,27.47142857142857,105.9125,15.557142857142857,19.557142857142857,22.0,86.84825,105.9125,116.50375,0.25,0.5,0.25,1.01,CONFIRMED_MLB,Pete Crow-Armstrong | Seiya Suzuki | Alex Bregman | Ian Happ | Tyrone Taylor | Nico Hoerner | Pedro Ramírez | Dansby Swanson | James Triantos,0.21380520620064347,0.10470897923369406,0.03568294823047675,0.7697429072828311,3419,1.02,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.991,0.4990828957653217,5.684210526315789,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,28.5,29.0,61.4,58.0,57.99999999999999,32.06,32.0,16.0,24.0,41.0,48.0,5.53,16.59,26.87,103.1,6.11,2.11,2.74,5.89,22.79,10.19,21.92,3.24,34.2,35.7,74.4,39.8,10.7,16.59,18.33,-6.34,2.06,1.43,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,60.1,20000,,,,,,,,,,,,,,,,,,,87.5,87.5,85.9,85.9,84.2,84.2,81.9,81.9,80.0,80.0,77.7,77.7,75.0,75.0,72.8,72.8,70.0,70.0,66.9,66.9,64.4,64.4,61.4,61.4,58.0,58.0,55.6,55.6,52.2,52.2,48.5,48.5,46.3,46.3,42.9,42.9,39.7,39.7,37.6,37.6,34.1,34.1,30.7,30.7,,,,,,,,,,,,,,,,,,,,,28.8,28.8,25.7,25.7,22.9,22.9,21.3,21.3,18.7,18.7,16.4,16.4,14.9,14.9,12.7,12.7,10.9,10.9,,,,,,,,,,,,
824236,2026-08-16,2026-08-16T17:40:00Z,Comerica Park,HOME,623454,Drew Anderson,Detroit Tigers,116,Chicago White Sox,145,R,MLB Probable,BULK_RELIEVER,43,5,76.33333333333333,0.26605504587155965,0.08868501529051988,4.008733624454149,4.222222222222222,62.0,17.0,0.17647058823529413,0.09803921568627451,2.842105263157895,0.0,74.0,-1.0,0,4.25,12.75,46.040000000000006,72.0,10.75,12.75,13.0,59.04,72.0,79.2,0.3,0.5,0.2,1.18,CONFIRMED_MLB,Sam Antonacci | Munetaka Murakami | Miguel Vargas | Andrew Benintendi | Randal Grichuk | Braden Montgomery | Colson Montgomery | Chase Meidroth | Tristan Peters,0.23388952819332567,0.0981012658227848,0.03855005753739931,0.7837456846950518,3476,0.96,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.991,0.49529255176098985,3.15,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,19.5,20.0,62.6,57.9,57.99999999999999,21.79,22.0,10.0,16.0,28.0,33.0,3.8,11.41,21.51,69.5,5.14,1.68,1.99,4.8,24.01,9.24,22.31,3.79,0.0,0.0,5.5,0.0,0.0,11.41,15.43,-5.04,0.0,0.0,84.0,BULLPEN_ROLE|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,60.1,20000,92.7,92.7,91.4,91.4,89.8,89.8,88.0,88.0,86.0,86.0,83.7,83.7,81.0,81.0,78.2,78.2,74.6,74.6,71.1,71.1,66.9,66.9,62.6,62.6,57.9,57.9,53.3,53.3,48.5,48.5,44.1,44.1,39.0,39.0,34.3,34.3,30.0,30.0,25.7,25.7,22.1,22.1,18.7,18.7,15.5,15.5,13.0,13.0,10.7,10.7,8.6,8.6,7.0,7.0,5.6,5.6,4.4,4.4,3.5,,,,,,,,,,94.8,93.9,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824156,2026-08-16,2026-08-16T23:20:00Z,Daikin Park,AWAY,693433,Bryan Woo,Seattle Mariners,136,Houston Astros,117,R,MLB Probable,STARTER,24,24,138.33333333333334,0.2433392539964476,0.05150976909413854,4.098795180722891,5.6,88.8,22.6,0.24778761061946902,0.061946902654867256,3.8571428571428568,0.4,75.0,-1.0,0,5.698333333333333,17.095,23.115000000000002,88.55250000000001,13.094999999999999,17.095,20.595,72.61305,88.55250000000001,97.40775000000002,0.25,0.5,0.25,1.032,CONFIRMED_MLB,Jeremy Peña | Yordan Alvarez | Cam Smith | Isaac Paredes | Jose Altuve | Daulton Varsho | Christian Walker | LaMonte Wade Jr. | Yainer Diaz,0.19405544441268935,0.09259788511003143,0.038868248070877395,0.7772663618176623,3499,1.0,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.997,0.46814593221697404,3.669902912621359,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,21.5,22.0,61.3,57.7,57.99999999999999,24.87,25.0,9.0,17.0,33.0,41.0,4.84,14.52,22.8,86.8,5.28,2.46,1.41,5.04,23.19,6.18,22.13,4.33,21.4,15.5,50.4,17.0,2.3,14.52,15.83,-7.39,1.28,0.62,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,60.0,20000,,,,89.8,88.4,88.4,86.9,86.9,85.1,85.1,83.0,83.0,80.8,80.8,78.8,78.8,76.4,76.4,73.6,73.6,70.8,70.8,67.7,67.7,64.4,64.4,61.3,61.3,57.7,57.7,54.0,54.0,51.1,51.1,47.6,47.6,44.1,44.1,41.2,41.2,37.9,37.9,34.8,34.8,32.6,32.6,29.3,29.3,26.4,26.4,24.5,24.5,21.7,21.7,19.2,19.2,17.8,17.8,15.4,15.4,13.2,13.2,,,,,,,,,,,,,,,,,,,,,12.1,12.1,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
823670,2026-08-16,2026-08-16T18:10:00Z,Target Field,AWAY,691725,Andrew Painter,Philadelphia Phillies,143,Minnesota Twins,142,R,MLB Probable,STARTER,18,16,85.33333333333333,0.185378590078329,0.08877284595300261,6.43359375,4.466666666666667,77.6,19.6,0.21428571428571427,0.12244897959183673,6.447761194029852,0.2,94.0,-1.0,0,4.986666666666666,14.959999999999999,22.2025,84.108125,10.959999999999999,14.959999999999999,18.46,68.9686625,84.108125,92.5189375,0.25,0.5,0.25,1.076,CONFIRMED_MLB,Trevor Larnach | Austin Martin | Ryan Kreidler | Ryan Jeffers | Byron Buxton | Josh Bell | Kody Clemens | Royce Lewis | Brooks Lee,0.20602409638554217,0.08795180722891566,0.03644578313253012,0.755894578313253,3320,0.99,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.997,0.47630584614594695,5.3999999999999995,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,13.5,14.0,61.2,57.9,57.99999999999999,16.03,17.0,-1.0,8.0,24.0,31.0,4.14,12.41,21.89,82.4,4.3,3.36,2.08,4.72,19.63,9.53,21.52,6.67,10.5,4.1,26.0,4.6,0.3,12.41,12.91,-10.09,0.63,0.16,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,59.9,20000,74.9,74.9,72.6,72.6,70.0,70.0,67.2,67.2,64.3,64.3,61.2,61.2,57.9,57.9,54.7,54.7,51.1,51.1,47.3,47.3,43.9,43.9,40.4,40.4,36.5,36.5,33.3,33.3,30.0,30.0,26.7,26.7,24.1,24.1,21.3,21.3,18.7,18.7,16.7,16.7,14.7,14.7,12.7,12.7,11.3,11.3,9.6,9.6,,,,,,,,,,,,,,,84.5,82.8,82.8,81.0,81.0,79.1,79.1,77.2,77.2,,,,,,,87.5,87.5,86.1,86.1,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823344,2026-08-16,2026-08-16T17:35:00Z,PNC Park,HOME,669199,Lake Bachar,Pittsburgh Pirates,134,Boston Red Sox,111,R,MLB Probable,OPENER,42,5,68.66666666666667,0.25622775800711745,0.08540925266903915,3.8009708737864076,3.0,52.0,11.0,0.36363636363636365,0.09090909090909091,0.0,0.0,52.0,-1.0,0,2.0,6.0,38.12,42.0,4.5,6.0,6.0,34.44,42.0,46.2,0.35,0.5,0.15,1.25,CONFIRMED_MLB,Nick Sogard | Ceddanne Rafaela | Wilyer Abreu | Adley Rutschman | Caleb Durbin | Andruw Monasterio | Jarren Duran | Eli White | Anthony Seigler,0.20100671140939597,0.08053691275167785,0.02953020134228188,0.7312724832214763,2980,0.96,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,1.006,0.5356905527978972,4.764705882352941,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,11.5,12.0,62.0,53.4,57.99999999999999,13.12,13.0,6.0,9.0,17.0,20.0,1.79,5.37,12.35,40.0,3.11,0.53,1.05,2.58,26.39,8.55,20.82,2.61,0.0,0.0,0.0,0.0,0.0,5.37,9.33,-1.58,0.0,0.0,84.0,BULLPEN_ROLE|UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,59.5,20000,80.4,80.4,74.7,74.7,68.5,68.5,62.0,62.0,53.4,53.4,45.9,45.9,39.3,39.3,33.6,33.6,26.1,26.1,20.5,20.5,16.0,16.0,13.5,13.5,9.0,9.0,6.0,6.0,4.3,4.3,3.6,3.6,1.9,1.9,0.9,0.9,0.6,0.6,0.6,0.6,0.2,0.2,,,,,,,,,,,,,,,,,,,,,96.6,94.8,94.8,92.4,92.4,89.6,89.6,85.8,85.8,99.5,99.5,99.3,99.3,99.0,99.0,98.5,98.5,97.8,97.8,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822774,2026-08-16,2026-08-16T17:37:00Z,Rogers Centre,HOME,656302,Dylan Cease,Toronto Blue Jays,141,New York Yankees,147,R,MLB Probable,STARTER,23,23,137.66666666666666,0.36347197106690776,0.10669077757685352,2.4188861985472156,6.666666666666667,105.6,25.2,0.36507936507936506,0.1111111111111111,1.6199999999999999,0.8,104.0,-1.0,0,6.257971014492753,18.77391304347826,24.50608695652174,103.99956521739131,14.77391304347826,18.77391304347826,22.0,85.27964347826087,103.99956521739131,114.39952173913045,0.25,0.5,0.25,0.9440000000000001,CONFIRMED_MLB,Ben Rice | Luis García Jr. | Heliot Ramos | Trent Grisham | Spencer Jones | George Lombard Jr. | Ryan McMahon | Paul Goldschmidt | Jazz Chisholm Jr.,0.24781144781144782,0.08855218855218855,0.044444444444444446,0.7538791245791245,2970,1.01,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,1.006,0.5035361513341526,3.559701492537313,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,34.5,35.0,60.6,57.2,57.99999999999999,38.22,38.0,23.0,30.0,46.0,54.0,5.17,15.52,24.01,101.4,8.01,1.39,2.52,5.15,33.49,10.39,21.46,2.32,30.1,25.4,62.7,26.3,4.3,15.52,24.04,-4.16,1.81,1.01,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,59.4,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,89.3,87.6,87.6,85.7,85.7,83.4,83.4,81.5,81.5,78.6,78.6,75.8,75.8,73.5,73.5,70.3,70.3,66.8,66.8,64.2,64.2,60.6,60.6,57.2,57.2,54.5,54.5,51.3,51.3,47.6,47.6,,,,,,,,,,,,,,,,,,,,,45.2,45.2,41.7,41.7,38.1,38.1,35.8,35.8,32.5,32.5,29.3,29.3,27.4,27.4,24.3,24.3,21.7,21.7,20.2,20.2,17.6,17.6,15.6,15.6,14.6,14.6,12.5,12.5,10.8,10.8
823912,2026-08-16,2026-08-16T20:10:00Z,UNIQLO Field at Dodger Stadium,AWAY,701656,Logan Henderson,Milwaukee Brewers,158,Los Angeles Dodgers,119,R,MLB Probable,STARTER,12,12,63.333333333333336,0.3125,0.05,2.6999999999999997,6.0,88.0,22.4,0.33035714285714285,0.044642857142857144,2.4,0.6,93.0,-1.0,0,5.566666666666666,16.7,20.96,83.7625,12.7,16.7,20.2,68.68525,83.7625,92.13875000000002,0.25,0.5,0.25,0.9880000000000001,CONFIRMED_MLB,Shohei Ohtani | Freddie Freeman | Andy Pages | Max Muncy | Miguel Rojas | Mookie Betts | Kyle Tucker | Tommy Edman | Teoscar Hernández,0.197254132810311,0.0994676379938358,0.03670495937237321,0.7883931073129729,3569,1.0,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.994,0.48157689252288816,2.8504398826979473,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,25.5,26.0,60.6,56.9,57.99999999999999,28.76,28.0,16.0,22.0,36.0,43.0,4.64,13.92,20.65,82.1,5.92,1.49,1.21,4.63,28.73,5.88,22.45,2.84,19.1,10.0,42.5,10.2,0.9,13.92,17.76,-4.47,1.15,0.4,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,59.4,20000,,,,,,,,,,,,93.5,92.2,92.2,90.6,90.6,88.6,88.6,86.4,86.4,83.9,83.9,81.3,81.3,78.2,78.2,75.1,75.1,71.6,71.6,68.1,68.1,64.6,64.6,60.6,60.6,56.9,56.9,53.4,53.4,49.1,49.1,45.1,45.1,41.9,41.9,38.2,38.2,34.5,34.5,31.5,31.5,28.0,28.0,25.1,25.1,23.1,23.1,20.3,20.3,17.9,17.9,,,,,,,,,,,,,,,,,,,,,16.2,16.2,13.8,13.8,11.8,11.8,10.7,10.7,8.9,8.9,7.5,,,,,,,,,,,,,,,,,,,
824642,2026-08-16,2026-08-16T19:15:00Z,Wrigley Field,HOME,665795,Edward Cabrera,Chicago Cubs,112,St. Louis Cardinals,138,R,MLB Probable,STARTER,15,15,76.0,0.20364741641337386,0.0972644376899696,5.684210526315789,4.4,81.2,20.4,0.19607843137254902,0.11764705882352941,9.818181818181817,0.0,77.0,-1.0,0,4.8,14.399999999999999,21.32,83.06,10.399999999999999,14.399999999999999,17.9,68.1092,83.06,91.36600000000001,0.25,0.5,0.25,1.12,CONFIRMED_MLB,JJ Wetherholt | Iván Herrera | Alec Burleson | Jordan Walker | Joshua Báez | Everson Pereira | Nathan Church | Masyn Winn | Jimmy Crooks,0.1974763406940063,0.08769716088328075,0.031230283911671923,0.7423249211356465,3170,1.02,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.985,0.5084163102436511,3.42,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,12.5,13.0,60.6,57.3,57.99999999999999,14.68,16.0,-2.0,7.0,23.0,30.0,3.92,11.75,20.99,81.4,4.18,3.42,2.09,4.42,20.06,9.94,21.14,7.17,8.8,2.7,20.0,2.9,0.1,11.75,12.55,-10.25,0.53,0.11,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,59.4,20000,71.8,71.8,69.4,69.4,66.4,66.4,63.5,63.5,60.6,60.6,57.3,57.3,53.9,53.9,50.5,50.5,47.0,47.0,43.2,43.2,40.1,40.1,36.4,36.4,32.9,32.9,29.8,29.8,26.4,26.4,23.5,23.5,20.8,20.8,18.4,18.4,16.0,16.0,13.9,13.9,11.9,11.9,10.3,10.3,8.9,,,,,,,,,,,,,,,,,,81.8,80.2,80.2,78.4,78.4,76.4,76.4,74.2,74.2,,,,87.7,86.4,86.4,84.9,84.9,83.4,83.4,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824156,2026-08-16,2026-08-16T23:20:00Z,Daikin Park,HOME,686613,Hunter Brown,Houston Astros,117,Seattle Mariners,136,R,MLB Probable,STARTER,13,13,68.66666666666667,0.24742268041237114,0.13745704467353953,3.669902912621359,5.733333333333333,93.2,22.8,0.2543859649122807,0.10526315789473684,3.1395348837209305,0.4,90.0,-1.0,0,5.462564102564103,16.387692307692312,22.55076923076923,92.72923076923078,12.387692307692312,16.387692307692312,19.887692307692312,76.03796923076924,92.72923076923078,102.00215384615387,0.25,0.5,0.25,1.032,CONFIRMED_MLB,Brendan Donovan | Randy Arozarena | Dominic Canzone | Julio Rodríguez | Josh Naylor | Cole Young | Cal Raleigh | Weston Wilson | Brock Rodden,0.2033112582781457,0.0890728476821192,0.033112582781456956,0.7341324503311258,3020,1.0,1.0,0.0,mlb_weather_professional_v5_backtest_history.csv,0.994,0.5393159369755897,4.098795180722891,1.0,1.0,1.0,1.0,MISSING,MISSING,MISSING,MISSING,22.5,23.0,60.4,56.2,57.99999999999999,25.52,25.0,12.0,18.0,33.0,40.0,4.55,13.66,22.18,90.8,5.3,1.85,2.68,4.65,23.78,12.13,20.9,3.56,19.3,8.9,39.3,9.3,0.8,13.66,15.9,-5.55,1.16,0.36,92.0,UMPIRE_NEUTRAL|CATCHER_NEUTRAL|STATCAST_NEUTRAL|ARSENAL_NEUTRAL,59.2,20000,,,,,,92.1,90.6,90.6,89.1,89.1,87.3,87.3,85.2,85.2,83.0,83.0,80.4,80.4,77.5,77.5,74.8,74.8,71.4,71.4,67.8,67.8,64.2,64.2,60.4,60.4,56.2,56.2,52.6,52.6,48.8,48.8,45.1,45.1,41.7,41.7,38.1,38.1,34.7,34.7,31.7,31.7,28.2,28.2,25.2,25.2,22.8,22.8,20.0,20.0,17.6,17.6,15.8,15.8,13.3,13.3,11.5,11.5,,,,,,,,,,,,,,,,,,,,,10.2,10.2,8.5,8.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
