Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-06,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,James McCann,Walker Buehler,0.5,1,2,4.4,1.19,1.92,0.73,1.37,4.03,53.3,4.0,0|4|3|7|6,08/05|08/04|08/03|08/01|07/28,4.1,0|4|3|7|6|2|8|2|8|1,08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07,2.93,0|4|3|7|6|2|8|2|8|1|1|0|1|1|0,08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07|05/18|05/16|05/10|05/07|05/02,95.7,84.8,69.5,52.5,37.3,24.5,15.5,3.59,169.7
2026-08-06,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Walker Buehler,0.333,1,3,4.8,1.19,1.4,0.9,1.5,3.8,60.0,1.6,0|0|1|2|5,08/05|08/02|08/01|07/31|07/29,2.3,0|0|1|2|5|4|0|5|3|3,08/05|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,2.53,0|0|1|2|5|4|0|5|3|3|6|4|3|1|1,08/05|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19,95.0,83.6,66.6,49.5,34.1,21.7,12.9,3.21,158.4
2026-08-06,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Corbin Carroll,Walker Buehler,0.0,0,2,5.0,1.19,1.25,1.25,0.52,2.98,46.7,1.6,1|0|0|0|7,08/05|08/04|08/03|08/02|08/01,1.7,1|0|0|0|7|1|2|1|2|3,08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26,1.93,1|0|0|0|7|1|2|1|2|3|1|1|3|5|2,08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23|07/22|07/21,91.2,72.8,52.9,34.8,21.4,12.2,6.4,2.34,120.1
2026-08-06,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.006,81.9,70.0,5.7,WSW,239.0,5.0,Heavy drizzle,2.6,3.8,55.7,C,92.0,Athletics,Jacob Wilson,Andrew Abbott,0.0,0,0,4.2,1.01,0.98,0.38,0.62,1.97,46.7,2.2,0|3|3|2|3,08/05|08/04|08/01|07/31|07/30,1.4,0|3|3|2|3|1|1|0|1|0,08/05|08/04|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,1.73,0|3|3|2|3|1|1|0|1|0|0|1|4|4|3,08/05|08/04|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,83.2,55.4,31.0,15.5,7.2,2.9,1.2,2.1,106.5
2026-08-06,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.006,81.9,70.0,5.7,WSW,239.0,5.0,Heavy drizzle,2.6,3.8,55.7,C,92.0,Athletics,Lawrence Butler,Andrew Abbott,0.0,0,0,3.7,1.01,0.87,0.61,0.48,1.95,53.3,1.8,3|1|1|4|0,08/05|08/04|08/02|08/01|07/31,2.1,3|1|1|4|0|5|4|2|0|1,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,1.93,3|1|1|4|0|5|4|2|0|1|0|1|2|2|3,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20,82.2,54.5,31.3,15.7,6.7,2.9,1.0,2.35,117.3
2026-08-06,Athletics @ Cincinnati Reds,Great American Ball Park,1.045,1.006,81.9,70.0,5.7,WSW,239.0,5.0,Heavy drizzle,2.6,3.8,55.7,C,92.0,Athletics,Jeff McNeil,Andrew Abbott,0.286,2,7,4.0,1.01,1.15,0.29,0.52,1.96,53.3,1.4,0|3|2|2|0,08/05|08/04|08/02|08/01|07/31,1.8,0|3|2|2|0|1|2|1|5|2,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/27|07/26|07/25,1.8,0|3|2|2|0|1|2|1|5|2|0|5|0|3|1,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,81.3,54.4,31.1,16.1,7.6,3.3,1.4,2.11,108.8
2026-08-06,Miami Marlins @ Atlanta Braves,Truist Park,1.008,1.006,79.0,85.0,2.9,NE,39.0,27.0,Overcast,2.6,3.7,55.7,C,92.0,Atlanta Braves,Matt Olson,Janson Junk,0.4,2,5,4.0,1.1,1.16,0.85,0.78,2.8,60.0,3.0,0|2|4|4|5,08/05|08/04|08/02|08/01|07/31,2.4,0|2|4|4|5|0|2|4|1|2,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26,2.4,0|2|4|4|5|0|2|4|1|2|1|6|0|4|1,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25|07/24|07/23|07/22|07/21,91.2,72.1,50.0,31.4,18.0,9.3,4.6,2.95,145.9
2026-08-06,Miami Marlins @ Atlanta Braves,Truist Park,1.008,1.006,79.0,85.0,2.9,NE,39.0,27.0,Overcast,2.6,3.7,55.7,C,92.0,Atlanta Braves,Drake Baldwin,Janson Junk,0.0,0,0,4.7,1.1,1.36,0.64,0.46,2.46,53.3,1.4,4|0|0|3|0,08/05|08/04|08/02|08/01|07/31,1.6,4|0|0|3|0|1|2|3|1|2,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26,1.8,4|0|0|3|0|1|2|3|1|2|1|3|3|4|0,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26|07/25|07/24|07/23|07/22|07/21,87.6,65.4,42.3,25.0,13.4,6.9,3.2,2.11,112.1
2026-08-06,Miami Marlins @ Atlanta Braves,Truist Park,1.008,1.006,79.0,85.0,2.9,NE,39.0,27.0,Overcast,2.6,3.7,55.7,C,92.0,Atlanta Braves,Austin Riley,Janson Junk,0.0,0,2,5.0,1.1,1.35,0.29,0.78,2.41,46.7,3.2,4|5|2|4|1,08/05|08/04|08/02|08/01|07/31,1.8,4|5|2|4|1|0|0|0|2|0,08/05|08/04|08/02|08/01|07/31|07/29|07/29|07/27|07/26|07/25,1.67,4|5|2|4|1|0|0|0|2|0|3|1|3|0|0,08/05|08/04|08/02|08/01|07/31|07/29|07/29|07/27|07/26|07/25|07/24|07/23|07/22|07/21|07/20,87.3,63.9,41.5,23.8,12.8,6.5,3.2,1.99,105.2
2026-08-06,Los Angeles Angels @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.007,86.1,75.0,6.5,SSW,194.0,2.0,Clear,3.1,4.5,56.8,C,92.0,Baltimore Orioles,Coby Mayo,Ryan Johnson,0.0,0,2,4.6,1.2,1.07,0.88,0.68,2.63,40.0,2.2,4|1|0|0|6,08/05|08/04|08/01|07/31|07/29,2.1,4|1|0|0|6|0|7|1|0|2,08/05|08/04|08/01|07/31|07/29|07/28|07/27|07/26|07/24|07/22,1.8,4|1|0|0|6|0|7|1|0|2|0|4|0|2|0,08/05|08/04|08/01|07/31|07/29|07/28|07/27|07/26|07/24|07/22|07/20|07/19|07/18|07/17|07/12,89.5,69.5,47.0,27.9,15.4,7.5,3.6,2.21,112.2
2026-08-06,Los Angeles Angels @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.007,86.1,75.0,6.5,SSW,194.0,2.0,Clear,3.1,4.5,56.8,C,92.0,Baltimore Orioles,Pete Alonso,Ryan Johnson,0.0,0,2,3.7,1.2,1.17,0.63,0.39,2.2,46.7,2.0,0|3|1|0|6,08/05|08/04|08/02|08/01|07/31,1.9,0|3|1|0|6|1|0|3|4|1,08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,1.87,0|3|1|0|6|1|0|3|4|1|2|2|3|1|1,08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20|07/19,85.1,60.1,36.5,19.6,9.8,4.8,2.1,2.19,111.0
