Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-15,Arizona Diamondbacks @ Atlanta Braves,Truist Park,1.008,1.009,90.7,54.0,3.7,NW,308.0,4.0,Overcast,4.3,6.2,59.5,B,92.0,Arizona Diamondbacks,James McCann,Grant Holmes,0.0,0,2,4.4,0.94,1.53,0.59,1.1,3.17,53.3,1.6,0|1|0|4|3,08/11|08/08|08/05|08/04|08/03,3.3,0|1|0|4|3|7|6|2|8|2,08/11|08/08|08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18,2.93,0|1|0|4|3|7|6|2|8|2|8|1|1|0|1,08/11|08/08|08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07|05/18|05/16|05/10,92.5,76.1,55.8,37.9,24.1,14.4,8.1,3.59,167.1
2026-08-15,Arizona Diamondbacks @ Atlanta Braves,Truist Park,1.008,1.009,90.7,54.0,3.7,NW,308.0,4.0,Overcast,4.3,6.2,59.5,B,92.0,Arizona Diamondbacks,Gabriel Moreno,Grant Holmes,0.5,1,2,4.8,0.94,1.27,0.48,1.04,2.82,66.7,2.6,2|3|1|4|3,08/14|08/12|08/11|08/10|08/09,2.3,2|3|1|4|3|2|1|4|3|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/02,2.33,2|3|1|4|3|2|1|4|3|0|1|2|5|4|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/02|08/01|07/31|07/29|07/28|07/27,90.3,71.1,50.2,31.8,18.5,10.2,5.3,2.89,145.8
2026-08-15,Arizona Diamondbacks @ Atlanta Braves,Truist Park,1.008,1.009,90.7,54.0,3.7,NW,308.0,4.0,Overcast,4.3,6.2,59.5,B,92.0,Arizona Diamondbacks,Corbin Carroll,Grant Holmes,0.0,0,6,5.0,0.94,1.07,1.0,0.67,2.75,60.0,2.8,2|5|3|3|1,08/14|08/12|08/11|08/10|08/09,2.3,2|5|3|3|1|2|0|2|5|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,2.2,2|5|3|3|1|2|0|2|5|0|0|0|7|1|2,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29,90.4,70.9,48.6,30.4,17.1,9.0,4.4,2.71,137.1
2026-08-15,Texas Rangers @ Athletics,Sutter Health Park,1.01,1.006,85.5,36.0,7.8,WSW,239.0,0.0,Partly cloudy,2.6,3.7,55.7,C,75.0,Athletics,Zack Gelof,MacKenzie Gore,0.5,1,2,3.7,1.02,1.0,1.0,0.4,2.41,60.0,2.8,1|5|2|6|0,08/14|08/12|08/11|08/10|07/09,1.8,1|5|2|6|0|0|1|2|1|0,08/14|08/12|08/11|08/10|07/09|07/08|07/07|07/05|07/04|06/23,2.4,1|5|2|6|0|0|1|2|1|0|5|3|2|3|5,08/14|08/12|08/11|08/10|07/09|07/08|07/07|07/05|07/04|06/23|06/21|06/19|06/18|06/17|06/16,87.2,64.8,41.5,23.9,12.6,6.3,2.9,2.9,141.9
2026-08-15,Texas Rangers @ Athletics,Sutter Health Park,1.01,1.006,85.5,36.0,7.8,WSW,239.0,0.0,Partly cloudy,2.6,3.7,55.7,C,75.0,Athletics,Jeff McNeil,MacKenzie Gore,0.857,6,7,4.0,1.02,1.44,0.36,0.43,2.21,60.0,2.6,5|1|4|2|1,08/14|08/11|08/10|08/09|08/08,2.0,5|1|4|2|1|0|3|2|2|0,08/14|08/11|08/10|08/09|08/08|08/05|08/04|08/02|08/01|07/31,2.07,5|1|4|2|1|0|3|2|2|0|1|2|1|5|2,08/14|08/11|08/10|08/09|08/08|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/27|07/26|07/25,84.7,59.9,36.4,20.2,10.2,5.1,2.5,2.37,121.9
2026-08-15,Texas Rangers @ Athletics,Sutter Health Park,1.01,1.006,85.5,36.0,7.8,WSW,239.0,0.0,Partly cloudy,2.6,3.7,55.7,C,75.0,Athletics,Lawrence Butler,MacKenzie Gore,0.0,0,2,3.7,1.02,0.86,0.67,0.47,1.99,53.3,1.8,0|3|4|2|0,08/14|08/12|08/11|08/10|08/09,1.6,0|3|4|2|0|1|0|2|3|1,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,2.0,0|3|4|2|0|1|0|2|3|1|1|4|0|5|4,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,82.5,55.5,31.8,16.2,7.9,3.3,1.4,2.43,120.4
2026-08-15,Arizona Diamondbacks @ Atlanta Braves,Truist Park,1.008,1.009,90.7,54.0,3.7,NW,308.0,4.0,Overcast,4.3,6.2,59.5,B,92.0,Atlanta Braves,Matt Olson,Eduardo Rodriguez,0.1,1,10,4.0,0.85,0.87,0.81,0.56,2.2,66.7,2.0,0|0|5|2|3,08/14|08/12|08/11|08/10|08/09,2.1,0|0|5|2|3|0|3|6|0|2,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,2.4,0|0|5|2|3|0|3|6|0|2|4|4|5|0|2,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,85.4,61.0,36.8,19.7,9.3,4.3,2.0,2.96,145.2
2026-08-15,Arizona Diamondbacks @ Atlanta Braves,Truist Park,1.008,1.009,90.7,54.0,3.7,NW,308.0,4.0,Overcast,4.3,6.2,59.5,B,92.0,Atlanta Braves,Austin Riley,Eduardo Rodriguez,0.0,0,2,5.0,0.85,1.05,0.53,0.6,2.17,46.7,1.6,0|6|0|2|0,08/14|08/12|08/11|08/10|08/09,2.2,0|6|0|2|0|1|3|1|4|5,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,1.93,0|6|0|2|0|1|3|1|4|5|2|4|1|0|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/29,84.8,59.4,35.8,19.8,9.6,4.4,2.0,2.34,116.1
2026-08-15,Arizona Diamondbacks @ Atlanta Braves,Truist Park,1.008,1.009,90.7,54.0,3.7,NW,308.0,4.0,Overcast,4.3,6.2,59.5,B,92.0,Atlanta Braves,Drake Baldwin,Eduardo Rodriguez,0.333,1,3,4.7,0.85,1.05,0.35,0.35,1.75,46.7,2.0,1|4|1|4|0,08/14|08/12|08/11|08/10|08/09,1.9,1|4|1|4|0|1|2|2|4|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,1.67,1|4|1|4|0|1|2|2|4|0|0|3|0|1|2,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,78.5,49.2,26.0,11.9,5.4,2.3,0.9,1.93,98.7
2026-08-15,Baltimore Orioles @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Baltimore Orioles,Coby Mayo,Ian Seymour,1.0,1,1,4.6,0.93,0.97,0.45,0.75,2.16,40.0,1.8,0|0|0|6|3,08/14|08/12|08/11|08/10|08/09,1.6,0|0|0|6|3|0|2|0|4|1,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,1.93,0|0|0|6|3|0|2|0|4|1|0|0|6|0|7,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/01|07/31|07/29|07/28|07/27,84.6,59.9,36.0,19.2,9.1,4.0,1.9,2.39,115.6
2026-08-15,Baltimore Orioles @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Baltimore Orioles,Pete Alonso,Ian Seymour,0.5,1,2,3.7,0.93,1.08,0.48,0.6,2.18,46.7,4.6,2|3|6|2|10,08/14|08/12|08/11|08/10|08/09,2.8,2|3|6|2|10|1|0|1|0|3,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,2.4,2|3|6|2|10|1|0|1|0|3|1|0|6|1|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28,84.7,59.7,36.1,19.9,9.8,4.4,1.9,2.89,135.4
