Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-18,Arizona Diamondbacks @ Boston Red Sox,Fenway Park,1.03,1.001,69.7,89.0,8.3,E,84.0,9.0,Clear,0.5,0.7,51.0,C,92.0,Arizona Diamondbacks,James McCann,Ranger Suarez,0.25,2,8,4.4,0.88,1.51,0.55,1.04,3.12,60.0,0.6,0|2|0|1|0,08/17|08/16|08/11|08/08|08/05,2.5,0|2|0|1|0|4|3|7|6|2,08/17|08/16|08/11|08/08|08/05|08/04|08/03|08/01|07/28|07/25,3.0,0|2|0|1|0|4|3|7|6|2|8|2|8|1|1,08/17|08/16|08/11|08/08|08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07|05/18,92.5,75.5,55.5,36.8,22.8,13.2,7.5,3.66,171.8
2026-08-18,Arizona Diamondbacks @ Boston Red Sox,Fenway Park,1.03,1.001,69.7,89.0,8.3,E,84.0,9.0,Clear,0.5,0.7,51.0,C,92.0,Arizona Diamondbacks,Gabriel Moreno,Ranger Suarez,1.0,2,2,4.8,0.88,1.42,0.53,0.83,2.8,66.7,3.2,1|3|7|2|3,08/17|08/16|08/15|08/14|08/12,2.7,1|3|7|2|3|1|4|3|2|1,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,2.47,1|3|7|2|3|1|4|3|2|1|4|3|0|1|2,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/02|08/01|07/31,90.2,71.3,49.8,31.0,18.2,10.0,5.1,2.97,148.7
2026-08-18,Arizona Diamondbacks @ Boston Red Sox,Fenway Park,1.03,1.001,69.7,89.0,8.3,E,84.0,9.0,Clear,0.5,0.7,51.0,C,92.0,Arizona Diamondbacks,Geraldo Perdomo,Ranger Suarez,0.5,6,12,4.7,0.88,1.72,0.52,0.44,2.66,53.3,1.8,1|0|0|5|3,08/17|08/16|08/15|08/14|08/12,1.6,1|0|0|5|3|1|1|2|3|0,08/17|08/16|08/15|08/14|08/12|08/10|08/09|08/08|08/07|08/06,2.07,1|0|0|5|3|1|1|2|3|0|2|2|2|1|8,08/17|08/16|08/15|08/14|08/12|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,88.6,67.7,46.2,28.5,16.4,9.0,4.7,2.35,121.2
2026-08-18,Athletics @ Kansas City Royals,Kauffman Stadium,0.995,1.012,98.1,26.0,7.3,SE,137.0,2.0,Mainly clear,5.3,7.7,61.8,B,92.0,Athletics,Henry Bolte,Unknown,0.0,0,0,4.2,1.0,1.47,0.74,0.52,2.71,53.3,2.6,1|4|7|1|0,08/17|08/16|08/15|08/14|08/12,2.3,1|4|7|1|0|1|3|3|3|0,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,2.47,1|4|7|1|0|1|3|3|3|0|2|0|4|0|8,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01,88.9,69.3,47.6,30.1,16.9,8.9,4.7,2.9,140.9
2026-08-18,Athletics @ Kansas City Royals,Kauffman Stadium,0.995,1.012,98.1,26.0,7.3,SE,137.0,2.0,Mainly clear,5.3,7.7,61.8,B,92.0,Athletics,Zack Gelof,Unknown,0.0,0,0,3.7,1.0,0.91,0.78,0.39,2.1,46.7,2.4,1|5|0|1|5,08/17|08/16|08/15|08/14|08/12,2.1,1|5|0|1|5|2|6|0|0|1,08/17|08/16|08/15|08/14|08/12|08/11|08/10|07/09|07/08|07/07,2.13,1|5|0|1|5|2|6|0|0|1|2|1|0|5|3,08/17|08/16|08/15|08/14|08/12|08/11|08/10|07/09|07/08|07/07|07/05|07/04|06/23|06/21|06/19,83.7,58.2,34.5,18.3,8.6,3.7,1.5,2.57,123.8
2026-08-18,Athletics @ Kansas City Royals,Kauffman Stadium,0.995,1.012,98.1,26.0,7.3,SE,137.0,2.0,Mainly clear,5.3,7.7,61.8,B,92.0,Athletics,Jeff McNeil,Unknown,0.0,0,0,3.8,1.0,1.13,0.33,0.47,1.95,53.3,2.4,3|0|0|8|1,08/17|08/16|08/15|08/14|08/11,2.2,3|0|0|8|1|4|2|1|0|3,08/17|08/16|08/15|08/14|08/11|08/10|08/09|08/08|08/05|08/04,1.93,3|0|0|8|1|4|2|1|0|3|2|2|0|1|2,08/17|08/16|08/15|08/14|08/11|08/10|08/09|08/08|08/05|08/04|08/02|08/01|07/31|07/30|07/29,81.3,54.9,31.5,15.2,7.1,3.0,1.3,2.27,114.6
2026-08-18,Atlanta Braves @ Minnesota Twins,Target Field,0.988,1.003,73.8,59.0,6.4,WNW,299.0,7.0,Clear,1.3,1.9,52.9,C,92.0,Atlanta Braves,Austin Riley,Zebby Matthews,0.0,0,0,5.0,1.18,1.64,1.02,0.82,3.48,60.0,2.4,2|4|0|0|6,08/17|08/16|08/15|08/14|08/12,1.8,2|4|0|0|6|0|2|0|1|3,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,2.27,2|4|0|0|6|0|2|0|1|3|1|4|5|2|4,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01,93.9,79.7,61.4,43.3,28.3,17.9,10.6,2.73,140.5
2026-08-18,Atlanta Braves @ Minnesota Twins,Target Field,0.988,1.003,73.8,59.0,6.4,WNW,299.0,7.0,Clear,1.3,1.9,52.9,C,92.0,Atlanta Braves,Matt Olson,Zebby Matthews,0.0,0,0,4.0,1.18,1.23,1.06,0.82,3.11,66.7,1.8,1|5|3|0|0,08/17|08/16|08/15|08/14|08/12,2.2,1|5|3|0|0|5|2|3|0|3,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,2.53,1|5|3|0|0|5|2|3|0|3|6|0|2|4|4,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01,92.8,76.5,56.1,37.5,22.6,12.8,6.8,3.13,155.8
2026-08-18,Atlanta Braves @ Minnesota Twins,Target Field,0.988,1.003,73.8,59.0,6.4,WNW,299.0,7.0,Clear,1.3,1.9,52.9,C,92.0,Atlanta Braves,Drake Baldwin,Zebby Matthews,0.0,0,0,4.7,1.18,1.64,0.67,0.58,2.86,60.0,2.6,3|3|2|1|4,08/17|08/16|08/15|08/14|08/12,2.1,3|3|2|1|4|1|4|0|1|2,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,2.0,3|3|2|1|4|1|4|0|1|2|2|4|0|0|3,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01,90.2,71.9,50.3,32.1,19.7,11.1,5.6,2.34,124.5
2026-08-18,New York Yankees @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.006,85.6,51.0,7.0,NW,315.0,4.0,Overcast,2.9,4.2,56.3,C,92.0,Baltimore Orioles,Pete Alonso,Carlos Rodón,0.2,2,10,3.7,0.85,1.24,0.53,0.71,2.51,60.0,3.6,4|4|5|2|3,08/17|08/16|08/15|08/14|08/12,3.7,4|4|5|2|3|6|2|10|1|0,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,2.8,4|4|5|2|3|6|2|10|1|0|1|0|3|1|0,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01,88.6,66.6,43.2,25.5,13.6,6.9,3.3,3.38,159.3
2026-08-18,New York Yankees @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.006,85.6,51.0,7.0,NW,315.0,4.0,Overcast,2.9,4.2,56.3,C,92.0,Baltimore Orioles,Christian Encarnacion-Strand,Carlos Rodón,0.5,1,2,4.8,0.85,0.79,0.22,0.79,1.79,33.3,3.4,8|4|3|2|0,08/17|08/16|08/15|08/14|08/12,2.4,8|4|3|2|0|5|1|0|1|0,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,1.67,8|4|3|2|0|5|1|0|1|0|0|1|0|0|0,08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01,79.6,50.1,27.2,13.3,5.7,2.2,0.8,2.09,99.8
