Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-20,Athletics @ Kansas City Royals,Kauffman Stadium,0.995,1.005,78.6,73.0,3.2,NE,51.0,1.0,Clear,2.3,3.3,55.1,C,92.0,Athletics,Henry Bolte,Randy Dobnak,0.0,0,0,4.2,0.85,1.25,0.69,0.31,2.27,60.0,3.8,5|2|1|4|7,08/19|08/18|08/17|08/16|08/15,2.7,5|2|1|4|7|1|0|1|3|3,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,2.4,5|2|1|4|7|1|0|1|3|3|3|0|2|0|4,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,85.6,61.6,38.2,21.3,10.9,5.1,2.3,2.79,137.1
2026-08-20,Athletics @ Kansas City Royals,Kauffman Stadium,0.995,1.005,78.6,73.0,3.2,NE,51.0,1.0,Clear,2.3,3.3,55.1,C,92.0,Athletics,Jeff McNeil,Randy Dobnak,0.0,0,0,3.8,0.85,1.02,0.34,0.56,1.94,60.0,2.2,5|3|3|0|0,08/19|08/18|08/17|08/16|08/15,2.7,5|3|3|0|0|8|1|4|2|1,08/19|08/18|08/17|08/16|08/15|08/14|08/11|08/10|08/09|08/08,2.27,5|3|3|0|0|8|1|4|2|1|0|3|2|2|0,08/19|08/18|08/17|08/16|08/15|08/14|08/11|08/10|08/09|08/08|08/05|08/04|08/02|08/01|07/31,81.8,54.5,30.8,15.3,6.9,2.7,1.1,2.72,132.6
2026-08-20,Athletics @ Kansas City Royals,Kauffman Stadium,0.995,1.005,78.6,73.0,3.2,NE,51.0,1.0,Clear,2.3,3.3,55.1,C,92.0,Athletics,Zack Gelof,Randy Dobnak,0.0,0,0,3.7,0.85,0.66,0.55,0.38,1.62,46.7,2.2,3|2|1|5|0,08/19|08/18|08/17|08/16|08/15,2.5,3|2|1|5|0|1|5|2|6|0,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|07/09,1.93,3|2|1|5|0|1|5|2|6|0|0|1|2|1|0,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|07/09|07/08|07/07|07/05|07/04|06/23,76.8,46.1,22.7,10.2,4.0,1.5,0.4,2.37,113.1
2026-08-20,Atlanta Braves @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Atlanta Braves,Austin Riley,Anthony Kay,0.0,0,1,5.0,1.02,1.16,0.89,0.53,2.61,46.7,1.4,1|0|2|4|0,08/19|08/18|08/17|08/16|08/15,1.5,1|0|2|4|0|0|6|0|2|0,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,1.93,1|0|2|4|0|0|6|0|2|0|1|3|1|4|5,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,89.4,68.7,45.6,27.0,14.9,7.7,3.9,2.33,118.5
2026-08-20,Atlanta Braves @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Atlanta Braves,Drake Baldwin,Anthony Kay,0.0,0,0,4.7,1.02,1.51,0.59,0.5,2.6,60.0,2.4,0|4|3|3|2,08/19|08/18|08/17|08/16|08/15,2.2,0|4|3|3|2|1|4|1|4|0,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,2.07,0|4|3|3|2|1|4|1|4|0|1|2|2|4|0,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,89.0,67.7,44.9,27.3,15.2,7.8,4.0,2.41,125.7
2026-08-20,Atlanta Braves @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Atlanta Braves,Matt Olson,Anthony Kay,0.0,0,2,4.0,1.02,0.93,0.78,0.57,2.3,60.0,2.2,2|0|1|5|3,08/19|08/18|08/17|08/16|08/15,2.1,2|0|1|5|3|0|0|5|2|3,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,2.13,2|0|1|5|3|0|0|5|2|3|0|3|6|0|2,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,86.8,62.6,39.2,21.8,10.7,5.1,2.4,2.62,131.5
2026-08-20,New York Yankees @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,0.989,79.0,83.0,7.0,NW,310.0,52.0,Overcast,2.1,3.0,54.5,C,84.0,Baltimore Orioles,Pete Alonso,Gerrit Cole,0.0,0,2,3.7,0.85,1.21,0.55,0.71,2.49,66.7,3.4,3|1|4|4|5,08/19|08/18|08/17|08/16|08/15,4.0,3|1|4|4|5|2|3|6|2|10,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,3.0,3|1|4|4|5|2|3|6|2|10|1|0|1|0|3,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,88.1,66.5,43.1,25.0,13.7,7.0,3.3,3.63,170.3
2026-08-20,New York Yankees @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,0.989,79.0,83.0,7.0,NW,310.0,52.0,Overcast,2.1,3.0,54.5,C,84.0,Baltimore Orioles,Gunnar Henderson,Gerrit Cole,0.25,3,12,4.0,0.85,0.77,0.84,0.26,1.86,40.0,1.4,1|0|3|1|2,08/19|08/18|08/17|08/16|08/15,2.6,1|0|3|1|2|8|1|7|1|2,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,1.93,1|0|3|1|2|8|1|7|1|2|0|0|0|3|0,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,80.4,52.2,28.9,14.3,6.4,2.8,1.0,2.33,111.2
2026-08-20,New York Yankees @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,0.989,79.0,83.0,7.0,NW,310.0,52.0,Overcast,2.1,3.0,54.5,C,84.0,Baltimore Orioles,Coby Mayo,Gerrit Cole,0.0,0,0,4.6,0.85,0.89,0.48,0.48,1.83,46.7,2.2,0|3|5|3|0,08/19|08/18|08/17|08/16|08/15,2.0,0|3|5|3|0|0|0|0|6|3,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,1.8,0|3|5|3|0|0|0|0|6|3|0|2|0|4|1,08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,80.7,51.4,28.2,13.0,5.9,2.5,0.9,2.17,107.7
2026-08-20,Atlanta Braves @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Chase Meidroth,Grant Holmes,1.0,1,1,4.6,0.99,1.35,0.8,0.72,2.88,53.3,0.8,1|2|0|0|1,08/19|08/18|08/17|08/16|08/15,2.1,1|2|0|0|1|3|5|5|3|1,08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/08|08/07,2.4,1|2|0|0|1|3|5|5|3|1|9|0|2|4|0,08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/08|08/07|08/06|08/05|08/04|08/02|08/01,91.0,72.7,50.6,32.6,19.6,10.7,5.4,2.9,142.0
