Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-25,Chicago Cubs @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Clay Holmes,0.0,0,2,4.3,0.85,1.01,0.45,0.73,2.21,2.0,1.0,4.0,28.45,9.4,40,103,70.0,1.8,0|1|1|3|4,08/24|08/23|08/22|08/21|08/19,2.8,0|1|1|3|4|6|1|3|7|2,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,2.73,0|1|1|3|4|6|1|3|7|2|3|1|4|3|2,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,90.6,62.7,37.0,18.3,8.0,3.0,1.1,2.96,65.4
2026-08-25,Chicago Cubs @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Corbin Carroll,Clay Holmes,1.0,1,1,4.3,0.85,0.88,0.62,0.3,1.79,1.0,0.0,4.0,3.39,22.8,40,128,52.5,2.4,0|4|2|4|2,08/24|08/23|08/22|08/21|08/19,1.9,0|4|2|4|2|1|0|1|3|2,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,2.2,0|4|2|4|2|1|0|1|3|2|5|3|3|1|2,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,77.2,48.6,26.9,13.9,6.8,3.2,1.4,2.33,50.5
2026-08-25,Chicago Cubs @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Ildemaro Vargas,Clay Holmes,0.333,1,3,3.8,0.85,0.79,0.39,0.51,1.75,1.0,0.0,4.0,1.7,28.4,40,110,35.0,1.8,1|5|1|1|1,08/24|08/23|08/22|08/21|08/19,2.1,1|5|1|1|1|2|1|3|5|1,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,1.53,1|5|1|1|1|2|1|3|5|1|1|0|0|1|0,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,71.6,43.5,25.9,14.8,8.4,4.6,2.6,2.27,43.5
2026-08-25,Minnesota Twins @ Athletics,Sutter Health Park,1.01,1.01,97.2,15.0,7.6,WSW,238.0,0.0,Overcast,4.5,6.5,59.9,B,75.0,Athletics,Brian Serven,Taj Bradley,0.0,0,0,3.5,0.96,0.84,0.39,0.86,2.06,2.0,0.0,5.0,2.28,25.0,13,13,53.8,2.8,6|2|4|2|0,08/23|08/20|08/17|08/15|08/12,2.1,6|2|4|2|0|2|0|4|1|0,08/23|08/20|08/17|08/15|08/12|08/08|08/07|08/06|08/02|08/01,2.0,6|2|4|2|0|2|0|4|1|0|0|4|1,08/23|08/20|08/17|08/15|08/12|08/08|08/07|08/06|08/02|08/01|07/31|07/28|07/05,75.0,51.5,32.6,19.8,11.6,6.8,4.0,2.67,54.4
2026-08-25,Minnesota Twins @ Athletics,Sutter Health Park,1.01,1.01,97.2,15.0,7.6,WSW,238.0,0.0,Overcast,4.5,6.5,59.9,B,75.0,Athletics,Zack Gelof,Taj Bradley,1.0,2,2,4.1,0.96,0.73,0.67,0.4,1.82,1.0,0.0,4.0,4.64,19.2,40,77,62.5,0.4,0|1|1|0|0,08/24|08/23|08/22|08/21|08/20,1.3,0|1|1|0|0|3|2|1|5|0,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15,1.8,0|1|1|0|0|3|2|1|5|0|1|5|2|6|0,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|07/09,80.8,49.6,27.3,13.7,6.2,2.7,1.1,2.22,52.7
2026-08-25,Minnesota Twins @ Athletics,Sutter Health Park,1.01,1.01,97.2,15.0,7.6,WSW,238.0,0.0,Overcast,4.5,6.5,59.9,B,75.0,Athletics,Lawrence Butler,Taj Bradley,0.5,1,2,3.7,0.96,0.9,0.45,0.46,1.73,1.0,0.0,4.0,5.37,24.8,40,119,50.0,2.4,2|3|4|0|3,08/24|08/23|08/22|08/21|08/20,2.1,2|3|4|0|3|2|1|1|5|0,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15,2.2,2|3|4|0|3|2|1|1|5|0|3|3|4|2|0,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09,75.2,48.2,26.6,13.1,6.0,2.5,1.1,2.2,48.9
2026-08-25,Los Angeles Dodgers @ Atlanta Braves,Truist Park,1.008,1.009,90.5,30.0,6.4,WNW,295.0,3.0,Clear,4.1,5.9,59.0,B,92.0,Atlanta Braves,Michael Harris II,Tyler Glasnow,0.0,0,2,3.9,0.85,1.05,0.36,0.41,1.8,1.0,0.0,4.0,2.12,24.4,40,125,47.5,2.6,3|3|3|2|2,08/23|08/22|08/21|08/20|08/19,2.0,3|3|3|2|2|3|1|1|1|1,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14,1.8,3|3|3|2|2|3|1|1|1|1|0|1|3|2|1,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,75.6,46.0,26.9,15.2,7.9,4.2,2.1,2.31,48.0
2026-08-25,Los Angeles Dodgers @ Atlanta Braves,Truist Park,1.008,1.009,90.5,30.0,6.4,WNW,295.0,3.0,Clear,4.1,5.9,59.0,B,92.0,Atlanta Braves,Matt Olson,Tyler Glasnow,0.0,0,4,4.2,0.85,0.78,0.53,0.43,1.71,1.0,0.0,4.0,2.04,29.4,40,131,50.0,0.8,0|1|1|0|2,08/23|08/22|08/21|08/20|08/19,1.3,0|1|1|0|2|0|1|5|3|0,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14,1.53,0|1|1|0|2|0|1|5|3|0|0|5|2|3|0,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,70.6,44.0,25.9,14.5,8.0,3.9,1.9,2.3,47.6
2026-08-25,Los Angeles Dodgers @ Atlanta Braves,Truist Park,1.008,1.009,90.5,30.0,6.4,WNW,295.0,3.0,Clear,4.1,5.9,59.0,B,92.0,Atlanta Braves,Drake Baldwin,Tyler Glasnow,0.0,0,2,4.3,0.85,0.9,0.52,0.35,1.82,1.0,0.0,4.0,1.24,28.0,40,108,55.0,0.6,2|1|0|0|0,08/23|08/22|08/21|08/20|08/19,1.6,2|1|0|0|0|4|3|3|2|1,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14,1.73,2|1|0|0|0|4|3|3|2|1|4|1|4|0|1,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,72.0,43.2,26.5,16.4,9.8,6.0,3.4,2.28,48.4
2026-08-25,Baltimore Orioles @ St. Louis Cardinals,Busch Stadium,0.995,1.007,87.7,42.0,6.0,ENE,77.0,1.0,Overcast,3.4,4.9,57.4,B,92.0,Baltimore Orioles,Pete Alonso,Unknown,0.0,0,0,4.3,1.0,1.27,0.57,0.69,2.57,2.0,0.0,6.0,2.81,14.1,40,131,57.5,2.6,0|2|6|2|3,08/23|08/22|08/21|08/20|08/19,2.9,0|2|6|2|3|1|4|4|5|2,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14,3.4,0|2|6|2|3|1|4|4|5|2|3|6|2|10|1,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,85.9,61.0,41.7,27.2,16.7,10.0,5.9,3.05,62.2
