Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-09-17,Athletics @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Athletics,Shea Langeliers,Drew Rasmussen,0.0,0,2,4.1,0.85,1.03,0.29,0.75,2.02,2.0,0.0,4.0,7.89,18.5,40,97,55.0,1.8,2|1|3|2|1,09/16|09/15|09/13|09/12|07/24,2.2,2|1|3|2|1|2|3|2|2|4,09/16|09/15|09/13|09/12|07/24|07/22|07/21|07/20|07/19|07/18,1.93,2|1|3|2|1|2|3|2|2|4|3|3|0|0|1,09/16|09/15|09/13|09/12|07/24|07/22|07/21|07/20|07/19|07/18|07/17|07/12|07/11|07/10|07/09,81.5,56.7,33.3,17.3,8.1,3.5,1.3,2.79,57.9
2026-09-17,Athletics @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Athletics,Jeff McNeil,Drew Rasmussen,0.5,1,2,3.9,0.85,1.01,0.46,0.38,1.86,1.0,0.0,4.0,2.46,23.6,40,134,57.5,2.2,3|1|2|0|5,09/16|09/15|09/13|09/12|09/11,2.0,3|1|2|0|5|1|2|0|1|5,09/16|09/15|09/13|09/12|09/11|09/08|09/07|09/06|09/05|09/04,2.4,3|1|2|0|5|1|2|0|1|5|5|4|5|0|2,09/16|09/15|09/13|09/12|09/11|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30,76.3,47.7,28.5,15.9,8.7,4.5,2.1,2.37,51.6
2026-09-17,Athletics @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Athletics,Henry Bolte,Drew Rasmussen,0.0,0,1,4.1,0.85,0.94,0.62,0.29,1.9,1.0,0.0,4.0,2.24,20.9,40,107,57.5,2.0,3|2|1|2|2,09/16|09/15|09/13|09/12|09/11,2.3,3|2|1|2|2|3|2|5|1|2,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05,2.47,3|2|1|2|2|3|2|5|1|2|1|3|9|1|0,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/03|09/02|09/01|08/31,79.0,47.2,28.1,16.2,9.2,4.8,2.6,2.38,51.5
2026-09-17,Boston Red Sox @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Trevor Story,Unknown,0.0,0,0,4.1,1.0,1.1,0.36,0.34,1.82,1.0,0.0,4.0,3.15,21.6,40,56,47.5,1.8,1|1|4|2|1,09/16|09/15|09/13|09/12|09/11,1.8,1|1|4|2|1|1|2|0|1|5,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05,2.07,1|1|4|2|1|1|2|0|1|5|1|2|2|5|3,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31|08/30,78.4,48.4,27.7,14.7,7.0,3.0,1.4,2.07,47.5
2026-09-17,Boston Red Sox @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Nick Sogard,Unknown,0.0,0,0,4.1,1.0,0.98,0.45,0.44,1.75,1.0,0.0,4.0,4.27,26.6,40,55,52.5,1.8,1|4|0|4|0,09/16|09/15|09/13|09/12|09/11,1.6,1|4|0|4|0|1|3|0|3|0,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/06|09/05|09/04,1.8,1|4|0|4|0|1|3|0|3|0|4|0|1|4|2,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/30,73.5,48.0,27.4,13.9,6.9,3.3,1.4,2.2,49.4
2026-09-17,Boston Red Sox @ Texas Rangers,Globe Life Field,1.012,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Wilyer Abreu,Unknown,0.0,0,0,4.2,1.0,0.9,0.43,0.41,1.79,1.0,0.0,4.0,2.43,25.4,40,148,55.0,1.6,1|0|1|3|3,09/16|09/15|09/13|09/12|09/11,1.3,1|0|1|3|3|3|1|0|1|0,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/05|09/04,1.47,1|0|1|3|3|3|1|0|1|0|0|4|3|0|2,09/16|09/15|09/13|09/12|09/11|09/09|09/08|09/07|09/05|09/04|09/03|09/02|09/01|08/31|08/30,74.6,47.3,27.2,14.8,7.5,3.8,1.8,2.07,48.8
2026-09-17,Detroit Tigers @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Miguel Vargas,Framber Valdez,0.2,1,5,4.5,1.03,0.99,0.52,0.53,2.1,2.0,0.0,5.0,2.21,21.1,40,150,55.0,2.8,1|4|6|1|2,09/16|09/15|09/14|09/13|09/12,1.8,1|4|6|1|2|1|0|0|0|3,09/16|09/15|09/14|09/13|09/12|09/11|09/10|09/09|09/08|09/06,1.93,1|4|6|1|2|1|0|0|0|3|3|3|2|0|3,09/16|09/15|09/14|09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|09/03|09/02|09/01,78.9,52.2,33.3,19.9,11.3,6.5,3.5,2.43,53.4
2026-09-17,Detroit Tigers @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Randal Grichuk,Framber Valdez,0.167,1,6,3.2,1.03,1.03,0.34,0.45,1.63,1.0,0.0,4.0,2.83,32.6,40,104,45.0,2.4,3|2|1|4|2,09/16|09/15|09/14|09/12|09/11,2.1,3|2|1|4|2|1|2|5|1|0,09/16|09/15|09/14|09/12|09/11|09/10|09/09|09/06|09/05|09/04,1.6,3|2|1|4|2|1|2|5|1|0|0|0|3|0|0,09/16|09/15|09/14|09/12|09/11|09/10|09/09|09/06|09/05|09/04|09/03|09/02|09/01|08/31|08/29,67.4,43.6,25.4,13.4,6.6,3.3,1.7,2.11,44.9
2026-09-17,Detroit Tigers @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Chase Meidroth,Framber Valdez,0.333,2,6,4.2,1.03,0.96,0.51,0.37,1.77,1.0,0.0,5.0,1.52,33.0,40,146,50.0,2.4,4|4|3|1|0,09/16|09/15|09/14|09/13|09/12,2.0,4|4|3|1|0|6|0|1|0|1,09/16|09/15|09/14|09/13|09/12|09/11|09/10|09/09|09/08|09/06,1.73,4|4|3|1|0|6|0|1|0|1|2|0|2|0|2,09/16|09/15|09/14|09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|09/03|09/02|09/01,67.0,43.0,26.9,16.6,10.1,6.0,3.3,2.15,46.2
2026-09-17,Los Angeles Dodgers @ Cincinnati Reds,Great American Ball Park,1.045,1.008,90.2,48.0,7.8,W,270.0,3.0,Clear,3.7,5.4,58.2,B,92.0,Cincinnati Reds,Elly De La Cruz,Justin Wrobleski,1.0,1,1,4.4,0.93,1.31,0.82,0.67,2.54,2.0,0.0,6.0,3.08,22.2,40,133,65.0,3.4,5|2|3|4|3,09/16|09/15|09/14|09/13|09/12,3.6,5|2|3|4|3|0|3|5|4|7,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,3.33,5|2|3|4|3|0|3|5|4|7|4|5|3|2|0,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,77.8,59.9,42.3,28.3,18.2,11.3,7.0,3.41,65.9
2026-09-17,Los Angeles Dodgers @ Cincinnati Reds,Great American Ball Park,1.045,1.008,90.2,48.0,7.8,W,270.0,3.0,Clear,3.7,5.4,58.2,B,92.0,Cincinnati Reds,Sal Stewart,Justin Wrobleski,0.0,0,0,4.3,0.93,1.17,0.47,0.5,2.16,2.0,0.0,5.0,3.09,18.3,40,152,60.0,2.0,5|0|0|3|2,09/16|09/15|09/14|09/13|09/12,1.6,5|0|0|3|2|2|2|0|0|2,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,1.6,5|0|0|3|2|2|2|0|0|2|2|2|0|3|1,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,81.7,55.9,35.1,20.2,11.5,6.1,3.1,2.56,57.2
