Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-07-19,Chicago White Sox,Toronto Blue Jays,Chicago White Sox @ Toronto Blue Jays,09:15 AM,12:15 PM EDT,Rogers Centre,OPEN,PROJECTED: FAVORABLE,Clear,69.1,58.1,⚪ Light Variable,3.1,WSW,-0.9,0.6,1.9,3.0,,FORECAST MODEL,0.0,54.2,B,Density 63 | Wind 52 | Temp 49 | Altitude 58 | Confidence 95%,3,2,1.3,95.2,🟨 Neutral,0.9,1,56.2,43.8,82.6,2.5,1.1812,1079.0,1004.3,52.6,70.8,53.7,IMPROVING RAPIDLY,4.9,0.0,2,LOW,0.3,LOW,0.9,2026-07-19 01:19:09 AM PDT,0.0,4
2026-07-19,Los Angeles Dodgers,New York Yankees,Los Angeles Dodgers @ New York Yankees,09:35 AM,12:35 PM EDT,Yankee Stadium,OPEN,OPEN-AIR PARK,Clear,78.3,47.5,🟡 8.3 mph Cross (LF → RF),10.3,NW,-0.2,5.2,8.5,8.3,,FORECAST MODEL,0.0,60.9,B+,Density 68 | Wind 62 | Temp 58 | Altitude 61 | Confidence 92%,7,5,3.3,91.8,🟢 Good,4.6,3,100.0,0.0,14.3,2.0,1.1646,1571.0,1007.7,54.6,80.0,42.8,IMPROVING RAPIDLY,5.3,0.0,1,LOW,0.0,LOW,11.3,2026-07-19 01:19:10 AM PDT,117.6,5
2026-07-19,Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays @ Boston Red Sox,10:35 AM,01:35 PM EDT,Fenway Park,OPEN,OPEN-AIR PARK,Clear,79.5,38.4,🟡 11.3 mph Cross (LF → RF),11.8,NW,-3.6,1.6,6.4,11.3,,FORECAST MODEL,0.0,57.3,B,Density 69 | Wind 54 | Temp 58 | Altitude 61 | Confidence 92%,5,3,2.2,92.0,🟨 Neutral,1.6,1,86.8,0.0,9.1,1.5,1.1625,1660.0,1004.9,50.0,79.9,36.3,IMPROVING,3.3,0.0,2,LOW,0.0,LOW,6.2,2026-07-19 01:19:10 AM PDT,18.5,5
2026-07-19,New York Mets,Philadelphia Phillies,New York Mets @ Philadelphia Phillies,10:35 AM,01:35 PM EDT,Citizens Bank Park,OPEN,OPEN-AIR PARK,Clear,81.1,49.8,🟡 8.8 mph Cross (LF → RF),10.6,NW,-8.7,-5.4,0.6,8.8,,FORECAST MODEL,0.0,51.2,B,Density 69 | Wind 37 | Temp 60 | Altitude 61 | Confidence 86%,1,1,0.3,86.4,🟨 Neutral,-4.2,-4,11.2,66.3,27.2,2.6,1.1607,1663.0,1008.8,58.7,81.9,46.8,WORSENING RAPIDLY,-4.9,0.0,3,LOW,0.0,MEDIUM,22.1,2026-07-19 01:19:11 AM PDT,11.0,5
2026-07-19,Texas Rangers,Atlanta Braves,Texas Rangers @ Atlanta Braves,10:35 AM,01:35 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Code 13,91.1,54.7,⚪ Light Variable,4.9,W,3.9,2.3,-0.3,-4.1,,FORECAST MODEL,31.2,64.2,B+,Density 86 | Wind 56 | Temp 70 | Altitude 73 | Confidence 86%,9,7,4.3,86.4,🟢 Good,2.3,1,100.0,0.0,6.0,0.6,1.106,3208.0,981.5,71.4,91.1,54.7,IMPROVING,3.6,0.0,2,MODERATE,36.4,LOW,12.5,2026-07-19 01:19:12 AM PDT,112.1,5
2026-07-19,Pittsburgh Pirates,Cleveland Guardians,Pittsburgh Pirates @ Cleveland Guardians,10:40 AM,01:40 PM EDT,Progressive Field,OPEN,OPEN-AIR PARK,Clear,75.6,55.9,🔴 8.1 mph In from CF,8.9,N,-6.3,-8.1,-6.1,0.3,,FORECAST MODEL,0.0,47.5,C,Density 69 | Wind 30 | Temp 54 | Altitude 62 | Confidence 91%,-2,-1,-0.8,90.7,🟧 Below Average,-6.6,-6,0.0,100.0,13.7,1.1,1.1611,1643.0,998.1,57.2,76.1,53.5,WORSENING RAPIDLY,-9.6,0.0,2,LOW,0.1,LOW,5.3,2026-07-19 01:19:13 AM PDT,36.3,5
2026-07-19,Baltimore Orioles,Houston Astros,Baltimore Orioles @ Houston Astros,11:10 AM,01:10 PM CDT,Daikin Park,CLOSED,PROJECTED: TEMPERATURE,Clear,92.1,52.2,⚪ Calm,3.0,WSW,-0.0,0.0,0.0,0.0,,FORECAST MODEL,1.1,50.0,B,Density 61 | Wind 50 | Temp 73 | Altitude 56 | Confidence 91%,0,0,0.0,91.4,🟨 Neutral,0.0,0,36.3,33.7,30.5,0.9,1.1896,858.0,1013.4,71.6,93.9,48.9,IMPROVING,3.3,0.0,2,NONE (ROOF),0.0,LOW,11.5,2026-07-19 01:19:14 AM PDT,117.7,5
2026-07-19,San Diego Padres,Kansas City Royals,San Diego Padres @ Kansas City Royals,11:10 AM,01:10 PM CDT,Kauffman Stadium,OPEN,OPEN-AIR PARK,Mostly clear,92.8,53.0,⚪ Calm,1.9,NNE,-1.7,-1.7,-0.9,0.7,,FORECAST MODEL,36.8,62.5,B+,Density 87 | Wind 49 | Temp 72 | Altitude 74 | Confidence 86%,8,6,3.7,86.4,🟢 Good,-0.2,0,33.7,41.3,55.2,1.2,1.1019,3339.0,981.7,71.8,93.3,51.8,WORSENING,-2.7,0.0,2,MODERATE,35.9,LOW,15.5,2026-07-19 01:19:15 AM PDT,73.0,5
2026-07-19,Miami Marlins,Milwaukee Brewers,Miami Marlins @ Milwaukee Brewers,11:10 AM,01:10 PM CDT,American Family Field,OPEN,PROJECTED: FAVORABLE,Clear,78.0,51.4,🔴 5.9 mph In from LF,7.2,E,-5.9,-4.8,-1.7,4.4,,FORECAST MODEL,0.0,50.8,B,Density 73 | Wind 36 | Temp 57 | Altitude 64 | Confidence 93%,0,0,0.2,93.2,🟨 Neutral,-4.6,-4,0.0,100.0,7.2,0.9,1.1496,1985.0,992.1,57.4,78.2,49.1,WORSENING RAPIDLY,-7.0,0.0,2,LOW,0.0,LOW,8.7,2026-07-19 01:19:16 AM PDT,42.8,5
2026-07-19,Minnesota Twins,Chicago Cubs,Minnesota Twins @ Chicago Cubs,11:20 AM,01:20 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Clear,73.5,67.7,🔴 7.5 mph In from CF,8.1,NE,-4.2,-7.5,-6.0,-1.7,,FORECAST MODEL,0.0,47.0,C,Density 64 | Wind 31 | Temp 52 | Altitude 58 | Confidence 91%,-2,-1,-0.9,90.7,🟧 Below Average,-6.2,-6,0.0,100.0,4.2,1.1,1.18,1052.0,1011.0,61.8,73.8,66.0,WORSENING RAPIDLY,-5.4,0.0,2,LOW,0.0,LOW,12.8,2026-07-19 01:19:17 AM PDT,117.9,5
