Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-07-20,Minnesota Twins,Cleveland Guardians,Minnesota Twins @ Cleveland Guardians,03:40 PM,06:40 PM EDT,Progressive Field,OPEN,OPEN-AIR PARK,Overcast,82.1,42.0,⚪ Light Variable,4.7,WNW,-3.5,-2.1,0.4,4.0,,FORECAST MODEL,0.0,55.9,B,Density 74 | Wind 46 | Temp 59 | Altitude 65 | Confidence 88%,4,3,1.8,88.5,🟨 Neutral,-1.4,-1,25.0,73.1,67.6,4.1,1.1456,2123.0,992.9,55.8,80.7,44.8,WORSENING,-2.8,0.0,2,LOW,0.1,LOW,13.8,2026-07-19 08:34:36 AM PDT,16.1,5
2026-07-20,Pittsburgh Pirates,New York Yankees,Pittsburgh Pirates @ New York Yankees,04:05 PM,07:05 PM EDT,Yankee Stadium,OPEN,OPEN-AIR PARK,Clear,77.9,49.8,🟡 7.5 mph Cross (RF → LF),7.7,SSE,3.8,0.3,-3.7,-7.5,,FORECAST MODEL,0.0,54.3,B,Density 64 | Wind 50 | Temp 54 | Altitude 58 | Confidence 89%,3,2,1.3,88.9,🟨 Neutral,-0.1,0,13.2,56.2,15.6,1.6,1.1783,1135.0,1012.3,58.4,75.7,57.0,STEADY,-0.3,0.0,1,LOW,0.3,LOW,16.2,2026-07-19 08:34:37 AM PDT,425.1,5
2026-07-20,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,04:07 PM,07:07 PM EDT,Rogers Centre,OPEN,PROJECTED: FAVORABLE,Partly cloudy,72.0,57.6,⚪ Light Variable,5.2,ESE,3.9,2.6,0.0,-4.2,,FORECAST MODEL,0.2,56.0,B,Density 65 | Wind 55 | Temp 49 | Altitude 59 | Confidence 92%,4,3,1.8,91.6,🟨 Neutral,2.1,1,43.8,5.6,45.6,1.6,1.1754,1222.0,1000.0,56.4,70.7,61.4,STEADY,-0.4,0.0,2,LOW,1.1,LOW,2.9,2026-07-19 08:34:42 AM PDT,0.0,4
2026-07-20,Baltimore Orioles,Boston Red Sox,Baltimore Orioles @ Boston Red Sox,04:10 PM,07:10 PM EDT,Fenway Park,OPEN,OPEN-AIR PARK,Mostly clear,79.1,42.4,⚪ Light Variable,6.1,SSW,4.4,4.4,2.0,-2.9,,FORECAST MODEL,0.0,58.0,B,Density 64 | Wind 60 | Temp 54 | Altitude 58 | Confidence 86%,5,4,2.4,85.9,🟨 Neutral,3.9,3,100.0,0.0,21.9,1.6,1.1787,1159.0,1012.3,53.7,76.1,48.3,IMPROVING RAPIDLY,5.2,0.0,2,LOW,0.0,LOW,17.6,2026-07-19 08:34:43 AM PDT,291.1,5
2026-07-20,Los Angeles Dodgers,Philadelphia Phillies,Los Angeles Dodgers @ Philadelphia Phillies,04:10 PM,07:10 PM EDT,Citizens Bank Park,OPEN,OPEN-AIR PARK,Clear,82.5,46.2,🟢 6.1 mph Out to CF,6.6,S,5.7,6.1,3.6,-2.1,,FORECAST MODEL,0.0,61.8,B+,Density 67 | Wind 64 | Temp 58 | Altitude 60 | Confidence 85%,7,5,3.6,85.2,🟢 Good,5.6,4,82.5,0.0,26.9,1.8,1.168,1419.0,1011.8,61.5,79.8,56.3,IMPROVING RAPIDLY,6.1,0.0,3,LOW,5.8,LOW,17.5,2026-07-19 08:34:44 AM PDT,321.3,5
2026-07-20,San Diego Padres,Atlanta Braves,San Diego Padres @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Code 14,89.8,54.7,⚪ Light Variable,4.2,SSW,-0.3,-2.5,-3.6,-3.2,,FORECAST MODEL,21.7,58.8,B,Density 84 | Wind 44 | Temp 66 | Altitude 72 | Confidence 90%,5,4,2.6,90.5,🟨 Neutral,-1.9,-2,16.9,83.1,34.9,0.9,1.1127,2995.0,979.3,70.8,86.8,62.0,WORSENING,-2.5,0.0,2,MODERATE,23.7,LOW,9.1,2026-07-19 08:34:45 AM PDT,547.7,5
2026-07-20,San Francisco Giants,Kansas City Royals,San Francisco Giants @ Kansas City Royals,04:40 PM,06:40 PM CDT,Kauffman Stadium,OPEN,OPEN-AIR PARK,Clear,97.9,40.3,🟢 5.7 mph Out to LF,6.2,SSW,5.7,5.6,3.0,-2.5,,FORECAST MODEL,0.6,68.4,B+,Density 89 | Wind 61 | Temp 75 | Altitude 76 | Confidence 89%,11,8,5.5,88.6,🟢 Good,4.3,3,96.2,0.0,21.8,1.3,1.0934,3657.0,977.0,67.9,95.6,43.3,IMPROVING,1.5,0.0,2,LOW,10.9,LOW,11.0,2026-07-19 08:34:46 AM PDT,56.9,5
2026-07-20,New York Mets,Milwaukee Brewers,New York Mets @ Milwaukee Brewers,04:40 PM,06:40 PM CDT,American Family Field,CLOSED,PROJECTED: WEATHER,Partly cloudy,87.5,48.7,⚪ Calm,12.2,SW,0.0,0.0,-0.0,-0.0,,FORECAST MODEL,53.6,50.0,B,Density 61 | Wind 50 | Temp 64 | Altitude 57 | Confidence 82%,0,0,0.0,81.5,🟨 Neutral,0.0,0,25.0,45.0,7.1,1.1,1.1896,858.0,980.4,66.1,85.8,53.2,IMPROVING,3.2,0.0,2,NONE (ROOF),0.0,MEDIUM,27.9,2026-07-19 08:34:47 AM PDT,62.9,5
2026-07-20,Detroit Tigers,Chicago Cubs,Detroit Tigers @ Chicago Cubs,05:05 PM,07:05 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Clear,83.6,54.4,🟢 15.0 mph Out to CF,15.9,SW,10.4,15.0,10.0,-0.7,,FORECAST MODEL,36.8,70.9,A-,Density 73 | Wind 81 | Temp 61 | Altitude 64 | Confidence 84%,13,10,6.3,83.7,🟢 Very Good,12.3,11,100.0,0.0,8.8,1.0,1.1489,1952.0,1000.9,65.4,82.2,59.6,IMPROVING RAPIDLY,18.8,0.0,2,MODERATE,31.6,MEDIUM,21.7,2026-07-19 08:34:48 AM PDT,13.5,5
2026-07-20,Chicago White Sox,Texas Rangers,Chicago White Sox @ Texas Rangers,05:05 PM,07:05 PM CDT,Globe Life Field,CLOSED,PROJECTED: TEMPERATURE,Clear,99.2,32.6,⚪ Calm,6.9,S,0.0,0.0,0.0,-0.0,,FORECAST MODEL,0.5,50.0,B,Density 61 | Wind 50 | Temp 76 | Altitude 57 | Confidence 92%,0,0,0.0,92.2,🟨 Neutral,0.0,0,100.0,0.0,9.4,1.1,1.1896,858.0,990.4,64.6,96.9,35.2,IMPROVING,3.3,0.0,3,NONE (ROOF),0.0,LOW,9.1,2026-07-19 08:34:49 AM PDT,267.9,5
2026-07-20,Miami Marlins,Houston Astros,Miami Marlins @ Houston Astros,05:10 PM,07:10 PM CDT,Daikin Park,CLOSED,PROJECTED: TEMPERATURE,Clear,94.4,44.7,⚪ Calm,3.8,SW,-0.0,0.0,0.0,0.0,,FORECAST MODEL,0.0,50.0,B,Density 62 | Wind 51 | Temp 70 | Altitude 57 | Confidence 89%,0,0,0.0,88.8,🟨 Neutral,0.2,0,49.4,50.6,40.8,1.7,1.1855,960.0,1009.8,71.1,91.0,53.2,IMPROVING RAPIDLY,4.1,0.0,2,LOW,12.0,LOW,13.9,2026-07-19 08:34:50 AM PDT,194.2,5
