Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Current Temp Bias F,Current Wind Bias MPH,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-07-12,Milwaukee Brewers,Pittsburgh Pirates,Milwaukee Brewers @ Pittsburgh Pirates,09:15 AM,12:15 PM EDT,PNC Park,OPEN,OPEN-AIR PARK,Clear,82.4,62.9,⚪ Light Variable,3.9,W,3.2,3.2,1.6,0.0,61.5,B+,Density 88 | Wind 57 | Temp 61 | Altitude 67 | Confidence 71%,7,5,3.4,71.1,🟢 Good,2.9,2,56.2,0.0,38.8,0.7,1.1347,2355.0,989.5,67.0,82.4,62.9,IMPROVING RAPIDLY,5.3,0.0,0.0,0.0,3,LOW,4.0,HIGH,47.1,2026-07-14 02:25:52 PM PDT,49.4,5
2026-07-12,Kansas City Royals,Baltimore Orioles,Kansas City Royals @ Baltimore Orioles,10:35 AM,01:35 PM EDT,Oriole Park at Camden Yards,OPEN,OPEN-AIR PARK,Clear,83.5,52.8,⚪ Light Variable,5.1,W,-0.3,2.4,4.1,0.0,56.2,B,Density 73 | Wind 55 | Temp 62 | Altitude 60 | Confidence 68%,4,3,1.9,68.1,🟨 Neutral,2.2,1,100.0,0.0,7.1,0.9,1.1692,1389.0,1019.9,62.2,83.5,52.8,IMPROVING RAPIDLY,5.5,0.0,0.0,0.0,3,LOW,0.0,HIGH,52.9,2026-07-14 02:25:54 PM PDT,32.8,5
2026-07-12,New York Yankees,Washington Nationals,New York Yankees @ Washington Nationals,10:35 AM,01:35 PM EDT,Nationals Park,OPEN,OPEN-AIR PARK,Clear,82.2,54.9,🟢 5.0 mph Out to CF,5.4,SW,3.0,5.0,4.6,0.0,57.7,B,Density 73 | Wind 60 | Temp 61 | Altitude 59 | Confidence 68%,5,4,2.3,68.4,🟨 Neutral,4.4,3,100.0,0.0,16.4,0.1,1.1701,1360.0,1018.3,62.3,82.2,54.9,IMPROVING RAPIDLY,7.3,0.0,0.0,0.0,3,LOW,0.0,HIGH,50.8,2026-07-14 02:25:55 PM PDT,32.8,5
2026-07-12,Chicago Cubs,Cincinnati Reds,Chicago Cubs @ Cincinnati Reds,10:40 AM,01:40 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Clear,83.3,68.6,⚪ Light Variable,3.8,E,-3.3,-3.1,-1.3,0.0,58.4,B,Density 85 | Wind 42 | Temp 62 | Altitude 65 | Confidence 75%,5,4,2.5,75.4,🟨 Neutral,-2.8,-2,56.2,43.8,34.0,1.4,1.1415,2130.0,997.7,69.6,83.3,68.6,STEADY,-0.6,0.0,0.0,0.0,3,LOW,8.7,HIGH,38.1,2026-07-14 02:25:56 PM PDT,85.5,5
2026-07-12,Boston Red Sox,New York Mets,Boston Red Sox @ New York Mets,10:40 AM,01:40 PM EDT,Citi Field,OPEN,OPEN-AIR PARK,Clear,83.5,51.4,🟢 10.2 mph Out to RF,11.5,SW,4.0,9.2,10.2,0.3,59.4,B,Density 74 | Wind 68 | Temp 62 | Altitude 60 | Confidence 64%,6,4,2.8,64.3,🟨 Neutral,8.2,6,100.0,0.0,6.2,0.6,1.1671,1453.0,1018.2,62.0,83.5,51.4,IMPROVING RAPIDLY,11.3,0.0,0.0,0.0,3,LOW,0.2,HIGH,61.4,2026-07-14 02:25:57 PM PDT,78.6,5
2026-07-12,Seattle Mariners,Tampa Bay Rays,Seattle Mariners @ Tampa Bay Rays,10:40 AM,01:40 PM EDT,Tropicana Field,INDOOR,FIXED ROOF,Overcast,84.7,73.0,⚪ Calm,0.0,W,0.0,0.0,0.0,14.0,50.0,B,Density 65 | Wind 50 | Temp 63 | Altitude 56 | Confidence 75%,0,0,0.0,75.4,🟨 Neutral,0.0,0,0.0,0.0,22.8,0.0,1.1896,858.0,1019.8,74.6,84.7,73.0,IMPROVING,3.9,0.0,0.0,0.0,3,NONE (ROOF),0.0,MEDIUM,31.4,2026-07-14 02:25:58 PM PDT,144.5,5
2026-07-12,Philadelphia Phillies,Detroit Tigers,Philadelphia Phillies @ Detroit Tigers,10:40 AM,01:40 PM EDT,Comerica Park,OPEN,OPEN-AIR PARK,Clear,84.7,60.0,🟢 5.4 mph Out to LF,6.8,W,5.4,3.0,-0.7,0.0,60.7,B+,Density 86 | Wind 56 | Temp 63 | Altitude 66 | Confidence 64%,7,5,3.2,64.0,🟢 Good,2.7,2,0.0,100.0,4.6,0.2,1.1395,2221.0,997.7,67.1,84.7,60.0,IMPROVING,3.9,0.0,0.0,0.0,3,LOW,1.7,HIGH,57.4,2026-07-14 02:25:59 PM PDT,60.3,5
2026-07-12,Cleveland Guardians,Miami Marlins,Cleveland Guardians @ Miami Marlins,10:40 AM,01:40 PM EDT,loanDepot park,OPEN,PROJECTED: FAVORABLE,Mostly clear,84.0,70.8,⚪ Light Variable,4.9,SE,-2.9,-4.1,-3.5,7.5,52.1,B,Density 75 | Wind 40 | Temp 63 | Altitude 60 | Confidence 74%,1,1,0.6,74.1,🟨 Neutral,-3.7,-3,100.0,0.0,13.1,1.4,1.1659,1386.0,1021.0,72.4,84.0,70.8,STEADY,-1.2,0.0,0.0,0.0,3,LOW,16.1,MEDIUM,31.9,2026-07-14 02:26:01 PM PDT,68.6,5
2026-07-12,Los Angeles Angels,Minnesota Twins,Los Angeles Angels @ Minnesota Twins,11:10 AM,01:10 PM CDT,Target Field,OPEN,OPEN-AIR PARK,Clear,85.8,59.0,🟢 6.6 mph Out to CF,7.3,WSW,6.4,6.6,3.5,0.0,65.1,B+,Density 91 | Wind 63 | Temp 64 | Altitude 69 | Confidence 76%,9,7,4.5,75.7,🟢 Good,5.9,4,100.0,0.0,9.9,1.2,1.1274,2568.0,989.7,68.8,85.8,59.0,IMPROVING RAPIDLY,10.0,0.0,0.0,0.0,3,LOW,7.4,HIGH,39.3,2026-07-14 02:26:02 PM PDT,179.2,5
2026-07-12,Athletics,Chicago White Sox,Athletics @ Chicago White Sox,11:10 AM,01:10 PM CDT,Rate Field,OPEN,OPEN-AIR PARK,Clear,78.2,65.4,⚪ Light Variable,4.0,E,-3.5,-3.1,-1.1,0.0,57.0,B,Density 79 | Wind 43 | Temp 57 | Altitude 63 | Confidence 85%,4,3,2.1,84.8,🟨 Neutral,-2.7,-2,25.0,56.2,16.5,0.8,1.1556,1741.0,999.4,65.5,78.2,65.4,WORSENING,-2.6,0.0,0.0,0.0,3,LOW,6.2,LOW,14.2,2026-07-14 02:26:03 PM PDT,85.5,5
2026-07-12,Atlanta Braves,St. Louis Cardinals,Atlanta Braves @ St. Louis Cardinals,11:15 AM,01:15 PM CDT,Busch Stadium,OPEN,OPEN-AIR PARK,Clear,81.5,67.3,⚪ Light Variable,4.7,NE,-4.0,-4.3,-2.6,0.0,55.7,B,Density 80 | Wind 40 | Temp 60 | Altitude 63 | Confidence 75%,4,3,1.7,75.0,🟨 Neutral,-3.8,-3,0.0,43.8,36.4,1.1,1.1542,1765.0,1005.0,68.1,81.5,67.3,WORSENING,-3.4,0.0,0.0,0.0,3,LOW,2.5,HIGH,41.8,2026-07-14 02:26:04 PM PDT,114.0,5
