Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-07-20,Minnesota Twins,Cleveland Guardians,Minnesota Twins @ Cleveland Guardians,03:40 PM,06:40 PM EDT,Progressive Field,OPEN,OPEN-AIR PARK,Overcast,81.3,45.3,⚪ Calm,1.8,NNW,-1.4,-1.6,-1.1,0.3,,FORECAST MODEL,0.0,57.4,B,Density 74 | Wind 49 | Temp 58 | Altitude 65 | Confidence 92%,5,3,2.2,92.0,🟨 Neutral,-0.3,0,43.8,56.2,98.2,4.4,1.1461,2087.0,992.2,58.3,79.8,48.6,STEADY,-1.2,0.0,3,LOW,0.1,LOW,7.0,2026-07-19 06:10:17 PM PDT,383.3,5
2026-07-20,Pittsburgh Pirates,New York Yankees,Pittsburgh Pirates @ New York Yankees,04:05 PM,07:05 PM EDT,Yankee Stadium,OPEN,OPEN-AIR PARK,Clear,78.2,47.9,🟡 7.8 mph Cross (RF → LF),8.1,S,4.1,0.4,-3.8,-7.8,,FORECAST MODEL,0.0,54.5,B,Density 64 | Wind 50 | Temp 54 | Altitude 58 | Confidence 92%,3,2,1.3,92.1,🟨 Neutral,-0.0,0,0.0,33.7,6.8,0.3,1.1787,1127.0,1012.3,58.0,75.6,56.4,STEADY,0.3,0.0,2,LOW,0.3,LOW,9.5,2026-07-19 06:10:18 PM PDT,408.2,5
2026-07-20,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,04:07 PM,07:07 PM EDT,Rogers Centre,OPEN,PROJECTED: FAVORABLE,Overcast,73.2,59.6,⚪ Light Variable,3.1,SE,2.4,2.2,1.0,-1.6,,FORECAST MODEL,0.2,56.1,B,Density 66 | Wind 54 | Temp 50 | Altitude 60 | Confidence 92%,4,3,1.8,91.8,🟨 Neutral,1.7,1,43.8,0.0,61.6,1.2,1.1705,1345.0,999.1,59.2,72.1,64.8,IMPROVING RAPIDLY,4.0,0.0,3,LOW,1.0,LOW,2.1,2026-07-19 06:10:23 PM PDT,0.0,4
2026-07-20,Baltimore Orioles,Boston Red Sox,Baltimore Orioles @ Boston Red Sox,04:10 PM,07:10 PM EDT,Fenway Park,OPEN,OPEN-AIR PARK,Partly cloudy,80.2,39.5,🟢 4.6 mph Out to CF,5.6,SW,3.7,4.6,3.0,-0.9,,FORECAST MODEL,0.0,58.5,B,Density 64 | Wind 61 | Temp 55 | Altitude 58 | Confidence 90%,5,4,2.6,90.3,🟨 Neutral,4.2,3,100.0,0.0,12.0,0.6,1.1783,1176.0,1012.5,53.0,76.4,47.2,IMPROVING RAPIDLY,6.9,0.0,3,LOW,0.0,LOW,14.4,2026-07-19 06:10:24 PM PDT,61.0,5
2026-07-20,Los Angeles Dodgers,Philadelphia Phillies,Los Angeles Dodgers @ Philadelphia Phillies,04:10 PM,07:10 PM EDT,Citizens Bank Park,OPEN,OPEN-AIR PARK,Clear,82.1,47.6,⚪ Light Variable,3.9,S,3.0,3.8,2.8,-0.3,,FORECAST MODEL,0.0,60.0,B+,Density 67 | Wind 59 | Temp 58 | Altitude 60 | Confidence 93%,6,5,3.0,92.6,🟢 Good,3.6,2,77.5,0.0,30.0,1.9,1.1684,1407.0,1011.7,61.5,79.5,55.8,IMPROVING RAPIDLY,5.9,0.0,4,LOW,3.4,LOW,8.2,2026-07-19 06:10:25 PM PDT,302.0,5
2026-07-20,San Diego Padres,Atlanta Braves,San Diego Padres @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Partly cloudy,91.0,50.0,⚪ Light Variable,4.8,SW,0.4,-2.2,-3.9,-4.1,,FORECAST MODEL,9.7,61.3,B+,Density 84 | Wind 50 | Temp 67 | Altitude 72 | Confidence 90%,7,5,3.4,90.2,🟢 Good,-0.1,0,28.1,43.8,66.7,2.4,1.111,3068.0,979.3,69.2,87.9,57.7,STEADY,-1.4,0.0,3,LOW,13.6,LOW,8.2,2026-07-19 06:10:26 PM PDT,403.4,5
2026-07-20,San Francisco Giants,Kansas City Royals,San Francisco Giants @ Kansas City Royals,04:40 PM,06:40 PM CDT,Kauffman Stadium,OPEN,OPEN-AIR PARK,Clear,98.1,39.6,🟢 6.4 mph Out to CF,6.6,SSW,5.8,6.4,4.1,-1.6,,FORECAST MODEL,1.8,68.9,B+,Density 89 | Wind 62 | Temp 75 | Altitude 76 | Confidence 87%,12,9,5.7,87.3,🟢 Good,4.9,3,98.1,0.0,10.7,1.5,1.0934,3665.0,977.0,67.2,95.7,43.2,IMPROVING,3.7,0.0,3,LOW,10.6,LOW,12.4,2026-07-19 06:10:27 PM PDT,168.0,5
2026-07-20,New York Mets,Milwaukee Brewers,New York Mets @ Milwaukee Brewers,04:40 PM,06:40 PM CDT,American Family Field,CLOSED,PROJECTED: WEATHER,Code 16,84.9,58.6,⚪ Calm,0.0,SW,0.0,-0.0,-0.0,-0.0,,FORECAST MODEL,25.6,50.0,B,Density 61 | Wind 50 | Temp 61 | Altitude 57 | Confidence 81%,0,0,0.0,80.7,🟨 Neutral,0.0,0,7.5,39.3,13.0,0.8,1.1896,858.0,978.9,68.9,82.5,64.1,IMPROVING,3.1,0.0,3,NONE (ROOF),0.0,MEDIUM,24.5,2026-07-19 06:10:28 PM PDT,98.9,5
2026-07-20,Detroit Tigers,Chicago Cubs,Detroit Tigers @ Chicago Cubs,05:05 PM,07:05 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Partly cloudy,84.4,52.4,🟢 15.3 mph Out to CF,16.1,SW,10.6,15.3,10.1,-0.7,,FORECAST MODEL,19.2,72.8,A-,Density 74 | Wind 84 | Temp 61 | Altitude 65 | Confidence 88%,14,10,6.8,87.8,🟢 Very Good,13.4,12,100.0,0.0,9.5,2.3,1.1454,2048.0,999.4,66.3,82.9,58.3,IMPROVING RAPIDLY,16.1,0.0,3,MODERATE,41.6,LOW,15.5,2026-07-19 06:10:29 PM PDT,279.1,5
2026-07-20,Chicago White Sox,Texas Rangers,Chicago White Sox @ Texas Rangers,05:05 PM,07:05 PM CDT,Globe Life Field,CLOSED,PROJECTED: TEMPERATURE,Clear,99.8,32.2,⚪ Calm,0.0,S,0.0,0.0,0.0,-0.0,,FORECAST MODEL,1.4,50.0,B,Density 61 | Wind 50 | Temp 77 | Altitude 57 | Confidence 92%,0,0,0.0,92.0,🟨 Neutral,0.0,0,92.5,0.0,14.3,0.8,1.1896,858.0,990.5,65.2,97.3,35.4,IMPROVING,3.3,0.0,3,NONE (ROOF),0.0,LOW,9.2,2026-07-19 06:10:30 PM PDT,118.6,5
2026-07-20,Miami Marlins,Houston Astros,Miami Marlins @ Houston Astros,05:10 PM,07:10 PM CDT,Daikin Park,CLOSED,PROJECTED: TEMPERATURE,Clear,93.5,46.0,⚪ Calm,0.0,W,-0.0,-0.0,0.0,0.0,,FORECAST MODEL,0.3,50.0,B,Density 62 | Wind 51 | Temp 69 | Altitude 57 | Confidence 87%,0,0,0.0,87.3,🟨 Neutral,0.3,0,43.8,50.6,47.3,1.4,1.1858,953.0,1010.0,71.3,90.3,54.4,IMPROVING RAPIDLY,4.1,0.0,3,LOW,12.0,MEDIUM,22.5,2026-07-19 06:10:31 PM PDT,238.0,5
