Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-07-27,Seattle Mariners,Texas Rangers,Seattle Mariners @ Texas Rangers,11:35 AM,01:35 PM CDT,Globe Life Field,CLOSED,PROJECTED: TEMPERATURE,Partly cloudy,99.1,34.8,⚪ Calm,0.0,S,0.0,0.0,0.0,-0.0,,FORECAST MODEL,0.0,50.0,B,Density 61 | Wind 50 | Temp 80 | Altitude 57 | Confidence 94%,0,0,0.0,94.2,🟨 Neutral,0.0,0,100.0,0.0,5.1,0.3,1.1896,858.0,991.7,66.0,100.3,32.9,FIRST RUN,0.0,0.0,9,NONE (ROOF),0.0,LOW,6.6,2026-07-26 06:45:44 PM PDT,153.9,5
2026-07-27,Baltimore Orioles,Detroit Tigers,Baltimore Orioles @ Detroit Tigers,03:40 PM,06:40 PM EDT,Comerica Park,OPEN,OPEN-AIR PARK,Code 41,83.4,59.0,🟡 7.9 mph Cross (RF → LF),8.1,WSW,3.6,-0.7,-4.7,-7.9,,FORECAST MODEL,35.0,58.6,B,Density 78 | Wind 49 | Temp 60 | Altitude 68 | Confidence 76%,5,4,2.6,76.5,🟨 Neutral,-0.3,0,2.5,11.3,12.9,0.5,1.1302,2484.0,983.4,67.2,81.2,64.0,FIRST RUN,0.0,0.0,7,ELEVATED,67.1,MEDIUM,23.2,2026-07-26 06:45:46 PM PDT,296.5,5
2026-07-27,Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks @ Pittsburgh Pirates,03:40 PM,06:40 PM EDT,PNC Park,OPEN,OPEN-AIR PARK,Partly cloudy,78.6,72.0,⚪ Light Variable,4.2,NNE,-2.2,-0.4,1.8,4.0,,FORECAST MODEL,15.6,57.3,B,Density 78 | Wind 47 | Temp 55 | Altitude 68 | Confidence 77%,5,3,2.2,77.2,🟨 Neutral,-1.1,-1,7.5,71.2,63.1,1.0,1.1317,2416.0,977.8,68.0,77.2,75.3,FIRST RUN,0.0,0.0,6,MODERATE,28.5,MEDIUM,23.6,2026-07-26 06:45:47 PM PDT,64.4,5
2026-07-27,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies @ Miami Marlins,03:40 PM,06:40 PM EDT,loanDepot park,OPEN,PROJECTED: FAVORABLE,Code 15,84.2,78.8,⚪ Light Variable,4.2,SW,1.9,-0.1,-2.0,-4.2,,FORECAST MODEL,34.6,55.8,B,Density 71 | Wind 50 | Temp 62 | Altitude 61 | Confidence 82%,4,3,1.7,81.7,🟨 Neutral,0.1,0,16.9,7.5,21.1,0.3,1.1547,1660.0,1011.4,76.6,83.2,81.2,FIRST RUN,0.0,0.0,6,MODERATE,31.8,MEDIUM,19.4,2026-07-26 06:45:49 PM PDT,314.1,5
2026-07-27,Toronto Blue Jays,Washington Nationals,Toronto Blue Jays @ Washington Nationals,03:45 PM,06:45 PM EDT,Nationals Park,OPEN,OPEN-AIR PARK,Code 14,85.2,56.7,⚪ Light Variable,3.0,SE,1.7,0.4,-1.2,-2.9,,FORECAST MODEL,19.9,58.0,B,Density 72 | Wind 52 | Temp 60 | Altitude 62 | Confidence 85%,5,4,2.4,84.7,🟨 Neutral,0.8,0,58.1,22.5,29.3,1.6,1.153,1808.0,1004.4,67.5,81.9,65.9,FIRST RUN,0.0,0.0,6,MODERATE,21.5,LOW,10.6,2026-07-26 06:45:50 PM PDT,112.2,5
2026-07-27,Cleveland Guardians,Cincinnati Reds,Cleveland Guardians @ Cincinnati Reds,04:10 PM,07:10 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Mostly clear,89.1,56.9,🟡 5.6 mph Cross (RF → LF),6.9,WSW,5.7,3.8,-0.1,-5.6,,FORECAST MODEL,17.6,63.2,B+,Density 81 | Wind 55 | Temp 65 | Altitude 70 | Confidence 91%,8,6,4.0,91.0,🟢 Good,2.1,1,39.3,5.6,16.0,1.1,1.1202,2792.0,984.8,68.4,86.6,60.6,FIRST RUN,0.0,0.0,3,MODERATE,28.3,LOW,13.8,2026-07-26 06:45:52 PM PDT,181.4,5
2026-07-27,Atlanta Braves,New York Mets,Atlanta Braves @ New York Mets,04:10 PM,07:10 PM EDT,Citi Field,OPEN,OPEN-AIR PARK,Code 15,78.2,67.4,🟢 6.4 mph Out to LF,7.5,SSE,6.4,6.1,2.9,-3.5,,FORECAST MODEL,33.6,60.8,B+,Density 67 | Wind 62 | Temp 55 | Altitude 60 | Confidence 86%,7,5,3.2,85.7,🟢 Good,4.8,3,100.0,0.0,20.2,0.6,1.1676,1377.0,1006.9,66.5,76.6,71.8,FIRST RUN,0.0,0.0,6,MODERATE,31.9,MEDIUM,20.8,2026-07-26 06:45:53 PM PDT,421.6,5
2026-07-27,New York Yankees,Chicago White Sox,New York Yankees @ Chicago White Sox,04:40 PM,06:40 PM CDT,Rate Field,OPEN,OPEN-AIR PARK,Code 29,86.8,66.1,🟡 6.8 mph Cross (RF → LF),7.2,SW,4.9,1.7,-2.3,-6.8,,FORECAST MODEL,31.2,61.2,B+,Density 80 | Wind 53 | Temp 61 | Altitude 69 | Confidence 77%,7,5,3.4,77.2,🟢 Good,1.3,1,54.3,24.4,67.3,5.0,1.124,2607.0,983.0,73.4,82.9,75.8,FIRST RUN,0.0,0.0,6,MODERATE,39.3,MEDIUM,25.0,2026-07-26 06:45:54 PM PDT,14.4,5
2026-07-27,Chicago Cubs,St. Louis Cardinals,Chicago Cubs @ St. Louis Cardinals,04:45 PM,06:45 PM CDT,Busch Stadium,OPEN,OPEN-AIR PARK,Partly cloudy,98.6,44.0,🟢 6.2 mph Out to CF,6.5,SW,5.2,6.2,4.3,-0.9,,FORECAST MODEL,9.6,65.7,B+,Density 84 | Wind 60 | Temp 72 | Altitude 71 | Confidence 87%,10,7,4.7,86.7,🟢 Good,4.1,3,83.1,0.0,14.0,1.7,1.1125,3020.0,991.1,71.8,93.4,53.2,FIRST RUN,0.0,0.0,7,LOW,17.3,LOW,10.7,2026-07-26 06:45:55 PM PDT,4.4,5
2026-07-27,Houston Astros,Los Angeles Angels,Houston Astros @ Los Angeles Angels,06:38 PM,06:38 PM PDT,Angel Stadium,OPEN,OPEN-AIR PARK,Clear,79.9,63.3,🟢 6.5 mph Out to CF,7.2,SW,5.2,6.5,4.9,-0.4,,FORECAST MODEL,0.8,60.1,B+,Density 67 | Wind 61 | Temp 55 | Altitude 59 | Confidence 91%,6,5,3.0,90.8,🟢 Good,4.3,3,100.0,0.0,11.6,0.5,1.1691,1342.0,1008.9,65.8,77.1,69.4,FIRST RUN,0.0,0.0,6,LOW,0.4,LOW,17.5,2026-07-26 06:45:57 PM PDT,382.9,5
2026-07-27,Boston Red Sox,Athletics,Boston Red Sox @ Athletics,06:40 PM,06:40 PM PDT,Sutter Health Park,OPEN,OPEN-AIR PARK,Clear,90.0,29.8,🟢 9.0 mph Out to CF,9.4,SSW,8.9,9.0,4.8,-3.6,,FORECAST MODEL,0.0,65.5,B+,Density 70 | Wind 68 | Temp 64 | Altitude 62 | Confidence 94%,10,7,4.7,93.9,🟢 Good,7.0,5,100.0,0.0,4.7,1.0,1.1581,1799.0,1011.3,52.3,85.3,35.7,FIRST RUN,0.0,0.0,3,LOW,0.0,LOW,9.6,2026-07-26 06:45:58 PM PDT,285.2,5
