Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-07-29,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies @ Miami Marlins,09:10 AM,12:10 PM EDT,loanDepot park,CLOSED,PROJECTED: TEMPERATURE,Code 13,90.0,63.1,⚪ Calm,0.0,SW,0.0,0.0,-0.0,-0.0,,FORECAST MODEL,13.8,50.0,B,Density 61 | Wind 50 | Temp 70 | Altitude 56 | Confidence 88%,0,0,0.0,87.6,🟨 Neutral,0.0,0,5.6,5.6,7.2,0.4,1.1896,858.0,1014.1,74.7,90.7,61.3,IMPROVING,2.8,0.0,8,NONE (ROOF),0.0,MEDIUM,24.6,2026-07-28 09:00:48 PM PDT,449.1,5
2026-07-29,Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks @ Pittsburgh Pirates,09:35 AM,12:35 PM EDT,PNC Park,OPEN,OPEN-AIR PARK,Partly cloudy,76.3,62.8,🟢 9.6 mph Out to RF,11.2,NW,4.5,9.2,9.6,4.6,,FORECAST MODEL,2.5,68.4,B+,Density 77 | Wind 72 | Temp 56 | Altitude 67 | Confidence 92%,11,8,5.5,91.5,🟢 Good,8.6,7,100.0,0.0,7.0,0.5,1.1343,2409.0,978.4,60.7,77.5,58.9,IMPROVING RAPIDLY,10.3,0.0,8,LOW,1.8,LOW,13.6,2026-07-28 09:00:50 PM PDT,354.2,5
2026-07-29,Toronto Blue Jays,Washington Nationals,Toronto Blue Jays @ Washington Nationals,10:05 AM,01:05 PM EDT,Nationals Park,OPEN,OPEN-AIR PARK,Mostly clear,83.2,55.0,🟡 11.2 mph Cross (LF → RF),12.0,NW,-8.2,-3.3,3.4,11.2,,FORECAST MODEL,1.6,55.0,B,Density 74 | Wind 43 | Temp 63 | Altitude 64 | Confidence 95%,3,2,1.5,95.4,🟨 Neutral,-2.4,-2,0.0,94.4,1.8,0.4,1.1456,2074.0,1001.0,63.3,84.2,52.9,WORSENING RAPIDLY,-5.3,0.0,8,LOW,3.9,LOW,6.0,2026-07-28 09:00:51 PM PDT,67.6,5
2026-07-29,Baltimore Orioles,Detroit Tigers,Baltimore Orioles @ Detroit Tigers,10:10 AM,01:10 PM EDT,Comerica Park,OPEN,OPEN-AIR PARK,Clear,79.1,43.2,🟢 11.2 mph Out to RF,12.4,N,4.4,9.9,11.2,6.3,,FORECAST MODEL,0.0,67.7,B+,Density 74 | Wind 72 | Temp 58 | Altitude 65 | Confidence 91%,11,8,5.3,91.3,🟢 Good,8.8,7,100.0,0.0,6.5,1.3,1.1459,2124.0,991.3,53.7,79.9,41.8,IMPROVING RAPIDLY,9.9,0.0,9,LOW,0.1,LOW,7.7,2026-07-28 09:00:52 PM PDT,111.9,5
2026-07-29,Atlanta Braves,New York Mets,Atlanta Braves @ New York Mets,10:10 AM,01:10 PM EDT,Citi Field,OPEN,OPEN-AIR PARK,Code 14,77.9,71.8,⚪ Light Variable,5.0,NNW,-4.3,-3.3,-0.8,3.4,,FORECAST MODEL,39.2,53.2,B,Density 72 | Wind 41 | Temp 57 | Altitude 63 | Confidence 82%,2,1,1.0,82.1,🟨 Neutral,-3.0,-3,0.0,83.1,14.8,1.5,1.1522,1820.0,998.4,67.8,78.9,69.5,FIRST RUN,0.0,0.0,7,MODERATE,37.2,LOW,14.9,2026-07-28 09:00:53 PM PDT,159.2,5
2026-07-29,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers @ San Francisco Giants,12:45 PM,12:45 PM PDT,Oracle Park,OPEN,OPEN-AIR PARK,Clear,61.7,73.8,🟢 4.7 mph Out to CF,6.5,WSW,3.8,4.7,3.1,-1.2,,FORECAST MODEL,0.1,55.3,B,Density 54 | Wind 63 | Temp 39 | Altitude 51 | Confidence 88%,3,2,1.6,87.5,🟨 Neutral,5.0,3,100.0,0.0,10.7,1.4,1.2115,193.0,1013.0,54.6,61.8,73.2,IMPROVING RAPIDLY,4.3,0.0,7,LOW,0.0,LOW,12.8,2026-07-28 09:00:54 PM PDT,454.5,5
2026-07-29,Colorado Rockies,San Diego Padres,Colorado Rockies @ San Diego Padres,01:10 PM,01:10 PM PDT,Petco Park,OPEN,OPEN-AIR PARK,Clear,74.9,69.2,🟡 4.9 mph Cross (LF → RF),7.3,SW,0.8,4.0,5.3,4.9,,FORECAST MODEL,0.0,58.0,B,Density 66 | Wind 59 | Temp 53 | Altitude 59 | Confidence 86%,5,4,2.4,86.5,🟨 Neutral,3.4,2,100.0,0.0,5.1,0.7,1.171,1283.0,1006.9,65.4,75.2,68.3,IMPROVING,1.9,0.0,3,LOW,0.0,LOW,14.9,2026-07-28 09:00:55 PM PDT,471.4,5
2026-07-29,Texas Rangers,Tampa Bay Rays,Texas Rangers @ Tampa Bay Rays,03:40 PM,06:40 PM EDT,Tropicana Field,INDOOR,FIXED ROOF,Code 14,84.6,79.0,⚪ Calm,0.0,WSW,0.0,0.0,0.0,0.0,,FORECAST MODEL,26.4,50.0,B,Density 61 | Wind 50 | Temp 62 | Altitude 56 | Confidence 84%,0,0,0.0,84.2,🟨 Neutral,0.0,0,0.0,0.0,11.2,0.0,1.1896,858.0,1011.9,76.7,83.6,81.0,IMPROVING,2.8,0.0,7,NONE (ROOF),0.0,MEDIUM,22.9,2026-07-28 09:00:56 PM PDT,539.9,5
2026-07-29,Atlanta Braves,New York Mets,Atlanta Braves @ New York Mets,04:10 PM,07:10 PM EDT,Citi Field,OPEN,OPEN-AIR PARK,Code 13,77.2,71.1,🟡 5.5 mph Cross (LF → RF),6.4,NW,-4.9,-2.7,0.8,5.5,,FORECAST MODEL,33.4,55.0,B,Density 69 | Wind 47 | Temp 54 | Altitude 61 | Confidence 81%,3,2,1.5,80.9,🟨 Neutral,-0.9,-1,18.1,41.3,32.6,1.8,1.1611,1556.0,999.8,67.0,75.6,75.0,WORSENING,-2.4,0.0,7,MODERATE,32.0,MEDIUM,22.0,2026-07-28 09:00:57 PM PDT,159.2,5
2026-07-29,Cleveland Guardians,Cincinnati Reds,Cleveland Guardians @ Cincinnati Reds,04:10 PM,07:10 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Clear,81.5,48.3,🟡 6.2 mph Cross (LF → RF),7.3,N,-0.5,3.6,6.2,6.2,,FORECAST MODEL,0.0,60.5,B+,Density 74 | Wind 55 | Temp 57 | Altitude 65 | Confidence 93%,7,5,3.2,92.6,🟢 Good,1.9,1,92.5,0.0,4.1,0.8,1.1456,2102.0,990.2,58.1,79.0,52.7,IMPROVING,3.6,0.0,5,LOW,0.1,LOW,7.8,2026-07-28 09:00:58 PM PDT,480.4,5
2026-07-29,Kansas City Royals,Minnesota Twins,Kansas City Royals @ Minnesota Twins,04:40 PM,06:40 PM CDT,Target Field,OPEN,OPEN-AIR PARK,Clear,90.8,40.3,⚪ Light Variable,4.5,S,1.6,-0.9,-3.0,-4.3,,FORECAST MODEL,12.0,61.6,B+,Density 83 | Wind 50 | Temp 67 | Altitude 72 | Confidence 93%,7,5,3.5,92.7,🟢 Good,0.1,0,39.4,22.5,29.2,2.0,1.1158,2989.0,982.9,62.6,88.6,43.7,WORSENING,-1.6,0.0,7,LOW,10.9,LOW,5.4,2026-07-28 09:01:00 PM PDT,190.0,5
2026-07-29,New York Yankees,Chicago White Sox,New York Yankees @ Chicago White Sox,04:40 PM,06:40 PM CDT,Rate Field,OPEN,OPEN-AIR PARK,Clear,74.5,62.8,🟡 4.8 mph Cross (LF → RF),5.0,NNE,-2.0,0.7,3.1,4.8,,FORECAST MODEL,0.0,57.2,B,Density 69 | Wind 51 | Temp 51 | Altitude 61 | Confidence 89%,4,3,2.2,89.1,🟨 Neutral,0.5,0,58.7,0.0,27.1,1.0,1.1625,1565.0,994.0,60.6,72.8,66.7,STEADY,-0.6,0.0,8,LOW,0.0,LOW,17.2,2026-07-28 09:01:01 PM PDT,99.7,5
2026-07-29,Chicago Cubs,St. Louis Cardinals,Chicago Cubs @ St. Louis Cardinals,04:45 PM,06:45 PM CDT,Busch Stadium,OPEN,OPEN-AIR PARK,Clear,86.2,46.3,🔴 5.8 mph In from CF,6.4,NE,-5.6,-5.8,-3.3,2.2,,FORECAST MODEL,0.0,52.8,B,Density 74 | Wind 37 | Temp 62 | Altitude 65 | Confidence 95%,2,1,0.8,94.7,🟨 Neutral,-4.2,-4,0.0,100.0,7.1,0.5,1.1444,2120.0,997.8,61.7,83.1,52.2,WORSENING RAPIDLY,-7.9,0.0,9,LOW,0.0,LOW,4.7,2026-07-28 09:01:02 PM PDT,29.6,5
2026-07-29,Houston Astros,Los Angeles Angels,Houston Astros @ Los Angeles Angels,06:38 PM,06:38 PM PDT,Angel Stadium,OPEN,OPEN-AIR PARK,Clear,77.6,66.1,🟢 4.9 mph Out to CF,5.5,SW,4.0,4.9,3.8,-0.3,,FORECAST MODEL,0.0,59.4,B,Density 66 | Wind 60 | Temp 53 | Altitude 59 | Confidence 92%,6,4,2.8,91.9,🟨 Neutral,3.9,3,100.0,0.0,8.5,0.6,1.1722,1254.0,1007.6,64.9,75.1,72.3,IMPROVING RAPIDLY,4.7,0.0,7,LOW,0.0,LOW,12.0,2026-07-28 09:01:03 PM PDT,471.5,5
2026-07-29,Boston Red Sox,Athletics,Boston Red Sox @ Athletics,06:40 PM,06:40 PM PDT,Sutter Health Park,OPEN,OPEN-AIR PARK,Clear,92.7,30.8,🟢 9.9 mph Out to CF,9.8,SW,8.7,9.9,6.4,-2.0,,FORECAST MODEL,0.0,67.1,B+,Density 73 | Wind 70 | Temp 66 | Altitude 64 | Confidence 92%,11,8,5.1,92.4,🟢 Good,7.7,6,100.0,0.0,9.6,1.3,1.1489,2062.0,1008.0,54.9,87.5,36.7,IMPROVING RAPIDLY,9.8,0.0,4,LOW,0.0,LOW,12.3,2026-07-28 09:01:05 PM PDT,420.0,5
2026-07-29,Seattle Mariners,Los Angeles Dodgers,Seattle Mariners @ Los Angeles Dodgers,07:10 PM,07:10 PM PDT,Dodger Stadium,OPEN,OPEN-AIR PARK,Clear,78.0,59.7,⚪ Light Variable,5.5,SW,2.2,4.3,4.4,2.2,,FORECAST MODEL,0.0,59.1,B,Density 71 | Wind 57 | Temp 53 | Altitude 63 | Confidence 88%,6,4,2.7,87.6,🟨 Neutral,2.8,2,88.7,5.6,37.6,0.8,1.1541,1811.0,991.7,61.6,75.3,67.6,IMPROVING,3.9,0.0,3,LOW,0.0,LOW,15.4,2026-07-28 09:01:07 PM PDT,39.4,5
