Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-08-05,Toronto Blue Jays,Houston Astros,Toronto Blue Jays @ Houston Astros,11:10 AM,01:10 PM CDT,Daikin Park,CLOSED,PROJECTED: TEMPERATURE,Clear,95.1,45.4,⚪ Calm,0.0,S,0.0,0.0,0.0,0.0,,FORECAST MODEL,4.0,50.0,C,Density 61 | Wind 50 | Temp 74 | Altitude 56 | Confidence 90%,0,0,-0.0,90.3,🟧 Below Average,0.0,0,100.0,0.0,9.4,0.2,1.1896,858.0,1014.2,70.7,95.1,46.0,FIRST RUN,0.0,-0.05,11,NONE (ROOF),0.0,MEDIUM,30.7,2026-08-04 07:38:56 PM PDT,138.2,5
2026-08-05,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers @ Chicago Cubs,11:20 AM,01:20 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Partly cloudy,78.2,65.5,🟢 7.9 mph Out to CF,8.4,SSW,5.8,7.9,4.9,-1.0,,FORECAST MODEL,21.6,61.1,B+,Density 67 | Wind 62 | Temp 56 | Altitude 60 | Confidence 83%,7,5,3.3,82.6,🟢 Good,4.7,3,66.3,11.2,52.6,3.4,1.1691,1347.0,1009.7,65.1,77.6,67.1,FIRST RUN,0.0,0.33,11,MODERATE,43.9,MEDIUM,18.9,2026-08-04 07:38:57 PM PDT,42.5,5
2026-08-05,San Francisco Giants,Texas Rangers,San Francisco Giants @ Texas Rangers,11:35 AM,01:35 PM CDT,Globe Life Field,CLOSED,PROJECTED: TEMPERATURE,Clear,99.2,32.5,⚪ Calm,0.0,S,0.0,0.0,0.0,-0.0,,FORECAST MODEL,0.3,50.1,B,Density 61 | Wind 50 | Temp 80 | Altitude 57 | Confidence 94%,0,0,0.0,94.5,🟨 Neutral,0.0,0,100.0,0.0,5.0,0.5,1.1896,858.0,994.6,62.7,100.3,29.4,FIRST RUN,0.0,0.39,11,NONE (ROOF),0.0,LOW,4.6,2026-08-04 07:38:59 PM PDT,26.8,5
2026-08-05,Tampa Bay Rays,Colorado Rockies,Tampa Bay Rays @ Colorado Rockies,12:10 PM,01:10 PM MDT,Coors Field,OPEN,OPEN-AIR PARK,Clear,80.7,30.4,🔴 6.5 mph In from RF,6.8,NE,-1.9,-5.4,-6.5,-4.1,,FORECAST MODEL,0.0,61.7,B+,Density 100 | Wind 36 | Temp 62 | Altitude 100 | Confidence 92%,7,5,3.5,92.4,🟢 Good,-4.6,-4,0.0,100.0,4.0,1.0,0.9717,7697.0,845.0,44.5,83.2,26.3,FIRST RUN,0.0,0.68,10,LOW,0.6,LOW,9.1,2026-08-04 07:39:00 PM PDT,472.5,5
2026-08-05,Los Angeles Angels,Baltimore Orioles,Los Angeles Angels @ Baltimore Orioles,03:35 PM,06:35 PM EDT,Oriole Park at Camden Yards,OPEN,OPEN-AIR PARK,Code 13,82.0,77.6,⚪ Light Variable,3.2,S,2.6,2.2,0.7,-2.0,,FORECAST MODEL,24.2,56.9,B,Density 68 | Wind 53 | Temp 59 | Altitude 59 | Confidence 88%,4,3,2.1,88.3,🟨 Neutral,1.2,1,71.9,0.0,28.2,1.3,1.1661,1345.0,1016.4,74.5,81.0,81.4,FIRST RUN,0.0,-0.14,10,MODERATE,25.7,LOW,5.7,2026-08-04 07:39:01 PM PDT,165.6,5
2026-08-05,New York Mets,Cleveland Guardians,New York Mets @ Cleveland Guardians,03:40 PM,06:40 PM EDT,Progressive Field,OPEN,OPEN-AIR PARK,Clear,82.2,60.0,⚪ Light Variable,4.7,NNE,-1.9,-3.8,-4.0,-2.0,,FORECAST MODEL,17.0,54.9,B,Density 73 | Wind 44 | Temp 60 | Altitude 64 | Confidence 91%,3,2,1.5,91.2,🟨 Neutral,-2.0,-2,0.0,73.7,15.8,1.2,1.1486,1951.0,998.6,66.1,81.1,62.5,FIRST RUN,0.0,-0.0,11,LOW,11.5,LOW,8.3,2026-08-04 07:39:02 PM PDT,412.2,5
2026-08-05,Athletics,Cincinnati Reds,Athletics @ Cincinnati Reds,03:40 PM,06:40 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Code 13,87.9,54.6,⚪ Light Variable,4.6,WSW,3.9,2.7,0.2,-3.6,,FORECAST MODEL,9.1,61.4,B+,Density 77 | Wind 56 | Temp 64 | Altitude 67 | Confidence 83%,7,5,3.4,83.2,🟢 Good,2.2,1,75.0,25.0,58.5,2.3,1.1343,2380.0,993.5,66.9,84.9,60.0,FIRST RUN,0.0,-0.43,11,LOW,13.7,LOW,11.7,2026-08-04 07:39:04 PM PDT,309.8,5
2026-08-05,Washington Nationals,Philadelphia Phillies,Washington Nationals @ Philadelphia Phillies,03:40 PM,06:40 PM EDT,Citizens Bank Park,OPEN,OPEN-AIR PARK,Code 15,81.7,82.2,⚪ Light Variable,4.2,S,3.6,3.9,2.3,-1.3,,FORECAST MODEL,43.5,58.8,B,Density 68 | Wind 57 | Temp 59 | Altitude 59 | Confidence 84%,5,4,2.6,84.4,🟨 Neutral,2.6,2,83.1,11.2,28.7,1.0,1.1665,1321.0,1016.6,75.3,80.8,85.7,FIRST RUN,0.0,0.08,12,ELEVATED,53.0,LOW,15.2,2026-08-04 07:39:05 PM PDT,389.0,5
2026-08-05,St. Louis Cardinals,New York Yankees,St. Louis Cardinals @ New York Yankees,04:05 PM,07:05 PM EDT,Yankee Stadium,OPEN,OPEN-AIR PARK,Code 15,79.7,74.8,🟡 5.9 mph Cross (RF → LF),6.1,SSE,3.1,0.3,-2.9,-5.9,,FORECAST MODEL,17.3,54.9,B,Density 65 | Wind 50 | Temp 57 | Altitude 58 | Confidence 90%,3,2,1.5,89.6,🟨 Neutral,0.0,0,0.0,56.2,15.7,0.5,1.1741,1141.0,1017.3,71.4,78.4,80.5,FIRST RUN,0.0,0.0,7,LOW,19.5,LOW,13.2,2026-08-04 07:39:06 PM PDT,388.8,5
2026-08-05,Chicago White Sox,Boston Red Sox,Chicago White Sox @ Boston Red Sox,04:10 PM,07:10 PM EDT,Fenway Park,OPEN,OPEN-AIR PARK,Clear,83.2,51.7,🟢 4.6 mph Out to CF,5.5,SW,3.3,4.6,3.4,-0.2,,FORECAST MODEL,2.4,58.9,B,Density 66 | Wind 60 | Temp 59 | Altitude 59 | Confidence 94%,5,4,2.7,94.3,🟨 Neutral,3.8,2,100.0,0.0,10.6,0.6,1.1724,1277.0,1017.2,63.6,80.3,59.2,FIRST RUN,0.0,-0.08,10,LOW,2.6,LOW,6.6,2026-08-04 07:39:08 PM PDT,215.7,5
2026-08-05,Miami Marlins,Atlanta Braves,Miami Marlins @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Code 16,80.6,75.3,⚪ Light Variable,2.9,SSE,-1.9,-2.7,-2.3,-0.4,,FORECAST MODEL,36.0,56.9,B,Density 77 | Wind 45 | Temp 57 | Altitude 67 | Confidence 85%,4,3,2.1,85.4,🟨 Neutral,-1.7,-1,0.0,77.5,32.8,0.5,1.1351,2289.0,984.9,71.1,79.0,79.4,FIRST RUN,0.0,0.82,12,MODERATE,32.0,MEDIUM,20.5,2026-08-04 07:39:09 PM PDT,491.8,5
