Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-08-11,Cleveland Guardians,Detroit Tigers,Cleveland Guardians @ Detroit Tigers,03:40 PM,06:40 PM EDT,Comerica Park,OPEN,OPEN-AIR PARK,Code 43,77.0,77.6,⚪ Light Variable,4.8,S,-2.0,-3.9,-4.3,-2.1,,FORECAST MODEL,46.5,54.7,B,Density 73 | Wind 44 | Temp 54 | Altitude 64 | Confidence 77%,3,2,1.4,77.1,🟨 Neutral,-2.1,-2,21.2,71.3,40.3,1.9,1.1478,1930.0,988.6,68.6,75.5,80.4,FIRST RUN,0.0,-0.33,10,ELEVATED,47.3,MEDIUM,21.2,2026-08-10 10:09:22 PM PDT,199.5,5
2026-08-11,Pittsburgh Pirates,Miami Marlins,Pittsburgh Pirates @ Miami Marlins,03:40 PM,06:40 PM EDT,loanDepot park,CLOSED,PROJECTED: TEMPERATURE,Mostly clear,87.0,70.4,⚪ Calm,0.0,ESE,-0.0,-0.0,-0.0,0.0,,FORECAST MODEL,4.3,49.9,C,Density 66 | Wind 46 | Temp 64 | Altitude 59 | Confidence 94%,0,0,-0.0,93.7,🟧 Below Average,-1.4,0,0.0,100.0,12.3,0.3,1.1718,1248.0,1018.0,76.4,85.4,74.9,FIRST RUN,0.0,-0.23,12,LOW,14.2,LOW,5.9,2026-08-10 10:09:23 PM PDT,426.9,5
2026-08-11,Chicago Cubs,Washington Nationals,Chicago Cubs @ Washington Nationals,03:45 PM,06:45 PM EDT,Nationals Park,OPEN,OPEN-AIR PARK,Code 14,86.2,57.4,⚪ Light Variable,2.3,SSW,1.6,2.2,1.8,0.1,,FORECAST MODEL,34.0,59.1,B,Density 72 | Wind 55 | Temp 62 | Altitude 63 | Confidence 79%,6,4,2.7,78.7,🟨 Neutral,1.9,1,73.1,22.5,66.9,2.8,1.1524,1816.0,1007.0,68.8,83.3,64.7,FIRST RUN,0.0,0.29,12,MODERATE,33.4,MEDIUM,19.8,2026-08-10 10:09:25 PM PDT,135.8,5
2026-08-11,Seattle Mariners,New York Yankees,Seattle Mariners @ New York Yankees,04:05 PM,07:05 PM EDT,Yankee Stadium,OPEN,OPEN-AIR PARK,Heavy rain,82.2,66.7,🟢 4.5 mph Out to RF,5.2,WNW,0.5,3.2,4.5,3.7,,FORECAST MODEL,25.0,57.7,B,Density 69 | Wind 55 | Temp 58 | Altitude 61 | Confidence 79%,5,4,2.3,78.9,🟨 Neutral,1.8,1,43.8,11.2,52.2,1.1,1.1614,1539.0,1007.6,69.0,79.4,71.8,FIRST RUN,0.0,-0.08,11,ELEVATED,45.6,MEDIUM,21.8,2026-08-10 10:09:26 PM PDT,311.8,5
2026-08-11,Boston Red Sox,Toronto Blue Jays,Boston Red Sox @ Toronto Blue Jays,04:07 PM,07:07 PM EDT,Rogers Centre,OPEN,PROJECTED: FAVORABLE,Partly cloudy,77.9,43.5,⚪ Calm,1.8,E,1.2,0.5,-0.4,-1.7,,FORECAST MODEL,1.2,54.0,B,Density 68 | Wind 49 | Temp 54 | Altitude 61 | Confidence 94%,2,2,1.2,94.4,🟨 Neutral,-0.4,0,0.0,31.9,52.1,0.6,1.1654,1528.0,1000.3,55.6,75.5,50.8,FIRST RUN,0.0,-0.91,11,LOW,1.0,LOW,1.7,2026-08-10 10:09:27 PM PDT,0.0,4
2026-08-11,New York Mets,Atlanta Braves,New York Mets @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Code 26,86.7,63.6,🟡 5.3 mph Cross (RF → LF),5.4,WSW,3.0,0.4,-2.5,-5.3,,FORECAST MODEL,16.3,60.3,B+,Density 81 | Wind 50 | Temp 63 | Altitude 70 | Confidence 85%,6,5,3.1,84.7,🟢 Good,0.1,0,0.0,12.5,17.6,0.4,1.1226,2669.0,983.8,72.0,84.2,69.7,FIRST RUN,0.0,0.62,15,MODERATE,28.0,LOW,6.1,2026-08-10 10:09:28 PM PDT,382.6,5
2026-08-11,Baltimore Orioles,Minnesota Twins,Baltimore Orioles @ Minnesota Twins,04:40 PM,06:40 PM CDT,Target Field,OPEN,OPEN-AIR PARK,Clear,86.3,47.6,⚪ Calm,0.2,NNW,-0.1,0.0,0.1,0.2,,FORECAST MODEL,3.2,60.9,B+,Density 81 | Wind 52 | Temp 63 | Altitude 70 | Confidence 86%,7,5,3.3,86.4,🟢 Good,0.6,0,43.8,22.5,84.9,1.9,1.1226,2760.0,980.9,63.3,84.0,52.6,FIRST RUN,0.0,-1.03,10,LOW,13.3,LOW,17.4,2026-08-10 10:09:30 PM PDT,92.7,5
2026-08-11,Cincinnati Reds,Chicago White Sox,Cincinnati Reds @ Chicago White Sox,04:40 PM,06:40 PM CDT,Rate Field,OPEN,OPEN-AIR PARK,Code 13,76.9,83.6,⚪ Light Variable,3.7,W,3.2,2.4,0.4,-2.7,,FORECAST MODEL,15.9,58.4,B,Density 73 | Wind 52 | Temp 54 | Altitude 64 | Confidence 82%,5,4,2.5,81.9,🟨 Neutral,0.7,0,64.4,5.6,58.2,0.8,1.149,1873.0,990.1,70.6,75.5,86.6,FIRST RUN,0.0,-0.17,13,MODERATE,21.6,LOW,12.6,2026-08-10 10:09:31 PM PDT,197.9,5
2026-08-11,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies @ St. Louis Cardinals,04:45 PM,06:45 PM CDT,Busch Stadium,OPEN,OPEN-AIR PARK,Clear,95.7,47.4,🟢 5.8 mph Out to LF,6.5,SSW,5.8,4.9,1.7,-3.9,,FORECAST MODEL,2.4,65.3,B+,Density 82 | Wind 61 | Temp 72 | Altitude 70 | Confidence 90%,9,7,4.6,90.1,🟢 Good,4.3,3,100.0,0.0,13.7,0.7,1.1188,2827.0,995.3,71.7,92.6,52.5,FIRST RUN,0.0,-1.03,15,LOW,15.1,LOW,7.5,2026-08-10 10:09:33 PM PDT,113.2,5
2026-08-11,Texas Rangers,Los Angeles Angels,Texas Rangers @ Los Angeles Angels,06:38 PM,06:38 PM PDT,Angel Stadium,OPEN,OPEN-AIR PARK,Clear,77.0,68.7,🟢 6.8 mph Out to CF,7.5,SW,5.2,6.8,5.4,0.0,,FORECAST MODEL,0.6,60.3,B+,Density 64 | Wind 64 | Temp 53 | Altitude 58 | Confidence 89%,6,5,3.1,88.9,🟢 Good,5.5,4,100.0,0.0,2.8,0.5,1.1774,1097.0,1011.5,65.5,74.8,74.2,FIRST RUN,0.0,-0.87,13,LOW,0.3,LOW,15.1,2026-08-10 10:09:34 PM PDT,138.7,5
2026-08-11,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies @ Arizona Diamondbacks,06:40 PM,06:40 PM MST,Chase Field,CLOSED,PROJECTED: TEMPERATURE,Mostly clear,97.6,29.7,⚪ Calm,0.0,W,-0.0,-0.0,0.0,0.0,,FORECAST MODEL,10.2,49.9,C,Density 61 | Wind 50 | Temp 74 | Altitude 57 | Confidence 79%,0,0,-0.0,79.1,🟧 Below Average,0.0,0,20.7,43.1,46.9,1.1,1.1896,858.0,971.9,61.8,94.9,35.2,FIRST RUN,0.0,-0.15,14,NONE (ROOF),0.0,MEDIUM,20.0,2026-08-10 10:09:36 PM PDT,306.7,5
