Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-08-12,Baltimore Orioles,Minnesota Twins,Baltimore Orioles @ Minnesota Twins,10:40 AM,12:40 PM CDT,Target Field,OPEN,OPEN-AIR PARK,Clear,85.9,45.2,⚪ Light Variable,4.7,NE,-4.2,-3.7,-1.4,2.7,,FORECAST MODEL,3.9,57.3,B,Density 83 | Wind 41 | Temp 66 | Altitude 72 | Confidence 90%,4,3,2.2,89.8,🟨 Neutral,-2.9,-2,15.0,75.0,49.6,2.3,1.1163,2989.0,980.8,60.2,87.5,41.8,FIRST RUN,0.0,-0.98,11,LOW,6.0,LOW,9.1,2026-08-11 08:38:11 PM PDT,21.4,5
2026-08-12,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies @ St. Louis Cardinals,11:15 AM,01:15 PM CDT,Busch Stadium,OPEN,OPEN-AIR PARK,Partly cloudy,96.2,48.6,🟢 6.7 mph Out to RF,7.5,W,3.1,6.3,6.7,3.4,,FORECAST MODEL,15.2,64.5,B+,Density 83 | Wind 61 | Temp 73 | Altitude 71 | Confidence 72%,9,7,4.3,72.1,🟢 Good,4.5,3,83.1,16.9,41.0,2.1,1.1153,2932.0,995.0,72.3,94.0,52.0,FIRST RUN,0.0,-1.11,16,MODERATE,24.7,HIGH,40.1,2026-08-11 08:38:13 PM PDT,126.6,5
2026-08-12,Tampa Bay Rays,Athletics,Tampa Bay Rays @ Athletics,12:05 PM,12:05 PM PDT,Sutter Health Park,OPEN,OPEN-AIR PARK,Partly cloudy,83.5,41.8,🟢 6.8 mph Out to CF,6.9,SW,6.4,6.8,3.9,-2.3,,FORECAST MODEL,0.0,65.7,B+,Density 72 | Wind 67 | Temp 65 | Altitude 63 | Confidence 93%,10,7,4.7,93.4,🟢 Good,6.7,5,100.0,0.0,10.0,2.2,1.1531,1928.0,1009.7,55.0,86.4,38.1,FIRST RUN,0.0,0.23,11,LOW,0.0,LOW,8.2,2026-08-11 08:38:14 PM PDT,397.3,5
2026-08-12,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies @ Arizona Diamondbacks,12:40 PM,12:40 PM MST,Chase Field,CLOSED,PROJECTED: TEMPERATURE,Mostly clear,96.7,37.1,⚪ Calm,0.0,S,0.0,0.0,0.0,0.0,,FORECAST MODEL,9.6,49.9,C,Density 61 | Wind 50 | Temp 77 | Altitude 57 | Confidence 90%,0,0,-0.0,89.5,🟧 Below Average,0.0,0,60.6,0.0,33.8,0.7,1.1896,858.0,972.0,65.2,97.7,35.4,FIRST RUN,0.0,-0.15,14,NONE (ROOF),0.0,LOW,9.0,2026-08-11 08:38:15 PM PDT,160.2,5
2026-08-12,Houston Astros,San Francisco Giants,Houston Astros @ San Francisco Giants,12:45 PM,12:45 PM PDT,Oracle Park,OPEN,OPEN-AIR PARK,Partly cloudy,60.1,83.6,⚪ Light Variable,4.8,WSW,2.9,3.4,2.1,-1.2,,FORECAST MODEL,0.8,54.3,B,Density 54 | Wind 61 | Temp 38 | Altitude 51 | Confidence 88%,3,2,1.3,87.6,🟨 Neutral,4.4,3,77.5,0.0,28.2,1.0,1.2132,133.0,1012.1,56.5,60.4,81.9,FIRST RUN,0.0,-0.68,13,LOW,0.4,LOW,13.9,2026-08-11 08:38:17 PM PDT,432.1,5
2026-08-12,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers @ San Diego Padres,01:10 PM,01:10 PM PDT,Petco Park,OPEN,OPEN-AIR PARK,Partly cloudy,76.0,70.6,🟡 7.3 mph Cross (LF → RF),7.7,W,-3.3,-0.2,3.1,7.3,,FORECAST MODEL,0.8,54.1,B,Density 66 | Wind 50 | Temp 54 | Altitude 59 | Confidence 88%,3,2,1.2,88.5,🟨 Neutral,-0.1,0,0.0,0.0,11.5,0.3,1.1714,1259.0,1008.8,67.1,75.8,71.2,FIRST RUN,0.0,-0.11,13,LOW,0.5,LOW,11.7,2026-08-11 08:38:18 PM PDT,54.3,5
2026-08-12,Cleveland Guardians,Detroit Tigers,Cleveland Guardians @ Detroit Tigers,03:40 PM,06:40 PM EDT,Comerica Park,OPEN,OPEN-AIR PARK,Code 15,81.5,66.2,🟡 5.9 mph Cross (RF → LF),6.0,SW,2.6,-0.6,-3.6,-5.9,,FORECAST MODEL,20.8,58.9,B,Density 76 | Wind 51 | Temp 58 | Altitude 66 | Confidence 82%,5,4,2.7,82.5,🟨 Neutral,0.3,0,51.2,0.0,41.2,1.2,1.1369,2263.0,986.6,68.8,79.5,71.5,FIRST RUN,0.0,-0.35,11,MODERATE,25.5,LOW,6.1,2026-08-11 08:38:19 PM PDT,433.6,5
2026-08-12,Pittsburgh Pirates,Miami Marlins,Pittsburgh Pirates @ Miami Marlins,03:40 PM,06:40 PM EDT,loanDepot park,OPEN,PROJECTED: FAVORABLE,Code 32,84.0,73.9,⚪ Light Variable,3.1,WSW,2.2,1.2,-0.3,-2.7,,FORECAST MODEL,24.0,55.4,B,Density 69 | Wind 51 | Temp 62 | Altitude 60 | Confidence 82%,3,2,1.6,82.3,🟨 Neutral,0.3,0,39.3,7.5,32.5,0.8,1.1606,1514.0,1015.7,74.4,83.2,75.8,FIRST RUN,0.0,-0.3,13,MODERATE,28.1,LOW,13.5,2026-08-11 08:38:20 PM PDT,275.9,5
2026-08-12,Chicago Cubs,Washington Nationals,Chicago Cubs @ Washington Nationals,03:45 PM,06:45 PM EDT,Nationals Park,OPEN,OPEN-AIR PARK,Mostly clear,86.6,52.8,⚪ Light Variable,3.2,W,0.0,1.8,2.8,2.6,,FORECAST MODEL,5.3,59.7,B,Density 73 | Wind 54 | Temp 63 | Altitude 63 | Confidence 91%,6,4,2.9,90.6,🟨 Neutral,1.7,1,100.0,0.0,8.9,0.8,1.15,1912.0,1005.6,66.7,84.0,58.5,FIRST RUN,0.0,0.5,13,LOW,15.7,LOW,11.4,2026-08-11 08:38:22 PM PDT,44.5,5
2026-08-12,Seattle Mariners,New York Yankees,Seattle Mariners @ New York Yankees,04:05 PM,07:05 PM EDT,Yankee Stadium,OPEN,OPEN-AIR PARK,Clear,84.3,45.0,⚪ Light Variable,2.1,SSE,0.7,-0.3,-1.3,-2.0,,FORECAST MODEL,3.1,56.7,B,Density 70 | Wind 50 | Temp 60 | Altitude 62 | Confidence 91%,4,3,2.0,91.2,🟨 Neutral,0.1,0,7.5,39.3,33.6,1.1,1.1576,1729.0,1006.7,61.4,81.8,51.9,FIRST RUN,0.0,-0.18,12,LOW,9.4,LOW,14.0,2026-08-11 08:38:23 PM PDT,211.5,5
2026-08-12,Boston Red Sox,Toronto Blue Jays,Boston Red Sox @ Toronto Blue Jays,04:07 PM,07:07 PM EDT,Rogers Centre,OPEN,PROJECTED: FAVORABLE,Code 42,70.5,87.4,⚪ Calm,0.3,NNE,-0.0,-0.2,-0.2,-0.2,,FORECAST MODEL,22.6,53.4,B,Density 66 | Wind 49 | Temp 47 | Altitude 59 | Confidence 88%,2,2,1.0,87.6,🟨 Neutral,-0.2,0,39.3,41.3,84.2,1.1,1.173,1206.0,998.4,65.9,69.6,88.8,FIRST RUN,0.0,-0.91,12,MODERATE,25.4,LOW,1.9,2026-08-11 08:38:24 PM PDT,0.0,4
2026-08-12,New York Mets,Atlanta Braves,New York Mets @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Mostly clear,87.1,64.1,🟡 5.6 mph Cross (RF → LF),6.5,W,5.1,2.9,-0.7,-5.6,,FORECAST MODEL,23.5,62.1,B+,Density 82 | Wind 53 | Temp 63 | Altitude 70 | Confidence 86%,7,6,3.6,86.4,🟢 Good,1.3,1,55.0,0.0,20.4,1.2,1.1183,2792.0,980.8,72.7,84.5,70.2,FIRST RUN,0.0,0.58,16,MODERATE,24.9,LOW,16.6,2026-08-11 08:38:25 PM PDT,280.9,5
