Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-08-17,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals @ Cincinnati Reds,10:40 AM,01:40 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Code 15,80.9,79.6,🟢 4.9 mph Out to CF,5.2,NW,3.1,4.9,4.4,1.1,,FORECAST MODEL,27.2,63.9,B+,Density 77 | Wind 62 | Temp 60 | Altitude 66 | Confidence 84%,9,6,4.2,84.2,🟢 Good,4.6,3,100.0,0.0,20.9,0.5,1.1359,2248.0,990.5,73.2,81.3,78.8,FIRST RUN,0.0,-0.32,16,MODERATE,28.2,MEDIUM,18.9,2026-08-17 04:59:25 PM PDT,84.6,5
2026-08-17,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles @ Tampa Bay Rays,03:05 PM,06:05 PM EDT,Tropicana Field,INDOOR,FIXED ROOF,Clear,88.4,67.8,⚪ Calm,0.0,W,0.0,0.0,0.0,0.0,,FORECAST MODEL,2.7,50.0,C,Density 61 | Wind 50 | Temp 66 | Altitude 56 | Confidence 94%,0,0,-0.0,93.7,🟧 Below Average,0.0,0,0.0,0.0,10.0,0.0,1.1896,858.0,1015.7,76.5,87.0,71.4,IMPROVING,3.1,-0.12,15,NONE (ROOF),0.0,LOW,6.2,2026-08-17 04:59:27 PM PDT,262.2,5
2026-08-17,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals @ Cincinnati Reds,03:40 PM,06:40 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Code 13,80.6,77.8,🟢 5.7 mph Out to RF,6.1,NNW,2.1,5.1,5.7,3.2,,FORECAST MODEL,29.9,62.2,B+,Density 75 | Wind 59 | Temp 57 | Altitude 65 | Confidence 87%,8,6,3.7,87.3,🟢 Good,3.4,2,88.8,0.0,16.3,0.6,1.1411,2108.0,990.2,71.4,79.1,80.8,IMPROVING RAPIDLY,4.6,-0.32,16,MODERATE,28.0,LOW,14.6,2026-08-17 04:59:28 PM PDT,84.6,5
2026-08-17,Miami Marlins,Philadelphia Phillies,Miami Marlins @ Philadelphia Phillies,03:40 PM,06:40 PM EDT,Citizens Bank Park,OPEN,OPEN-AIR PARK,Code 13,85.3,70.4,⚪ Light Variable,2.7,NNW,-2.4,-2.3,-1.0,1.3,,FORECAST MODEL,18.9,57.4,B,Density 72 | Wind 49 | Temp 61 | Altitude 62 | Confidence 89%,5,3,2.2,89.0,🟨 Neutral,-0.2,0,28.1,47.5,54.4,1.3,1.1516,1787.0,1006.9,73.4,82.9,76.6,STEADY,0.8,-0.02,17,MODERATE,44.1,LOW,6.9,2026-08-17 04:59:30 PM PDT,230.6,5
2026-08-17,Detroit Tigers,Pittsburgh Pirates,Detroit Tigers @ Pittsburgh Pirates,04:05 PM,07:05 PM EDT,PNC Park,OPEN,OPEN-AIR PARK,Code 13,78.9,76.6,⚪ Light Variable,4.8,NNW,0.6,3.1,4.1,3.4,,FORECAST MODEL,21.2,61.2,B+,Density 77 | Wind 56 | Temp 55 | Altitude 66 | Confidence 91%,7,5,3.4,90.6,🟢 Good,2.4,1,100.0,0.0,4.9,0.3,1.1361,2264.0,980.6,69.8,76.4,81.8,IMPROVING,2.1,-0.73,15,LOW,18.6,LOW,12.5,2026-08-17 04:59:31 PM PDT,72.7,5
2026-08-17,Arizona Diamondbacks,Boston Red Sox,Arizona Diamondbacks @ Boston Red Sox,04:10 PM,07:10 PM EDT,Fenway Park,OPEN,OPEN-AIR PARK,Partly cloudy,73.6,85.9,⚪ Light Variable,3.0,ESE,0.5,-0.9,-1.9,-2.7,,FORECAST MODEL,23.2,52.8,B,Density 64 | Wind 47 | Temp 51 | Altitude 57 | Confidence 93%,2,1,0.8,93.0,🟨 Neutral,-0.9,-1,0.0,85.0,12.8,0.3,1.1777,1057.0,1008.3,68.1,72.5,88.3,WORSENING,-2.2,-0.36,15,LOW,13.0,LOW,7.1,2026-08-17 04:59:32 PM PDT,370.2,5
2026-08-17,San Diego Padres,New York Mets,San Diego Padres @ New York Mets,04:10 PM,07:10 PM EDT,Citi Field,OPEN,OPEN-AIR PARK,Mostly clear,77.1,79.1,🔴 4.6 mph In from RF,5.2,NE,-1.4,-3.9,-4.6,-3.1,,FORECAST MODEL,7.2,51.8,B,Density 67 | Wind 41 | Temp 55 | Altitude 59 | Confidence 90%,1,1,0.5,90.4,🟨 Neutral,-3.0,-3,0.0,92.5,12.9,0.5,1.1673,1346.0,1007.4,70.2,76.4,81.8,WORSENING RAPIDLY,-5.5,-0.3,15,LOW,11.1,LOW,16.3,2026-08-17 04:59:33 PM PDT,195.3,5
2026-08-17,Athletics,Kansas City Royals,Athletics @ Kansas City Royals,04:40 PM,06:40 PM CDT,Kauffman Stadium,OPEN,OPEN-AIR PARK,Clear,84.5,48.7,⚪ Light Variable,2.5,NE,-1.9,-2.5,-2.0,-0.1,,FORECAST MODEL,0.0,57.8,B,Density 78 | Wind 44 | Temp 61 | Altitude 68 | Confidence 96%,5,4,2.3,96.0,🟨 Neutral,-1.8,-1,0.0,95.6,9.5,0.2,1.1316,2500.0,985.3,61.6,82.4,52.7,WORSENING,-3.3,-0.18,12,LOW,0.6,LOW,5.3,2026-08-17 04:59:34 PM PDT,332.7,5
2026-08-17,Atlanta Braves,Minnesota Twins,Atlanta Braves @ Minnesota Twins,04:40 PM,06:40 PM CDT,Target Field,OPEN,OPEN-AIR PARK,Mostly clear,81.5,43.9,🟢 6.4 mph Out to LF,7.2,SW,6.4,5.4,1.8,-4.4,,FORECAST MODEL,5.6,63.2,B+,Density 76 | Wind 60 | Temp 57 | Altitude 67 | Confidence 92%,8,6,4.0,92.3,🟢 Good,3.8,2,79.4,0.0,9.5,1.4,1.1379,2332.0,983.8,57.6,79.1,49.6,IMPROVING,3.9,-0.9,15,LOW,18.1,MEDIUM,20.2,2026-08-17 04:59:36 PM PDT,92.5,5
2026-08-17,Chicago White Sox,Chicago Cubs,Chicago White Sox @ Chicago Cubs,05:05 PM,07:05 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Clear,73.4,69.0,⚪ Light Variable,4.9,E,0.5,-2.2,-3.5,-4.0,,FORECAST MODEL,0.3,56.3,B,Density 63 | Wind 52 | Temp 51 | Altitude 58 | Confidence 95%,4,3,1.9,95.2,🟨 Neutral,0.8,0,35.6,22.5,14.4,1.1,1.1811,1009.0,1010.2,62.9,72.7,71.6,STEADY,0.3,0.59,16,LOW,0.5,LOW,5.5,2026-08-17 04:59:37 PM PDT,253.5,5
