Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Field Elevation Ft,Projected Roof Status,Roof Status Basis,Weather Conditions,Weather Code WMO,Weather Condition Source,Data Quality,Data Quality Issues,Data Quality Issue Count,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game P Effective Outward 5+ %,Game P Effective Outward 10+ %,Game P Effective Inward 5+ %,Game Wind Direction Confidence %,Game Wind Impact Confidence %,Game HR Trajectory Carry Ft,Wind Regime,Probability Direction Flips During Game %,Inning Wind Regimes,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-09-04,Detroit Tigers,Cleveland Guardians,Detroit Tigers @ Cleveland Guardians,11:10 AM,02:10 PM EDT,Progressive Field,660,OPEN,OPEN-AIR PARK,Drizzle,53,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,76.1,86.4,⚪ Light Variable,3.2,SSW,1.6,3.2,3.3,1.6,,FORECAST MODEL,40.7,58.7,B,Density 72 | Wind 54 | Temp 55 | Altitude 63 | Confidence 84%,5,4,2.6,84.2,🟨 Neutral,1.7,1,40.8,18.0,6.6,0.0,0.2,66.9,87.3,3.1,STABLE,28.8,1st-3rd: OUT TO RCF +2.8 mph | 4th-5th: OUT TO RCF +2.6 mph | 6th-7th: CROSS LF → RF -0.1 mph | 8th-9th: CROSS LF → RF -0.7 mph,36.1,1.3,1.1519,1781.0,996.1,71.6,77.2,83.7,FIRST RUN,0.0,-0.29,25,MODERATE,37.4,MEDIUM,18.2,2026-09-04 01:29:36 PM PDT,117.9,5
2026-09-04,Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers @ Cincinnati Reds,03:10 PM,06:10 PM EDT,Great American Ball Park,490,OPEN,OPEN-AIR PARK,Clear,0,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,95.8,44.5,🟢 5.7 mph Out to CF,4.9,WNW,4.8,5.7,3.8,-1.1,,FORECAST MODEL,11.6,65.6,B+,Density 84 | Wind 60 | Temp 72 | Altitude 71 | Confidence 89%,10,7,4.7,88.9,🟢 Good,3.9,3,94.0,2.3,65.4,2.0,0.0,70.0,95.7,8.1,STABLE,23.2,1st-3rd: OUT TO CF +5.0 mph | 4th-5th: OUT TO CF +3.7 mph | 6th-7th: OUT TO RCF +3.0 mph | 8th-9th: OUT TO RCF +2.1 mph,31.3,1.6,1.1132,3014.0,990.2,70.0,92.8,50.5,IMPROVING RAPIDLY,4.2,-0.54,23,LOW,19.5,LOW,7.9,2026-09-04 01:29:42 PM PDT,135.3,5
2026-09-04,Atlanta Braves,Philadelphia Phillies,Atlanta Braves @ Philadelphia Phillies,03:40 PM,06:40 PM EDT,Citizens Bank Park,20,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,82.6,66.3,🟡 5.2 mph Cross (LF → RF),4.8,NW,-4.5,-2.4,1.0,5.2,,FORECAST MODEL,17.6,55.7,B,Density 70 | Wind 48 | Temp 59 | Altitude 61 | Confidence 91%,4,3,1.7,91.4,🟨 Neutral,-0.8,-1,6.8,35.0,0.0,0.0,0.5,86.2,95.8,-1.8,STABLE,16.6,1st-3rd: CROSS LF → RF -0.9 mph | 4th-5th: CROSS LF → RF -0.5 mph | 6th-7th: CROSS LF → RF -0.7 mph | 8th-9th: CROSS LF → RF -1.1 mph,17.1,0.8,1.16,1577.0,1008.5,69.7,80.5,72.1,STEADY,-0.9,-0.21,23,MODERATE,22.7,LOW,7.4,2026-09-04 01:29:47 PM PDT,740.8,5
2026-09-04,Los Angeles Angels,Pittsburgh Pirates,Los Angeles Angels @ Pittsburgh Pirates,03:45 PM,06:45 PM EDT,PNC Park,730,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,78.4,79.8,⚪ Light Variable,3.5,W,3.5,3.2,1.3,-2.3,,FORECAST MODEL,32.0,60.5,B+,Density 77 | Wind 56 | Temp 55 | Altitude 66 | Confidence 84%,7,5,3.2,83.7,🟢 Good,2.2,1,100.0,0.0,7.4,0.0,0.0,76.5,97.9,4.6,STABLE,18.2,1st-3rd: OUT TO LCF +2.6 mph | 4th-5th: OUT TO LCF +1.8 mph | 6th-7th: OUT TO LCF +2.4 mph | 8th-9th: OUT TO LCF +1.9 mph,16.2,0.6,1.1363,2237.0,981.9,71.5,76.7,84.9,STEADY,0.7,-0.99,21,ELEVATED,61.0,MEDIUM,18.1,2026-09-04 01:29:53 PM PDT,128.0,5
2026-09-04,Boston Red Sox,Baltimore Orioles,Boston Red Sox @ Baltimore Orioles,04:05 PM,07:05 PM EDT,Oriole Park at Camden Yards,33,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,86.2,59.3,🟡 4.7 mph Cross (LF → RF),4.0,WNW,-2.0,0.5,2.8,4.7,,FORECAST MODEL,42.4,57.2,B,Density 71 | Wind 51 | Temp 62 | Altitude 62 | Confidence 91%,4,3,2.2,90.6,🟨 Neutral,0.2,0,57.2,0.0,0.0,0.0,0.0,83.8,83.5,0.4,STABLE,16.2,1st-3rd: CROSS LF → RF +0.2 mph | 4th-5th: CROSS LF → RF +0.3 mph | 6th-7th: CROSS LF → RF +0.0 mph | 8th-9th: CROSS LF → RF +0.1 mph,13.4,0.4,1.1536,1771.0,1009.1,70.0,83.7,65.1,STEADY,-0.7,0.16,19,MODERATE,30.7,LOW,13.7,2026-09-04 01:29:57 PM PDT,127.1,5
2026-09-04,San Francisco Giants,New York Mets,San Francisco Giants @ New York Mets,04:10 PM,07:10 PM EDT,Citi Field,20,OPEN,OPEN-AIR PARK,Clear,0,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,81.6,47.5,🟡 8.5 mph Cross (LF → RF),8.1,NW,-7.7,-4.5,0.9,8.5,,FORECAST MODEL,0.0,51.7,B,Density 68 | Wind 41 | Temp 58 | Altitude 60 | Confidence 86%,1,1,0.5,85.6,🟨 Neutral,-3.1,-3,0.0,100.0,0.0,0.0,22.3,94.6,98.4,-5.3,STABLE,26.4,1st-3rd: CROSS LF → RF -2.0 mph | 4th-5th: IN FROM LF -4.1 mph | 6th-7th: IN FROM LF -4.1 mph | 8th-9th: CROSS LF → RF -2.1 mph,4.4,0.4,1.1651,1517.0,1008.3,60.1,79.5,52.3,WORSENING RAPIDLY,-8.2,-0.56,24,LOW,0.4,MEDIUM,21.6,2026-09-04 01:30:03 PM PDT,129.9,5
2026-09-04,Chicago Cubs,Miami Marlins,Chicago Cubs @ Miami Marlins,04:10 PM,07:10 PM EDT,loanDepot park,10,OPEN,PROJECTED: FAVORABLE,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,82.6,83.9,⚪ Calm,1.8,SE,-1.3,-1.9,-1.7,-0.4,,FORECAST MODEL,11.2,53.4,B,Density 69 | Wind 46 | Temp 60 | Altitude 60 | Confidence 86%,2,2,1.0,85.7,🟨 Neutral,-1.3,-1,39.3,43.8,0.0,0.0,0.0,32.2,90.1,-1.6,STABLE,20.8,1st-3rd: VARIABLE — INWARD LEAN -1.7 mph | 4th-5th: VARIABLE — INWARD LEAN -1.4 mph | 6th-7th: LIGHT / VARIABLE -0.7 mph | 8th-9th: LIGHT / VARIABLE -0.4 mph,86.5,1.1,1.1609,1466.0,1014.2,77.0,81.7,86.4,STEADY,-1.2,-0.49,21,LOW,18.2,MEDIUM,18.7,2026-09-04 01:30:10 PM PDT,28.4,5
2026-09-04,Detroit Tigers,Cleveland Guardians,Detroit Tigers @ Cleveland Guardians,04:15 PM,07:15 PM EDT,Progressive Field,660,OPEN,OPEN-AIR PARK,Overcast,3,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,76.5,85.3,⚪ Light Variable,3.4,NNW,-3.6,-3.3,-1.4,2.2,,FORECAST MODEL,17.8,54.3,B,Density 71 | Wind 44 | Temp 54 | Altitude 62 | Confidence 86%,3,2,1.3,85.6,🟨 Neutral,-1.8,-1,0.0,88.8,0.0,0.0,12.2,71.8,97.8,-4.5,STABLE,22.8,1st-3rd: IN FROM LF -2.7 mph | 4th-5th: IN FROM LF -1.5 mph | 6th-7th: LIGHT / VARIABLE -1.0 mph | 8th-9th: LIGHT / VARIABLE -1.0 mph,12.3,0.7,1.1552,1685.0,995.8,71.2,75.5,86.9,WORSENING,-3.2,-0.29,25,MODERATE,36.8,LOW,9.5,2026-09-04 01:30:15 PM PDT,118.6,5
2026-09-04,Minnesota Twins,Chicago White Sox,Minnesota Twins @ Chicago White Sox,04:40 PM,06:40 PM CDT,Rate Field,595,OPEN,OPEN-AIR PARK,Clear,0,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,87.2,62.5,🟡 5.7 mph Cross (RF → LF),5.8,WSW,5.9,3.9,0.0,-5.7,,FORECAST MODEL,11.0,63.2,B+,Density 79 | Wind 57 | Temp 64 | Altitude 68 | Confidence 92%,8,6,3.9,91.5,🟢 Good,2.7,2,78.5,2.3,42.1,2.9,0.3,66.4,89.8,6.3,SHIFTING,33.6,1st-3rd: OUT TO LF +2.4 mph | 4th-5th: OUT TO LCF +3.3 mph | 6th-7th: OUT TO CF +3.5 mph | 8th-9th: VARIABLE — OUTWARD LEAN +1.1 mph,43.3,1.7,1.129,2473.0,990.8,72.6,84.9,68.0,IMPROVING,3.7,0.24,23,MODERATE,33.1,LOW,10.4,2026-09-04 01:30:20 PM PDT,129.3,5
2026-09-04,Tampa Bay Rays,Texas Rangers,Tampa Bay Rays @ Texas Rangers,05:05 PM,07:05 PM CDT,Globe Life Field,550,CLOSED,PROJECTED: TEMPERATURE,Clear,0,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,94.0,40.6,⚪ Calm,0.0,SSE,0.0,0.0,-0.0,-0.0,,FORECAST MODEL,7.7,50.0,C,Density 61 | Wind 50 | Temp 71 | Altitude 57 | Confidence 92%,0,0,-0.0,91.9,🟧 Below Average,0.0,0,92.0,0.0,0.0,0.0,0.0,96.7,100.0,0.0,STABLE,15.0,1st-3rd: OUT TO LF +0.0 mph | 4th-5th: OUT TO LF +0.0 mph | 6th-7th: OUT TO LF +0.0 mph | 8th-9th: OUT TO LF +0.0 mph,4.2,0.3,1.1896,858.0,991.5,67.1,91.6,45.4,IMPROVING,3.3,-0.04,26,NONE (ROOF),0.0,LOW,8.1,2026-09-04 01:30:26 PM PDT,123.8,5
2026-09-04,Arizona Diamondbacks,Houston Astros,Arizona Diamondbacks @ Houston Astros,05:10 PM,07:10 PM CDT,Daikin Park,45,OPEN,PROJECTED: FAVORABLE,Partly cloudy,2,OPEN-METEO MODEL CONSENSUS,GOOD DATA,,0,85.2,75.2,⚪ Light Variable,3.3,ESE,3.3,2.6,0.8,-2.7,,FORECAST MODEL,21.7,58.8,B,Density 72 | Wind 56 | Temp 62 | Altitude 62 | Confidence 90%,5,4,2.6,90.3,🟨 Neutral,2.4,1,78.6,0.0,4.7,0.0,0.0,89.8,97.9,4.5,SHIFTING,23.8,1st-3rd: OUT TO LF +2.0 mph | 4th-5th: OUT TO LF +2.3 mph | 6th-7th: OUT TO LCF +3.0 mph | 8th-9th: OUT TO CF +3.1 mph,12.6,0.8,1.1529,1715.0,1010.8,76.4,83.7,79.2,IMPROVING,2.6,-0.27,25,MODERATE,24.9,LOW,6.3,2026-09-04 01:30:27 PM PDT,128.7,5
